LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752622326.546523,138493,20601,1,SA,1,100,0.002089
1752622326.880526,138827,20651,1,SA,1,100,0.000817
1752622327.546531,139493,20987,1,SA,1,100,0.004013
1752622329.345545,141292,21040,1,SA,1,100,0.000231
1752622329.945550,141892,21143,1,SA,1,100,0.000151
1752622330.279552,142226,21246,1,SA,1,100,0.000619
1752622330.679555,142626,21313,1,SA,1,100,0.000776
1752622331.146559,143093,21351,1,SA,1,100,0.000164
1752622331.478562,143425,21437,1,SA,1,100,0.000516
1752622332.212567,144159,21559,1,SA,1,100,0.000628
1752622332.745572,144692,21677,1,SA,1,100,0.001110
1752622333.478577,145425,21779,1,SA,1,100,0.000602
1752622334.278584,146225,21880,1,SA,1,100,0.000153
1752622334.612586,146559,21948,1,SA,1,100,0.000425
1752622334.945589,146892,22019,1,SA,1,100,0.000523
1752622335.278591,147225,22038,1,SA,1,100,0.000156
1752622335.478593,147425,22074,1,SA,1,100,0.000173
1752622335.678594,147625,22174,1,SA,1,100,0.001959
1752622336.745603,148692,22298,1,SA,1,100,0.000127
1752622336.945604,148892,22368,1,SA,1,100,0.000622
1752622337.411608,149358,22468,1,SA,1,100,0.001033
1752622338.078613,150025,22571,1,SA,1,100,0.000799
1752622338.544617,150491,22641,1,SA,1,100,0.001476
1752622339.144622,151091,22692,1,SA,1,100,0.000178
1752622339.344623,151291,22729,1,SA,1,100,0.000159
1752622339.944628,151891,22866,1,SA,1,100,0.000578
1752622340.478632,152425,22933,1,SA,1,100,0.000308
1752622340.877635,152824,23002,1,SA,1,100,0.000298
1752622341.411639,153358,23105,1,SA,1,100,0.000432
1752622341.877643,153824,23191,1,SA,1,100,0.000548
1752622342.211646,154158,23278,1,SA,1,100,0.001163
1752622342.745650,154692,23363,1,SA,1,100,0.000930
1752622343.277654,155224,23398,1,SA,1,100,0.000171
1752622343.611656,155558,23466,1,SA,1,100,0.000410
