LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752622326.554523,138501.000,20552,1,TH,1,100,35.863
1752622326.687524,138634.000,20588,1,TH,1,100,35.866
1752622326.820525,138767.000,20609,1,TH,1,100,35.866
1752622326.954526,138901.000,20626,1,TH,1,100,35.913
1752622327.087527,139034.000,20659,1,TH,1,100,35.920
1752622327.220528,139167.000,20677,1,TH,1,100,35.883
1752622327.354529,139301.000,20693,1,TH,1,100,35.883
1752622327.487530,139434.000,20725,1,TH,1,100,35.909
1752622327.620531,139567.000,20744,1,TH,1,100,35.917
1752622327.753533,139700.000,20760,1,TH,1,100,35.931
1752622327.887534,139834.000,20792,1,TH,1,100,35.931
1752622328.020535,139967.000,20809,1,TH,1,100,35.912
1752622328.153536,140100.000,20825,1,TH,1,100,35.912
1752622328.287537,140234.000,20859,1,TH,1,100,35.858
1752622328.420538,140367.000,20876,1,TH,1,100,35.865
1752622328.553539,140500.000,20893,1,TH,1,100,35.877
1752622328.687540,140634.000,20910,1,TH,1,100,35.877
1752622328.820541,140767.000,20944,1,TH,1,100,36.002
1752622328.953542,140900.000,20960,1,TH,1,100,36.002
1752622329.087543,141034.000,20977,1,TH,1,100,35.938
1752622329.220544,141167.000,21011,1,TH,1,100,35.945
1752622329.353545,141300.000,21029,1,TH,1,100,35.987
1752622329.487546,141434.000,21048,1,TH,1,100,35.994
1752622329.620547,141567.000,21080,1,TH,1,100,35.935
1752622329.753548,141700.000,21096,1,TH,1,100,35.935
1752622329.887549,141834.000,21114,1,TH,1,100,35.932
1752622330.020550,141967.000,21151,1,TH,1,100,35.932
1752622330.154551,142101.000,21167,1,TH,1,100,35.937
1752622330.287552,142234.000,21185,1,TH,1,100,35.944
1752622330.420553,142367.000,21216,1,TH,1,100,35.925
1752622330.553554,142500.000,21233,1,TH,1,100,35.925
1752622330.687555,142634.000,21254,1,TH,1,100,35.941
1752622330.820557,142767.000,21286,1,TH,1,100,35.941
1752622330.953558,142900.000,21302,1,TH,1,100,35.941
1752622331.087559,143034.000,21321,1,TH,1,100,35.949
1752622331.220560,143167.000,21338,1,TH,1,100,35.941
1752622331.353561,143300.000,21373,1,TH,1,100,35.941
1752622331.486562,143433.000,21390,1,TH,1,100,36.027
1752622331.620563,143567.000,21407,1,TH,1,100,36.027
1752622331.753564,143700.000,21445,1,TH,1,100,35.948
1752622331.886565,143833.000,21465,1,TH,1,100,35.955
1752622332.020566,143967.000,21481,1,TH,1,100,36.029
1752622332.153567,144100.000,21498,1,TH,1,100,36.029
1752622332.286568,144233.000,21530,1,TH,1,100,36.036
1752622332.420569,144367.000,21546,1,TH,1,100,36.043
1752622332.553570,144500.000,21568,1,TH,1,100,36.045
1752622332.686571,144633.000,21599,1,TH,1,100,36.045
1752622332.820572,144767.000,21616,1,TH,1,100,35.981
1752622332.953573,144900.000,21633,1,TH,1,100,35.981
1752622333.086574,145033.000,21649,1,TH,1,100,36.052
1752622333.220575,145167.000,21685,1,TH,1,100,36.052
1752622333.353576,145300.000,21702,1,TH,1,100,36.126
1752622333.486577,145433.000,21718,1,TH,1,100,36.133
1752622333.620578,145567.000,21750,1,TH,1,100,35.963
1752622333.753579,145700.000,21767,1,TH,1,100,35.964
1752622333.886580,145833.000,21788,1,TH,1,100,36.079
1752622334.020582,145967.000,21819,1,TH,1,100,36.086
1752622334.153583,146100.000,21836,1,TH,1,100,36.042
1752622334.286584,146233.000,21853,1,TH,1,100,36.042
1752622334.420585,146367.000,21888,1,TH,1,100,36.096
1752622334.553586,146500.000,21906,1,TH,1,100,36.096
1752622334.686587,146633.000,21922,1,TH,1,100,36.061
1752622334.820588,146767.000,21956,1,TH,1,100,36.068
1752622334.953589,146900.000,21975,1,TH,1,100,36.039
1752622335.086590,147033.000,21991,1,TH,1,100,36.039
1752622335.219591,147166.000,22027,1,TH,1,100,36.098
1752622335.353592,147300.000,22046,1,TH,1,100,36.105
1752622335.486593,147433.000,22062,1,TH,1,100,36.109
1752622335.619594,147566.000,22082,1,TH,1,100,36.109
1752622335.753595,147700.000,22115,1,TH,1,100,36.090
1752622335.886596,147833.000,22132,1,TH,1,100,36.090
1752622336.019597,147966.000,22149,1,TH,1,100,36.031
1752622336.153598,148100.000,22183,1,TH,1,100,36.038
1752622336.286599,148233.000,22199,1,TH,1,100,36.129
1752622336.419600,148366.000,22216,1,TH,1,100,36.129
1752622336.553601,148500.000,22250,1,TH,1,100,36.030
1752622336.686602,148633.000,22266,1,TH,1,100,36.038
1752622336.819603,148766.000,22283,1,TH,1,100,36.079
1752622336.953604,148900.000,22307,1,TH,1,100,36.079
1752622337.086605,149033.000,22340,1,TH,1,100,36.037
1752622337.219607,149166.000,22358,1,TH,1,100,36.037
1752622337.353608,149300.000,22376,1,TH,1,100,36.169
1752622337.486609,149433.000,22408,1,TH,1,100,36.177
1752622337.619610,149566.000,22427,1,TH,1,100,36.034
1752622337.753611,149700.000,22443,1,TH,1,100,36.034
1752622337.886612,149833.000,22477,1,TH,1,100,36.113
1752622338.019613,149966.000,22494,1,TH,1,100,36.113
1752622338.152614,150099.000,22510,1,TH,1,100,36.156
1752622338.286615,150233.000,22544,1,TH,1,100,36.164
1752622338.419616,150366.000,22561,1,TH,1,100,36.086
1752622338.552617,150499.000,22580,1,TH,1,100,36.086
1752622338.686618,150633.000,22611,1,TH,1,100,36.162
1752622338.819619,150766.000,22630,1,TH,1,100,36.162
1752622338.952620,150899.000,22649,1,TH,1,100,36.154
1752622339.086621,151033.000,22666,1,TH,1,100,36.161
1752622339.219622,151166.000,22700,1,TH,1,100,36.202
1752622339.352623,151299.000,22716,1,TH,1,100,36.202
1752622339.486624,151433.000,22737,1,TH,1,100,36.146
1752622339.619625,151566.000,22769,1,TH,1,100,36.146
1752622339.752626,151699.000,22785,1,TH,1,100,36.060
1752622339.886627,151833.000,22803,1,TH,1,100,36.067
1752622340.019628,151966.000,22836,1,TH,1,100,36.136
1752622340.152629,152099.000,22854,1,TH,1,100,36.136
1752622340.286631,152233.000,22874,1,TH,1,100,36.087
1752622340.419632,152366.000,22905,1,TH,1,100,36.087
1752622340.552633,152499.000,22922,1,TH,1,100,36.126
1752622340.686634,152633.000,22941,1,TH,1,100,36.133
1752622340.819635,152766.000,22975,1,TH,1,100,36.189
1752622340.952636,152899.000,22991,1,TH,1,100,36.189
1752622341.085637,153032.000,23010,1,TH,1,100,36.148
1752622341.219638,153166.000,23042,1,TH,1,100,36.155
1752622341.352639,153299.000,23058,1,TH,1,100,36.226
1752622341.485640,153432.000,23075,1,TH,1,100,36.226
1752622341.619641,153566.000,23094,1,TH,1,100,36.149
1752622341.752642,153699.000,23127,1,TH,1,100,36.149
1752622341.885643,153832.000,23145,1,TH,1,100,36.223
1752622342.019644,153966.000,23161,1,TH,1,100,36.230
1752622342.152645,154099.000,23200,1,TH,1,100,36.257
1752622342.285646,154232.000,23217,1,TH,1,100,36.257
1752622342.419647,154366.000,23235,1,TH,1,100,36.141
1752622342.552648,154499.000,23267,1,TH,1,100,36.141
1752622342.685649,154632.000,23286,1,TH,1,100,36.188
1752622342.819650,154766.000,23302,1,TH,1,100,36.195
1752622342.952651,154899.000,23334,1,TH,1,100,36.227
1752622343.085652,155032.000,23353,1,TH,1,100,36.227
1752622343.219653,155166.000,23372,1,TH,1,100,36.227
1752622343.352654,155299.000,23405,1,TH,1,100,36.227
1752622343.485656,155432.000,23423,1,TH,1,100,36.195
1752622343.619657,155566.000,23439,1,TH,1,100,36.202
1752622343.752658,155699.000,23456,1,TH,1,100,36.178
1752622343.885659,155832.000,23492,1,TH,1,100,36.178
1752622344.019660,155966.000,23508,1,TH,1,100,36.214
1752622344.152661,156099.000,23525,1,TH,1,100,36.214
1752622344.285662,156232.000,23557,1,TH,1,100,36.238
1752622344.418663,156365.000,23573,1,TH,1,100,36.238
1752622344.552664,156499.000,23593,1,TH,1,100,36.265
1752622344.685665,156632.000,23626,1,TH,1,100,36.272
1752622344.818666,156765.000,23642,1,TH,1,100,36.214
1752622344.952667,156899.000,23662,1,TH,1,100,36.214
1752622345.085668,157032.000,23693,1,TH,1,100,36.348
1752622345.218669,157165.000,23710,1,TH,1,100,36.355
1752622345.352670,157299.000,23731,1,TH,1,100,36.368
1752622345.485671,157432.000,23763,1,TH,1,100,36.368
1752622345.618672,157565.000,23779,1,TH,1,100,36.280
1752622345.752673,157699.000,23798,1,TH,1,100,36.280
1752622345.885674,157832.000,23815,1,TH,1,100,36.284
1752622346.018675,157965.000,23850,1,TH,1,100,36.292
1752622346.152676,158099.000,23867,1,TH,1,100,36.223
1752622346.285677,158232.000,23884,1,TH,1,100,36.223
1752622346.418678,158365.000,23917,1,TH,1,100,36.286
1752622346.552679,158499.000,23935,1,TH,1,100,36.286
1752622346.685681,158632.000,23953,1,TH,1,100,36.325
1752622346.818682,158765.000,23987,1,TH,1,100,36.333
1752622346.952683,158899.000,24004,1,TH,1,100,36.269
1752622347.085684,159032.000,24020,1,TH,1,100,36.269
1752622347.218685,159165.000,24057,1,TH,1,100,36.315
1752622347.352686,159299.000,24076,1,TH,1,100,36.315
1752622347.485687,159432.000,24094,1,TH,1,100,36.364
1752622347.618688,159565.000,24126,1,TH,1,100,36.371
1752622347.752689,159699.000,24145,1,TH,1,100,36.322
1752622347.885690,159832.000,24162,1,TH,1,100,36.322
1752622348.018691,159965.000,24195,1,TH,1,100,36.283
1752622348.152692,160099.000,24213,1,TH,1,100,36.283
1752622348.285693,160232.000,24229,1,TH,1,100,36.270
1752622348.418694,160365.000,24246,1,TH,1,100,36.277
1752622348.551695,160498.000,24282,1,TH,1,100,36.344
1752622348.685696,160632.000,24298,1,TH,1,100,36.344
1752622348.818697,160765.000,24315,1,TH,1,100,36.309
1752622348.951698,160898.000,24347,1,TH,1,100,36.309
1752622349.085699,161032.000,24363,1,TH,1,100,36.368
1752622349.218700,161165.000,24383,1,TH,1,100,36.375
1752622349.351701,161298.000,24416,1,TH,1,100,36.370
1752622349.485702,161432.000,24432,1,TH,1,100,36.370
1752622349.618703,161565.000,24450,1,TH,1,100,36.353
1752622349.751704,161698.000,24483,1,TH,1,100,36.353
1752622349.885706,161832.000,24500,1,TH,1,100,36.323
1752622350.018707,161965.000,24519,1,TH,1,100,36.330
1752622350.151708,162098.000,24553,1,TH,1,100,36.340
1752622350.285709,162232.000,24569,1,TH,1,100,36.340
1752622350.418710,162365.000,24590,1,TH,1,100,36.389
1752622350.551711,162498.000,24622,1,TH,1,100,36.389
