LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752780445.492402,435919,4734,1,BI,1,100,600
1752780446.172406,436599,4853,1,BI,1,100,680
1752780446.892410,437319,4971,1,BI,1,100,720
1752780447.532414,437959,5079,1,BI,1,100,640
1752780448.212417,438639,5196,1,BI,1,100,680
1752780448.932421,439359,5314,1,BI,1,100,720
1752780449.545425,439972,5415,1,BI,1,100,600
1752780450.305429,440732,5532,1,BI,1,100,760
1752780451.025433,441452,5652,1,BI,1,100,720
1752780451.705436,442132,5771,1,BI,1,100,680
1752780452.385440,442812,5876,1,BI,1,100,680
1752780452.945443,443372,5962,1,BI,1,100,560
1752780453.678447,444105,6096,1,BI,1,100,720
1752780454.198450,444625,6183,1,BI,1,100,520
1752780454.878454,445305,6300,1,BI,1,100,680
1752780455.518457,445945,6403,1,BI,1,100,640
1752780456.158461,446585,6503,1,BI,1,100,640
1752780456.838465,447265,6626,1,BI,1,100,680
1752780457.518468,447945,6752,1,BI,1,100,680
1752780458.171472,448598,6854,1,BI,1,100,640
1752780458.811475,449238,6957,1,BI,1,100,640
1752780459.571479,449998,7092,1,BI,1,100,760
1752780460.251483,450678,7193,1,BI,1,100,680
1752780460.971487,451398,7331,1,BI,1,100,720
1752780461.611491,452038,7436,1,BI,1,100,640
1752780462.290494,452717,7560,1,BI,1,100,680
1752780462.984498,453411,7666,1,BI,1,100,680
1752780463.664502,454091,7787,1,BI,1,100,680
1752780464.384506,454811,7905,1,BI,1,100,720
1752780464.984509,455411,8007,1,BI,1,100,600
1752780465.623513,456050,8109,1,BI,1,100,640
1752780466.343517,456770,8228,1,BI,1,100,720
1752780466.983520,457410,8352,1,BI,1,100,640
1752780467.637524,458064,8460,1,BI,1,100,640
1752780468.237527,458664,8565,1,BI,1,100,600
1752780468.917531,459344,8682,1,BI,1,100,680
1752780469.636535,460063,8806,1,BI,1,100,720
1752780470.316538,460743,8907,1,BI,1,100,680
1752780470.956542,461383,9025,1,BI,1,100,640
1752780471.690546,462117,9146,1,BI,1,100,720
1752780472.329549,462756,9249,1,BI,1,100,640
1752780472.929553,463356,9357,1,BI,1,100,600
1752780473.609556,464036,9474,1,BI,1,100,680
1752780474.209560,464636,9575,1,BI,1,100,600
1752780474.809563,465236,9675,1,BI,1,100,600
1752780475.409566,465836,9778,1,BI,1,100,600
1752780475.969569,466396,9867,1,BI,1,100,560
1752780476.582573,467009,9970,1,BI,1,100,600
1752780477.182576,467609,10072,1,BI,1,100,600
1752780477.862580,468289,10195,1,BI,1,100,680
1752780478.502583,468929,10295,1,BI,1,100,640
1752780479.102586,469529,10398,1,BI,1,100,600
1752780479.822590,470249,10520,1,BI,1,100,720
1752780480.542594,470969,10637,1,BI,1,100,720
1752780481.275598,471702,10756,1,BI,1,100,720
1752780481.955602,472382,10877,1,BI,1,100,680
1752780482.595605,473022,10995,1,BI,1,100,640
1752780483.315609,473742,11121,1,BI,1,100,720
1752780483.995613,474422,11224,1,BI,1,100,680
1752780484.675617,475102,11342,1,BI,1,100,680
1752780485.288620,475715,11447,1,BI,1,100,600
1752780485.888623,476315,11548,1,BI,1,100,600
1752780486.568627,476995,11671,1,BI,1,100,680
1752780487.208631,477635,11772,1,BI,1,100,640
1752780487.848634,478275,11874,1,BI,1,100,640
1752780488.568638,478995,12000,1,BI,1,100,720
1752780489.288642,479715,12134,1,BI,1,100,720
1752780490.021646,480448,12254,1,BI,1,100,720
1752780490.621649,481048,12358,1,BI,1,100,600
1752780491.341653,481768,12476,1,BI,1,100,720
1752780492.021657,482448,12597,1,BI,1,100,680
1752780492.701661,483128,12702,1,BI,1,100,680
1752780493.261664,483688,12808,1,BI,1,100,560
1752780493.901667,484328,12913,1,BI,1,100,640
1752780494.674672,485101,13033,1,BI,1,100,760
1752780495.354675,485781,13152,1,BI,1,100,680
1752780496.034679,486461,13272,1,BI,1,100,680
1752780496.674683,487101,13375,1,BI,1,100,640
