LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752780446.430408,436857.000,4903,1,BV,1,100,3.61
1752780451.430435,441857.000,5735,1,BV,1,100,3.61
1752780456.429462,446856.000,6571,1,BV,1,100,3.61
1752780461.429490,451856.000,7419,1,BV,1,100,3.61
1752780466.428517,456855.000,8265,1,BV,1,100,3.62
1752780471.428544,461855.000,9109,1,BV,1,100,3.62
1752780476.427572,466854.000,9967,1,BV,1,100,3.62
1752780481.427599,471854.000,10810,1,BV,1,100,3.62
1752780486.426626,476853.000,11651,1,BV,1,100,3.62
1752780491.426654,481853.000,12511,1,BV,1,100,3.61
1752780496.425681,486852.000,13355,1,BV,1,100,3.62
1752780501.425709,491852.000,14206,1,BV,1,100,3.62
1752780506.424736,496851.000,15055,1,BV,1,100,3.62
1752780511.424763,501851.000,15901,1,BV,1,100,3.62
1752780516.423791,506850.000,16753,1,BV,1,100,3.62
1752780521.423818,511850.000,17619,1,BV,1,100,3.62
1752780526.422845,516849.000,18461,1,BV,1,100,3.62
1752780531.422873,521849.000,19310,1,BV,1,100,3.62
1752780536.421900,526848.000,20158,1,BV,1,100,3.62
1752780541.421927,531848.000,21008,1,BV,1,100,3.62
1752780546.420955,536847.000,21869,1,BV,1,100,3.62
1752780551.420982,541847.000,22718,1,BV,1,100,3.62
1752780556.420009,546846.000,23565,1,BV,1,100,3.62
1752780561.420037,551846.000,24349,1,BV,1,100,3.62
1752780566.419064,556845.000,25184,1,BV,1,100,3.62
1752780571.419091,561845.000,26011,1,BV,1,100,3.62
1752780576.418119,566844.000,26853,1,BV,1,100,3.62
1752780581.418146,571844.000,27680,1,BV,1,100,3.62
1752780586.417174,576843.000,28499,1,BV,1,100,3.62
1752780591.417201,581843.000,29320,1,BV,1,100,3.62
1752780596.416228,586842.000,30158,1,BV,1,100,3.62
1752780601.416256,591842.000,30982,1,BV,1,100,3.62
1752780606.415283,596841.000,31801,1,BV,1,100,3.62
1752780611.415310,601841.000,32626,1,BV,1,100,3.62
1752780616.414338,606840.000,33446,1,BV,1,100,3.62
1752780621.414365,611840.000,34247,1,BV,1,100,3.62
1752780626.413392,616839.000,35072,1,BV,1,100,3.62
1752780631.413420,621839.000,35887,1,BV,1,100,3.62
1752780636.412447,626838.000,36711,1,BV,1,100,3.62
1752780641.412474,631838.000,37533,1,BV,1,100,3.62
1752780646.411502,636837.000,38356,1,BV,1,100,3.62
1752780651.411529,641837.000,39177,1,BV,1,100,3.62
1752780656.410557,646836.000,39553,1,BV,1,100,3.62
1752780661.410584,651836.000,40356,1,BV,1,100,3.62
1752780666.409611,656835.000,41184,1,BV,1,100,3.63
1752780671.409639,661835.000,42007,1,BV,1,100,3.62
1752780676.408666,666834.000,42829,1,BV,1,100,3.62
1752780681.408693,671834.000,43656,1,BV,1,100,3.63
1752780686.407721,676833.000,44458,1,BV,1,100,3.63
1752780691.407748,681833.000,45283,1,BV,1,100,3.62
1752780696.406775,686832.000,46105,1,BV,1,100,3.63
1752780701.406803,691832.000,46929,1,BV,1,100,3.63
1752780706.405830,696831.000,47734,1,BV,1,100,3.62
1752780711.405857,701831.000,48556,1,BV,1,100,3.62
1752780716.404885,706830.000,49380,1,BV,1,100,3.62
1752780721.404912,711830.000,50202,1,BV,1,100,3.62
1752780726.403940,716829.000,51025,1,BV,1,100,3.63
1752780731.403967,721829.000,51829,1,BV,1,100,3.63
1752780736.402994,726828.000,52653,1,BV,1,100,3.62
1752780741.403022,731828.000,53475,1,BV,1,100,3.62
1752780746.402049,736827.000,54299,1,BV,1,100,3.62
1752780751.402076,741827.000,55121,1,BV,1,100,3.63
1752780756.401104,746826.000,55926,1,BV,1,100,3.63
1752780761.401131,751826.000,56750,1,BV,1,100,3.62
1752780766.400158,756825.000,57572,1,BV,1,100,3.63
1752780771.400186,761825.000,58395,1,BV,1,100,3.63
1752780776.399213,766824.000,59215,1,BV,1,100,3.63
1752780781.399240,771824.000,60020,1,BV,1,100,3.62
1752780786.398268,776823.000,60844,1,BV,1,100,3.63
1752780791.398295,781823.000,61667,1,BV,1,100,3.63
1752780796.397323,786822.000,62489,1,BV,1,100,3.63
1752780801.397350,791822.000,63293,1,BV,1,100,3.63
1752780806.396377,796821.000,64116,1,BV,1,100,3.63
1752780811.396405,801821.000,64941,1,BV,1,100,3.63
1752780816.395432,806820.000,224,1,BV,1,100,3.63
1752780821.395459,811820.000,1064,1,BV,1,100,3.62
1752780826.394487,816819.000,1885,1,BV,1,100,3.63
1752780831.394514,821819.000,2709,1,BV,1,100,3.63
1752780836.393541,826818.000,3530,1,BV,1,100,3.63
1752780841.393569,831818.000,4344,1,BV,1,100,3.63
1752780846.392596,836817.000,5182,1,BV,1,100,3.63
1752780851.392623,841817.000,6005,1,BV,1,100,3.63
1752780856.391651,846816.000,6824,1,BV,1,100,3.63
1752780861.391678,851816.000,7664,1,BV,1,100,3.63
1752780866.390705,856815.000,8426,1,BV,1,100,3.63
1752780871.390733,861815.000,9248,1,BV,1,100,3.63
1752780876.389760,866814.000,10068,1,BV,1,100,3.63
1752780881.389788,871814.000,10888,1,BV,1,100,3.63
1752780886.388815,876813.000,11726,1,BV,1,100,3.63
1752780891.388842,881813.000,12547,1,BV,1,100,3.63
1752780896.387870,886812.000,13366,1,BV,1,100,3.63
1752780901.387897,891812.000,14204,1,BV,1,100,3.63
1752780906.386924,896811.000,15025,1,BV,1,100,3.63
1752780911.386952,901811.000,15845,1,BV,1,100,3.63
1752780916.385979,906810.000,16667,1,BV,1,100,3.63
1752780921.386006,911810.000,17505,1,BV,1,100,3.63
1752780926.385034,916809.000,18327,1,BV,1,100,3.63
1752780931.385061,921809.000,19150,1,BV,1,100,3.63
1752780936.384088,926808.000,19969,1,BV,1,100,3.63
1752780941.384116,931808.000,20790,1,BV,1,100,3.63
1752780946.383143,936807.000,21630,1,BV,1,100,3.63
1752780951.383171,941807.000,22454,1,BV,1,100,3.63
1752780956.382198,946806.000,23273,1,BV,1,100,3.63
1752780961.382225,951806.000,24100,1,BV,1,100,3.63
1752780966.381253,956805.000,24919,1,BV,1,100,3.63
1752780971.381280,961805.000,25759,1,BV,1,100,3.63
1752780976.380307,966804.000,26580,1,BV,1,100,3.63
1752780981.380335,971804.000,27404,1,BV,1,100,3.63
1752780986.379362,976803.000,28226,1,BV,1,100,3.63
1752780991.379389,981803.000,29064,1,BV,1,100,3.63
1752780996.378417,986802.000,29886,1,BV,1,100,3.63
1752781001.378444,991802.000,30711,1,BV,1,100,3.63
1752781006.377471,996801.000,31534,1,BV,1,100,3.64
1752781011.377499,1001801.000,32358,1,BV,1,100,3.63
1752781016.376526,1006800.000,33180,1,BV,1,100,3.64
1752781021.376554,1011800.000,34003,1,BV,1,100,3.64
1752781026.375581,1016799.000,34808,1,BV,1,100,3.63
