LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752780446.430408,436857.000,4904,1,B%,1,100,32
1752780451.430435,441857.000,5736,1,B%,1,100,32
1752780456.429462,446856.000,6572,1,B%,1,100,32
1752780461.429490,451856.000,7420,1,B%,1,100,32
1752780466.428517,456855.000,8266,1,B%,1,100,33
1752780471.428544,461855.000,9110,1,B%,1,100,33
1752780476.427572,466854.000,9968,1,B%,1,100,33
1752780481.427599,471854.000,10811,1,B%,1,100,33
1752780486.426626,476853.000,11652,1,B%,1,100,33
1752780491.426654,481853.000,12512,1,B%,1,100,32
1752780496.425681,486852.000,13356,1,B%,1,100,33
1752780501.425709,491852.000,14207,1,B%,1,100,33
1752780506.424736,496851.000,15056,1,B%,1,100,32
1752780511.424763,501851.000,15902,1,B%,1,100,33
1752780516.423791,506850.000,16754,1,B%,1,100,33
1752780521.423818,511850.000,17620,1,B%,1,100,33
1752780526.422845,516849.000,18462,1,B%,1,100,33
1752780531.422873,521849.000,19311,1,B%,1,100,33
1752780536.421900,526848.000,20159,1,B%,1,100,33
1752780541.421927,531848.000,21009,1,B%,1,100,33
1752780546.420955,536847.000,21870,1,B%,1,100,33
1752780551.420982,541847.000,22719,1,B%,1,100,33
1752780556.420009,546846.000,23566,1,B%,1,100,33
1752780561.420037,551846.000,24350,1,B%,1,100,33
1752780566.419064,556845.000,25185,1,B%,1,100,33
1752780571.419091,561845.000,26012,1,B%,1,100,33
1752780576.418119,566844.000,26854,1,B%,1,100,33
1752780581.418146,571844.000,27681,1,B%,1,100,33
1752780586.417174,576843.000,28500,1,B%,1,100,33
1752780591.417201,581843.000,29321,1,B%,1,100,33
1752780596.416228,586842.000,30159,1,B%,1,100,33
1752780601.416256,591842.000,30983,1,B%,1,100,33
1752780606.415283,596841.000,31802,1,B%,1,100,33
1752780611.415310,601841.000,32627,1,B%,1,100,34
1752780616.414338,606840.000,33447,1,B%,1,100,33
1752780621.414365,611840.000,34248,1,B%,1,100,33
1752780626.413392,616839.000,35073,1,B%,1,100,34
1752780631.413420,621839.000,35888,1,B%,1,100,34
1752780636.412447,626838.000,36712,1,B%,1,100,33
1752780641.412474,631838.000,37534,1,B%,1,100,34
1752780646.411502,636837.000,38357,1,B%,1,100,34
1752780651.411529,641837.000,39178,1,B%,1,100,34
1752780656.410557,646836.000,39554,1,B%,1,100,33
1752780661.410584,651836.000,40357,1,B%,1,100,34
1752780666.409611,656835.000,41185,1,B%,1,100,34
1752780671.409639,661835.000,42008,1,B%,1,100,33
1752780676.408666,666834.000,42830,1,B%,1,100,34
1752780681.408693,671834.000,43657,1,B%,1,100,34
1752780686.407721,676833.000,44459,1,B%,1,100,34
