LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752780445.492402,435919,4735,1,HR,1,100,94.50
1752780446.172406,436599,4854,1,HR,1,100,93.11
1752780446.892410,437319,4972,1,HR,1,100,90.93
1752780447.532414,437959,5080,1,HR,1,100,91.56
1752780448.212417,438639,5197,1,HR,1,100,90.82
1752780448.932421,439359,5315,1,HR,1,100,89.16
1752780449.545425,439972,5416,1,HR,1,100,91.57
1752780450.305429,440732,5533,1,HR,1,100,88.76
1752780451.025433,441452,5653,1,HR,1,100,87.56
1752780451.705436,442132,5772,1,HR,1,100,87.71
1752780452.385440,442812,5877,1,HR,1,100,87.82
1752780452.945443,443372,5963,1,HR,1,100,92.12
1752780453.678447,444105,6097,1,HR,1,100,90.17
1752780454.198450,444625,6184,1,HR,1,100,95.77
1752780454.878454,445305,6301,1,HR,1,100,94.10
1752780455.518457,445945,6404,1,HR,1,100,94.02
1752780456.158461,446585,6504,1,HR,1,100,93.96
1752780456.838465,447265,6627,1,HR,1,100,92.69
1752780457.518468,447945,6753,1,HR,1,100,91.70
1752780458.171472,448598,6855,1,HR,1,100,92.15
1752780458.811475,449238,6958,1,HR,1,100,92.51
1752780459.571479,449998,7093,1,HR,1,100,89.49
1752780460.251483,450678,7194,1,HR,1,100,89.21
1752780460.971487,451398,7332,1,HR,1,100,87.91
1752780461.611491,452038,7437,1,HR,1,100,89.21
1752780462.290494,452717,7561,1,HR,1,100,88.99
1752780462.984498,453411,7667,1,HR,1,100,88.82
1752780463.664502,454091,7788,1,HR,1,100,88.69
1752780464.384506,454811,7906,1,HR,1,100,87.50
1752780464.984509,455411,8008,1,HR,1,100,90.28
1752780465.623513,456050,8110,1,HR,1,100,91.05
1752780466.343517,456770,8229,1,HR,1,100,89.34
1752780466.983520,457410,8353,1,HR,1,100,90.32
1752780467.637524,458064,8461,1,HR,1,100,91.08
1752780468.237527,458664,8566,1,HR,1,100,93.06
1752780468.917531,459344,8683,1,HR,1,100,91.99
1752780469.636535,460063,8807,1,HR,1,100,90.07
1752780470.316538,460743,8908,1,HR,1,100,89.66
1752780470.956542,461383,9026,1,HR,1,100,90.57
1752780471.690546,462117,9147,1,HR,1,100,88.96
1752780472.329549,462756,9250,1,HR,1,100,90.02
1752780472.929553,463356,9358,1,HR,1,100,92.24
1752780473.609556,464036,9475,1,HR,1,100,91.35
1752780474.209560,464636,9576,1,HR,1,100,93.27
1752780474.809563,465236,9676,1,HR,1,100,94.77
1752780475.409566,465836,9779,1,HR,1,100,95.93
1752780475.969569,466396,9868,1,HR,1,100,98.42
1752780476.582573,467009,9971,1,HR,1,100,98.77
1752780477.182576,467609,10073,1,HR,1,100,99.05
1752780477.862580,468289,10196,1,HR,1,100,96.64
1752780478.502583,468929,10296,1,HR,1,100,96.00
1752780479.102586,469529,10399,1,HR,1,100,96.89
1752780479.822590,470249,10521,1,HR,1,100,93.88
1752780480.542594,470969,10638,1,HR,1,100,91.53
1752780481.275598,471702,10757,1,HR,1,100,89.71
1752780481.955602,472382,10878,1,HR,1,100,89.38
1752780482.595605,473022,10996,1,HR,1,100,90.35
1752780483.315609,473742,11122,1,HR,1,100,88.79
1752780483.995613,474422,11225,1,HR,1,100,88.67
1752780484.675617,475102,11343,1,HR,1,100,88.57
1752780485.288620,475715,11448,1,HR,1,100,91.11
1752780485.888623,476315,11549,1,HR,1,100,93.09
1752780486.568627,476995,11672,1,HR,1,100,92.01
1752780487.208631,477635,11773,1,HR,1,100,92.40
1752780487.848634,478275,11875,1,HR,1,100,92.70
1752780488.568638,478995,12001,1,HR,1,100,90.62
1752780489.288642,479715,12135,1,HR,1,100,89.00
1752780490.021646,480448,12255,1,HR,1,100,87.74
1752780490.621649,481048,12359,1,HR,1,100,90.46
1752780491.341653,481768,12477,1,HR,1,100,88.88
1752780492.021657,482448,12598,1,HR,1,100,88.74
1752780492.701661,483128,12703,1,HR,1,100,88.62
1752780493.261664,483688,12809,1,HR,1,100,92.74
1752780493.901667,484328,12914,1,HR,1,100,92.96
1752780494.674672,485101,13034,1,HR,1,100,89.85
1752780495.354675,485781,13153,1,HR,1,100,89.49
