LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752780444.932399,435359.000,4636,1,PR,1,100,70719
1752780444.972400,435399.000,4652,3,PR,1,100,70709
1752780445.012400,435439.000,4652,3,PR,1,100,70711
1752780445.052400,435479.000,4652,3,PR,1,100,70711
1752780445.092400,435519.000,4668,2,PR,1,100,70699
1752780445.132400,435559.000,4668,2,PR,1,100,70699
1752780445.172401,435599.000,4684,3,PR,1,100,70698
1752780445.212401,435639.000,4684,3,PR,1,100,70698
1752780445.252401,435679.000,4684,3,PR,1,100,70692
1752780445.292401,435719.000,4703,2,PR,1,100,70687
1752780445.332402,435759.000,4703,2,PR,1,100,70673
1752780445.372402,435799.000,4719,3,PR,1,100,70693
1752780445.412402,435839.000,4719,3,PR,1,100,70692
1752780445.452402,435879.000,4719,3,PR,1,100,70698
1752780445.492402,435919.000,4738,2,PR,1,100,70711
1752780445.532403,435959.000,4738,2,PR,1,100,70703
1752780445.572403,435999.000,4753,3,PR,1,100,70695
1752780445.612403,436039.000,4753,3,PR,1,100,70702
1752780445.652403,436079.000,4753,3,PR,1,100,70711
1752780445.692404,436119.000,4770,2,PR,1,100,70711
1752780445.732404,436159.000,4770,2,PR,1,100,70714
1752780445.772404,436199.000,4787,3,PR,1,100,70728
1752780445.812404,436239.000,4787,3,PR,1,100,70731
1752780445.852404,436279.000,4787,3,PR,1,100,70722
1752780445.892405,436319.000,4804,2,PR,1,100,70703
1752780445.932405,436359.000,4804,2,PR,1,100,70701
1752780445.972405,436399.000,4818,3,PR,1,100,70705
1752780446.012405,436439.000,4818,3,PR,1,100,70703
1752780446.052406,436479.000,4818,3,PR,1,100,70689
1752780446.092406,436519.000,4838,2,PR,1,100,70710
1752780446.132406,436559.000,4838,2,PR,1,100,70698
1752780446.172406,436599.000,4856,3,PR,1,100,70708
1752780446.212406,436639.000,4856,3,PR,1,100,70704
1752780446.252407,436679.000,4856,3,PR,1,100,70720
1752780446.292407,436719.000,4873,3,PR,1,100,70727
1752780446.332407,436759.000,4873,3,PR,1,100,70740
1752780446.372407,436799.000,4873,3,PR,1,100,70748
1752780446.412407,436839.000,4888,2,PR,1,100,70732
1752780446.452408,436879.000,4888,2,PR,1,100,70717
1752780446.492408,436919.000,4907,3,PR,1,100,70717
1752780446.532408,436959.000,4907,3,PR,1,100,70719
1752780446.572408,436999.000,4907,3,PR,1,100,70705
1752780446.612409,437039.000,4923,2,PR,1,100,70696
1752780446.652409,437079.000,4923,2,PR,1,100,70706
1752780446.692409,437119.000,4940,3,PR,1,100,70706
1752780446.732409,437159.000,4940,3,PR,1,100,70692
1752780446.772409,437199.000,4940,3,PR,1,100,70695
1752780446.812410,437239.000,4955,2,PR,1,100,70706
1752780446.852410,437279.000,4955,2,PR,1,100,70700
1752780446.892410,437319.000,4974,3,PR,1,100,70698
1752780446.932410,437359.000,4974,3,PR,1,100,70725
1752780446.972411,437399.000,4974,3,PR,1,100,70727
1752780447.012411,437439.000,4990,2,PR,1,100,70722
1752780447.052411,437479.000,4990,2,PR,1,100,70728
1752780447.092411,437519.000,5010,3,PR,1,100,70739
1752780447.132411,437559.000,5010,3,PR,1,100,70724
1752780447.172412,437599.000,5010,3,PR,1,100,70748
1752780447.212412,437639.000,5029,2,PR,1,100,70737
1752780447.252412,437679.000,5029,2,PR,1,100,70731
1752780447.292412,437719.000,5046,3,PR,1,100,70723
1752780447.332413,437759.000,5046,3,PR,1,100,70716
1752780447.372413,437799.000,5046,3,PR,1,100,70732
1752780447.412413,437839.000,5063,2,PR,1,100,70718
1752780447.452413,437879.000,5063,2,PR,1,100,70726
1752780447.492413,437919.000,5082,3,PR,1,100,70727
1752780447.532414,437959.000,5082,3,PR,1,100,70733
1752780447.572414,437999.000,5082,3,PR,1,100,70743
1752780447.612414,438039.000,5097,3,PR,1,100,70744
1752780447.652414,438079.000,5097,3,PR,1,100,70739
1752780447.692415,438119.000,5097,3,PR,1,100,70745
1752780447.732415,438159.000,5113,2,PR,1,100,70747
1752780447.772415,438199.000,5113,2,PR,1,100,70759
1752780447.812415,438239.000,5130,3,PR,1,100,70747
1752780447.852415,438279.000,5130,3,PR,1,100,70736
1752780447.892416,438319.000,5130,3,PR,1,100,70741
1752780447.932416,438359.000,5147,2,PR,1,100,70741
1752780447.972416,438399.000,5147,2,PR,1,100,70749
1752780448.012416,438439.000,5165,3,PR,1,100,70730
1752780448.052416,438479.000,5165,3,PR,1,100,70741
1752780448.092417,438519.000,5165,3,PR,1,100,70733
1752780448.132417,438559.000,5181,2,PR,1,100,70733
1752780448.172417,438599.000,5181,2,PR,1,100,70745
1752780448.212417,438639.000,5199,3,PR,1,100,70744
