LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752780444.939399,435366.000,4641,1,TH,1,100,37.946
1752780445.072400,435499.000,4673,1,TH,1,100,37.934
1752780445.206401,435633.000,4689,1,TH,1,100,37.934
1752780445.339402,435766.000,4708,1,TH,1,100,38.025
1752780445.472402,435899.000,4742,1,TH,1,100,38.025
1752780445.606403,436033.000,4758,1,TH,1,100,37.994
1752780445.739404,436166.000,4775,1,TH,1,100,37.994
1752780445.872405,436299.000,4792,1,TH,1,100,37.938
1752780446.006405,436433.000,4823,1,TH,1,100,37.938
1752780446.139406,436566.000,4843,1,TH,1,100,37.917
1752780446.272407,436699.000,4861,1,TH,1,100,37.917
1752780446.405407,436832.000,4893,1,TH,1,100,38.023
1752780446.539408,436966.000,4912,1,TH,1,100,38.023
1752780446.672409,437099.000,4928,1,TH,1,100,38.001
1752780446.805410,437232.000,4960,1,TH,1,100,38.001
1752780446.939410,437366.000,4979,1,TH,1,100,37.987
1752780447.072411,437499.000,4995,1,TH,1,100,37.994
1752780447.205412,437632.000,5034,1,TH,1,100,38.008
1752780447.339413,437766.000,5051,1,TH,1,100,38.008
1752780447.472413,437899.000,5068,1,TH,1,100,37.984
1752780447.605414,438032.000,5101,1,TH,1,100,37.984
1752780447.739415,438166.000,5118,1,TH,1,100,37.979
1752780447.872415,438299.000,5135,1,TH,1,100,37.979
1752780448.005416,438432.000,5152,1,TH,1,100,38.020
1752780448.139417,438566.000,5186,1,TH,1,100,38.020
1752780448.272418,438699.000,5204,1,TH,1,100,38.035
1752780448.405418,438832.000,5221,1,TH,1,100,38.034
1752780448.539419,438966.000,5253,1,TH,1,100,38.094
1752780448.672420,439099.000,5269,1,TH,1,100,38.094
1752780448.805421,439232.000,5289,1,TH,1,100,38.027
1752780448.939421,439366.000,5322,1,TH,1,100,38.034
1752780449.072422,439499.000,5338,1,TH,1,100,38.001
1752780449.205423,439632.000,5356,1,TH,1,100,38.001
1752780449.338424,439765.000,5387,1,TH,1,100,38.023
1752780449.472424,439899.000,5404,1,TH,1,100,38.023
1752780449.605425,440032.000,5423,1,TH,1,100,37.984
1752780449.739426,440166.000,5455,1,TH,1,100,37.984
1752780449.872426,440299.000,5471,1,TH,1,100,38.039
1752780450.005427,440432.000,5488,1,TH,1,100,38.039
1752780450.138428,440565.000,5522,1,TH,1,100,37.940
1752780450.272429,440699.000,5540,1,TH,1,100,37.940
1752780450.405429,440832.000,5557,1,TH,1,100,38.027
1752780450.538430,440965.000,5576,1,TH,1,100,38.027
1752780450.672431,441099.000,5607,1,TH,1,100,37.909
1752780450.805432,441232.000,5625,1,TH,1,100,37.909
1752780450.938432,441365.000,5641,1,TH,1,100,37.931
1752780451.072433,441499.000,5677,1,TH,1,100,37.931
1752780451.205434,441632.000,5694,1,TH,1,100,37.976
1752780451.338434,441765.000,5710,1,TH,1,100,37.976
1752780451.472435,441899.000,5744,1,TH,1,100,37.991
1752780451.605436,442032.000,5761,1,TH,1,100,37.998
1752780451.738437,442165.000,5779,1,TH,1,100,38.015
1752780451.872437,442299.000,5813,1,TH,1,100,38.015
1752780452.005438,442432.000,5830,1,TH,1,100,38.063
1752780452.138439,442565.000,5847,1,TH,1,100,38.063
1752780452.271940,442698.500,5886,2,TH,1,100,37.998
1752780452.405440,442832.000,5886,2,TH,1,100,37.998
1752780452.538441,442965.000,5903,1,TH,1,100,38.041
1752780452.671442,443098.000,5934,1,TH,1,100,38.041
1752780452.805442,443232.000,5952,1,TH,1,100,38.056
1752780452.938443,443365.000,5970,1,TH,1,100,38.056
1752780453.071444,443498.000,6002,1,TH,1,100,38.007
1752780453.205445,443632.000,6021,1,TH,1,100,38.007
1752780453.338445,443765.000,6037,1,TH,1,100,38.027
1752780453.471446,443898.000,6069,1,TH,1,100,38.034
1752780453.605447,444032.000,6086,1,TH,1,100,38.000
1752780453.738448,444165.000,6104,1,TH,1,100,38.000
1752780453.871448,444298.000,6138,1,TH,1,100,38.043
1752780454.005449,444432.000,6155,1,TH,1,100,38.043
1752780454.138450,444565.000,6172,1,TH,1,100,38.062
1752780454.271450,444698.000,6191,1,TH,1,100,38.062
1752780454.405451,444832.000,6223,1,TH,1,100,38.055
1752780454.538452,444965.000,6241,1,TH,1,100,38.055
1752780454.671453,445098.000,6258,1,TH,1,100,38.082
1752780454.805453,445232.000,6290,1,TH,1,100,38.082
1752780454.938454,445365.000,6308,1,TH,1,100,38.027
1752780455.071455,445498.000,6327,1,TH,1,100,38.027
1752780455.205456,445632.000,6359,1,TH,1,100,37.998
1752780455.338456,445765.000,6375,1,TH,1,100,37.998
1752780455.471457,445898.000,6393,1,TH,1,100,38.065
1752780455.605458,446032.000,6426,1,TH,1,100,38.065
1752780455.738459,446165.000,6442,1,TH,1,100,38.038
1752780455.871459,446298.000,6460,1,TH,1,100,38.046
1752780456.004460,446431.000,6493,1,TH,1,100,38.012
1752780456.138461,446565.000,6512,1,TH,1,100,38.012
1752780456.271461,446698.000,6529,1,TH,1,100,38.022
1752780456.404462,446831.000,6561,1,TH,1,100,38.022
1752780456.538463,446965.000,6579,1,TH,1,100,38.062
1752780456.671464,447098.000,6596,1,TH,1,100,38.062
1752780456.804464,447231.000,6615,1,TH,1,100,38.022
1752780456.938465,447365.000,6648,1,TH,1,100,38.022
1752780457.071466,447498.000,6665,1,TH,1,100,38.082
1752780457.204467,447631.000,6684,1,TH,1,100,38.082
1752780457.338467,447765.000,6717,1,TH,1,100,38.120
1752780457.471468,447898.000,6742,1,TH,1,100,38.127
1752780457.604469,448031.000,6762,1,TH,1,100,38.171
1752780457.738469,448165.000,6794,1,TH,1,100,38.171
1752780457.871470,448298.000,6811,1,TH,1,100,38.094
1752780458.004471,448431.000,6827,1,TH,1,100,38.094
1752780458.138472,448565.000,6863,1,TH,1,100,37.980
1752780458.271472,448698.000,6880,1,TH,1,100,37.980
1752780458.404473,448831.000,6896,1,TH,1,100,38.046
1752780458.538474,448965.000,6930,1,TH,1,100,38.046
1752780458.671475,449098.000,6947,1,TH,1,100,38.096
1752780458.804475,449231.000,6966,1,TH,1,100,38.096
1752780458.938476,449365.000,6983,1,TH,1,100,38.130
1752780459.071477,449498.000,7017,1,TH,1,100,38.137
1752780459.204477,449631.000,7033,1,TH,1,100,38.089
1752780459.337478,449764.000,7050,1,TH,1,100,38.089
1752780459.471479,449898.000,7082,1,TH,1,100,38.084
1752780459.604480,450031.000,7100,1,TH,1,100,38.084
1752780459.738480,450165.000,7117,1,TH,1,100,38.125
1752780459.871481,450298.000,7149,1,TH,1,100,38.125
1752780460.004482,450431.000,7165,1,TH,1,100,38.170
1752780460.137483,450564.000,7183,1,TH,1,100,38.170
1752780460.271483,450698.000,7218,1,TH,1,100,38.103
1752780460.404484,450831.000,7234,1,TH,1,100,38.103
1752780460.537485,450964.000,7252,1,TH,1,100,38.120
