LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
0.0,-0.000423902096621601,0.0,-0.002949919125949888,0.0
-7.324442274239325e-06,-0.001225928525650807,3.6622211371196626e-06,-0.00412182988982818,0.008
-9.155552842799156e-06,-0.000619830927457503,4.577776421399578e-06,-0.003420514542069765,0.016
-1.922666096987823e-05,-0.001207617419965209,2.7466658528397473e-06,-0.004210638752403332,0.024
-1.1902218695638903e-05,-0.0010144352549821465,-2.7466658528397473e-06,-0.004075136570329905,0.032
-1.3733329264198735e-05,-0.0004907376323740349,9.155552842799157e-07,-0.003393047883541368,0.04
-8.239997558519242e-06,-0.0003524887844477675,0.0,-0.0033491012298959314,0.048
-6.40888698995941e-06,-0.0006564531388286996,-9.155552842799157e-07,-0.003843501083407086,0.056
0.0,-0.0005291909543137912,0.0,-0.004058656575212866,0.064
-9.155552842799157e-07,-0.0008441419721060823,1.8311105685598313e-06,-0.004712363048188726,0.072
0.0,-0.000857875301370281,0.0,-0.004894558549760429,0.08
9.155552842799157e-07,-0.0008615375225074006,-9.155552842799157e-07,-0.005008087405011139,0.088
0.0,-0.0009421063875240332,0.0,-0.005251625110629597,0.096
1.8311105685598313e-06,-0.0008413953062532425,0.0,-0.005168309579760124,0.104
0.0,-0.0008587908566545609,0.0,-0.005290993987853633,0.112
9.155552842799157e-07,-0.0009384441663869136,0.0,-0.005511642811365092,0.12
9.155552842799157e-07,-0.0008624530777916805,-9.155552842799157e-07,-0.005527207251197851,0.128
9.155552842799157e-07,-0.0010354930265205845,-9.155552842799157e-07,-0.0058897671437726975,0.136
1.8311105685598313e-06,-0.0009567552720725119,0.0,-0.005910824915311135,0.144
9.155552842799157e-07,-0.0010831019013031401,0.0,-0.006179998168889431,0.152
1.8311105685598313e-06,-0.0010583819086275824,-9.155552842799157e-07,-0.006286202581865901,0.16
1.8311105685598313e-06,-0.001129795220801416,-1.8311105685598313e-06,-0.006457411420026245,0.168
1.8311105685598313e-06,-0.0011764885402996918,-9.155552842799157e-07,-0.0067018646809289826,0.176
2.7466658528397473e-06,-0.0012881862849818415,-9.155552842799157e-07,-0.0069829401532029165,0.184
1.8311105685598313e-06,-0.0012652974028748436,-9.155552842799157e-07,-0.007100131229590746,0.192
2.7466658528397473e-06,-0.001335795159764397,-1.8311105685598313e-06,-0.007290566728720969,0.2
2.7466658528397473e-06,-0.0012652974028748436,-2.7466658528397473e-06,-0.007264015625476851,0.208
2.7466658528397473e-06,-0.0014520706808679462,-2.7466658528397473e-06,-0.007704397717215491,0.216
4.577776421399578e-06,-0.0015124973296304208,-1.8311105685598313e-06,-0.007987304300057984,0.224
3.6622211371196626e-06,-0.0015829950865199744,-2.7466658528397473e-06,-0.008222602008117922,0.232
3.6622211371196626e-06,-0.0014850306711020232,-2.7466658528397473e-06,-0.008195135349589525,0.24
3.6622211371196626e-06,-0.001498764000366222,-5.493331705679495e-06,-0.008174993133335367,0.248
4.577776421399578e-06,-0.0016031373027741323,-2.7466658528397473e-06,-0.008604388561662648,0.256
5.493331705679495e-06,-0.0019016083254493848,-2.7466658528397473e-06,-0.00923337504196295,0.264
4.577776421399578e-06,-0.0017899105807672351,-2.7466658528397473e-06,-0.009289223914304024,0.272
4.577776421399578e-06,-0.001757866145817438,-4.577776421399578e-06,-0.009269997253334146,0.28
1.281777397991882e-05,-0.0015472884304330574,-9.155552842799157e-07,-0.008860744041261024,0.288
1.464888454847865e-05,-0.0018649861140781882,-1.1902218695638903e-05,-0.009690237128818627,0.296
