LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752787776.096390,77060.000,10189,2,AK,1,100,9513
1752787776.096390,77060.000,10189,2,AK,1,100,RD
1752787778.658911,79622.500,11036,2,AK,1,100,10190
1752787781.221432,82185.000,11036,2,AK,1,100,RD
1752787781.222932,82186.500,11038,2,AK,1,100,10190
1752787781.224432,82188.000,11038,2,AK,1,100,RD
1752787781.233932,82197.500,11041,2,AK,1,100,11039
1752787781.243432,82207.000,11041,2,AK,1,100,RD
1752787783.786453,84750.000,11896,2,AK,1,100,11039
1752787786.329474,87293.000,11896,2,AK,1,100,RD
1752787786.339474,87303.000,11899,2,AK,1,100,11897
1752787786.349474,87313.000,11899,2,AK,1,100,RD
1752787788.908995,89872.500,12774,2,AK,1,100,11897
1752787791.468516,92432.000,12774,2,AK,1,100,RD
1752787791.475016,92438.500,12777,2,AK,1,100,12775
1752787791.481517,92445.000,12777,2,AK,1,100,RD
1752787794.029038,94992.500,13635,2,AK,1,100,12775
1752787796.576559,97540.000,13635,2,AK,1,100,RD
1752787796.596559,97560.000,13638,2,AK,1,100,13636
1752787796.616559,97580.000,13638,2,AK,1,100,RD
1752787799.151080,100114.500,14494,2,AK,1,100,13636
1752787801.685601,102649.000,14494,2,AK,1,100,RD
1752787804.245122,105208.500,15354,2,AK,1,100,14495
1752787806.804643,107768.000,15354,2,AK,1,100,RD
1752787806.805643,107769.000,15356,2,AK,1,100,14495
1752787806.806643,107770.000,15356,2,AK,1,100,RD
1752787806.812643,107776.000,15359,2,AK,1,100,15357
1752787806.818643,107782.000,15359,2,AK,1,100,RD
1752787809.369164,110332.500,16218,2,AK,1,100,15357
1752787811.919685,112883.000,16218,2,AK,1,100,RD
1752787811.924185,112887.500,16221,2,AK,1,100,16219
1752787811.928685,112892.000,16221,2,AK,1,100,RD
1752787814.491206,115454.500,17098,2,AK,1,100,16219
1752787817.053727,118017.000,17098,2,AK,1,100,RD
1752787817.060727,118024.000,17101,2,AK,1,100,17099
