LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752787774.881380,75845,10062,1,BI,1,100,720
1752787775.481385,76445,10084,1,BI,1,100,600
1752787776.161390,77125,10192,1,BI,1,100,680
1752787776.841396,77805,10309,1,BI,1,100,680
1752787777.521401,78485,10410,1,BI,1,100,680
1752787778.201407,79165,10528,1,BI,1,100,680
1752787778.841412,79805,10631,1,BI,1,100,640
1752787779.521418,80485,10748,1,BI,1,100,680
1752787780.134423,81098,10851,1,BI,1,100,600
1752787780.774428,81738,10950,1,BI,1,100,640
1752787781.454434,82418,11079,1,BI,1,100,680
1752787782.094439,83058,11178,1,BI,1,100,640
1752787782.734444,83698,11297,1,BI,1,100,640
1752787783.334449,84298,11398,1,BI,1,100,600
1752787783.894454,84858,11484,1,BI,1,100,560
1752787784.534459,85498,11585,1,BI,1,100,640
1752787785.187465,86151,11706,1,BI,1,100,640
1752787785.867470,86831,11826,1,BI,1,100,680
1752787786.547476,87511,11936,1,BI,1,100,680
1752787787.187481,88151,12053,1,BI,1,100,640
1752787787.866487,88830,12158,1,BI,1,100,680
1752787788.506492,89470,12274,1,BI,1,100,640
1752787789.186498,90150,12377,1,BI,1,100,680
1752787789.786503,90750,12480,1,BI,1,100,600
1752787790.440508,91404,12599,1,BI,1,100,640
1752787791.080513,92044,12706,1,BI,1,100,640
1752787791.719518,92683,12812,1,BI,1,100,640
1752787792.319523,93283,12914,1,BI,1,100,600
1752787792.919528,93883,13019,1,BI,1,100,600
1752787793.559534,94523,13122,1,BI,1,100,640
1752787794.239539,95203,13243,1,BI,1,100,680
1752787794.892545,95856,13363,1,BI,1,100,640
1752787795.572550,96536,13462,1,BI,1,100,680
1752787796.132555,97096,13565,1,BI,1,100,560
1752787796.772560,97736,13675,1,BI,1,100,640
1752787797.452566,98416,13793,1,BI,1,100,680
1752787798.052571,99016,13895,1,BI,1,100,600
1752787798.612575,99576,13981,1,BI,1,100,560
1752787799.132580,100096,14068,1,BI,1,100,520
1752787799.785585,100749,14185,1,BI,1,100,640
1752787800.305589,101269,14269,1,BI,1,100,520
1752787800.865594,101829,14355,1,BI,1,100,560
1752787801.385598,102349,14460,1,BI,1,100,520
1752787801.945603,102909,14531,1,BI,1,100,560
1752787802.505607,103469,14617,1,BI,1,100,560
1752787803.065612,104029,14720,1,BI,1,100,560
1752787803.625617,104589,14820,1,BI,1,100,560
1752787804.145621,105109,14909,1,BI,1,100,520
1752787804.838627,105802,15012,1,BI,1,100,680
