LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752787775.414384,76378.000,10078,17,GX,1,100,-1.160
1752787775.414384,76378.000,10078,17,GX,1,100,-0.671
1752787775.414384,76378.000,10078,17,GX,1,100,-0.916
1752787775.414384,76378.000,10078,17,GX,1,100,-1.617
1752787775.414384,76378.000,10078,17,GX,1,100,-1.160
1752787775.414384,76378.000,10078,17,GX,1,100,-0.366
1752787775.414384,76378.000,10078,17,GX,1,100,0.183
1752787775.414384,76378.000,10078,17,GX,1,100,-0.458
1752787775.414384,76378.000,10078,17,GX,1,100,-1.434
1752787775.414384,76378.000,10078,17,GX,1,100,-1.709
1752787775.414384,76378.000,10078,17,GX,1,100,-0.824
1752787775.414384,76378.000,10078,17,GX,1,100,-0.732
1752787775.414384,76378.000,10078,17,GX,1,100,-1.129
1752787775.414384,76378.000,10078,17,GX,1,100,-1.465
1752787775.414384,76378.000,10078,17,GX,1,100,-0.885
1752787775.414384,76378.000,10078,17,GX,1,100,-0.397
1752787775.414384,76378.000,10078,17,GX,1,100,-0.244
1752787775.454384,76418.000,10098,3,GX,1,100,-0.427
1752787775.494385,76458.000,10098,3,GX,1,100,-0.275
1752787775.534385,76498.000,10098,3,GX,1,100,-0.366
1752787775.574385,76538.000,10114,1,GX,1,100,-0.275
1752787775.614386,76578.000,10131,3,GX,1,100,-0.092
1752787775.654386,76618.000,10131,3,GX,1,100,-0.061
1752787775.694386,76658.000,10131,3,GX,1,100,0.092
1752787775.734387,76698.000,10148,2,GX,1,100,-0.031
1752787775.774387,76738.000,10148,2,GX,1,100,-0.580
1752787775.814387,76778.000,10162,3,GX,1,100,-0.427
1752787775.854388,76818.000,10162,3,GX,1,100,-0.549
1752787775.894388,76858.000,10162,3,GX,1,100,-0.336
1752787775.934388,76898.000,10180,2,GX,1,100,-0.031
1752787775.974389,76938.000,10180,2,GX,1,100,-0.305
1752787776.012222,76975.833,10204,6,GX,1,100,-0.702
1752787776.050056,77013.667,10204,6,GX,1,100,-0.580
1752787776.087890,77051.500,10204,6,GX,1,100,-0.519
1752787776.125723,77089.333,10204,6,GX,1,100,-0.763
1752787776.163557,77127.167,10204,6,GX,1,100,-0.763
1752787776.201391,77165.000,10204,6,GX,1,100,-0.122
1752787776.241391,77205.000,10223,2,GX,1,100,-0.092
1752787776.281391,77245.000,10223,2,GX,1,100,-0.549
1752787776.321392,77285.000,10238,3,GX,1,100,-0.183
1752787776.361392,77325.000,10238,3,GX,1,100,-0.122
1752787776.401392,77365.000,10238,3,GX,1,100,-1.007
1752787776.441393,77405.000,10254,2,GX,1,100,-0.366
1752787776.481393,77445.000,10254,2,GX,1,100,-0.214
1752787776.521393,77485.000,10271,3,GX,1,100,-0.946
1752787776.561394,77525.000,10271,3,GX,1,100,-2.197
1752787776.601394,77565.000,10271,3,GX,1,100,-3.174
1752787776.641394,77605.000,10288,2,GX,1,100,-4.852
1752787776.681395,77645.000,10288,2,GX,1,100,-7.294
1752787776.721395,77685.000,10303,3,GX,1,100,-9.827
1752787776.761395,77725.000,10303,3,GX,1,100,-12.543
1752787776.801396,77765.000,10303,3,GX,1,100,-12.421
1752787776.841396,77805.000,10321,3,GX,1,100,-11.047
1752787776.881396,77845.000,10321,3,GX,1,100,-10.986
1752787776.921397,77885.000,10321,3,GX,1,100,-9.796
1752787776.961397,77925.000,10339,2,GX,1,100,-7.751
1752787777.001397,77965.000,10339,2,GX,1,100,-5.554
1752787777.041397,78005.000,10355,3,GX,1,100,-4.242
1752787777.081398,78045.000,10355,3,GX,1,100,-5.066
1752787777.121398,78085.000,10355,3,GX,1,100,-6.012
1752787777.161398,78125.000,10370,2,GX,1,100,-5.981
1752787777.201399,78165.000,10370,2,GX,1,100,-5.432
1752787777.241399,78205.000,10387,3,GX,1,100,-4.578
1752787777.281399,78245.000,10387,3,GX,1,100,-3.876
1752787777.321400,78285.000,10387,3,GX,1,100,-4.852
1752787777.361400,78325.000,10404,2,GX,1,100,-6.195
1752787777.401400,78365.000,10404,2,GX,1,100,-6.897
1752787777.441401,78405.000,10422,3,GX,1,100,-6.561
1752787777.481401,78445.000,10422,3,GX,1,100,-5.737
1752787777.521401,78485.000,10422,3,GX,1,100,-5.615
1752787777.561402,78525.000,10437,2,GX,1,100,-5.524
1752787777.601402,78565.000,10437,2,GX,1,100,-5.646
1752787777.641402,78605.000,10456,3,GX,1,100,-5.371
1752787777.681403,78645.000,10456,3,GX,1,100,-3.265
1752787777.721403,78685.000,10456,3,GX,1,100,-0.977
1752787777.761403,78725.000,10473,2,GX,1,100,0.885
1752787777.801404,78765.000,10473,2,GX,1,100,1.556
1752787777.841404,78805.000,10489,3,GX,1,100,1.099
1752787777.881404,78845.000,10489,3,GX,1,100,0.397
1752787777.921405,78885.000,10489,3,GX,1,100,-0.366
1752787777.961405,78925.000,10506,2,GX,1,100,-0.702
1752787778.001405,78965.000,10506,2,GX,1,100,-0.763
1752787778.041406,79005.000,10521,3,GX,1,100,-0.244
1752787778.081406,79045.000,10521,3,GX,1,100,-0.366
1752787778.121406,79085.000,10521,3,GX,1,100,-1.007
1752787778.161407,79125.000,10540,2,GX,1,100,-0.397
1752787778.201407,79165.000,10540,2,GX,1,100,0.793
