LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752787775.401384,76365.000,10069,17,PR,1,100,55817
1752787775.401384,76365.000,10069,17,PR,1,100,55818
1752787775.401384,76365.000,10069,17,PR,1,100,55811
1752787775.401384,76365.000,10069,17,PR,1,100,55835
1752787775.401384,76365.000,10069,17,PR,1,100,55850
1752787775.401384,76365.000,10069,17,PR,1,100,55831
1752787775.401384,76365.000,10069,17,PR,1,100,55843
1752787775.401384,76365.000,10069,17,PR,1,100,55852
1752787775.401384,76365.000,10069,17,PR,1,100,55858
1752787775.401384,76365.000,10069,17,PR,1,100,55882
1752787775.401384,76365.000,10069,17,PR,1,100,55881
1752787775.401384,76365.000,10069,17,PR,1,100,55896
1752787775.401384,76365.000,10069,17,PR,1,100,55876
1752787775.401384,76365.000,10069,17,PR,1,100,55874
1752787775.401384,76365.000,10069,17,PR,1,100,55876
1752787775.401384,76365.000,10069,17,PR,1,100,55893
1752787775.401384,76365.000,10069,17,PR,1,100,55901
1752787775.441384,76405.000,10089,3,PR,1,100,55895
1752787775.481385,76445.000,10089,3,PR,1,100,55910
1752787775.521385,76485.000,10089,3,PR,1,100,55922
1752787775.561385,76525.000,10107,1,PR,1,100,55926
1752787775.601386,76565.000,10122,3,PR,1,100,55924
1752787775.641386,76605.000,10122,3,PR,1,100,55932
1752787775.681386,76645.000,10122,3,PR,1,100,55944
1752787775.721387,76685.000,10139,2,PR,1,100,55958
1752787775.761387,76725.000,10139,2,PR,1,100,55957
1752787775.801387,76765.000,10155,3,PR,1,100,55974
1752787775.841388,76805.000,10155,3,PR,1,100,55965
1752787775.881388,76845.000,10155,3,PR,1,100,55958
1752787775.921388,76885.000,10171,2,PR,1,100,55955
1752787775.961389,76925.000,10171,2,PR,1,100,55955
1752787776.001389,76965.000,10195,6,PR,1,100,55953
1752787776.041389,77005.000,10195,6,PR,1,100,55950
1752787776.081390,77045.000,10195,6,PR,1,100,55948
1752787776.121390,77085.000,10195,6,PR,1,100,55945
1752787776.161390,77125.000,10195,6,PR,1,100,55957
1752787776.201391,77165.000,10195,6,PR,1,100,55939
1752787776.241391,77205.000,10214,2,PR,1,100,55930
1752787776.281391,77245.000,10214,2,PR,1,100,55926
1752787776.321392,77285.000,10231,3,PR,1,100,55952
1752787776.361392,77325.000,10231,3,PR,1,100,55929
1752787776.401392,77365.000,10231,3,PR,1,100,55967
1752787776.441393,77405.000,10245,2,PR,1,100,55971
1752787776.481393,77445.000,10245,2,PR,1,100,55939
1752787776.521393,77485.000,10262,3,PR,1,100,55919
1752787776.561394,77525.000,10262,3,PR,1,100,55919
1752787776.601394,77565.000,10262,3,PR,1,100,55922
1752787776.641394,77605.000,10279,2,PR,1,100,55920
1752787776.681395,77645.000,10279,2,PR,1,100,55926
1752787776.721395,77685.000,10296,3,PR,1,100,55954
1752787776.761395,77725.000,10296,3,PR,1,100,55958
1752787776.801396,77765.000,10296,3,PR,1,100,55958
1752787776.841396,77805.000,10312,2,PR,1,100,55951
1752787776.881396,77845.000,10312,2,PR,1,100,55949
1752787776.921397,77885.000,10330,3,PR,1,100,55944
1752787776.961397,77925.000,10330,3,PR,1,100,55972
1752787777.001397,77965.000,10330,3,PR,1,100,55975
1752787777.041397,78005.000,10346,3,PR,1,100,55972
1752787777.081398,78045.000,10346,3,PR,1,100,55984
1752787777.121398,78085.000,10346,3,PR,1,100,55978
1752787777.161398,78125.000,10363,2,PR,1,100,55954
1752787777.201399,78165.000,10363,2,PR,1,100,55944
1752787777.241399,78205.000,10378,3,PR,1,100,55953
1752787777.281399,78245.000,10378,3,PR,1,100,55948
1752787777.321400,78285.000,10378,3,PR,1,100,55922
1752787777.361400,78325.000,10395,2,PR,1,100,55969
1752787777.401400,78365.000,10395,2,PR,1,100,55960
1752787777.441401,78405.000,10413,3,PR,1,100,55950
1752787777.481401,78445.000,10413,3,PR,1,100,55957
1752787777.521401,78485.000,10413,3,PR,1,100,55959
1752787777.561402,78525.000,10430,2,PR,1,100,55975
1752787777.601402,78565.000,10430,2,PR,1,100,55981
1752787777.641402,78605.000,10447,3,PR,1,100,55985
1752787777.681403,78645.000,10447,3,PR,1,100,55986
1752787777.721403,78685.000,10447,3,PR,1,100,55985
1752787777.761403,78725.000,10464,2,PR,1,100,55990
1752787777.801404,78765.000,10464,2,PR,1,100,55972
1752787777.841404,78805.000,10480,3,PR,1,100,55963
1752787777.881404,78845.000,10480,3,PR,1,100,55982
1752787777.921405,78885.000,10480,3,PR,1,100,55974
1752787777.961405,78925.000,10498,2,PR,1,100,55966
1752787778.001405,78965.000,10498,2,PR,1,100,55984
1752787778.041406,79005.000,10513,3,PR,1,100,55991
1752787778.081406,79045.000,10513,3,PR,1,100,55981
1752787778.121406,79085.000,10513,3,PR,1,100,55982
1752787778.161407,79125.000,10531,2,PR,1,100,55986
1752787778.201407,79165.000,10531,2,PR,1,100,55996
1752787778.241407,79205.000,10550,3,PR,1,100,56021
1752787778.281408,79245.000,10550,3,PR,1,100,56025
1752787778.321408,79285.000,10550,3,PR,1,100,56026
1752787778.361408,79325.000,10567,3,PR,1,100,56030
1752787778.401409,79365.000,10567,3,PR,1,100,56026
1752787778.441409,79405.000,10567,3,PR,1,100,56025
1752787778.481409,79445.000,10583,2,PR,1,100,56036
1752787778.521410,79485.000,10583,2,PR,1,100,56022
1752787778.561410,79525.000,10599,3,PR,1,100,56008
1752787778.601410,79565.000,10599,3,PR,1,100,56019
1752787778.641411,79605.000,10599,3,PR,1,100,56016
1752787778.681411,79645.000,10615,2,PR,1,100,56010
1752787778.721411,79685.000,10615,2,PR,1,100,56005
1752787778.761412,79725.000,10634,3,PR,1,100,55995
1752787778.801412,79765.000,10634,3,PR,1,100,56014
1752787778.841412,79805.000,10634,3,PR,1,100,56020
1752787778.881413,79845.000,10650,2,PR,1,100,56017
1752787778.921413,79885.000,10650,2,PR,1,100,56011
1752787778.961413,79925.000,10666,3,PR,1,100,56026
1752787779.001414,79965.000,10666,3,PR,1,100,56025
1752787779.041414,80005.000,10666,3,PR,1,100,56011
1752787779.081414,80045.000,10682,2,PR,1,100,56020
1752787779.121415,80085.000,10682,2,PR,1,100,56019
1752787779.161415,80125.000,10699,3,PR,1,100,56003
1752787779.201415,80165.000,10699,3,PR,1,100,56040
1752787779.241416,80205.000,10699,3,PR,1,100,56028
