LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752787775.373384,76337.000,10064,1,SF,1,100,15.6018
1752787775.373384,76337.000,10067,1,SF,1,100,17.5036
1752787775.640386,76604.000,10120,1,SF,1,100,19.3833
1752787775.973389,76937.000,10169,1,SF,1,100,19.1591
1752787776.306391,77270.000,10212,1,SF,1,100,21.0197
1752787776.706395,77670.000,10277,1,SF,1,100,20.7766
1752787776.973397,77937.000,10328,1,SF,1,100,20.5362
1752787777.306400,78270.000,10376,1,SF,1,100,20.2987
1752787777.706403,78670.000,10445,1,SF,1,100,22.1461
1752787777.973405,78937.000,10496,1,SF,1,100,21.8899
1752787778.306408,79270.000,10548,1,SF,1,100,23.7189
1752787778.639411,79603.000,10597,1,SF,1,100,23.4446
1752787779.039414,80003.000,10664,1,SF,1,100,23.1734
1752787779.306416,80270.000,10714,1,SF,1,100,22.9053
1752787779.639419,80603.000,10767,1,SF,1,100,24.7226
1752787780.039422,81003.000,10834,1,SF,1,100,26.5188
1752787780.306424,81270.000,10884,1,SF,1,100,26.2121
1752787780.639427,81603.000,10935,1,SF,1,100,25.9088
1752787780.973430,81937.000,10985,1,SF,1,100,25.6091
1752787781.373433,82337.000,11059,1,SF,1,100,25.3129
1752787781.639435,82603.000,11112,1,SF,1,100,27.1023
1752787781.973438,82937.000,11160,1,SF,1,100,26.7888
1752787782.372441,83336.000,11228,1,SF,1,100,26.4789
1752787782.706444,83670.000,11280,1,SF,1,100,28.2548
1752787782.972446,83936.000,11330,1,SF,1,100,27.9280
1752787783.306449,84270.000,11381,1,SF,1,100,29.6872
1752787783.706452,84670.000,11450,1,SF,1,100,31.4260
1752787783.972455,84936.000,11504,1,SF,1,100,33.1447
1752787784.306457,85270.000,11553,1,SF,1,100,32.7613
1752787784.706461,85670.000,11622,1,SF,1,100,34.4645
1752787785.039463,86003.000,11670,1,SF,1,100,34.0659
1752787785.305466,86269.000,11725,1,SF,1,100,35.7540
1752787785.639468,86603.000,11775,1,SF,1,100,37.4227
1752787786.039472,87003.000,11846,1,SF,1,100,39.0720
1752787786.306474,87270.000,11900,1,SF,1,100,38.6200
1752787786.639477,87603.000,11954,1,SF,1,100,42.3378
1752787787.039480,88003.000,12020,1,SF,1,100,41.8480
1752787787.372483,88336.000,12074,1,SF,1,100,43.4462
1752787787.639485,88603.000,12122,1,SF,1,100,42.9436
1752787787.972488,88936.000,12175,1,SF,1,100,44.5291
1752787788.372491,89336.000,12240,1,SF,1,100,44.0139
1752787788.639493,89603.000,12294,1,SF,1,100,45.5870
1752787788.972496,89936.000,12345,1,SF,1,100,47.1419
1752787789.372499,90336.000,12414,1,SF,1,100,48.6789
1752787789.705502,90669.000,12462,1,SF,1,100,48.1157
1752787789.972504,90936.000,12517,1,SF,1,100,49.6414
1752787790.305507,91269.000,12567,1,SF,1,100,51.1494
1752787790.705510,91669.000,12636,1,SF,1,100,52.6399
1752787790.972512,91936.000,12687,1,SF,1,100,54.1132
1752787791.305515,92269.000,12739,1,SF,1,100,53.4873
1752787791.705518,92669.000,12814,1,SF,1,100,54.9508
1752787792.038521,93002.000,12864,1,SF,1,100,54.3151
1752787792.305523,93269.000,12916,1,SF,1,100,55.7690
1752787792.638526,93602.000,12967,1,SF,1,100,57.2061
1752787793.038529,94002.000,13036,1,SF,1,100,58.6266
1752787793.305532,94269.000,13088,1,SF,1,100,60.0307
1752787793.638534,94602.000,13141,1,SF,1,100,61.4185
1752787794.038538,95002.000,13210,1,SF,1,100,64.8725
1752787794.371540,95335.000,13260,1,SF,1,100,64.1220
1752787794.638543,95602.000,13313,1,SF,1,100,65.4625
1752787794.971545,95935.000,13365,1,SF,1,100,66.7875
1752787795.371549,96335.000,13430,1,SF,1,100,66.0149
1752787795.638551,96602.000,13481,1,SF,1,100,65.2512
1752787795.971554,96935.000,13529,1,SF,1,100,64.4964
1752787796.371557,97335.000,13601,1,SF,1,100,65.8326
1752787796.704560,97668.000,13658,1,SF,1,100,67.1533
1752787796.971562,97935.000,13710,1,SF,1,100,68.4587
1752787797.304565,98268.000,13759,1,SF,1,100,67.6667
1752787797.704568,98668.000,13829,1,SF,1,100,68.9662
1752787797.971570,98935.000,13878,1,SF,1,100,68.1684
1752787798.304573,99268.000,13931,1,SF,1,100,69.4621
1752787798.637576,99601.000,13985,1,SF,1,100,72.8231
1752787799.037579,100001.000,14050,1,SF,1,100,71.9806
1752787799.304581,100268.000,14103,1,SF,1,100,71.1480
1752787799.637584,100601.000,14153,1,SF,1,100,72.4072
1752787800.037587,101001.000,14220,1,SF,1,100,71.5696
1752787800.304589,101268.000,14271,1,SF,1,100,70.7416
1752787800.637592,101601.000,14323,1,SF,1,100,72.0055
1752787800.971595,101935.000,14374,1,SF,1,100,71.1726
1752787801.371598,102335.000,14443,1,SF,1,100,72.4315
1752787801.770601,102734.000,14497,1,SF,1,100,71.5936
1752787801.970603,102934.000,14533,1,SF,1,100,72.8477
1752787802.370606,103334.000,14599,1,SF,1,100,72.0050
1752787802.704609,103668.000,14652,1,SF,1,100,73.2543
1752787802.970611,103934.000,14703,1,SF,1,100,74.4891
1752787803.304614,104268.000,14755,1,SF,1,100,75.7097
1752787803.704617,104668.000,14822,1,SF,1,100,74.8338
1752787803.970619,104934.000,14875,1,SF,1,100,76.0504
1752787804.304622,105268.000,14927,1,SF,1,100,77.2529
1752787804.704626,105668.000,14994,1,SF,1,100,78.4415
1752787805.037628,106001.000,15047,1,SF,1,100,79.6163
1752787805.304630,106268.000,15097,1,SF,1,100,78.6953
1752787805.637633,106601.000,15148,1,SF,1,100,77.7850
1752787806.037637,107001.000,15217,1,SF,1,100,76.8851
1752787806.303639,107267.000,15267,1,SF,1,100,78.0780
1752787806.637641,107601.000,15321,1,SF,1,100,79.2570
1752787807.037645,108001.000,15395,1,SF,1,100,80.4224
1752787807.370648,108334.000,15448,1,SF,1,100,81.5743
1752787807.637650,108601.000,15497,1,SF,1,100,80.6307
1752787807.970652,108934.000,15549,1,SF,1,100,81.7802
1752787808.370656,109334.000,15618,1,SF,1,100,82.9164
1752787808.637658,109601.000,15669,1,SF,1,100,81.9572
1752787808.970661,109934.000,15721,1,SF,1,100,83.0914
1752787809.370664,110334.000,15788,1,SF,1,100,84.2124
1752787809.703667,110667.000,15841,1,SF,1,100,85.3205
1752787809.970669,110934.000,15891,1,SF,1,100,84.3335
1752787810.303672,111267.000,15944,1,SF,1,100,85.4402
1752787810.703675,111667.000,16009,1,SF,1,100,84.4518
1752787810.970677,111934.000,16059,1,SF,1,100,83.4749
1752787811.303680,112267.000,16112,1,SF,1,100,84.5915
1752787811.636683,112600.000,16166,1,SF,1,100,85.6952
1752787812.036686,113000.000,16240,1,SF,1,100,86.7861
1752787812.303688,113267.000,16291,1,SF,1,100,87.8644
1752787812.636691,113600.000,16343,1,SF,1,100,88.9303
1752787813.036694,114000.000,16408,1,SF,1,100,87.9015
1752787813.303696,114267.000,16463,1,SF,1,100,88.9669
1752787813.636699,114600.000,16513,1,SF,1,100,90.0200
1752787813.969702,114933.000,16566,1,SF,1,100,91.0609
1752787814.369705,115333.000,16631,1,SF,1,100,90.0075
1752787814.636707,115600.000,16685,1,SF,1,100,91.0485
1752787814.969710,115933.000,16734,1,SF,1,100,89.9953
1752787815.369713,116333.000,16805,1,SF,1,100,93.1187
1752787815.636716,116600.000,16855,1,SF,1,100,94.1237
1752787815.969718,116933.000,16907,1,SF,1,100,93.0349
1752787816.302721,117266.000,16958,1,SF,1,100,91.9587
1752787816.702724,117666.000,17027,1,SF,1,100,92.9772
1752787816.969727,117933.000,17080,1,SF,1,100,96.0661
1752787817.302729,118266.000,17135,1,SF,1,100,94.9548
1752787817.702733,118666.000,17200,1,SF,1,100,93.8564
1752787817.969735,118933.000,17255,1,SF,1,100,94.8529
1752787818.302738,119266.000,17305,1,SF,1,100,95.8379
1752787818.635740,119599.000,17358,1,SF,1,100,96.8114
1752787819.035744,119999.000,17425,1,SF,1,100,95.6915
1752787819.302746,120266.000,17475,1,SF,1,100,94.5846
1752787819.635749,120599.000,17528,1,SF,1,100,95.5727
1752787820.035752,120999.000,17593,1,SF,1,100,94.4671
1752787820.302754,121266.000,17645,1,SF,1,100,95.4565
1752787820.635757,121599.000,17695,1,SF,1,100,94.3523
1752787820.969760,121933.000,17748,1,SF,1,100,95.3430
1752787821.369763,122333.000,17815,1,SF,1,100,94.2401
1752787821.635765,122599.000,17868,1,SF,1,100,95.2322
1752787821.968768,122932.000,17918,1,SF,1,100,96.2128
1752787822.368771,123332.000,17992,1,SF,1,100,97.1820
1752787822.635773,123599.000,18045,1,SF,1,100,98.1401
1752787822.968776,123932.000,18099,1,SF,1,100,101.1693
1752787823.302779,124266.000,18150,1,SF,1,100,102.0812
1752787823.702782,124666.000,18217,1,SF,1,100,100.9003
1752787823.968784,124932.000,18267,1,SF,1,100,99.7331
1752787824.302787,125266.000,18322,1,SF,1,100,102.7439
1752787824.702790,125666.000,18387,1,SF,1,100,101.5553
1752787824.968793,125932.000,18441,1,SF,1,100,104.5451
1752787825.301795,126265.000,18494,1,SF,1,100,105.4179
1752787825.635798,126599.000,18546,1,SF,1,100,106.2807
1752787826.035801,126999.000,18613,1,SF,1,100,105.0512
1752787826.301804,127265.000,18668,1,SF,1,100,108.0005
1752787826.635806,127599.000,18716,1,SF,1,100,106.7511
1752787827.035810,127999.000,18785,1,SF,1,100,107.5985
1752787827.301812,128265.000,18841,1,SF,1,100,106.3538
1752787827.635815,128599.000,18895,1,SF,1,100,109.2880
1752787827.968817,128932.000,18946,1,SF,1,100,110.1060
1752787828.368821,129332.000,19015,1,SF,1,100,110.9145
1752787828.635823,129599.000,19069,1,SF,1,100,111.7137
1752787828.968826,129932.000,19120,1,SF,1,100,112.5036
1752787829.368829,130332.000,19187,1,SF,1,100,111.2022
1752787829.701832,130665.000,19237,1,SF,1,100,111.9981
1752787829.968834,130932.000,19292,1,SF,1,100,112.7847
1752787830.301837,131265.000,19342,1,SF,1,100,113.5623
1752787830.701840,131665.000,19411,1,SF,1,100,114.3308
1752787830.968842,131932.000,19462,1,SF,1,100,115.0905
1752787831.301845,132265.000,19514,1,SF,1,100,113.7591
1752787831.634848,132598.000,19567,1,SF,1,100,114.5254
1752787832.034851,132998.000,19636,1,SF,1,100,115.2828
1752787832.301853,133265.000,19686,1,SF,1,100,116.0314
1752787832.634856,133598.000,19744,1,SF,1,100,116.7714
1752787833.034859,133998.000,19811,1,SF,1,100,115.4206
1752787833.301861,134265.000,19863,1,SF,1,100,116.1677
1752787833.634864,134598.000,19918,1,SF,1,100,118.9883
1752787834.034867,134998.000,19983,1,SF,1,100,117.6119
1752787834.367870,135331.000,20035,1,SF,1,100,118.3336
1752787834.634872,135598.000,20088,1,SF,1,100,119.0470
1752787834.967875,135931.000,20140,1,SF,1,100,119.7521
1752787835.367878,136331.000,20205,1,SF,1,100,118.3668
1752787835.634881,136598.000,20260,1,SF,1,100,121.1620
1752787835.967883,136931.000,20311,1,SF,1,100,121.8426
1752787836.367887,137331.000,20382,1,SF,1,100,122.5154
1752787836.700889,137664.000,20432,1,SF,1,100,121.0981
1752787836.967892,137931.000,20484,1,SF,1,100,121.7795
1752787837.300894,138264.000,20535,1,SF,1,100,122.4530
1752787837.700898,138664.000,20607,1,SF,1,100,121.0365
1752787837.967900,138931.000,20659,1,SF,1,100,121.7186
1752787838.300902,139264.000,20710,1,SF,1,100,120.3105
1752787838.700906,139664.000,20777,1,SF,1,100,118.9187
1752787839.033909,139997.000,20827,1,SF,1,100,119.6253
1752787839.300911,140264.000,20880,1,SF,1,100,120.3238
1752787839.633913,140597.000,20930,1,SF,1,100,118.9318
1752787840.033917,140997.000,20997,1,SF,1,100,117.5560
1752787840.300919,141264.000,21046,1,SF,1,100,116.1961
1752787840.633922,141597.000,21099,1,SF,1,100,116.9342
1752787841.033925,141997.000,21168,1,SF,1,100,117.6638
1752787841.367928,142331.000,21222,1,SF,1,100,118.3849
1752787841.633930,142597.000,21272,1,SF,1,100,119.0976
1752787841.966933,142930.000,21327,1,SF,1,100,121.8844
1752787842.366936,143330.000,21394,1,SF,1,100,120.4745
1752787842.633938,143597.000,21453,1,SF,1,100,123.2453
1752787842.966941,143930.000,21506,1,SF,1,100,123.9018
1752787843.300944,144264.000,21556,1,SF,1,100,124.5508
1752787843.700947,144664.000,21625,1,SF,1,100,125.1922
1752787843.966949,144930.000,21678,1,SF,1,100,125.8263
1752787844.300952,145264.000,21730,1,SF,1,100,126.4529
1752787844.700955,145664.000,21795,1,SF,1,100,124.9901
1752787844.966957,145930.000,21848,1,SF,1,100,125.6265
1752787845.299960,146263.000,21899,1,SF,1,100,126.2555
1752787845.633963,146597.000,21953,1,SF,1,100,126.8772
1752787846.033966,146997.000,22024,1,SF,1,100,127.4917
1752787846.299968,147263.000,22074,1,SF,1,100,128.0992
1752787846.633971,147597.000,22127,1,SF,1,100,128.6996
1752787847.033974,147997.000,22192,1,SF,1,100,127.2107
1752787847.299977,148263.000,22246,1,SF,1,100,127.8214
1752787847.633979,148597.000,22295,1,SF,1,100,126.3428
1752787847.966982,148930.000,22354,1,SF,1,100,129.0457
1752787848.366985,149330.000,22419,1,SF,1,100,127.5529
1752787848.632988,149596.000,22474,1,SF,1,100,128.1596
1752787848.966990,149930.000,22522,1,SF,1,100,126.6771
1752787849.366994,150330.000,22591,1,SF,1,100,127.2939
1752787849.632996,150596.000,22644,1,SF,1,100,127.9036
1752787849.966999,150930.000,22695,1,SF,1,100,128.5063
1752787850.300001,151263.000,22747,1,SF,1,100,127.0197
1752787850.700005,151663.000,22814,1,SF,1,100,127.6326
1752787850.967007,151930.000,22864,1,SF,1,100,126.1561
1752787851.300010,152263.000,22917,1,SF,1,100,126.7790
1752787851.700013,152663.000,22986,1,SF,1,100,127.3947
1752787851.967015,152930.000,23038,1,SF,1,100,128.0032
1752787852.300018,153263.000,23089,1,SF,1,100,126.5225
1752787852.633021,153596.000,23139,1,SF,1,100,127.1411
1752787853.033024,153996.000,23213,1,SF,1,100,127.7526
1752787853.300026,154263.000,23268,1,SF,1,100,128.3570
1752787853.633029,154596.000,23318,1,SF,1,100,128.9544
1752787854.033032,154996.000,23387,1,SF,1,100,129.5449
1752787854.300034,155263.000,23438,1,SF,1,100,130.1285
1752787854.633037,155596.000,23492,1,SF,1,100,130.7054
1752787854.966040,155929.000,23545,1,SF,1,100,133.3579
1752787855.366043,156329.000,23614,1,SF,1,100,133.8975
1752787855.633045,156596.000,23664,1,SF,1,100,134.4308
1752787855.966048,156929.000,23715,1,SF,1,100,132.8757
1752787856.366051,157329.000,23786,1,SF,1,100,135.5031
1752787856.633054,157596.000,23838,1,SF,1,100,133.9356
1752787856.966056,157929.000,23889,1,SF,1,100,134.4685
1752787857.299059,158262.000,23941,1,SF,1,100,134.9952
1752787857.699062,158662.000,24008,1,SF,1,100,133.4335
1752787857.966065,158929.000,24061,1,SF,1,100,133.9722
1752787858.299067,159262.000,24118,1,SF,1,100,134.5047
1752787858.699071,159662.000,24183,1,SF,1,100,132.9487
1752787858.966073,159929.000,24236,1,SF,1,100,133.4930
1752787859.299076,160262.000,24286,1,SF,1,100,131.9488
1752787859.632078,160595.000,24339,1,SF,1,100,132.5046
1752787860.033082,160996.000,24390,1,SF,1,100,133.0540
1752787860.699087,161662.000,24412,1,SF,1,100,133.5971
1752787860.699087,161662.000,24413,1,SF,1,100,132.0517
1752787862.099099,163062.000,24437,1,SF,1,100,132.6063
1752787862.099099,163062.000,24438,1,SF,1,100,131.0723
1752787862.099099,163062.000,24439,1,SF,1,100,129.5561
1752787862.099099,163062.000,24442,1,SF,1,100,130.1396
1752787863.099107,164062.000,24468,1,SF,1,100,130.7164
1752787863.099107,164062.000,24469,1,SF,1,100,129.2043
1752787863.099107,164062.000,24472,1,SF,1,100,129.7919
1752787863.299109,164262.000,24497,1,SF,1,100,130.3727
1752787863.632111,164595.000,24551,1,SF,1,100,130.9468
1752787864.032115,164995.000,24616,1,SF,1,100,129.4320
1752787864.299117,165262.000,24669,1,SF,1,100,130.0170
1752787864.632120,165595.000,24719,1,SF,1,100,128.5129
1752787865.032123,165995.000,24787,1,SF,1,100,129.1085
1752787865.365126,166328.000,24839,1,SF,1,100,127.6150
1752787865.632128,166595.000,24889,1,SF,1,100,128.2210
1752787865.965131,166928.000,24942,1,SF,1,100,128.8200
1752787866.365134,167328.000,25009,1,SF,1,100,127.3298
1752787866.632136,167595.000,25063,1,SF,1,100,127.9391
1752787866.965139,167928.000,25114,1,SF,1,100,128.5413
1752787867.365142,168328.000,25183,1,SF,1,100,129.1366
1752787867.698145,168661.000,25231,1,SF,1,100,127.6427
1752787867.965147,168928.000,25286,1,SF,1,100,128.2484
1752787868.298150,169261.000,25336,1,SF,1,100,128.8470
1752787868.698153,169661.000,25408,1,SF,1,100,127.3565
1752787868.965155,169928.000,25459,1,SF,1,100,127.9655
1752787869.298158,170261.000,25509,1,SF,1,100,126.4852
1752787869.698161,170661.000,25577,1,SF,1,100,127.1043
1752787870.031164,170994.000,25631,1,SF,1,100,127.7162
1752787870.298166,171261.000,25681,1,SF,1,100,128.3210
1752787870.631169,171594.000,25734,1,SF,1,100,128.9188
1752787871.031172,171994.000,25801,1,SF,1,100,127.4275
1752787871.298175,172261.000,25855,1,SF,1,100,128.0356
1752787871.631177,172594.000,25906,1,SF,1,100,128.6367
1752787872.031181,172994.000,25973,1,SF,1,100,127.1487
1752787872.364183,173327.000,26023,1,SF,1,100,127.7601
1752787872.631185,173594.000,26076,1,SF,1,100,126.2821
1752787872.964188,173927.000,26126,1,SF,1,100,126.9035
1752787873.364192,174327.000,26195,1,SF,1,100,127.5178
1752787873.631194,174594.000,26251,1,SF,1,100,128.1249
1752787873.964196,174927.000,26301,1,SF,1,100,126.6427
1752787874.364200,175327.000,26371,1,SF,1,100,127.2600
1752787874.698203,175661.000,26423,1,SF,1,100,127.8701
1752787874.964205,175927.000,26475,1,SF,1,100,128.4731
1752787875.297207,176260.000,26526,1,SF,1,100,129.0692
1752787875.697211,176660.000,26595,1,SF,1,100,129.6584
1752787875.964213,176927.000,26647,1,SF,1,100,130.2407
1752787876.297216,177260.000,26700,1,SF,1,100,128.7341
1752787876.631218,177594.000,26752,1,SF,1,100,131.4094
1752787877.031222,177994.000,26819,1,SF,1,100,129.8892
1752787877.297224,178260.000,26874,1,SF,1,100,132.5512
1752787877.631227,178594.000,26926,1,SF,1,100,133.1001
1752787878.031230,178994.000,26993,1,SF,1,100,133.6426
1752787878.297232,179260.000,27044,1,SF,1,100,132.0966
1752787878.630235,179593.000,27095,1,SF,1,100,132.6508
1752787878.964238,179927.000,27154,1,SF,1,100,133.1985
1752787879.364241,180327.000,27221,1,SF,1,100,131.6576
1752787879.630243,180593.000,27271,1,SF,1,100,132.2169
1752787879.964246,180927.000,27324,1,SF,1,100,132.7696
1752787880.364249,181327.000,27391,1,SF,1,100,133.3160
1752787880.630251,181593.000,27443,1,SF,1,100,131.7738
1752787880.964254,181927.000,27496,1,SF,1,100,134.4139
1752787881.297257,182260.000,27548,1,SF,1,100,132.8590
1752787881.697260,182660.000,27615,1,SF,1,100,133.4043
1752787881.964262,182927.000,27670,1,SF,1,100,133.9434
1752787882.297265,183260.000,27722,1,SF,1,100,136.5584
1752787882.697268,183660.000,27789,1,SF,1,100,134.9787
1752787882.963271,183926.000,27840,1,SF,1,100,135.4995
1752787883.297273,184260.000,27893,1,SF,1,100,136.0143
1752787883.630276,184593.000,27943,1,SF,1,100,134.4408
1752787884.030279,184993.000,28019,1,SF,1,100,137.0501
1752787884.297282,185260.000,28069,1,SF,1,100,135.4647
1752787884.630284,185593.000,28120,1,SF,1,100,135.9799
1752787885.030288,185993.000,28189,1,SF,1,100,136.4891
1752787885.297290,186260.000,28239,1,SF,1,100,134.9102
1752787885.630293,186593.000,28294,1,SF,1,100,137.5140
1752787885.963295,186926.000,28342,1,SF,1,100,135.9233
1752787886.363299,187326.000,28413,1,SF,1,100,136.4331
1752787886.630301,187593.000,28466,1,SF,1,100,136.9371
1752787886.963304,187926.000,28516,1,SF,1,100,135.3530
1752787887.363307,188326.000,28585,1,SF,1,100,135.8695
1752787887.630309,188593.000,28634,1,SF,1,100,134.2978
1752787887.963312,188926.000,28685,1,SF,1,100,134.8264
1752787888.296315,189259.000,28739,1,SF,1,100,135.3490
1752787888.696318,189659.000,28808,1,SF,1,100,135.8656
1752787888.963320,189926.000,28861,1,SF,1,100,134.2939
1752787889.296323,190259.000,28914,1,SF,1,100,134.8226
1752787889.696326,190659.000,28979,1,SF,1,100,133.2630
1752787889.963328,190926.000,29033,1,SF,1,100,133.8036
1752787890.296331,191259.000,29082,1,SF,1,100,132.2558
1752787890.629334,191592.000,29134,1,SF,1,100,132.8081
1752787891.029337,191992.000,29201,1,SF,1,100,131.2717
1752787891.296339,192259.000,29256,1,SF,1,100,131.8354
1752787891.629342,192592.000,29308,1,SF,1,100,134.4749
1752787892.029345,192992.000,29377,1,SF,1,100,135.0015
1752787892.296348,193259.000,29428,1,SF,1,100,133.4398
1752787892.629350,193592.000,29477,1,SF,1,100,131.8961
1752787892.962353,193925.000,29531,1,SF,1,100,132.4526
1752787893.362356,194325.000,29598,1,SF,1,100,133.0026
1752787893.629359,194592.000,29648,1,SF,1,100,131.4640
1752787893.962361,194925.000,29697,1,SF,1,100,129.9433
1752787894.362365,195325.000,29771,1,SF,1,100,130.5223
1752787894.629367,195592.000,29821,1,SF,1,100,129.0124
1752787894.962370,195925.000,29874,1,SF,1,100,129.6022
1752787895.295372,196258.000,29924,1,SF,1,100,130.1852
1752787895.695376,196658.000,29991,1,SF,1,100,128.6792
1752787895.962378,196925.000,30046,1,SF,1,100,129.2729
1752787896.295381,197258.000,30098,1,SF,1,100,129.8597
1752787896.695384,197658.000,30169,1,SF,1,100,132.5220
1752787896.962386,197925.000,30218,1,SF,1,100,130.9890
1752787897.295389,198258.000,30271,1,SF,1,100,131.5560
1752787897.695392,198658.000,30338,1,SF,1,100,132.1164
1752787898.029395,198992.000,30392,1,SF,1,100,132.6703
1752787898.295397,199258.000,30444,1,SF,1,100,135.3000
1752787898.628400,199591.000,30495,1,SF,1,100,133.7349
1752787899.028403,199991.000,30562,1,SF,1,100,134.2701
1752787899.295405,200258.000,30621,1,SF,1,100,134.7991
1752787899.628408,200591.000,30670,1,SF,1,100,133.2397
1752787899.962411,200925.000,30722,1,SF,1,100,133.7806
1752787900.362414,201325.000,30791,1,SF,1,100,134.3153
1752787900.628416,201591.000,30842,1,SF,1,100,132.7615
1752787900.962419,201925.000,30894,1,SF,1,100,133.3080
1752787901.362422,202325.000,30961,1,SF,1,100,131.7659
1752787901.628425,202591.000,31014,1,SF,1,100,132.3239
1752787901.961427,202924.000,31063,1,SF,1,100,130.7931
1752787902.295430,203258.000,31117,1,SF,1,100,131.3623
1752787902.695433,203658.000,31186,1,SF,1,100,131.9250
1752787902.961436,203924.000,31234,1,SF,1,100,130.3989
1752787903.295438,204258.000,31287,1,SF,1,100,130.9727
1752787903.695442,204658.000,31352,1,SF,1,100,129.4576
1752787903.961444,204924.000,31406,1,SF,1,100,130.0422
1752787904.295447,205258.000,31460,1,SF,1,100,128.5379
1752787904.628449,205591.000,31510,1,SF,1,100,127.0510
1752787905.028453,205991.000,31577,1,SF,1,100,127.6635
1752787905.295455,206258.000,31630,1,SF,1,100,126.1867
1752787905.628458,206591.000,31680,1,SF,1,100,126.8092
1752787906.028461,206991.000,31749,1,SF,1,100,125.3422
1752787906.294463,207257.000,31802,1,SF,1,100,125.9745
1752787906.628466,207591.000,31851,1,SF,1,100,124.5172
1752787906.961469,207924.000,31905,1,SF,1,100,125.1591
1752787907.361472,208324.000,31970,1,SF,1,100,123.7112
1752787907.628474,208591.000,32022,1,SF,1,100,124.3624
1752787907.961477,208924.000,32071,1,SF,1,100,122.9238
1752787908.361480,209324.000,32140,1,SF,1,100,123.5840
1752787908.628482,209591.000,32194,1,SF,1,100,124.2366
1752787908.961485,209924.000,32245,1,SF,1,100,124.8817
1752787909.294488,210257.000,32295,1,SF,1,100,123.4371
1752787909.694491,210657.000,32367,1,SF,1,100,124.0914
1752787909.961493,210924.000,32422,1,SF,1,100,124.7382
1752787910.294496,211257.000,32472,1,SF,1,100,125.3774
1752787910.694499,211657.000,32539,1,SF,1,100,123.9270
1752787910.961501,211924.000,32590,1,SF,1,100,124.5757
1752787911.294504,212257.000,32645,1,SF,1,100,125.2169
1752787911.627507,212590.000,32695,1,SF,1,100,123.7683
1752787912.027510,212990.000,32764,1,SF,1,100,124.4188
1752787912.294512,213257.000,32814,1,SF,1,100,122.9795
1752787912.627515,213590.000,32865,1,SF,1,100,123.6392
1752787913.027519,213990.000,32934,1,SF,1,100,124.2911
1752787913.294521,214257.000,32986,1,SF,1,100,124.9356
1752787913.627523,214590.000,33041,1,SF,1,100,127.6548
1752787913.960526,214923.000,33089,1,SF,1,100,126.1781
1752787914.360529,215323.000,33156,1,SF,1,100,124.7185
1752787914.627532,215590.000,33198,1,SF,1,100,125.3580
1752787914.960534,215923.000,33254,1,SF,1,100,128.0723
1752787915.360538,216323.000,33319,1,SF,1,100,126.5908
1752787915.627540,216590.000,33374,1,SF,1,100,129.2909
1752787915.960543,216923.000,33424,1,SF,1,100,129.8775
1752787916.360546,217323.000,33493,1,SF,1,100,128.3750
1752787916.627548,217590.000,33546,1,SF,1,100,128.9722
1752787916.960551,217923.000,33596,1,SF,1,100,127.4803
1752787917.293554,218256.000,33645,1,SF,1,100,126.0056
1752787917.693557,218656.000,33714,1,SF,1,100,126.6302
1752787917.960559,218923.000,33766,1,SF,1,100,127.2476
1752787918.293562,219256.000,33819,1,SF,1,100,127.8578
1752787918.693565,219656.000,33888,1,SF,1,100,128.4610
1752787918.960567,219923.000,33936,1,SF,1,100,126.9750
1752787919.293570,220256.000,33988,1,SF,1,100,125.5061
1752787919.626573,220589.000,34039,1,SF,1,100,126.1365
1752787919.960576,220923.000,34098,1,SF,1,100,126.7596
1752787920.293578,221256.000,34147,1,SF,1,100,125.2932
1752787920.693582,221656.000,34216,1,SF,1,100,125.9261
1752787920.960584,221923.000,34267,1,SF,1,100,126.5516
1752787921.293587,222256.000,34319,1,SF,1,100,125.0877
1752787921.693590,222656.000,34386,1,SF,1,100,125.7229
1752787921.960592,222923.000,34439,1,SF,1,100,124.2685
1752787922.293595,223256.000,34491,1,SF,1,100,124.9132
1752787922.626598,223589.000,34540,1,SF,1,100,123.4682
1752787923.026601,223989.000,34609,1,SF,1,100,124.1222
1752787923.293603,224256.000,34661,1,SF,1,100,124.7686
1752787923.626606,224589.000,34714,1,SF,1,100,125.4075
1752787924.026609,224989.000,34781,1,SF,1,100,126.0390
1752787924.359612,225322.000,34833,1,SF,1,100,126.6633
1752787924.626614,225589.000,34886,1,SF,1,100,127.2803
1752787924.959617,225922.000,34941,1,SF,1,100,125.8079
1752787925.292620,226255.000,34992,1,SF,1,100,124.3525
1752787925.693623,226656.000,35060,1,SF,1,100,124.9963
