LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752787776.095390,77059.000,10188,1,TL,1,100,2025-07-17_17-29-31-044694
1752787781.220432,82184.000,11035,1,TL,1,100,2025-07-17_17-29-36-103198
1752787781.223432,82187.000,11037,1,TL,1,100,2025-07-17_17-29-36-235545
1752787781.242432,82206.000,11040,1,TL,1,100,2025-07-17_17-29-41-234496
1752787786.328474,87292.000,11895,1,TL,1,100,2025-07-17_17-29-41-310344
1752787786.348474,87312.000,11898,1,TL,1,100,2025-07-17_17-29-46-340824
1752787791.466516,92430.000,12773,1,TL,1,100,2025-07-17_17-29-46-380102
1752787791.476516,92440.000,12776,1,TL,1,100,2025-07-17_17-29-51-473001
1752787796.575559,97539.000,13634,1,TL,1,100,2025-07-17_17-29-51-561851
1752787796.615559,97579.000,13637,1,TL,1,100,2025-07-17_17-29-56-586857
1752787801.684601,102648.000,14493,1,TL,1,100,2025-07-17_17-29-56-637958
1752787806.803643,107767.000,15353,1,TL,1,100,2025-07-17_17-30-01-692169
1752787806.805643,107769.000,15355,1,TL,1,100,2025-07-17_17-30-01-823334
1752787806.817643,107781.000,15358,1,TL,1,100,2025-07-17_17-30-06-811729
1752787811.914685,112878.000,16217,1,TL,1,100,2025-07-17_17-30-06-892426
1752787811.926685,112890.000,16220,1,TL,1,100,2025-07-17_17-30-11-923739
1752787817.052727,118016.000,17097,1,TL,1,100,2025-07-17_17-30-11-989455
1752787817.066727,118030.000,17100,1,TL,1,100,2025-07-17_17-30-17-058233
1752787822.160769,123124.000,17954,1,TL,1,100,2025-07-17_17-30-17-145760
1752787822.173770,123137.000,17957,1,TL,1,100,2025-07-17_17-30-22-170084
1752787827.305812,128269.000,18835,1,TL,1,100,2025-07-17_17-30-22-210497
1752787827.344812,128308.000,18838,1,TL,1,100,2025-07-17_17-30-27-312139
1752787832.414854,133378.000,19704,1,TL,1,100,2025-07-17_17-30-27-391464
1752787832.426854,133390.000,19707,1,TL,1,100,2025-07-17_17-30-32-422907
1752787837.560896,138524.000,20587,1,TL,1,100,2025-07-17_17-30-32-472376
1752787837.617897,138581.000,20590,1,TL,1,100,2025-07-17_17-30-37-567285
1752787842.667938,143631.000,21448,1,TL,1,100,2025-07-17_17-30-37-643874
1752787842.677939,143641.000,21451,1,TL,1,100,2025-07-17_17-30-42-673660
1752787847.816981,148780.000,22330,1,TL,1,100,2025-07-17_17-30-42-720981
1752787847.836981,148800.000,22333,1,TL,1,100,2025-07-17_17-30-47-827467
1752787852.925023,153888.000,23194,1,TL,1,100,2025-07-17_17-30-47-895075
1752787852.942023,153905.000,23197,1,TL,1,100,2025-07-17_17-30-52-934295
1752787858.056065,159019.000,24076,1,TL,1,100,2025-07-17_17-30-52-975578
