LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
1.0071108127079073e-05,-0.0005896176030762656,-3.6622211371196626e-06,-0.0009503463850825525,0.0
1.464888454847865e-05,-0.0009915463728751486,-1.6479995117038484e-05,-0.0016370128482924892,0.008
1.464888454847865e-05,-0.0012451551866206852,-1.3733329264198735e-05,-0.0017056794946134829,0.016
1.6479995117038484e-05,-0.001272621845149083,-1.281777397991882e-05,-0.0016333506271553695,0.024
2.0142216254158147e-05,-0.001203955198828089,-1.3733329264198735e-05,-0.0013385418256172366,0.032
1.922666096987823e-05,-0.0008212530899990843,-1.5564439832758568e-05,-0.0008743552964873195,0.04
4.577776421399579e-05,-0.0014172795800653096,-2.563554795983764e-05,0.0006921597949156163,0.048
4.9439985351115445e-05,-0.0014374217963194675,-2.838221381267739e-05,0.0008056886501663258,0.056
5.127109591967528e-05,-0.001529892880031739,-3.1128879665517136e-05,0.0008084353160191656,0.064
5.401776177251503e-05,-0.0015601062044129765,-3.295999023407697e-05,0.0008258308664204839,0.072
5.218665120395519e-05,-0.0015976439710684528,-3.0213324381237217e-05,0.0005832087160863063,0.08
4.577776421399579e-05,-0.0014484084597308267,-2.563554795983764e-05,0.00026551103244117557,0.088
4.760887478255561e-05,-0.0014923551133762625,-2.746665852839747e-05,0.00015381328775902585,0.096
4.9439985351115445e-05,-0.001507919553209021,-2.838221381267739e-05,0.00019135105441450237,0.104
4.9439985351115445e-05,-0.0015601062044129765,-2.92977690969573e-05,2.6551103244117554e-05,0.112
4.8524430066835536e-05,-0.0015500350962858972,-2.746665852839747e-05,-5.9511093478194525e-05,0.12
4.4862208929715866e-05,-0.001508835108493301,-2.563554795983764e-05,-0.00041932432020020137,0.128
4.577776421399579e-05,-0.0015015106662190616,-2.563554795983764e-05,-0.0004330576494644001,0.136
4.577776421399579e-05,-0.001543626209295938,-2.6551103244117554e-05,-0.0006033509323404645,0.144
