LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752174592.907255,204685.000,31443,2,EL,1,100,-16618.000000
1752174592.907255,204685.000,31443,2,EL,1,100,-16619.000000
1752174592.974255,204752.000,31460,1,EL,1,100,-16620.800781
1752174593.040755,204818.500,31481,2,EL,1,100,-16622.000000
1752174593.107255,204885.000,31481,2,EL,1,100,-16622.400391
1752174593.174255,204952.000,31498,1,EL,1,100,-16623.599609
1752174593.240755,205018.500,31513,2,EL,1,100,-16624.000000
1752174593.307255,205085.000,31513,2,EL,1,100,-16623.000000
1752174593.374255,205152.000,31530,1,EL,1,100,-16621.199219
1752174593.440755,205218.500,31546,2,EL,1,100,-16620.800781
1752174593.507255,205285.000,31546,2,EL,1,100,-16639.400391
1752174593.574255,205352.000,31563,1,EL,1,100,-16698.800781
1752174593.640755,205418.500,31579,2,EL,1,100,-16753.000000
1752174593.707255,205485.000,31579,2,EL,1,100,-16727.199219
1752174593.774255,205552.000,31599,2,EL,1,100,-16689.800781
1752174593.841255,205619.000,31599,2,EL,1,100,-16693.400391
1752174593.908255,205686.000,31615,1,EL,1,100,-16699.000000
1752174593.974755,205752.500,31633,2,EL,1,100,-16697.400391
1752174594.041255,205819.000,31633,2,EL,1,100,-16701.199219
1752174594.107255,205885.000,31649,1,EL,1,100,-16696.400391
1752174594.174255,205952.000,31664,2,EL,1,100,-16685.400391
1752174594.241255,206019.000,31664,2,EL,1,100,-16672.800781
1752174594.307255,206085.000,31682,1,EL,1,100,-16674.599609
1752174594.374255,206152.000,31700,2,EL,1,100,-16687.199219
1752174594.441255,206219.000,31700,2,EL,1,100,-16674.000000
1752174594.507255,206285.000,31716,1,EL,1,100,-16635.599609
1752174594.574255,206352.000,31731,2,EL,1,100,-16638.800781
1752174594.641255,206419.000,31731,2,EL,1,100,-16657.000000
1752174594.707255,206485.000,31748,1,EL,1,100,-16663.599609
1752174594.774255,206552.000,31765,2,EL,1,100,-16664.000000
1752174594.841255,206619.000,31765,2,EL,1,100,-16663.000000
1752174594.907255,206685.000,31781,1,EL,1,100,-16656.199219
1752174594.974255,206752.000,31802,2,EL,1,100,-16658.400391
1752174595.041255,206819.000,31802,2,EL,1,100,-16666.199219
1752174595.107255,206885.000,31820,1,EL,1,100,-16666.800781
1752174595.174255,206952.000,31837,2,EL,1,100,-16676.400391
1752174595.241255,207019.000,31837,2,EL,1,100,-16686.599609
1752174595.307255,207085.000,31853,1,EL,1,100,-16687.599609
1752174595.373755,207151.500,31869,2,EL,1,100,-16686.199219
1752174595.440255,207218.000,31869,2,EL,1,100,-16697.199219
1752174595.507255,207285.000,31887,1,EL,1,100,-16713.000000
1752174595.573755,207351.500,31904,2,EL,1,100,-16723.800781
1752174595.640255,207418.000,31904,2,EL,1,100,-16717.000000
1752174595.707255,207485.000,31923,1,EL,1,100,-16696.400391
1752174595.773755,207551.500,31939,2,EL,1,100,-16696.000000
1752174595.840255,207618.000,31939,2,EL,1,100,-16701.800781
1752174595.907255,207685.000,31954,2,EL,1,100,-16707.599609
1752174595.974255,207752.000,31954,2,EL,1,100,-16707.800781
1752174596.040255,207818.000,31974,1,EL,1,100,-16709.599609
