LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752174592.829255,204607.000,31438,1,PG,1,100,2494
1752174592.869255,204647.000,31441,2,PG,1,100,2481
1752174592.909255,204687.000,31441,2,PG,1,100,2485
1752174592.949255,204727.000,31458,3,PG,1,100,2482
1752174592.989255,204767.000,31458,3,PG,1,100,2497
1752174593.029255,204807.000,31458,3,PG,1,100,2478
1752174593.069255,204847.000,31479,2,PG,1,100,2478
1752174593.109255,204887.000,31479,2,PG,1,100,2488
1752174593.149255,204927.000,31496,3,PG,1,100,2486
1752174593.189255,204967.000,31496,3,PG,1,100,2475
1752174593.229255,205007.000,31496,3,PG,1,100,2472
1752174593.269255,205047.000,31511,2,PG,1,100,2494
1752174593.309255,205087.000,31511,2,PG,1,100,2502
1752174593.349255,205127.000,31528,3,PG,1,100,2486
1752174593.389255,205167.000,31528,3,PG,1,100,2493
1752174593.429255,205207.000,31528,3,PG,1,100,2485
1752174593.469255,205247.000,31544,2,PG,1,100,2476
1752174593.509255,205287.000,31544,2,PG,1,100,2479
1752174593.549255,205327.000,31561,3,PG,1,100,2495
1752174593.589255,205367.000,31561,3,PG,1,100,2486
1752174593.629255,205407.000,31561,3,PG,1,100,2485
1752174593.669255,205447.000,31577,2,PG,1,100,2497
1752174593.709255,205487.000,31577,2,PG,1,100,2486
1752174593.749255,205527.000,31597,3,PG,1,100,2479
1752174593.789255,205567.000,31597,3,PG,1,100,2480
1752174593.829255,205607.000,31597,3,PG,1,100,2486
1752174593.869255,205647.000,31613,2,PG,1,100,2478
1752174593.909255,205687.000,31613,2,PG,1,100,2496
1752174593.949255,205727.000,31631,3,PG,1,100,2487
1752174593.989255,205767.000,31631,3,PG,1,100,2476
1752174594.029255,205807.000,31631,3,PG,1,100,2472
1752174594.069255,205847.000,31647,2,PG,1,100,2472
1752174594.109255,205887.000,31647,2,PG,1,100,2487
1752174594.149255,205927.000,31662,3,PG,1,100,2499
1752174594.189255,205967.000,31662,3,PG,1,100,2489
1752174594.229255,206007.000,31662,3,PG,1,100,2490
1752174594.269255,206047.000,31680,3,PG,1,100,2483
1752174594.309255,206087.000,31680,3,PG,1,100,2477
1752174594.349255,206127.000,31680,3,PG,1,100,2478
1752174594.389255,206167.000,31698,2,PG,1,100,2490
1752174594.429255,206207.000,31698,2,PG,1,100,2498
1752174594.469255,206247.000,31714,3,PG,1,100,2498
1752174594.509255,206287.000,31714,3,PG,1,100,2495
1752174594.549255,206327.000,31714,3,PG,1,100,2494
1752174594.595755,206373.500,31729,2,PG,1,100,2488
1752174594.642255,206420.000,31729,2,PG,1,100,2491
1752174594.682255,206460.000,31746,2,PG,1,100,2489
1752174594.722255,206500.000,31746,2,PG,1,100,2490
1752174594.762255,206540.000,31763,3,PG,1,100,2507
1752174594.802255,206580.000,31763,3,PG,1,100,2492
1752174594.842255,206620.000,31763,3,PG,1,100,2488
1752174594.882255,206660.000,31779,2,PG,1,100,2479
1752174594.922255,206700.000,31779,2,PG,1,100,2480
1752174594.962255,206740.000,31800,3,PG,1,100,2477
1752174595.002255,206780.000,31800,3,PG,1,100,2492
1752174595.042255,206820.000,31800,3,PG,1,100,2477
1752174595.082255,206860.000,31818,3,PG,1,100,2491
1752174595.122255,206900.000,31818,3,PG,1,100,2502
1752174595.162255,206940.000,31818,3,PG,1,100,2504
1752174595.202255,206980.000,31835,2,PG,1,100,2492
1752174595.242255,207020.000,31835,2,PG,1,100,2484
1752174595.282255,207060.000,31851,3,PG,1,100,2477
1752174595.322255,207100.000,31851,3,PG,1,100,2496
1752174595.362255,207140.000,31851,3,PG,1,100,2492
1752174595.402255,207180.000,31867,2,PG,1,100,2485
1752174595.442255,207220.000,31867,2,PG,1,100,2481
1752174595.482255,207260.000,31885,3,PG,1,100,2488
1752174595.522255,207300.000,31885,3,PG,1,100,2492
1752174595.562255,207340.000,31885,3,PG,1,100,2490
1752174595.602255,207380.000,31902,2,PG,1,100,2492
1752174595.642255,207420.000,31902,2,PG,1,100,2488
1752174595.682255,207460.000,31921,3,PG,1,100,2492
1752174595.722255,207500.000,31921,3,PG,1,100,2498
1752174595.762255,207540.000,31921,3,PG,1,100,2495
1752174595.802255,207580.000,31937,2,PG,1,100,2484
1752174595.842255,207620.000,31937,2,PG,1,100,2499
1752174595.882255,207660.000,31952,3,PG,1,100,2496
1752174595.922255,207700.000,31952,3,PG,1,100,2490
1752174595.962255,207740.000,31952,3,PG,1,100,2501
1752174596.002255,207780.000,31972,2,PG,1,100,2499
1752174596.042255,207820.000,31972,2,PG,1,100,2484
1752174596.082255,207860.000,31988,3,PG,1,100,2493
1752174596.122255,207900.000,31988,3,PG,1,100,2492
1752174596.162255,207940.000,31988,3,PG,1,100,2487
1752174596.202255,207980.000,32005,2,PG,1,100,2517
1752174596.242255,208020.000,32005,2,PG,1,100,2515
1752174596.282255,208060.000,32020,3,PG,1,100,2499
1752174596.322255,208100.000,32020,3,PG,1,100,2500
1752174596.362255,208140.000,32020,3,PG,1,100,2503
1752174596.402255,208180.000,32037,3,PG,1,100,2509
1752174596.442255,208220.000,32037,3,PG,1,100,2496
1752174596.482255,208260.000,32037,3,PG,1,100,2495
1752174596.522255,208300.000,32053,2,PG,1,100,2503
1752174596.562255,208340.000,32053,2,PG,1,100,2503
1752174596.602255,208380.000,32072,3,PG,1,100,2497
1752174596.642255,208420.000,32072,3,PG,1,100,2493
1752174596.682255,208460.000,32072,3,PG,1,100,2490
1752174596.722255,208500.000,32089,2,PG,1,100,2509
1752174596.762255,208540.000,32089,2,PG,1,100,2496
1752174596.802255,208580.000,32106,3,PG,1,100,2509
1752174596.842255,208620.000,32106,3,PG,1,100,2497
1752174596.882255,208660.000,32106,3,PG,1,100,2501
1752174596.922255,208700.000,32122,2,PG,1,100,2496
