LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752174592.829255,204607.000,31436,1,PI,1,100,161434
1752174592.869255,204647.000,31439,2,PI,1,100,161426
1752174592.909255,204687.000,31439,2,PI,1,100,161453
1752174592.949255,204727.000,31456,3,PI,1,100,161464
1752174592.989255,204767.000,31456,3,PI,1,100,161478
1752174593.029255,204807.000,31456,3,PI,1,100,161519
1752174593.069255,204847.000,31477,2,PI,1,100,161534
1752174593.109255,204887.000,31477,2,PI,1,100,161549
1752174593.149255,204927.000,31494,3,PI,1,100,161578
1752174593.189255,204967.000,31494,3,PI,1,100,161610
1752174593.229255,205007.000,31494,3,PI,1,100,161648
1752174593.269255,205047.000,31509,2,PI,1,100,161668
1752174593.309255,205087.000,31509,2,PI,1,100,161670
1752174593.349255,205127.000,31526,3,PI,1,100,161597
1752174593.389255,205167.000,31526,3,PI,1,100,161500
1752174593.429255,205207.000,31526,3,PI,1,100,161477
1752174593.469255,205247.000,31542,2,PI,1,100,161445
1752174593.509255,205287.000,31542,2,PI,1,100,161477
1752174593.549255,205327.000,31559,3,PI,1,100,161488
1752174593.589255,205367.000,31559,3,PI,1,100,161476
1752174593.629255,205407.000,31559,3,PI,1,100,161473
1752174593.669255,205447.000,31575,2,PI,1,100,161450
1752174593.709255,205487.000,31575,2,PI,1,100,161450
1752174593.749255,205527.000,31595,3,PI,1,100,161493
1752174593.789255,205567.000,31595,3,PI,1,100,161499
1752174593.829255,205607.000,31595,3,PI,1,100,161505
1752174593.869255,205647.000,31611,2,PI,1,100,161553
1752174593.909255,205687.000,31611,2,PI,1,100,161584
1752174593.949255,205727.000,31629,3,PI,1,100,161591
1752174593.989255,205767.000,31629,3,PI,1,100,161513
1752174594.029255,205807.000,31629,3,PI,1,100,161426
1752174594.069255,205847.000,31645,2,PI,1,100,161417
1752174594.109255,205887.000,31645,2,PI,1,100,161415
1752174594.149255,205927.000,31660,3,PI,1,100,161471
1752174594.189255,205967.000,31660,3,PI,1,100,161500
1752174594.229255,206007.000,31660,3,PI,1,100,161493
1752174594.269255,206047.000,31678,3,PI,1,100,161512
1752174594.309255,206087.000,31678,3,PI,1,100,161548
1752174594.349255,206127.000,31678,3,PI,1,100,161586
1752174594.389255,206167.000,31696,2,PI,1,100,161612
1752174594.429255,206207.000,31696,2,PI,1,100,161651
1752174594.469255,206247.000,31712,3,PI,1,100,161707
1752174594.509255,206287.000,31712,3,PI,1,100,161765
1752174594.549255,206327.000,31712,3,PI,1,100,161849
1752174594.595755,206373.500,31727,2,PI,1,100,161839
1752174594.642255,206420.000,31727,2,PI,1,100,161797
1752174594.682255,206460.000,31744,2,PI,1,100,161777
1752174594.722255,206500.000,31744,2,PI,1,100,161816
1752174594.762255,206540.000,31761,3,PI,1,100,161829
1752174594.802255,206580.000,31761,3,PI,1,100,161816
1752174594.842255,206620.000,31761,3,PI,1,100,161812
1752174594.882255,206660.000,31777,2,PI,1,100,161851
1752174594.922255,206700.000,31777,2,PI,1,100,161880
1752174594.962255,206740.000,31798,3,PI,1,100,161937
1752174595.002255,206780.000,31798,3,PI,1,100,161983
1752174595.042255,206820.000,31798,3,PI,1,100,162002
1752174595.082255,206860.000,31816,3,PI,1,100,162007
1752174595.122255,206900.000,31816,3,PI,1,100,161999
1752174595.162255,206940.000,31816,3,PI,1,100,161925
1752174595.202255,206980.000,31833,2,PI,1,100,161796
1752174595.242255,207020.000,31833,2,PI,1,100,161689
1752174595.282255,207060.000,31849,3,PI,1,100,161630
1752174595.322255,207100.000,31849,3,PI,1,100,161613
1752174595.362255,207140.000,31849,3,PI,1,100,161646
1752174595.402255,207180.000,31865,2,PI,1,100,161693
1752174595.442255,207220.000,31865,2,PI,1,100,161722
1752174595.482255,207260.000,31883,3,PI,1,100,161795
1752174595.522255,207300.000,31883,3,PI,1,100,161841
1752174595.562255,207340.000,31883,3,PI,1,100,161887
1752174595.602255,207380.000,31900,2,PI,1,100,161935
1752174595.642255,207420.000,31900,2,PI,1,100,161955
1752174595.682255,207460.000,31919,3,PI,1,100,161958
1752174595.722255,207500.000,31919,3,PI,1,100,161974
1752174595.762255,207540.000,31919,3,PI,1,100,161962
1752174595.802255,207580.000,31935,2,PI,1,100,161917
1752174595.842255,207620.000,31935,2,PI,1,100,161892
1752174595.882255,207660.000,31950,3,PI,1,100,161892
1752174595.922255,207700.000,31950,3,PI,1,100,161910
1752174595.962255,207740.000,31950,3,PI,1,100,161937
1752174596.002255,207780.000,31970,2,PI,1,100,161978
1752174596.042255,207820.000,31970,2,PI,1,100,162024
1752174596.082255,207860.000,31986,3,PI,1,100,162062
1752174596.122255,207900.000,31986,3,PI,1,100,162078
1752174596.162255,207940.000,31986,3,PI,1,100,162083
1752174596.202255,207980.000,32003,2,PI,1,100,162096
1752174596.242255,208020.000,32003,2,PI,1,100,162100
1752174596.282255,208060.000,32018,3,PI,1,100,162067
1752174596.322255,208100.000,32018,3,PI,1,100,162075
1752174596.362255,208140.000,32018,3,PI,1,100,162021
1752174596.402255,208180.000,32035,3,PI,1,100,161950
1752174596.442255,208220.000,32035,3,PI,1,100,161912
1752174596.482255,208260.000,32035,3,PI,1,100,161908
1752174596.522255,208300.000,32051,2,PI,1,100,161882
1752174596.562255,208340.000,32051,2,PI,1,100,161900
1752174596.602255,208380.000,32070,3,PI,1,100,161910
1752174596.642255,208420.000,32070,3,PI,1,100,161925
1752174596.682255,208460.000,32070,3,PI,1,100,161929
1752174596.722255,208500.000,32087,2,PI,1,100,161961
1752174596.762255,208540.000,32087,2,PI,1,100,161978
1752174596.802255,208580.000,32104,3,PI,1,100,161998
1752174596.842255,208620.000,32104,3,PI,1,100,162021
1752174596.882255,208660.000,32104,3,PI,1,100,162038
1752174596.922255,208700.000,32120,2,PI,1,100,162049
1752174596.962255,208740.000,32120,2,PI,1,100,162069
1752174597.002255,208780.000,32140,3,PI,1,100,162004
1752174597.042255,208820.000,32140,3,PI,1,100,161957
1752174597.082255,208860.000,32140,3,PI,1,100,161948
1752174597.122255,208900.000,32154,2,PI,1,100,161928
1752174597.162255,208940.000,32154,2,PI,1,100,161902
1752174597.202255,208980.000,32171,3,PI,1,100,161921
1752174597.242255,209020.000,32171,3,PI,1,100,161980
1752174597.282255,209060.000,32171,3,PI,1,100,161995
1752174597.322255,209100.000,32192,2,PI,1,100,161993
1752174597.362255,209140.000,32192,2,PI,1,100,162043
1752174597.402255,209180.000,32209,3,PI,1,100,162061
1752174597.442255,209220.000,32209,3,PI,1,100,162063
1752174597.482255,209260.000,32209,3,PI,1,100,162096
1752174597.522255,209300.000,32223,2,PI,1,100,162115
1752174597.562255,209340.000,32223,2,PI,1,100,162106
1752174597.602255,209380.000,32240,3,PI,1,100,162098
1752174597.642255,209420.000,32240,3,PI,1,100,162048
1752174597.682255,209460.000,32240,3,PI,1,100,162036
1752174597.722255,209500.000,32257,2,PI,1,100,162021
1752174597.762255,209540.000,32257,2,PI,1,100,162041
1752174597.802255,209580.000,32276,3,PI,1,100,162055
1752174597.842255,209620.000,32276,3,PI,1,100,162052
1752174597.882255,209660.000,32276,3,PI,1,100,162067
1752174597.922255,209700.000,32292,3,PI,1,100,162072
1752174597.962255,209740.000,32292,3,PI,1,100,162054
1752174598.002255,209780.000,32292,3,PI,1,100,162055
1752174598.042255,209820.000,32312,2,PI,1,100,162065
1752174598.082255,209860.000,32312,2,PI,1,100,162066
1752174598.122255,209900.000,32328,3,PI,1,100,162122
1752174598.162255,209940.000,32328,3,PI,1,100,162130
1752174598.202255,209980.000,32328,3,PI,1,100,162059
1752174598.242255,210020.000,32345,2,PI,1,100,162009
1752174598.282255,210060.000,32345,2,PI,1,100,161971
1752174598.321921,210099.667,32362,3,PI,1,100,161975
1752174598.361588,210139.333,32362,3,PI,1,100,161978
1752174598.401255,210179.000,32362,3,PI,1,100,161987
1752174598.441755,210219.500,32377,2,PI,1,100,162006
1752174598.482255,210260.000,32377,2,PI,1,100,162030
1752174598.522255,210300.000,32395,3,PI,1,100,162062
1752174598.562255,210340.000,32395,3,PI,1,100,162110
1752174598.602255,210380.000,32395,3,PI,1,100,162128
1752174598.642255,210420.000,32413,2,PI,1,100,162158
1752174598.682255,210460.000,32413,2,PI,1,100,162172
1752174598.721921,210499.667,32429,3,PI,1,100,162155
1752174598.761588,210539.333,32429,3,PI,1,100,162079
1752174598.801255,210579.000,32429,3,PI,1,100,162012
1752174598.841588,210619.333,32446,3,PI,1,100,161939
1752174598.881921,210659.667,32446,3,PI,1,100,161888
1752174598.922255,210700.000,32446,3,PI,1,100,161880
1752174598.961755,210739.500,32462,2,PI,1,100,161928
1752174599.001255,210779.000,32462,2,PI,1,100,161972
1752174599.041588,210819.333,32482,3,PI,1,100,161990
1752174599.081921,210859.667,32482,3,PI,1,100,162003
1752174599.122255,210900.000,32482,3,PI,1,100,162021
1752174599.161755,210939.500,32498,2,PI,1,100,162008
1752174599.201255,210979.000,32498,2,PI,1,100,162041
1752174599.248255,211026.000,32513,2,PI,1,100,162080
1752174599.295255,211073.000,32513,2,PI,1,100,162073
1752174599.335255,211113.000,32530,3,PI,1,100,162121
1752174599.375255,211153.000,32530,3,PI,1,100,162130
1752174599.415255,211193.000,32530,3,PI,1,100,162083
1752174599.455254,211233.000,32547,2,PI,1,100,162017
1752174599.495254,211273.000,32547,2,PI,1,100,162016
1752174599.535254,211313.000,32565,3,PI,1,100,162026
1752174599.575254,211353.000,32565,3,PI,1,100,162015
1752174599.615254,211393.000,32565,3,PI,1,100,162045
1752174599.655254,211433.000,32583,2,PI,1,100,162082
1752174599.695254,211473.000,32583,2,PI,1,100,162089
1752174599.735254,211513.000,32599,3,PI,1,100,162107
1752174599.775254,211553.000,32599,3,PI,1,100,162116
1752174599.815254,211593.000,32599,3,PI,1,100,162136
1752174599.855254,211633.000,32616,3,PI,1,100,162157
1752174599.895254,211673.000,32616,3,PI,1,100,162159
1752174599.935254,211713.000,32616,3,PI,1,100,162169
1752174599.975254,211753.000,32632,2,PI,1,100,162195
1752174600.015254,211793.000,32632,2,PI,1,100,162176
1752174600.055254,211833.000,32651,3,PI,1,100,162107
1752174600.095254,211873.000,32651,3,PI,1,100,162074
1752174600.135254,211913.000,32651,3,PI,1,100,162050
1752174600.175254,211953.000,32671,2,PI,1,100,162030
1752174600.215254,211993.000,32671,2,PI,1,100,162055
1752174600.255254,212033.000,32688,3,PI,1,100,162080
1752174600.295254,212073.000,32688,3,PI,1,100,162085
1752174600.335254,212113.000,32688,3,PI,1,100,162079
1752174600.375254,212153.000,32707,2,PI,1,100,162113
1752174600.415254,212193.000,32707,2,PI,1,100,162125
1752174600.455254,212233.000,32724,3,PI,1,100,162117
1752174600.495254,212273.000,32724,3,PI,1,100,162172
1752174600.535254,212313.000,32724,3,PI,1,100,162168
1752174600.575254,212353.000,32738,2,PI,1,100,162198
1752174600.615254,212393.000,32738,2,PI,1,100,162193
1752174600.655254,212433.000,32758,3,PI,1,100,162133
1752174600.695254,212473.000,32758,3,PI,1,100,162115
1752174600.735254,212513.000,32758,3,PI,1,100,162080
1752174600.775254,212553.000,32774,2,PI,1,100,162073
1752174600.815254,212593.000,32774,2,PI,1,100,162079
1752174600.855254,212633.000,32791,3,PI,1,100,162095
1752174600.895254,212673.000,32791,3,PI,1,100,162102
1752174600.935254,212713.000,32791,3,PI,1,100,162116
1752174600.975254,212753.000,32808,2,PI,1,100,162127
1752174601.015254,212793.000,32808,2,PI,1,100,162149
1752174601.055254,212833.000,32825,3,PI,1,100,162130
1752174601.095254,212873.000,32825,3,PI,1,100,162162
1752174601.135254,212913.000,32825,3,PI,1,100,162164
1752174601.175254,212953.000,32843,3,PI,1,100,162154
1752174601.215254,212993.000,32843,3,PI,1,100,162152
1752174601.255254,213033.000,32843,3,PI,1,100,162118
1752174601.295254,213073.000,32860,2,PI,1,100,162050
1752174601.335254,213113.000,32860,2,PI,1,100,162043
1752174601.375254,213153.000,32875,3,PI,1,100,162058
1752174601.415254,213193.000,32875,3,PI,1,100,162078
