LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752174595.044255,206822.000,31793,2,RD,1,100,TL
1752174595.044255,206822.000,31793,2,RD,1,100,TU
1752174597.616755,209394.500,32668,2,RD,1,100,TL
1752174600.189254,211967.000,32668,2,RD,1,100,TU
1752174602.743254,214521.000,33521,2,RD,1,100,TL
1752174605.297254,217075.000,33521,2,RD,1,100,TU
1752174607.858754,219636.500,34381,2,RD,1,100,TL
1752174610.420254,222198.000,34381,2,RD,1,100,TU
1752174612.978753,224756.500,35236,2,RD,1,100,TL
1752174615.537253,227315.000,35236,2,RD,1,100,TU
1752174618.096753,229874.500,36095,2,RD,1,100,TL
1752174620.656253,232434.000,36095,2,RD,1,100,TU
1752174623.215752,234993.500,36957,2,RD,1,100,TL
1752174625.775252,237553.000,36957,2,RD,1,100,TU
1752174628.335252,240113.000,37816,2,RD,1,100,TL
1752174630.895252,242673.000,37816,2,RD,1,100,TU
1752174633.448252,245226.000,38671,2,RD,1,100,TL
1752174636.001251,247779.000,38671,2,RD,1,100,TU
1752174638.562751,250340.500,39533,2,RD,1,100,TL
1752174641.124251,252902.000,39533,2,RD,1,100,TU
1752174643.682251,255460.000,40393,2,RD,1,100,TL
1752174646.240251,258018.000,40393,2,RD,1,100,TU
1752174648.799250,260577.000,41248,2,RD,1,100,TL
1752174651.358250,263136.000,41248,2,RD,1,100,TU
1752174653.925250,265703.000,42104,2,RD,1,100,TL
1752174656.492250,268270.000,42104,2,RD,1,100,TU
1752174659.054749,270832.500,42969,2,RD,1,100,TL
1752174661.617249,273395.000,42969,2,RD,1,100,TU
1752174664.175249,275953.000,43822,2,RD,1,100,TL
1752174666.733249,278511.000,43822,2,RD,1,100,TU
1752174669.292749,281070.500,44682,2,RD,1,100,TL
1752174671.852248,283630.000,44682,2,RD,1,100,TU
1752174674.415248,286193.000,45535,2,RD,1,100,TL
1752174676.978248,288756.000,45535,2,RD,1,100,TU
1752174679.540748,291318.500,46381,2,RD,1,100,TL
1752174682.103247,293881.000,46381,2,RD,1,100,TU
1752174684.665247,296443.000,47226,2,RD,1,100,TL
1752174687.227247,299005.000,47226,2,RD,1,100,TU
1752174689.791247,301569.000,48067,2,RD,1,100,TL
1752174692.355247,304133.000,48067,2,RD,1,100,TU
1752174694.911746,306689.500,48907,2,RD,1,100,TL
1752174697.468246,309246.000,48907,2,RD,1,100,TU
1752174700.030246,311808.000,49748,2,RD,1,100,TL
1752174702.592246,314370.000,49748,2,RD,1,100,TU
1752174705.159245,316937.000,50587,2,RD,1,100,TL
1752174707.726245,319504.000,50587,2,RD,1,100,TU
1752174710.286745,322064.500,51427,2,RD,1,100,TL
1752174712.847245,324625.000,51427,2,RD,1,100,TU
1752174715.407245,327185.000,52275,2,RD,1,100,TL
1752174717.967244,329745.000,52275,2,RD,1,100,TU
1752174720.527744,332305.500,53115,2,RD,1,100,TL
1752174723.088244,334866.000,53115,2,RD,1,100,TU
1752174725.648744,337426.500,53956,2,RD,1,100,TL
1752174728.209243,339987.000,53956,2,RD,1,100,TU
1752174730.767243,342545.000,54797,2,RD,1,100,TL
1752174733.325243,345103.000,54797,2,RD,1,100,TU
1752174735.885243,347663.000,55637,2,RD,1,100,TL
1752174738.445243,350223.000,55637,2,RD,1,100,TU
1752174741.001242,352779.000,56481,2,RD,1,100,TL
