LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752174592.834255,204612.000,31444,1,T1,1,100,39.131
1752174592.967255,204745.000,31461,1,T1,1,100,39.163
1752174593.101255,204879.000,31482,1,T1,1,100,39.141
1752174593.234255,205012.000,31499,1,T1,1,100,39.168
1752174593.367255,205145.000,31531,1,T1,1,100,39.179
1752174593.501255,205279.000,31547,1,T1,1,100,39.148
1752174593.634255,205412.000,31564,1,T1,1,100,39.206
1752174593.767255,205545.000,31600,1,T1,1,100,39.266
1752174593.901255,205679.000,31616,1,T1,1,100,39.186
1752174594.034255,205812.000,31634,1,T1,1,100,39.222
1752174594.167255,205945.000,31665,1,T1,1,100,39.203
1752174594.300255,206078.000,31683,1,T1,1,100,39.194
1752174594.434255,206212.000,31701,1,T1,1,100,39.261
1752174594.567255,206345.000,31732,1,T1,1,100,39.255
1752174594.700255,206478.000,31749,1,T1,1,100,39.181
1752174594.834255,206612.000,31766,1,T1,1,100,39.114
1752174594.967255,206745.000,31803,1,T1,1,100,39.156
1752174595.100255,206878.000,31821,1,T1,1,100,39.174
1752174595.234255,207012.000,31838,1,T1,1,100,39.111
1752174595.367255,207145.000,31870,1,T1,1,100,39.119
1752174595.500255,207278.000,31888,1,T1,1,100,39.193
1752174595.634255,207412.000,31905,1,T1,1,100,39.084
1752174595.767255,207545.000,31924,1,T1,1,100,39.107
1752174595.900255,207678.000,31955,1,T1,1,100,39.117
1752174596.034255,207812.000,31975,1,T1,1,100,39.122
1752174596.167255,207945.000,31991,1,T1,1,100,39.088
1752174596.300255,208078.000,32023,1,T1,1,100,39.180
1752174596.434255,208212.000,32040,1,T1,1,100,39.113
1752174596.567255,208345.000,32056,1,T1,1,100,39.120
1752174596.700255,208478.000,32092,1,T1,1,100,39.087
1752174596.834255,208612.000,32109,1,T1,1,100,39.038
1752174596.967255,208745.000,32125,1,T1,1,100,39.158
1752174597.100255,208878.000,32159,1,T1,1,100,39.210
1752174597.234255,209012.000,32176,1,T1,1,100,39.162
1752174597.367255,209145.000,32197,1,T1,1,100,39.141
1752174597.500255,209278.000,32228,1,T1,1,100,39.203
1752174597.634255,209412.000,32245,1,T1,1,100,39.159
1752174597.767255,209545.000,32262,1,T1,1,100,39.210
1752174597.900255,209678.000,32297,1,T1,1,100,39.197
1752174598.034255,209812.000,32317,1,T1,1,100,39.015
1752174598.167255,209945.000,32333,1,T1,1,100,39.148
1752174598.300255,210078.000,32350,1,T1,1,100,39.206
1752174598.433255,210211.000,32382,1,T1,1,100,39.125
1752174598.567255,210345.000,32400,1,T1,1,100,39.125
1752174598.700255,210478.000,32418,1,T1,1,100,39.196
1752174598.833255,210611.000,32451,1,T1,1,100,39.085
1752174598.967255,210745.000,32467,1,T1,1,100,39.249
1752174599.100255,210878.000,32487,1,T1,1,100,39.179
1752174599.233255,211011.000,32518,1,T1,1,100,39.113
1752174599.367255,211145.000,32535,1,T1,1,100,39.013
1752174599.500254,211278.000,32552,1,T1,1,100,39.077
1752174599.633254,211411.000,32588,1,T1,1,100,39.104
1752174599.767254,211545.000,32604,1,T1,1,100,39.151
1752174599.900254,211678.000,32621,1,T1,1,100,39.136
1752174600.033254,211811.000,32637,1,T1,1,100,39.165
1752174600.167254,211945.000,32676,1,T1,1,100,39.142
1752174600.300254,212078.000,32693,1,T1,1,100,39.133
1752174600.433254,212211.000,32712,1,T1,1,100,39.128
1752174600.567254,212345.000,32743,1,T1,1,100,39.126
1752174600.700254,212478.000,32763,1,T1,1,100,39.197
1752174600.833254,212611.000,32779,1,T1,1,100,39.262
1752174600.967254,212745.000,32813,1,T1,1,100,39.078
1752174601.100254,212878.000,32830,1,T1,1,100,39.176
1752174601.233254,213011.000,32848,1,T1,1,100,39.218
1752174601.366254,213144.000,32880,1,T1,1,100,39.272
1752174601.500254,213278.000,32897,1,T1,1,100,39.153
1752174601.633254,213411.000,32915,1,T1,1,100,39.137
1752174601.766254,213544.000,32947,1,T1,1,100,39.095
1752174601.900254,213678.000,32964,1,T1,1,100,39.218
1752174602.033254,213811.000,32981,1,T1,1,100,39.130
1752174602.166254,213944.000,33000,1,T1,1,100,39.127
1752174602.300254,214078.000,33033,1,T1,1,100,39.197
1752174602.433254,214211.000,33050,1,T1,1,100,39.156
1752174602.566254,214344.000,33067,1,T1,1,100,39.138
1752174602.700254,214478.000,33099,1,T1,1,100,39.273
1752174602.833254,214611.000,33117,1,T1,1,100,39.260
1752174602.966254,214744.000,33134,1,T1,1,100,39.183
1752174603.100254,214878.000,33168,1,T1,1,100,39.115
1752174603.233254,215011.000,33184,1,T1,1,100,39.156
1752174603.366254,215144.000,33202,1,T1,1,100,39.174
1752174603.500254,215278.000,33237,1,T1,1,100,39.253
1752174603.633254,215411.000,33253,1,T1,1,100,39.216
1752174603.766254,215544.000,33271,1,T1,1,100,39.164
1752174603.900254,215678.000,33302,1,T1,1,100,39.177
1752174604.033254,215811.000,33321,1,T1,1,100,39.183
1752174604.166254,215944.000,33340,1,T1,1,100,39.221
1752174604.300254,216078.000,33372,1,T1,1,100,39.131
1752174604.433254,216211.000,33388,1,T1,1,100,39.234
1752174604.566254,216344.000,33405,1,T1,1,100,39.314
1752174604.699254,216477.000,33421,1,T1,1,100,39.242
1752174604.833254,216611.000,33457,1,T1,1,100,39.176
1752174604.966254,216744.000,33474,1,T1,1,100,39.182
1752174605.099254,216877.000,33493,1,T1,1,100,39.221
1752174605.232754,217010.500,33533,2,T1,1,100,39.202
1752174605.366254,217144.000,33533,2,T1,1,100,39.194
1752174605.499254,217277.000,33551,1,T1,1,100,39.155
1752174605.633254,217411.000,33583,1,T1,1,100,39.173
1752174605.766254,217544.000,33600,1,T1,1,100,39.252
1752174605.899254,217677.000,33618,1,T1,1,100,39.251
1752174606.033254,217811.000,33652,1,T1,1,100,39.250
1752174606.166254,217944.000,33669,1,T1,1,100,39.250
1752174606.299254,218077.000,33685,1,T1,1,100,39.250
1752174606.433254,218211.000,33719,1,T1,1,100,39.250
1752174606.566254,218344.000,33738,1,T1,1,100,39.285
1752174606.699254,218477.000,33755,1,T1,1,100,39.194
1752174606.833254,218611.000,33786,1,T1,1,100,39.191
1752174606.966254,218744.000,33803,1,T1,1,100,39.189
1752174607.099254,218877.000,33820,1,T1,1,100,39.153
1752174607.233254,219011.000,33837,1,T1,1,100,39.279
1752174607.366254,219144.000,33873,1,T1,1,100,39.262
1752174607.499254,219277.000,33889,1,T1,1,100,39.220
1752174607.632254,219410.000,33906,1,T1,1,100,39.237
1752174607.766254,219544.000,33940,1,T1,1,100,39.209
1752174607.899254,219677.000,33958,1,T1,1,100,39.197
1752174608.033254,219811.000,33976,1,T1,1,100,39.192
1752174608.166254,219944.000,34007,1,T1,1,100,39.225
1752174608.299254,220077.000,34023,1,T1,1,100,39.168
1752174608.432254,220210.000,34041,1,T1,1,100,39.215
1752174608.566254,220344.000,34076,1,T1,1,100,39.235
1752174608.699254,220477.000,34093,1,T1,1,100,39.208
1752174608.832254,220610.000,34110,1,T1,1,100,39.161
1752174608.966254,220744.000,34144,1,T1,1,100,39.211
1752174609.099254,220877.000,34162,1,T1,1,100,39.233
1752174609.232254,221010.000,34181,1,T1,1,100,39.172
1752174609.366254,221144.000,34197,1,T1,1,100,39.145
1752174609.499254,221277.000,34229,1,T1,1,100,39.205
1752174609.632254,221410.000,34246,1,T1,1,100,39.230
1752174609.766254,221544.000,34265,1,T1,1,100,39.242
1752174609.899254,221677.000,34298,1,T1,1,100,39.246
1752174610.032254,221810.000,34316,1,T1,1,100,39.177
1752174610.166254,221944.000,34334,1,T1,1,100,39.290
1752174610.299254,222077.000,34368,1,T1,1,100,39.338
1752174610.432254,222210.000,34392,1,T1,1,100,39.288
1752174610.566254,222344.000,34408,1,T1,1,100,39.302
1752174610.699254,222477.000,34426,1,T1,1,100,39.237
1752174610.832254,222610.000,34459,1,T1,1,100,39.209
1752174610.965254,222743.000,34475,1,T1,1,100,39.303
