LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752174595.039255,206817.000,31791,1,TL,1,100,2025-07-10_15-09-49-992578
1752174595.052255,206830.000,31794,1,TL,1,100,2025-07-10_15-09-55-045814
1752174600.185254,211963.000,32666,1,TL,1,100,2025-07-10_15-09-55-076418
1752174600.204254,211982.000,32669,1,TL,1,100,2025-07-10_15-10-00-199151
1752174605.295254,217073.000,33519,1,TL,1,100,2025-07-10_15-10-00-254452
1752174605.304254,217082.000,33522,1,TL,1,100,2025-07-10_15-10-05-300754
1752174610.417254,222195.000,34379,1,TL,1,100,2025-07-10_15-10-05-427401
1752174610.442254,222220.000,34382,1,TL,1,100,2025-07-10_15-10-10-436760
1752174615.535253,227313.000,35234,1,TL,1,100,2025-07-10_15-10-10-560529
1752174615.556253,227334.000,35237,1,TL,1,100,2025-07-10_15-10-15-542213
1752174620.654253,232432.000,36093,1,TL,1,100,2025-07-10_15-10-15-681084
1752174620.668253,232446.000,36096,1,TL,1,100,2025-07-10_15-10-20-658703
1752174625.774252,237552.000,36955,1,TL,1,100,2025-07-10_15-10-20-786328
1752174625.786252,237564.000,36958,1,TL,1,100,2025-07-10_15-10-25-777601
1752174630.893252,242671.000,37814,1,TL,1,100,2025-07-10_15-10-25-908884
1752174630.907252,242685.000,37817,1,TL,1,100,2025-07-10_15-10-30-900444
1752174635.999251,247777.000,38669,1,TL,1,100,2025-07-10_15-10-31-029238
1752174636.013251,247791.000,38672,1,TL,1,100,2025-07-10_15-10-36-003920
1752174641.122251,252900.000,39531,1,TL,1,100,2025-07-10_15-10-36-129087
1752174641.145251,252923.000,39534,1,TL,1,100,2025-07-10_15-10-41-128665
1752174646.238251,258016.000,40391,1,TL,1,100,2025-07-10_15-10-41-266976
1752174646.283250,258061.000,40394,1,TL,1,100,2025-07-10_15-10-46-242427
1752174651.352250,263130.000,41246,1,TL,1,100,2025-07-10_15-10-46-369457
1752174651.429250,263207.000,41249,1,TL,1,100,2025-07-10_15-10-51-372252
1752174656.490250,268268.000,42102,1,TL,1,100,2025-07-10_15-10-51-491867
1752174661.612249,273390.000,42965,1,TL,1,100,2025-07-10_15-10-56-502564
1752174661.616249,273394.000,42967,1,TL,1,100,2025-07-10_15-10-56-623591
1752174661.637249,273415.000,42970,1,TL,1,100,2025-07-10_15-11-01-629171
1752174666.731249,278509.000,43820,1,TL,1,100,2025-07-10_15-11-01-748960
1752174666.743249,278521.000,43823,1,TL,1,100,2025-07-10_15-11-06-735295
1752174671.850248,283628.000,44680,1,TL,1,100,2025-07-10_15-11-06-871739
1752174671.877248,283655.000,44683,1,TL,1,100,2025-07-10_15-11-11-854184
1752174676.971248,288749.000,45533,1,TL,1,100,2025-07-10_15-11-11-978934
1752174676.990248,288768.000,45536,1,TL,1,100,2025-07-10_15-11-16-985299
1752174682.101247,293879.000,46379,1,TL,1,100,2025-07-10_15-11-17-129496
1752174682.110247,293888.000,46382,1,TL,1,100,2025-07-10_15-11-22-106082
1752174687.226247,299004.000,47224,1,TL,1,100,2025-07-10_15-11-22-237082
1752174687.242247,299020.000,47227,1,TL,1,100,2025-07-10_15-11-27-232756
1752174692.349247,304127.000,48065,1,TL,1,100,2025-07-10_15-11-27-357074
1752174692.367247,304145.000,48068,1,TL,1,100,2025-07-10_15-11-32-361204
1752174697.467246,309245.000,48905,1,TL,1,100,2025-07-10_15-11-32-484834
1752174697.486246,309264.000,48908,1,TL,1,100,2025-07-10_15-11-37-479216
