RD,TS_received,TS_sent,AK,RoundTrip,
206822,206830,2025-07-10_15-09-55-045814,206833,8,
211967,211982,2025-07-10_15-10-00-199151,211983,15,
217075,217082,2025-07-10_15-10-05-300754,217087,7,
222198,222220,2025-07-10_15-10-10-436760,222221,22,
227315,227334,2025-07-10_15-10-15-542213,227339,19,
232434,232446,2025-07-10_15-10-20-658703,232447,12,
237553,237564,2025-07-10_15-10-25-777601,237565,11,
242673,242685,2025-07-10_15-10-30-900444,242686,12,
247779,247791,2025-07-10_15-10-36-003920,247792,12,
252902,252923,2025-07-10_15-10-41-128665,252924,21,
258018,258061,2025-07-10_15-10-46-242427,258062,43,
263136,263207,2025-07-10_15-10-51-372252,263208,71,
268270,273390,2025-07-10_15-10-56-502564,273392,5120,
273395,273415,2025-07-10_15-11-01-629171,273416,20,
278511,278521,2025-07-10_15-11-06-735295,278522,10,
283630,283655,2025-07-10_15-11-11-854184,283656,25,
288756,288768,2025-07-10_15-11-16-985299,288769,12,
293881,293888,2025-07-10_15-11-22-106082,293892,7,
299005,299020,2025-07-10_15-11-27-232756,299024,15,
304133,304145,2025-07-10_15-11-32-361204,304146,12,
309246,309264,2025-07-10_15-11-37-479216,309265,18,
314370,314383,2025-07-10_15-11-42-597589,314385,13,
319504,319521,2025-07-10_15-11-47-730728,319522,17,
324625,324636,2025-07-10_15-11-52-849959,324637,11,
329745,329760,2025-07-10_15-11-57-969609,329761,15,
334866,334883,2025-07-10_15-12-03-091323,334888,17,
339987,339999,2025-07-10_15-12-08-212532,340000,12,
345103,345122,2025-07-10_15-12-13-329367,345123,19,
350223,350254,2025-07-10_15-12-18-448302,350255,31,
355335,355344,2025-07-10_15-12-23-561666,355345,9,
360459,360467,2025-07-10_15-12-28-684113,360468,8,
365641,365650,2025-07-10_15-12-33-866681,365651,9,
370756,370771,2025-07-10_15-12-38-986437,370773,15,
375876,375887,2025-07-10_15-12-44-103693,375889,11,
380995,381011,2025-07-10_15-12-49-222634,381012,16,
386123,386130,2025-07-10_15-12-54-347831,386131,7,
391244,391252,2025-07-10_15-12-59-468706,391257,8,
396361,396375,2025-07-10_15-13-04-590113,396376,14,
401473,401536,2025-07-10_15-13-09-711683,401537,63,
406590,406609,2025-07-10_15-13-14-823649,406613,19,
411701,411716,2025-07-10_15-13-19-930431,411721,15,
416809,416818,2025-07-10_15-13-25-036192,416819,9,
421920,427044,2025-07-10_15-13-30-147065,427045,5124,
427048,427057,2025-07-10_15-13-35-274358,427058,9,
432152,432162,2025-07-10_15-13-40-378725,432163,10,
437291,437305,2025-07-10_15-13-45-522692,437309,14,
442399,442412,2025-07-10_15-13-50-629953,442414,13,
447532,447572,2025-07-10_15-13-55-762431,447574,40,
452642,452650,2025-07-10_15-14-00-867390,452652,8,
457749,457762,2025-07-10_15-14-05-979779,457763,13,
462881,462892,2025-07-10_15-14-11-106546,462893,11,
467988,468001,2025-07-10_15-14-16-219338,468002,13,
473096,473105,2025-07-10_15-14-21-321965,473107,9,
478222,478233,2025-07-10_15-14-26-447336,478236,11,
483329,483343,2025-07-10_15-14-31-559557,483345,14,
488468,488481,2025-07-10_15-14-36-693740,488485,13,
493571,493581,2025-07-10_15-14-41-798935,493582,10,
498708,498748,2025-07-10_15-14-46-938991,498752,40,
503818,503827,2025-07-10_15-14-52-043521,503832,9,
508952,514086,2025-07-10_15-14-57-182128,514088,5134,
