LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752703216.587494,495271,13696,1,HR,1,100,85.83
1752703217.227495,495911,13794,1,HR,1,100,87.59
1752703217.906497,496590,13915,1,HR,1,100,87.73
1752703218.546498,497230,14015,1,HR,1,100,89.07
1752703219.146500,497830,14118,1,HR,1,100,91.50
1752703219.720501,498404,14219,1,HR,1,100,94.98
1752703220.320502,499004,14327,1,HR,1,100,96.09
1752703220.959504,499643,14430,1,HR,1,100,95.57
1752703221.519505,500203,14513,1,HR,1,100,98.14
1752703222.279507,500963,14648,1,HR,1,100,93.88
1752703222.879508,501563,14752,1,HR,1,100,95.24
1752703223.559510,502243,14855,1,HR,1,100,93.68
1752703224.332512,503016,14992,1,HR,1,100,90.41
1752703224.892513,503576,15091,1,HR,1,100,94.13
1752703225.652515,504336,15216,1,HR,1,100,90.75
1752703226.332516,505016,15331,1,HR,1,100,90.19
1752703227.012518,505696,15449,1,HR,1,100,89.76
1752703227.612519,506296,15534,1,HR,1,100,92.03
1752703228.212521,506896,15637,1,HR,1,100,93.80
1752703228.892522,507576,15759,1,HR,1,100,92.57
1752703229.545524,508229,15877,1,HR,1,100,92.83
1752703230.305526,508989,16003,1,HR,1,100,89.74
1752703230.945527,509629,16105,1,HR,1,100,90.63
1752703231.625529,510309,16224,1,HR,1,100,90.10
1752703232.345530,511029,16346,1,HR,1,100,88.60
1752703233.105532,511789,16482,1,HR,1,100,86.45
1752703233.785534,512469,16585,1,HR,1,100,86.85
1752703234.438535,513122,16704,1,HR,1,100,88.38
1752703235.158537,513842,16824,1,HR,1,100,87.26
1752703235.838538,514522,16936,1,HR,1,100,87.48
1752703236.598540,515282,17073,1,HR,1,100,85.58
1752703237.158541,515842,17158,1,HR,1,100,90.37
1752703237.838543,516522,17280,1,HR,1,100,89.90
1752703238.518544,517202,17399,1,HR,1,100,89.53
1752703239.211546,517895,17520,1,HR,1,100,89.24
1752703239.931548,518615,17639,1,HR,1,100,87.93
1752703240.531549,519215,17749,1,HR,1,100,90.61
1752703241.211551,519895,17849,1,HR,1,100,90.08
1752703241.891552,520575,17969,1,HR,1,100,89.67
1752703242.571554,521255,18091,1,HR,1,100,89.35
1752703243.211555,521895,18191,1,HR,1,100,90.33
1752703243.864557,522548,18296,1,HR,1,100,91.09
1752703244.544558,523228,18414,1,HR,1,100,90.46
1752703245.224560,523908,18536,1,HR,1,100,89.96
1752703245.944562,524628,18657,1,HR,1,100,88.49
1752703246.624563,525308,18774,1,HR,1,100,88.43
1752703247.264565,525948,18877,1,HR,1,100,89.61
1752703247.943566,526627,19001,1,HR,1,100,89.31
1752703248.637568,527321,19120,1,HR,1,100,89.07
1752703249.317569,528001,19225,1,HR,1,100,88.88
1752703249.957571,528641,19343,1,HR,1,100,89.97
1752703250.637572,529321,19451,1,HR,1,100,89.58
1752703251.316574,530000,19568,1,HR,1,100,89.28
1752703251.996576,530680,19690,1,HR,1,100,89.05
1752703252.756577,531440,19809,1,HR,1,100,86.80
1752703253.290579,531974,19898,1,HR,1,100,93.16
1752703254.009580,532693,20015,1,HR,1,100,90.97
1752703254.690582,533374,20135,1,HR,1,100,90.36
1752703255.369583,534053,20256,1,HR,1,100,89.89
1752703255.969585,534653,20362,1,HR,1,100,92.14
1752703256.609586,535293,20465,1,HR,1,100,92.50
1752703257.289588,535973,20585,1,HR,1,100,91.55
1752703258.022590,536706,20655,1,HR,1,100,89.72
1752703258.742591,537426,20678,1,HR,1,100,88.30
1752703259.382593,538066,20722,1,HR,1,100,89.51
1752703260.022594,538706,20823,1,HR,1,100,90.46
1752703260.702596,539386,20943,1,HR,1,100,89.96
1752703261.422597,540106,21067,1,HR,1,100,88.49
1752703262.142599,540826,21187,1,HR,1,100,87.34
1752703262.755600,541439,21290,1,HR,1,100,90.16
1752703263.435602,542119,21409,1,HR,1,100,89.73
1752703264.195604,542879,21530,1,HR,1,100,87.33
1752703264.915605,543599,21648,1,HR,1,100,86.44
1752703265.635607,544319,21769,1,HR,1,100,85.75
1752703266.235609,544919,21876,1,HR,1,100,88.92
1752703266.915610,545599,21994,1,HR,1,100,88.77
1752703267.648612,546332,22112,1,HR,1,100,87.56
1752703268.368613,547052,22233,1,HR,1,100,86.62
1752703269.088615,547772,22353,1,HR,1,100,85.89
1752703269.688617,548372,22454,1,HR,1,100,89.03
1752703270.368618,549052,22573,1,HR,1,100,88.85
1752703271.048620,549732,22698,1,HR,1,100,88.71
1752703271.768621,550452,22803,1,HR,1,100,87.52
1752703272.461623,551145,22921,1,HR,1,100,87.68
1752703273.061624,551745,23025,1,HR,1,100,90.42
1752703273.741626,552425,23131,1,HR,1,100,89.93
1752703274.461628,553145,23250,1,HR,1,100,88.46
1752703275.141629,553825,23370,1,HR,1,100,88.41
1752703275.861631,554545,23489,1,HR,1,100,87.28
1752703276.461632,555145,23601,1,HR,1,100,90.11
1752703277.114634,555798,23719,1,HR,1,100,90.92
1752703277.834635,556518,23834,1,HR,1,100,89.23
1752703278.554637,557238,23957,1,HR,1,100,87.92
1752703279.274639,557958,24072,1,HR,1,100,86.90
1752703279.954640,558638,24190,1,HR,1,100,87.20
1752703280.674642,559358,24309,1,HR,1,100,86.34
1752703281.407644,560091,24436,1,HR,1,100,85.67
1752703282.167645,560851,24555,1,HR,1,100,84.18
1752703282.847647,561531,24677,1,HR,1,100,85.08
1752703283.527648,562211,24794,1,HR,1,100,85.78
1752703284.207650,562891,24896,1,HR,1,100,86.33
1752703284.967652,563651,25034,1,HR,1,100,84.69
1752703285.606653,564290,25133,1,HR,1,100,86.70
1752703286.340655,565024,25273,1,HR,1,100,85.95
1752703286.940656,565624,25295,1,HR,1,100,89.07
1752703287.659658,566343,25317,1,HR,1,100,87.80
1752703288.340660,567024,25381,1,HR,1,100,87.90
1752703289.059661,567743,25498,1,HR,1,100,86.88
1752703289.819663,568503,25632,1,HR,1,100,85.12
1752703290.459665,569143,25735,1,HR,1,100,87.04
1752703291.192666,569876,25855,1,HR,1,100,86.21
1752703291.873668,570557,25979,1,HR,1,100,86.66
1752703292.552669,571236,26102,1,HR,1,100,87.01
1752703293.192671,571876,26204,1,HR,1,100,88.51
1752703293.912672,572596,26324,1,HR,1,100,87.36
1752703294.552674,573236,26426,1,HR,1,100,88.78
