LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752703216.347493,495031.000,13651,1,PG,1,100,2029
1752703216.387493,495071.000,13663,2,PG,1,100,2026
1752703216.427493,495111.000,13663,2,PG,1,100,2025
1752703216.467494,495151.000,13681,3,PG,1,100,2030
1752703216.507494,495191.000,13681,3,PG,1,100,2019
1752703216.547494,495231.000,13681,3,PG,1,100,2018
1752703216.587494,495271.000,13699,2,PG,1,100,2033
1752703216.627494,495311.000,13699,2,PG,1,100,2029
1752703216.667494,495351.000,13716,3,PG,1,100,2029
1752703216.707494,495391.000,13716,3,PG,1,100,2021
1752703216.747494,495431.000,13716,3,PG,1,100,2023
1752703216.787494,495471.000,13731,2,PG,1,100,2033
1752703216.827494,495511.000,13731,2,PG,1,100,2018
1752703216.867494,495551.000,13748,3,PG,1,100,2025
1752703216.907495,495591.000,13748,3,PG,1,100,2020
1752703216.947495,495631.000,13748,3,PG,1,100,2034
1752703216.987495,495671.000,13764,2,PG,1,100,2033
1752703217.027495,495711.000,13764,2,PG,1,100,2017
1752703217.067495,495751.000,13781,3,PG,1,100,2022
1752703217.107495,495791.000,13781,3,PG,1,100,2040
1752703217.147495,495831.000,13781,3,PG,1,100,2046
1752703217.187495,495871.000,13800,3,PG,1,100,2035
1752703217.227495,495911.000,13800,3,PG,1,100,2027
1752703217.267495,495951.000,13800,3,PG,1,100,2033
1752703217.307495,495991.000,13817,2,PG,1,100,2019
1752703217.347496,496031.000,13817,2,PG,1,100,2022
1752703217.387496,496071.000,13833,3,PG,1,100,2037
1752703217.427496,496111.000,13833,3,PG,1,100,2036
1752703217.467496,496151.000,13833,3,PG,1,100,2022
1752703217.507496,496191.000,13851,2,PG,1,100,2035
1752703217.547496,496231.000,13851,2,PG,1,100,2031
1752703217.587163,496270.667,13865,3,PG,1,100,2030
1752703217.626830,496310.333,13865,3,PG,1,100,2031
1752703217.666496,496350.000,13865,3,PG,1,100,2032
1752703217.706496,496390.000,13882,2,PG,1,100,2038
1752703217.746497,496430.000,13882,2,PG,1,100,2029
1752703217.786497,496470.000,13899,3,PG,1,100,2014
1752703217.826497,496510.000,13899,3,PG,1,100,2040
1752703217.866497,496550.000,13899,3,PG,1,100,2046
1752703217.906497,496590.000,13918,2,PG,1,100,2024
1752703217.946497,496630.000,13918,2,PG,1,100,2017
1752703217.986497,496670.000,13932,3,PG,1,100,2029
1752703218.026497,496710.000,13932,3,PG,1,100,2043
