LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752703216.347493,495031.000,13649,1,PI,1,100,145821
1752703216.387493,495071.000,13661,2,PI,1,100,145838
1752703216.427493,495111.000,13661,2,PI,1,100,145842
1752703216.467494,495151.000,13679,3,PI,1,100,145867
1752703216.507494,495191.000,13679,3,PI,1,100,145880
1752703216.547494,495231.000,13679,3,PI,1,100,145899
1752703216.587494,495271.000,13697,2,PI,1,100,145925
1752703216.627494,495311.000,13697,2,PI,1,100,145957
1752703216.667494,495351.000,13714,3,PI,1,100,145974
1752703216.707494,495391.000,13714,3,PI,1,100,146000
1752703216.747494,495431.000,13714,3,PI,1,100,146026
1752703216.787494,495471.000,13729,2,PI,1,100,146046
1752703216.827494,495511.000,13729,2,PI,1,100,146069
1752703216.867494,495551.000,13746,3,PI,1,100,146021
1752703216.907495,495591.000,13746,3,PI,1,100,145956
1752703216.947495,495631.000,13746,3,PI,1,100,145921
1752703216.987495,495671.000,13762,2,PI,1,100,145898
1752703217.027495,495711.000,13762,2,PI,1,100,145906
1752703217.067162,495750.667,13779,3,PI,1,100,145913
1752703217.106828,495790.333,13779,3,PI,1,100,145918
1752703217.146495,495830.000,13779,3,PI,1,100,145936
1752703217.186829,495870.333,13798,3,PI,1,100,145955
1752703217.227162,495910.667,13798,3,PI,1,100,145961
1752703217.267495,495951.000,13798,3,PI,1,100,145982
1752703217.307495,495991.000,13815,2,PI,1,100,146018
1752703217.347496,496031.000,13815,2,PI,1,100,146062
1752703217.387496,496071.000,13831,3,PI,1,100,146075
1752703217.427496,496111.000,13831,3,PI,1,100,146118
1752703217.467496,496151.000,13831,3,PI,1,100,146153
1752703217.507496,496191.000,13849,2,PI,1,100,146100
1752703217.547496,496231.000,13849,2,PI,1,100,146019
1752703217.587163,496270.667,13863,3,PI,1,100,145974
1752703217.626830,496310.333,13863,3,PI,1,100,145969
1752703217.666496,496350.000,13863,3,PI,1,100,145962
1752703217.706496,496390.000,13880,2,PI,1,100,145958
1752703217.746497,496430.000,13880,2,PI,1,100,145977
1752703217.786497,496470.000,13897,3,PI,1,100,145991
1752703217.826497,496510.000,13897,3,PI,1,100,146004
1752703217.866497,496550.000,13897,3,PI,1,100,146020
1752703217.906497,496590.000,13916,2,PI,1,100,146044
1752703217.946497,496630.000,13916,2,PI,1,100,146076
1752703217.986497,496670.000,13930,3,PI,1,100,146103
1752703218.026497,496710.000,13930,3,PI,1,100,146122
1752703218.066497,496750.000,13930,3,PI,1,100,146151
1752703218.106497,496790.000,13947,2,PI,1,100,146194
1752703218.146497,496830.000,13947,2,PI,1,100,146150
1752703218.186498,496870.000,13966,3,PI,1,100,146034
1752703218.226498,496910.000,13966,3,PI,1,100,146017
1752703218.266498,496950.000,13966,3,PI,1,100,145984
1752703218.306498,496990.000,13983,2,PI,1,100,145994
1752703218.346498,497030.000,13983,2,PI,1,100,146008
1752703218.386498,497070.000,13998,3,PI,1,100,146035
1752703218.426498,497110.000,13998,3,PI,1,100,146034
1752703218.466498,497150.000,13998,3,PI,1,100,146013
1752703218.506498,497190.000,14019,3,PI,1,100,146040
1752703218.546498,497230.000,14019,3,PI,1,100,146058
1752703218.586498,497270.000,14019,3,PI,1,100,146086
1752703218.626499,497310.000,14035,2,PI,1,100,146116
1752703218.666499,497350.000,14035,2,PI,1,100,146149
1752703218.706499,497390.000,14052,3,PI,1,100,146181
1752703218.746499,497430.000,14052,3,PI,1,100,146147
1752703218.786499,497470.000,14052,3,PI,1,100,146074
1752703218.826499,497510.000,14069,2,PI,1,100,146044
1752703218.866499,497550.000,14069,2,PI,1,100,146000
1752703218.906499,497590.000,14084,3,PI,1,100,145996
1752703218.946499,497630.000,14084,3,PI,1,100,146003
1752703218.986499,497670.000,14084,3,PI,1,100,145993
1752703219.026499,497710.000,14100,2,PI,1,100,146024
