LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752703216.519494,495203.000,13678,1,SF,1,100,61.1968
1752703216.852494,495536.000,13728,1,SF,1,100,60.4888
1752703217.252495,495936.000,13795,1,SF,1,100,59.7891
1752703217.519496,496203.000,13848,1,SF,1,100,61.1797
1752703217.852497,496536.000,13896,1,SF,1,100,60.4720
1752703218.252498,496936.000,13965,1,SF,1,100,59.7724
1752703218.585498,497269.000,14018,1,SF,1,100,61.1632
1752703218.852499,497536.000,14068,1,SF,1,100,60.4557
1752703219.185500,497869.000,14121,1,SF,1,100,61.8386
1752703219.585501,498269.000,14186,1,SF,1,100,61.1232
1752703219.852501,498536.000,14236,1,SF,1,100,60.4162
1752703220.185502,498869.000,14292,1,SF,1,100,61.7995
1752703220.585503,499269.000,14362,1,SF,1,100,63.1669
1752703220.918504,499602.000,14411,1,SF,1,100,62.4361
1752703221.185504,499869.000,14464,1,SF,1,100,63.7961
1752703221.518505,500202.000,14514,1,SF,1,100,63.0581
1752703221.918506,500602.000,14579,1,SF,1,100,62.3287
1752703222.185507,500869.000,14632,1,SF,1,100,63.6899
1752703222.518508,501202.000,14684,1,SF,1,100,65.0354
1752703222.918508,501602.000,14753,1,SF,1,100,66.3653
1752703223.251509,501935.000,14804,1,SF,1,100,65.5976
1752703223.518510,502202.000,14856,1,SF,1,100,64.8387
1752703223.851511,502535.000,14907,1,SF,1,100,66.1709
1752703224.251512,502935.000,14974,1,SF,1,100,67.4877
1752703224.518512,503202.000,15024,1,SF,1,100,66.7070
1752703224.851513,503535.000,15073,1,SF,1,100,65.9353
1752703225.251514,503935.000,15146,1,SF,1,100,65.1726
1752703225.584515,504268.000,15197,1,SF,1,100,66.5009
1752703225.851515,504535.000,15248,1,SF,1,100,65.7316
1752703226.184516,504868.000,15296,1,SF,1,100,64.9713
1752703226.584517,505268.000,15365,1,SF,1,100,66.3019
1752703226.851518,505535.000,15416,1,SF,1,100,65.5349
