LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752703219.948502,498632.000,14253,1,TL,1,100,2025-07-16_18-00-14-958958
1752703219.961502,498645.000,14256,1,TL,1,100,2025-07-16_18-00-19-954518
1752703225.056513,503740.000,15109,1,TL,1,100,2025-07-16_18-00-20-027507
1752703225.073513,503757.000,15112,1,TL,1,100,2025-07-16_18-00-25-070705
1752703230.182525,508866.000,15980,1,TL,1,100,2025-07-16_18-00-25-101831
1752703230.195525,508879.000,15983,1,TL,1,100,2025-07-16_18-00-30-192456
1752703235.293537,513977.000,16844,1,TL,1,100,2025-07-16_18-00-30-273585
1752703235.302537,513986.000,16847,1,TL,1,100,2025-07-16_18-00-35-299277
1752703240.402549,519086.000,17707,1,TL,1,100,2025-07-16_18-00-35-353006
1752703240.417549,519101.000,17710,1,TL,1,100,2025-07-16_18-00-40-413897
1752703245.531561,524215.000,18584,1,TL,1,100,2025-07-16_18-00-40-443257
1752703245.540561,524224.000,18587,1,TL,1,100,2025-07-16_18-00-45-537517
1752703250.639573,529323.000,19445,1,TL,1,100,2025-07-16_18-00-45-615455
1752703250.651573,529335.000,19448,1,TL,1,100,2025-07-16_18-00-50-646392
1752703255.774584,534458.000,20324,1,TL,1,100,2025-07-16_18-00-50-690043
1752703255.804584,534488.000,20327,1,TL,1,100,2025-07-16_18-00-55-780599
1752703260.898596,539582.000,20977,1,TL,1,100,2025-07-16_18-00-55-888204
1752703260.910596,539594.000,20980,1,TL,1,100,2025-07-16_18-01-00-906985
1752703266.009608,544693.000,21835,1,TL,1,100,2025-07-16_18-01-00-988124
1752703266.019608,544703.000,21838,1,TL,1,100,2025-07-16_18-01-06-016391
1752703271.116620,549800.000,22694,1,TL,1,100,2025-07-16_18-01-06-062876
1752703276.240632,554924.000,23558,1,TL,1,100,2025-07-16_18-01-11-124490
1752703276.242632,554926.000,23560,1,TL,1,100,2025-07-16_18-01-11-246035
1752703276.256632,554940.000,23563,1,TL,1,100,2025-07-16_18-01-16-247617
1752703281.346643,560030.000,24411,1,TL,1,100,2025-07-16_18-01-16-313318
1752703281.355643,560039.000,24414,1,TL,1,100,2025-07-16_18-01-21-351919
1752703286.528655,565212.000,25266,1,TL,1,100,2025-07-16_18-01-21-387070
1752703286.562655,565246.000,25269,1,TL,1,100,2025-07-16_18-01-26-550282
1752703291.663667,570347.000,25940,1,TL,1,100,2025-07-16_18-01-26-594725
1752703291.674667,570358.000,25943,1,TL,1,100,2025-07-16_18-01-31-668927
1752703296.772679,575456.000,26805,1,TL,1,100,2025-07-16_18-01-31-751253
1752703296.807679,575491.000,26808,1,TL,1,100,2025-07-16_18-01-36-778575
1752703301.880691,580564.000,27660,1,TL,1,100,2025-07-16_18-01-36-827938
1752703307.006703,585690.000,28518,1,TL,1,100,2025-07-16_18-01-41-896068
1752703307.008703,585692.000,28520,1,TL,1,100,2025-07-16_18-01-42-018630
1752703307.023703,585707.000,28523,1,TL,1,100,2025-07-16_18-01-47-020605
1752703312.114715,590798.000,29374,1,TL,1,100,2025-07-16_18-01-47-091434
1752703312.140715,590824.000,29377,1,TL,1,100,2025-07-16_18-01-52-137812
1752703317.223726,595907.000,30235,1,TL,1,100,2025-07-16_18-01-52-172243
1752703317.258726,595942.000,30238,1,TL,1,100,2025-07-16_18-01-57-229662
1752703322.331738,601015.000,31093,1,TL,1,100,2025-07-16_18-01-57-280922
1752703322.394738,601078.000,31096,1,TL,1,100,2025-07-16_18-02-02-345305
1752703327.439750,606123.000,31944,1,TL,1,100,2025-07-16_18-02-02-422425
1752703332.563762,611247.000,32802,1,TL,1,100,2025-07-16_18-02-07-451106
1752703332.565762,611249.000,32804,1,TL,1,100,2025-07-16_18-02-07-591214
1752703337.687774,616371.000,33665,1,TL,1,100,2025-07-16_18-02-12-573112
1752703337.690774,616374.000,33667,1,TL,1,100,2025-07-16_18-02-12-691503
1752703337.702774,616386.000,33670,1,TL,1,100,2025-07-16_18-02-17-699985
1752703342.804785,621488.000,34527,1,TL,1,100,2025-07-16_18-02-17-831150
1752703342.844786,621528.000,34530,1,TL,1,100,2025-07-16_18-02-22-811418
1752703347.924797,626608.000,35389,1,TL,1,100,2025-07-16_18-02-22-944720
1752703347.936797,626620.000,35392,1,TL,1,100,2025-07-16_18-02-27-933290
1752703353.043809,631727.000,36244,1,TL,1,100,2025-07-16_18-02-28-053232
1752703353.057809,631741.000,36247,1,TL,1,100,2025-07-16_18-02-33-054141
1752703358.182821,636866.000,37105,1,TL,1,100,2025-07-16_18-02-33-197600
1752703358.193821,636877.000,37108,1,TL,1,100,2025-07-16_18-02-38-190821
1752703363.301833,641985.000,37967,1,TL,1,100,2025-07-16_18-02-38-316855
1752703363.315833,641999.000,37970,1,TL,1,100,2025-07-16_18-02-43-310815
1752703368.420845,647104.000,38822,1,TL,1,100,2025-07-16_18-02-43-436856
1752703368.432845,647116.000,38825,1,TL,1,100,2025-07-16_18-02-48-428888
1752703373.540856,652224.000,39686,1,TL,1,100,2025-07-16_18-02-48-556799
1752703373.572857,652256.000,39689,1,TL,1,100,2025-07-16_18-02-53-552548
1752703378.667868,657351.000,40543,1,TL,1,100,2025-07-16_18-02-53-678547
1752703378.691868,657375.000,40546,1,TL,1,100,2025-07-16_18-02-58-684160
1752703383.777880,662461.000,41400,1,TL,1,100,2025-07-16_18-02-58-807346
1752703383.792880,662476.000,41403,1,TL,1,100,2025-07-16_18-03-03-789682
1752703388.886892,667570.000,42258,1,TL,1,100,2025-07-16_18-03-03-912747
1752703388.897892,667581.000,42261,1,TL,1,100,2025-07-16_18-03-08-894898
1752703394.014904,672698.000,43113,1,TL,1,100,2025-07-16_18-03-09-020134
1752703394.024904,672708.000,43116,1,TL,1,100,2025-07-16_18-03-14-020615
1752703399.121916,677805.000,43958,1,TL,1,100,2025-07-16_18-03-14-143138
1752703399.157916,677841.000,43961,1,TL,1,100,2025-07-16_18-03-19-126658
1752703404.230927,682914.000,44806,1,TL,1,100,2025-07-16_18-03-19-250249
1752703404.244927,682928.000,44809,1,TL,1,100,2025-07-16_18-03-24-238476
1752703409.360939,688044.000,45665,1,TL,1,100,2025-07-16_18-03-24-371247
1752703409.377939,688061.000,45668,1,TL,1,100,2025-07-16_18-03-29-374534
1752703414.482951,693166.000,46514,1,TL,1,100,2025-07-16_18-03-29-494154
1752703414.493951,693177.000,46517,1,TL,1,100,2025-07-16_18-03-34-489038
1752703419.614963,698298.000,47364,1,TL,1,100,2025-07-16_18-03-34-618781
