RD,TS_received,TS_sent,AK,RoundTrip,
498634,498645,2025-07-16_18-00-19-954518,498646,11,
503746,503757,2025-07-16_18-00-25-070705,503758,11,
508872,508879,2025-07-16_18-00-30-192456,508880,7,
513979,513986,2025-07-16_18-00-35-299277,513990,7,
519088,519101,2025-07-16_18-00-40-413897,519102,13,
524217,524224,2025-07-16_18-00-45-537517,524229,7,
529326,529335,2025-07-16_18-00-50-646392,529336,9,
534460,534488,2025-07-16_18-00-55-780599,534489,28,
539583,539594,2025-07-16_18-01-00-906985,539595,11,
544694,544703,2025-07-16_18-01-06-016391,544707,9,
549802,554924,2025-07-16_18-01-11-124490,554925,5122,
554928,554940,2025-07-16_18-01-16-247617,554941,12,
560031,560039,2025-07-16_18-01-21-351919,560040,8,
565213,565246,2025-07-16_18-01-26-550282,565247,33,
570349,570358,2025-07-16_18-01-31-668927,570359,9,
575458,575491,2025-07-16_18-01-36-778575,575492,33,
580565,585690,2025-07-16_18-01-41-896068,585691,5125,
585694,585707,2025-07-16_18-01-47-020605,585708,13,
590804,590824,2025-07-16_18-01-52-137812,590827,20,
595908,595942,2025-07-16_18-01-57-229662,595943,34,
601017,601078,2025-07-16_18-02-02-345305,601080,61,
606129,611247,2025-07-16_18-02-07-451106,611248,5118,
611251,616371,2025-07-16_18-02-12-573112,616373,5120,
616375,616386,2025-07-16_18-02-17-699985,616387,11,
621491,621528,2025-07-16_18-02-22-811418,621529,37,
626610,626620,2025-07-16_18-02-27-933290,626621,10,
631734,631741,2025-07-16_18-02-33-054141,631742,7,
636871,636877,2025-07-16_18-02-38-190821,636878,6,
641990,641999,2025-07-16_18-02-43-310815,642000,9,
647106,647116,2025-07-16_18-02-48-428888,647117,10,
652225,652256,2025-07-16_18-02-53-552548,652257,31,
657352,657375,2025-07-16_18-02-58-684160,657376,23,
662463,662476,2025-07-16_18-03-03-789682,662478,13,
667574,667581,2025-07-16_18-03-08-894898,667582,7,
672700,672708,2025-07-16_18-03-14-020615,672710,8,
677806,677841,2025-07-16_18-03-19-126658,677842,35,
682915,682928,2025-07-16_18-03-24-238476,682929,13,
688046,688061,2025-07-16_18-03-29-374534,688065,15,
693167,693177,2025-07-16_18-03-34-489038,693178,10,
698299,698306,2025-07-16_18-03-39-619801,698307,7,
703419,703429,2025-07-16_18-03-44-741770,703430,10,
708543,708571,2025-07-16_18-03-49-865162,708573,28,
713659,713671,2025-07-16_18-03-54-985042,713673,12,
718782,718791,2025-07-16_18-04-00-102931,718792,9,
723898,723910,2025-07-16_18-04-05-223570,723911,12,
729014,729021,2025-07-16_18-04-10-334005,729023,7,
734133,734141,2025-07-16_18-04-15-454073,734142,8,
739243,739253,2025-07-16_18-04-20-567394,739255,10,
744369,744380,2025-07-16_18-04-25-691643,744381,11,
749492,749500,2025-07-16_18-04-30-811987,749501,8,
754611,754619,2025-07-16_18-04-35-931967,754620,8,
759728,759738,2025-07-16_18-04-41-048926,759739,10,
764850,764859,2025-07-16_18-04-46-170205,764860,9,
769980,770020,2025-07-16_18-04-51-309459,770022,40,
775099,775110,2025-07-16_18-04-56-421305,775111,11,
780223,780230,2025-07-16_18-05-01-543313,780232,7,
785341,785350,2025-07-16_18-05-06-661832,785351,9,
790458,790465,2025-07-16_18-05-11-778770,790469,7,
795574,795608,2025-07-16_18-05-16-894998,795610,34,
800696,800708,2025-07-16_18-05-22-021907,800709,12,
805821,805828,2025-07-16_18-05-27-141417,805829,7,
810949,810956,2025-07-16_18-05-32-269808,810960,7,
816055,816067,2025-07-16_18-05-37-376742,816068,12,
821190,821199,2025-07-16_18-05-42-511101,821200,9,
826298,826337,2025-07-16_18-05-47-622274,826338,39,
831406,836531,2025-07-16_18-05-52-728347,836533,5125,
836536,836545,2025-07-16_18-05-57-857233,836546,9,
841641,841654,2025-07-16_18-06-02-966891,841655,13,
846783,846790,2025-07-16_18-06-08-104330,846791,7,
851891,851929,2025-07-16_18-06-13-213843,851930,38,
856999,857013,2025-07-16_18-06-18-327142,857015,14,
862124,862136,2025-07-16_18-06-23-450073,862137,12,
867235,867243,2025-07-16_18-06-28-556164,867248,8,
872369,872376,2025-07-16_18-06-33-690042,872380,7,
877478,877515,2025-07-16_18-06-38-799408,877516,37,
882586,887701,2025-07-16_18-06-43-911363,887702,5115,
887712,887719,2025-07-16_18-06-49-033780,887720,7,
892810,892826,2025-07-16_18-06-54-140253,892827,16,
897945,897967,2025-07-16_18-06-59-273562,897973,22,
903052,903061,2025-07-16_18-07-04-375242,903064,9,
908186,908203,2025-07-16_18-07-09-516595,908204,17,
913298,913305,2025-07-16_18-07-14-619095,913310,7,
918405,918423,2025-07-16_18-07-19-736613,918424,18,
923531,923554,2025-07-16_18-07-24-851782,923556,23,
928642,928656,2025-07-16_18-07-29-970850,928658,14,
