LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
9.155552842799157e-07,0.0,0.0,-0.00026276436658833577,0.0
-9.155552842799157e-07,9.155552842799157e-07,3.845332193975646e-05,0.0004358043153172399,0.008
-1.73955504013184e-05,1.3733329264198735e-05,0.00010437330240791038,0.000347911008026368,0.016
-1.8311105685598312e-05,1.098666341135899e-05,0.00015198217719046602,0.00030396435438093204,0.024
-7.232886745811333e-05,1.098666341135899e-05,0.00021790215765861995,-0.00017853328043458355,0.032
-0.00010711996826075013,-9.155552842799157e-07,0.00024170659504989774,-0.0006665242469557786,0.04
-0.0001391644032105472,1.8311105685598313e-06,0.00026551103244117557,-0.0003927732169560838,0.048
-0.0001702932828760643,-1.8311105685598313e-06,0.0002334665974913785,0.000292977690969573,0.056
-0.00021973326822717976,-4.577776421399578e-06,0.00017853328043458355,0.0008816797387615588,0.064
-0.00021332438123722035,-7.324442274239325e-06,0.0001620532853175451,0.0010171819208349864,0.072
-0.00021423993652150026,-4.577776421399578e-06,0.00015289773247474593,0.0009924619281594287,0.08
-0.00021423993652150026,-4.577776421399578e-06,0.00014557329020050658,0.0008560441908017212,0.088
-0.00020691549424726096,-5.493331705679495e-06,0.0001400799584948271,0.000737937559129612,0.096
-0.0001995910519730216,-4.577776421399578e-06,0.00015381328775902585,0.0005218665120395519,0.104
-0.0001931821649830622,-4.577776421399578e-06,0.00014374217963194678,0.0004989776299325541,0.112
-0.00019226660969878228,-4.577776421399578e-06,0.00013824884792626728,0.00047517319254127623,0.12
-0.00019043549913022245,-2.7466658528397473e-06,0.00013275551622058779,0.0003048799096652119,0.128
-0.00018402661214026307,-4.577776421399578e-06,0.0001281777397991882,0.00023529770805993833,0.136
-0.00017853328043458355,-2.7466658528397473e-06,0.0001345866267891476,1.464888454847865e-05,0.144
-0.000173955504013184,-3.6622211371196626e-06,0.0001272621845149083,0.0,0.152
-0.00017120883816034425,-1.8311105685598313e-06,0.00012359996337778863,-0.0001226844080935087,0.16
-0.00016846217230750447,-2.7466658528397473e-06,0.00011902218695638905,-0.00021698660237434004,0.168
-0.000162968840601825,-1.8311105685598313e-06,0.00011535996581926937,-0.000368968779564806,0.176
-0.0001583910641804254,-2.7466658528397473e-06,0.0001171910763878292,-0.000488906521805475,0.184
-0.00015381328775902585,-1.8311105685598313e-06,0.00011261329996642963,-0.0006125064851832636,0.192
-0.0001510666219061861,-1.8311105685598313e-06,0.00010895107882930998,-0.0006802575762199774,0.2
