LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752794194.533212,574941.000,27730,3,AY,1,100,0.035
1752794194.533212,574941.000,27730,3,AY,1,100,0.037
1752794194.533212,574941.000,27730,3,AY,1,100,0.031
1752794194.573212,574981.000,27747,2,AY,1,100,0.035
1752794194.613212,575021.000,27747,2,AY,1,100,0.025
1752794194.653212,575061.000,27763,3,AY,1,100,0.017
1752794194.693212,575101.000,27763,3,AY,1,100,0.007
1752794194.733212,575141.000,27763,3,AY,1,100,-0.005
1752794194.773213,575181.000,27780,2,AY,1,100,-0.009
1752794194.813213,575221.000,27780,2,AY,1,100,-0.001
1752794194.853213,575261.000,27797,3,AY,1,100,-0.009
1752794194.893213,575301.000,27797,3,AY,1,100,-0.016
1752794194.933213,575341.000,27797,3,AY,1,100,-0.003
1752794194.973213,575381.000,27814,2,AY,1,100,0.015
1752794195.013213,575421.000,27814,2,AY,1,100,0.019
1752794195.053213,575461.000,27832,3,AY,1,100,0.019
1752794195.093214,575501.000,27832,3,AY,1,100,0.014
1752794195.133214,575541.000,27832,3,AY,1,100,0.013
1752794195.173214,575581.000,27848,2,AY,1,100,0.011
1752794195.213214,575621.000,27848,2,AY,1,100,0.014
1752794195.253214,575661.000,27864,3,AY,1,100,0.014
1752794195.293214,575701.000,27864,3,AY,1,100,0.024
1752794195.333214,575741.000,27864,3,AY,1,100,0.022
1752794195.373214,575781.000,27881,3,AY,1,100,0.019
1752794195.413215,575821.000,27881,3,AY,1,100,0.007
1752794195.453215,575861.000,27881,3,AY,1,100,0.003
1752794195.493215,575901.000,27898,2,AY,1,100,0.000
1752794195.533215,575941.000,27898,2,AY,1,100,0.000
1752794195.573215,575981.000,27913,3,AY,1,100,0.000
1752794195.613215,576021.000,27913,3,AY,1,100,0.004
1752794195.653215,576061.000,27913,3,AY,1,100,0.001
1752794195.693215,576101.000,27931,2,AY,1,100,0.006
1752794195.733216,576141.000,27931,2,AY,1,100,0.009
1752794195.768549,576176.333,27948,3,AY,1,100,0.012
1752794195.803882,576211.667,27948,3,AY,1,100,0.011
1752794195.839216,576247.000,27948,3,AY,1,100,0.013
1752794195.879216,576287.000,27971,5,AY,1,100,0.001
1752794195.919216,576327.000,27971,5,AY,1,100,0.000
1752794195.959216,576367.000,27971,5,AY,1,100,0.003
1752794195.999216,576407.000,27971,5,AY,1,100,0.004
1752794196.039216,576447.000,27971,5,AY,1,100,0.005
1752794196.079217,576487.000,27985,3,AY,1,100,0.004
1752794196.119217,576527.000,27985,3,AY,1,100,-0.002
1752794196.159217,576567.000,27985,3,AY,1,100,-0.003
1752794196.199217,576607.000,28003,2,AY,1,100,-0.008
1752794196.239217,576647.000,28003,2,AY,1,100,-0.005
1752794196.279217,576687.000,28019,3,AY,1,100,-0.004
1752794196.319217,576727.000,28019,3,AY,1,100,-0.004
1752794196.359217,576767.000,28019,3,AY,1,100,-0.001
1752794196.399218,576807.000,28040,2,AY,1,100,0.001
1752794196.439218,576847.000,28040,2,AY,1,100,0.009
1752794196.479218,576887.000,28055,3,AY,1,100,0.003
1752794196.519218,576927.000,28055,3,AY,1,100,0.005
1752794196.559218,576967.000,28055,3,AY,1,100,0.002
1752794196.599218,577007.000,28072,2,AY,1,100,-0.006
1752794196.639218,577047.000,28072,2,AY,1,100,-0.005
1752794196.679218,577087.000,28088,3,AY,1,100,0.003
1752794196.719219,577127.000,28088,3,AY,1,100,0.009
1752794196.759219,577167.000,28088,3,AY,1,100,0.014
1752794196.799219,577207.000,28106,3,AY,1,100,0.009
1752794196.839219,577247.000,28106,3,AY,1,100,-0.007
1752794196.879219,577287.000,28106,3,AY,1,100,-0.007
1752794196.919219,577327.000,28122,2,AY,1,100,0.003
1752794196.959219,577367.000,28122,2,AY,1,100,0.010
1752794196.999219,577407.000,28139,3,AY,1,100,0.009
1752794197.039220,577447.000,28139,3,AY,1,100,0.003
1752794197.079220,577487.000,28139,3,AY,1,100,-0.006
1752794197.119220,577527.000,28155,2,AY,1,100,0.002
1752794197.159220,577567.000,28155,2,AY,1,100,-0.001
1752794197.199220,577607.000,28175,3,AY,1,100,-0.003
1752794197.239220,577647.000,28175,3,AY,1,100,-0.006
1752794197.279220,577687.000,28175,3,AY,1,100,-0.005
1752794197.319220,577727.000,28189,2,AY,1,100,-0.002
1752794197.359221,577767.000,28189,2,AY,1,100,0.002
1752794197.399221,577807.000,28206,3,AY,1,100,0.001
1752794197.439221,577847.000,28206,3,AY,1,100,0.006
1752794197.479221,577887.000,28206,3,AY,1,100,0.003
1752794197.519221,577927.000,28225,2,AY,1,100,0.000
1752794197.559221,577967.000,28225,2,AY,1,100,0.003
1752794197.599221,578007.000,28244,3,AY,1,100,0.000
1752794197.639221,578047.000,28244,3,AY,1,100,0.004
1752794197.679222,578087.000,28244,3,AY,1,100,-0.004
