LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752794195.831216,576239.000,27957,1,B%,1,100,100
1752794200.830231,581238.000,28781,1,B%,1,100,100
1752794205.830247,586238.000,29643,1,B%,1,100,100
1752794210.829262,591237.000,30470,1,B%,1,100,100
1752794215.829277,596237.000,31308,1,B%,1,100,100
1752794220.828292,601236.000,32157,1,B%,1,100,100
1752794225.828308,606236.000,33017,1,B%,1,100,100
1752794230.827323,611235.000,33848,1,B%,1,100,100
1752794235.827338,616235.000,34687,1,B%,1,100,100
1752794240.826354,621234.000,35516,1,B%,1,100,100
1752794245.826369,626234.000,36366,1,B%,1,100,100
1752794250.825384,631233.000,37220,1,B%,1,100,100
1752794255.825400,636233.000,38057,1,B%,1,100,100
1752794260.824415,641232.000,38900,1,B%,1,100,100
1752794265.824430,646232.000,39742,1,B%,1,100,100
1752794270.823446,651231.000,40591,1,B%,1,100,100
1752794275.823461,656231.000,41427,1,B%,1,100,100
1752794280.822476,661230.000,42250,1,B%,1,100,100
1752794285.822492,666230.000,43080,1,B%,1,100,100
1752794290.821507,671229.000,43907,1,B%,1,100,100
1752794295.821522,676229.000,44734,1,B%,1,100,100
1752794300.820538,681228.000,45562,1,B%,1,100,100
1752794305.820553,686228.000,46385,1,B%,1,100,100
1752794310.819568,691227.000,47211,1,B%,1,100,100
1752794315.819584,696227.000,48018,1,B%,1,100,100
1752794320.818599,701226.000,48849,1,B%,1,100,100
1752794325.818614,706226.000,49678,1,B%,1,100,100
1752794330.817630,711225.000,50503,1,B%,1,100,100
1752794335.817645,716225.000,51323,1,B%,1,100,100
1752794340.816660,721224.000,52148,1,B%,1,100,100
1752794345.816676,726224.000,52974,1,B%,1,100,100
1752794350.815691,731223.000,53797,1,B%,1,100,100
1752794355.815706,736223.000,54604,1,B%,1,100,100
1752794360.814722,741222.000,55426,1,B%,1,100,100
1752794365.814737,746222.000,56252,1,B%,1,100,100
1752794370.813752,751221.000,57076,1,B%,1,100,100
1752794375.813768,756221.000,57903,1,B%,1,100,100
1752794380.812783,761220.000,58710,1,B%,1,100,100
1752794385.812798,766220.000,59534,1,B%,1,100,100
1752794390.811814,771219.000,60360,1,B%,1,100,100
1752794395.811829,776219.000,61182,1,B%,1,100,100
1752794400.810844,781218.000,62007,1,B%,1,100,100
1752794405.810860,786218.000,62828,1,B%,1,100,100
1752794410.809875,791217.000,63653,1,B%,1,100,100
1752794415.809890,796217.000,64468,1,B%,1,100,100
1752794420.808906,801216.000,65293,1,B%,1,100,100
1752794425.808921,806216.000,564,1,B%,1,100,100
1752794430.807936,811215.000,1406,1,B%,1,100,100
1752794435.807952,816215.000,2228,1,B%,1,100,100
1752794440.806967,821214.000,3035,1,B%,1,100,100
1752794445.806982,826214.000,3860,1,B%,1,100,100
1752794450.805998,831213.000,4698,1,B%,1,100,100
1752794455.806013,836213.000,5523,1,B%,1,100,100
1752794460.805028,841212.000,6351,1,B%,1,100,100
1752794465.805044,846212.000,7173,1,B%,1,100,100
1752794470.804059,851211.000,8013,1,B%,1,100,100
1752794475.804074,856211.000,8835,1,B%,1,100,100
1752794480.803090,861210.000,9660,1,B%,1,100,100
1752794485.803105,866210.000,10483,1,B%,1,100,100
1752794490.802120,871209.000,11323,1,B%,1,100,100
1752794495.802136,876209.000,12146,1,B%,1,100,100
1752794500.801151,881208.000,12970,1,B%,1,100,100
1752794505.801166,886208.000,13792,1,B%,1,100,100
1752794510.800182,891207.000,14612,1,B%,1,100,100
1752794515.800197,896207.000,15452,1,B%,1,100,100
1752794520.799212,901206.000,16277,1,B%,1,100,100
