LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752794194.533212,574941.000,27722,3,PI,1,100,157573
1752794194.533212,574941.000,27722,3,PI,1,100,157588
1752794194.533212,574941.000,27722,3,PI,1,100,157595
1752794194.573212,574981.000,27739,2,PI,1,100,157632
1752794194.613212,575021.000,27739,2,PI,1,100,157665
1752794194.653212,575061.000,27755,3,PI,1,100,157647
1752794194.693212,575101.000,27755,3,PI,1,100,157590
1752794194.733212,575141.000,27755,3,PI,1,100,157537
1752794194.773213,575181.000,27774,2,PI,1,100,157521
1752794194.813213,575221.000,27774,2,PI,1,100,157525
1752794194.853213,575261.000,27789,3,PI,1,100,157524
1752794194.893213,575301.000,27789,3,PI,1,100,157539
1752794194.933213,575341.000,27789,3,PI,1,100,157520
1752794194.973213,575381.000,27806,2,PI,1,100,157515
1752794195.013213,575421.000,27806,2,PI,1,100,157543
1752794195.053213,575461.000,27824,3,PI,1,100,157587
1752794195.093214,575501.000,27824,3,PI,1,100,157611
1752794195.133214,575541.000,27824,3,PI,1,100,157635
1752794195.173214,575581.000,27842,2,PI,1,100,157649
1752794195.213214,575621.000,27842,2,PI,1,100,157667
1752794195.253214,575661.000,27856,3,PI,1,100,157677
1752794195.293214,575701.000,27856,3,PI,1,100,157667
1752794195.333214,575741.000,27856,3,PI,1,100,157628
1752794195.373214,575781.000,27873,3,PI,1,100,157586
1752794195.413215,575821.000,27873,3,PI,1,100,157560
1752794195.453215,575861.000,27873,3,PI,1,100,157572
1752794195.493215,575901.000,27890,2,PI,1,100,157572
1752794195.533215,575941.000,27890,2,PI,1,100,157591
1752794195.573215,575981.000,27907,3,PI,1,100,157592
1752794195.613215,576021.000,27907,3,PI,1,100,157589
1752794195.653215,576061.000,27907,3,PI,1,100,157599
1752794195.693215,576101.000,27923,2,PI,1,100,157606
1752794195.733216,576141.000,27923,2,PI,1,100,157615
1752794195.773216,576181.000,27940,3,PI,1,100,157659
1752794195.813216,576221.000,27940,3,PI,1,100,157657
1752794195.853216,576261.000,27940,3,PI,1,100,157686
1752794195.893216,576301.000,27963,5,PI,1,100,157688
1752794195.933216,576341.000,27963,5,PI,1,100,157661
1752794195.973216,576381.000,27963,5,PI,1,100,157625
1752794196.013216,576421.000,27963,5,PI,1,100,157614
1752794196.053217,576461.000,27963,5,PI,1,100,157591
1752794196.093217,576501.000,27979,2,PI,1,100,157575
1752794196.133217,576541.000,27979,2,PI,1,100,157594
1752794196.177550,576585.333,27995,3,PI,1,100,157565
1752794196.221884,576629.667,27995,3,PI,1,100,157559
1752794196.266217,576674.000,27995,3,PI,1,100,157560
1752794196.306217,576714.000,28011,2,PI,1,100,157577
1752794196.346217,576754.000,28011,2,PI,1,100,157612
1752794196.386218,576794.000,28032,3,PI,1,100,157612
1752794196.426218,576834.000,28032,3,PI,1,100,157618
1752794196.466218,576874.000,28032,3,PI,1,100,157648
1752794196.506218,576914.000,28049,2,PI,1,100,157659
1752794196.546218,576954.000,28049,2,PI,1,100,157630
1752794196.586218,576994.000,28064,3,PI,1,100,157586
1752794196.626218,577034.000,28064,3,PI,1,100,157546
1752794196.666218,577074.000,28064,3,PI,1,100,157531
1752794196.706219,577114.000,28080,2,PI,1,100,157533
1752794196.746219,577154.000,28080,2,PI,1,100,157537
1752794196.786219,577194.000,28098,3,PI,1,100,157547
1752794196.826219,577234.000,28098,3,PI,1,100,157558
1752794196.866219,577274.000,28098,3,PI,1,100,157556
1752794196.906219,577314.000,28116,2,PI,1,100,157583
1752794196.946219,577354.000,28116,2,PI,1,100,157581
1752794196.986219,577394.000,28131,3,PI,1,100,157604
1752794197.026220,577434.000,28131,3,PI,1,100,157600
1752794197.066220,577474.000,28131,3,PI,1,100,157609
1752794197.106220,577514.000,28147,2,PI,1,100,157642
1752794197.146220,577554.000,28147,2,PI,1,100,157615
1752794197.186220,577594.000,28167,3,PI,1,100,157575
1752794197.226220,577634.000,28167,3,PI,1,100,157545
1752794197.266220,577674.000,28167,3,PI,1,100,157548
1752794197.306220,577714.000,28183,3,PI,1,100,157523
1752794197.346221,577754.000,28183,3,PI,1,100,157532
1752794197.386221,577794.000,28183,3,PI,1,100,157567
1752794197.426221,577834.000,28198,2,PI,1,100,157557
1752794197.466221,577874.000,28198,2,PI,1,100,157570
1752794197.506221,577914.000,28217,3,PI,1,100,157583
1752794197.546221,577954.000,28217,3,PI,1,100,157592
1752794197.586221,577994.000,28217,3,PI,1,100,157604
1752794197.626221,578034.000,28236,2,PI,1,100,157619
1752794197.666221,578074.000,28236,2,PI,1,100,157652
1752794197.706222,578114.000,28252,3,PI,1,100,157646
1752794197.746222,578154.000,28252,3,PI,1,100,157607
1752794197.786222,578194.000,28252,3,PI,1,100,157576
1752794197.826222,578234.000,28269,2,PI,1,100,157551
1752794197.866222,578274.000,28269,2,PI,1,100,157529
1752794197.906222,578314.000,28284,3,PI,1,100,157525
1752794197.946222,578354.000,28284,3,PI,1,100,157536
1752794197.986222,578394.000,28284,3,PI,1,100,157545
1752794198.026223,578434.000,28303,2,PI,1,100,157574
1752794198.066223,578474.000,28303,2,PI,1,100,157563
1752794198.106223,578514.000,28321,3,PI,1,100,157591
1752794198.146223,578554.000,28321,3,PI,1,100,157591
1752794198.186223,578594.000,28321,3,PI,1,100,157605
1752794198.226223,578634.000,28338,2,PI,1,100,157636
1752794198.266223,578674.000,28338,2,PI,1,100,157631
1752794198.306223,578714.000,28353,3,PI,1,100,157640
1752794198.346224,578754.000,28353,3,PI,1,100,157619
1752794198.386224,578794.000,28353,3,PI,1,100,157572
1752794198.426224,578834.000,28370,2,PI,1,100,157555
1752794198.466224,578874.000,28370,2,PI,1,100,157534
1752794198.506224,578914.000,28387,3,PI,1,100,157536
1752794198.546224,578954.000,28387,3,PI,1,100,157557
1752794198.586224,578994.000,28387,3,PI,1,100,157569
1752794198.626224,579034.000,28406,2,PI,1,100,157559
1752794198.666225,579074.000,28406,2,PI,1,100,157579
1752794198.706225,579114.000,28422,3,PI,1,100,157580
1752794198.746225,579154.000,28422,3,PI,1,100,157586
1752794198.786225,579194.000,28422,3,PI,1,100,157600
1752794198.826225,579234.000,28442,3,PI,1,100,157615
1752794198.866225,579274.000,28442,3,PI,1,100,157636
1752794198.906225,579314.000,28442,3,PI,1,100,157656
1752794198.946225,579354.000,28458,2,PI,1,100,157612
1752794198.986226,579394.000,28458,2,PI,1,100,157566
1752794199.026226,579434.000,28475,3,PI,1,100,157560
1752794199.066226,579474.000,28475,3,PI,1,100,157545
1752794199.106226,579514.000,28475,3,PI,1,100,157554
1752794199.146226,579554.000,28492,2,PI,1,100,157563
1752794199.186226,579594.000,28492,2,PI,1,100,157550
1752794199.226226,579634.000,28511,3,PI,1,100,157584
1752794199.266226,579674.000,28511,3,PI,1,100,157583
1752794199.306227,579714.000,28511,3,PI,1,100,157582
1752794199.346227,579754.000,28527,2,PI,1,100,157596
1752794199.386227,579794.000,28527,2,PI,1,100,157628
1752794199.426227,579834.000,28546,3,PI,1,100,157634
1752794199.466227,579874.000,28546,3,PI,1,100,157644
1752794199.506227,579914.000,28546,3,PI,1,100,157634
1752794199.546227,579954.000,28561,2,PI,1,100,157596
1752794199.586227,579994.000,28561,2,PI,1,100,157563
1752794199.626227,580034.000,28578,3,PI,1,100,157545
1752794199.666228,580074.000,28578,3,PI,1,100,157552
1752794199.706228,580114.000,28578,3,PI,1,100,157529
1752794199.746228,580154.000,28596,2,PI,1,100,157555
1752794199.786228,580194.000,28596,2,PI,1,100,157573
1752794199.826228,580234.000,28616,3,PI,1,100,157559
1752794199.866228,580274.000,28616,3,PI,1,100,157571
1752794199.906228,580314.000,28616,3,PI,1,100,157574
1752794199.946228,580354.000,28630,2,PI,1,100,157603
1752794199.986229,580394.000,28630,2,PI,1,100,157613
1752794200.026229,580434.000,28647,3,PI,1,100,157611
1752794200.066229,580474.000,28647,3,PI,1,100,157621
1752794200.106229,580514.000,28647,3,PI,1,100,157561
1752794200.146229,580554.000,28664,3,PI,1,100,157530
1752794200.186229,580594.000,28664,3,PI,1,100,157522
1752794200.226229,580634.000,28664,3,PI,1,100,157517
1752794200.266229,580674.000,28681,2,PI,1,100,157524
1752794200.306230,580714.000,28681,2,PI,1,100,157538
1752794200.346230,580754.000,28696,3,PI,1,100,157545
1752794200.386230,580794.000,28696,3,PI,1,100,157545
1752794200.426230,580834.000,28696,3,PI,1,100,157559
1752794200.466230,580874.000,28717,2,PI,1,100,157569
1752794200.506230,580914.000,28717,2,PI,1,100,157566
1752794200.546230,580954.000,28733,3,PI,1,100,157598
1752794200.586230,580994.000,28733,3,PI,1,100,157612
1752794200.626231,581034.000,28733,3,PI,1,100,157612
1752794200.666231,581074.000,28750,2,PI,1,100,157587
1752794200.706231,581114.000,28750,2,PI,1,100,157556
1752794200.746231,581154.000,28766,3,PI,1,100,157535
1752794200.786231,581194.000,28766,3,PI,1,100,157517
1752794200.826231,581234.000,28766,3,PI,1,100,157509
1752794200.872731,581280.500,28784,2,PI,1,100,157537
1752794200.919231,581327.000,28784,2,PI,1,100,157520
1752794200.959232,581367.000,28800,2,PI,1,100,157529
1752794200.999232,581407.000,28800,2,PI,1,100,157556
1752794201.039232,581447.000,28828,3,PI,1,100,157570
1752794201.079232,581487.000,28828,3,PI,1,100,157567
1752794201.119232,581527.000,28828,3,PI,1,100,157587
1752794201.159232,581567.000,28845,3,PI,1,100,157594
1752794201.199232,581607.000,28845,3,PI,1,100,157621
1752794201.239232,581647.000,28845,3,PI,1,100,157643
1752794201.279233,581687.000,28860,2,PI,1,100,157625
1752794201.319233,581727.000,28860,2,PI,1,100,157581
1752794201.359233,581767.000,28876,3,PI,1,100,157539
1752794201.399233,581807.000,28876,3,PI,1,100,157524
1752794201.439233,581847.000,28876,3,PI,1,100,157521
1752794201.479233,581887.000,28894,2,PI,1,100,157533
1752794201.519233,581927.000,28894,2,PI,1,100,157554
1752794201.559233,581967.000,28914,3,PI,1,100,157558
1752794201.599234,582007.000,28914,3,PI,1,100,157552
