LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752794194.533212,574941.000,27723,3,PR,1,100,66153
1752794194.533212,574941.000,27723,3,PR,1,100,66145
1752794194.533212,574941.000,27723,3,PR,1,100,66177
1752794194.573212,574981.000,27740,2,PR,1,100,66161
1752794194.613212,575021.000,27740,2,PR,1,100,66153
1752794194.653212,575061.000,27756,3,PR,1,100,66154
1752794194.693212,575101.000,27756,3,PR,1,100,66146
1752794194.733212,575141.000,27756,3,PR,1,100,66155
1752794194.773213,575181.000,27775,2,PR,1,100,66135
1752794194.813213,575221.000,27775,2,PR,1,100,66154
1752794194.853213,575261.000,27790,3,PR,1,100,66159
1752794194.893213,575301.000,27790,3,PR,1,100,66145
1752794194.933213,575341.000,27790,3,PR,1,100,66120
1752794194.973213,575381.000,27807,2,PR,1,100,66111
1752794195.013213,575421.000,27807,2,PR,1,100,66126
1752794195.053213,575461.000,27825,3,PR,1,100,66103
1752794195.093214,575501.000,27825,3,PR,1,100,66107
1752794195.133214,575541.000,27825,3,PR,1,100,66116
1752794195.173214,575581.000,27843,2,PR,1,100,66133
1752794195.213214,575621.000,27843,2,PR,1,100,66118
1752794195.253214,575661.000,27857,3,PR,1,100,66129
1752794195.293214,575701.000,27857,3,PR,1,100,66143
1752794195.333214,575741.000,27857,3,PR,1,100,66131
1752794195.373214,575781.000,27874,3,PR,1,100,66124
1752794195.413215,575821.000,27874,3,PR,1,100,66143
1752794195.453215,575861.000,27874,3,PR,1,100,66155
1752794195.493215,575901.000,27891,2,PR,1,100,66133
1752794195.533215,575941.000,27891,2,PR,1,100,66142
1752794195.573215,575981.000,27908,3,PR,1,100,66141
1752794195.613215,576021.000,27908,3,PR,1,100,66146
1752794195.653215,576061.000,27908,3,PR,1,100,66133
1752794195.693215,576101.000,27924,2,PR,1,100,66156
1752794195.733216,576141.000,27924,2,PR,1,100,66146
1752794195.773216,576181.000,27941,3,PR,1,100,66151
1752794195.813216,576221.000,27941,3,PR,1,100,66147
1752794195.853216,576261.000,27941,3,PR,1,100,66148
1752794195.893216,576301.000,27964,5,PR,1,100,66163
1752794195.933216,576341.000,27964,5,PR,1,100,66161
1752794195.973216,576381.000,27964,5,PR,1,100,66155
1752794196.013216,576421.000,27964,5,PR,1,100,66169
1752794196.053217,576461.000,27964,5,PR,1,100,66143
