LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752794194.531212,574939.000,27721,1,SF,1,100,111.6658
1752794194.931213,575339.000,27788,1,SF,1,100,112.4563
1752794195.198214,575606.000,27841,1,SF,1,100,111.1554
1752794195.531215,575939.000,27889,1,SF,1,100,109.8696
1752794196.065217,576473.000,27962,1,SF,1,100,108.5986
1752794196.265217,576673.000,27994,1,SF,1,100,107.3423
1752794196.531218,576939.000,28048,1,SF,1,100,108.1828
1752794196.865219,577273.000,28097,1,SF,1,100,106.9313
1752794197.265220,577673.000,28164,1,SF,1,100,105.6943
1752794197.531221,577939.000,28216,1,SF,1,100,106.5539
1752794197.864222,578272.000,28268,1,SF,1,100,107.4035
1752794198.264223,578672.000,28337,1,SF,1,100,108.2433
1752794198.598224,579006.000,28386,1,SF,1,100,106.9912
1752794198.864225,579272.000,28441,1,SF,1,100,109.9180
1752794199.198226,579606.000,28491,1,SF,1,100,110.7287
1752794199.598227,580006.000,28560,1,SF,1,100,111.5301
1752794199.864228,580272.000,28615,1,SF,1,100,112.3221
1752794200.198229,580606.000,28663,1,SF,1,100,111.0228
1752794200.531230,580939.000,28716,1,SF,1,100,111.8207
1752794200.931231,581339.000,28783,1,SF,1,100,110.5272
1752794201.198232,581606.000,28844,1,SF,1,100,111.3308
1752794201.531233,581939.000,28893,1,SF,1,100,110.0430
1752794201.931235,582339.000,28962,1,SF,1,100,110.8522
1752794202.197235,582605.000,29012,1,SF,1,100,111.6521
1752794202.531236,582939.000,29064,1,SF,1,100,110.3605
1752794202.864237,583272.000,29115,1,SF,1,100,109.0839
1752794203.264239,583672.000,29182,1,SF,1,100,109.9042
1752794203.531239,583939.000,29235,1,SF,1,100,110.7151
1752794203.864240,584272.000,29285,1,SF,1,100,111.5166
1752794204.264242,584672.000,29353,1,SF,1,100,110.2266
1752794204.597243,585005.000,29407,1,SF,1,100,111.0337
1752794204.864244,585272.000,29455,1,SF,1,100,109.7493
1752794205.197245,585605.000,29508,1,SF,1,100,110.5619
1752794205.597246,586005.000,29573,1,SF,1,100,109.2829
1752794205.864247,586272.000,29627,1,SF,1,100,110.1010
1752794206.197248,586605.000,29685,1,SF,1,100,110.9096
1752794206.597249,587005.000,29752,1,SF,1,100,109.6266
1752794206.930250,587338.000,29804,1,SF,1,100,110.4407
1752794207.197251,587605.000,29855,1,SF,1,100,109.1631
1752794207.530252,587938.000,29905,1,SF,1,100,107.9003
1752794207.930253,588338.000,29972,1,SF,1,100,108.7343
1752794208.197254,588605.000,30021,1,SF,1,100,107.4765
1752794208.530255,588938.000,30069,1,SF,1,100,106.2332
1752794208.930256,589338.000,30139,1,SF,1,100,107.0865
1752794209.263257,589671.000,30189,1,SF,1,100,105.8477
1752794209.530258,589938.000,30237,1,SF,1,100,104.6233
1752794209.863259,590271.000,30286,1,SF,1,100,103.4130
1752794210.263260,590671.000,30351,1,SF,1,100,102.2167
1752794210.530261,590938.000,30403,1,SF,1,100,103.1165
1752794210.863262,591271.000,30452,1,SF,1,100,101.9237
1752794211.263263,591671.000,30526,1,SF,1,100,100.7446
1752794211.596264,592004.000,30576,1,SF,1,100,99.5792
1752794211.863265,592271.000,30627,1,SF,1,100,98.4272
1752794212.196266,592604.000,30679,1,SF,1,100,99.3709
1752794212.596267,593004.000,30744,1,SF,1,100,98.2213
1752794212.930268,593338.000,30797,1,SF,1,100,99.1674
1752794213.196269,593604.000,30849,1,SF,1,100,98.0202
1752794213.530270,593938.000,30900,1,SF,1,100,98.9685
1752794213.930271,594338.000,30969,1,SF,1,100,99.9059
1752794214.196272,594604.000,31017,1,SF,1,100,98.7502
1752794214.529273,594937.000,31071,1,SF,1,100,99.6901
1752794214.863274,595271.000,31122,1,SF,1,100,100.6191
1752794215.263275,595671.000,31189,1,SF,1,100,99.4552
1752794215.529276,595937.000,31242,1,SF,1,100,100.3869
1752794215.863277,596271.000,31290,1,SF,1,100,99.2256
1752794216.263279,596671.000,31363,1,SF,1,100,102.2423
1752794216.529279,596937.000,31421,1,SF,1,100,103.1418
1752794216.863280,597271.000,31471,1,SF,1,100,101.9486
1752794217.196281,597604.000,31524,1,SF,1,100,102.8515
1752794217.596283,598004.000,31589,1,SF,1,100,101.6617
1752794217.863283,598271.000,31643,1,SF,1,100,102.5680
1752794218.196284,598604.000,31692,1,SF,1,100,101.3814
1752794218.596286,599004.000,31761,1,SF,1,100,102.2909
1752794218.862286,599270.000,31813,1,SF,1,100,103.1898
1752794219.196287,599604.000,31864,1,SF,1,100,101.9961
1752794219.529289,599937.000,31916,1,SF,1,100,102.8985
1752794219.929290,600337.000,31983,1,SF,1,100,103.7904
1752794220.196291,600604.000,32038,1,SF,1,100,106.7542
1752794220.529292,600937.000,32086,1,SF,1,100,105.5193
1752794220.929293,601337.000,32158,1,SF,1,100,106.3809
1752794221.196294,601604.000,32212,1,SF,1,100,107.2325
1752794221.529295,601937.000,32265,1,SF,1,100,105.9921
1752794221.862296,602270.000,32320,1,SF,1,100,108.9305
1752794222.262297,602670.000,32387,1,SF,1,100,109.7526
1752794222.529298,602937.000,32439,1,SF,1,100,108.4830
1752794222.862299,603270.000,32490,1,SF,1,100,109.3103
1752794223.262300,603670.000,32557,1,SF,1,100,108.0458
1752794223.529301,603937.000,32609,1,SF,1,100,108.8781
1752794223.862302,604270.000,32662,1,SF,1,100,109.7009
