LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752794194.458212,574866.000,27727,1,T1,1,100,39.124
1752794194.591212,574999.000,27744,1,T1,1,100,39.125
1752794194.725212,575133.000,27760,1,T1,1,100,39.125
1752794194.858213,575266.000,27794,1,T1,1,100,39.125
1752794194.991213,575399.000,27811,1,T1,1,100,39.196
1752794195.125214,575533.000,27829,1,T1,1,100,39.085
1752794195.258214,575666.000,27861,1,T1,1,100,39.108
1752794195.391215,575799.000,27878,1,T1,1,100,39.188
1752794195.525215,575933.000,27895,1,T1,1,100,39.082
1752794195.658215,576066.000,27928,1,T1,1,100,39.177
1752794195.791216,576199.000,27945,1,T1,1,100,39.183
1752794195.924716,576332.500,27968,2,T1,1,100,39.115
1752794196.058217,576466.000,27968,2,T1,1,100,39.085
1752794196.191217,576599.000,28000,1,T1,1,100,39.108
1752794196.324217,576732.000,28016,1,T1,1,100,39.118
1752794196.458218,576866.000,28037,1,T1,1,100,39.122
1752794196.591218,576999.000,28069,1,T1,1,100,39.124
1752794196.724219,577132.000,28085,1,T1,1,100,39.160
1752794196.858219,577266.000,28103,1,T1,1,100,39.140
1752794196.991219,577399.000,28136,1,T1,1,100,39.238
1752794197.124220,577532.000,28152,1,T1,1,100,39.245
1752794197.258220,577666.000,28172,1,T1,1,100,39.212
1752794197.391221,577799.000,28203,1,T1,1,100,39.198
1752794197.524221,577932.000,28222,1,T1,1,100,39.192
1752794197.658221,578066.000,28241,1,T1,1,100,39.260
1752794197.791222,578199.000,28257,1,T1,1,100,39.325
1752794197.924222,578332.000,28289,1,T1,1,100,39.283
1752794198.058223,578466.000,28308,1,T1,1,100,39.158
1752794198.191223,578599.000,28326,1,T1,1,100,39.139
1752794198.324224,578732.000,28358,1,T1,1,100,39.131
1752794198.458224,578866.000,28375,1,T1,1,100,39.199
1752794198.591224,578999.000,28392,1,T1,1,100,39.157
1752794198.724225,579132.000,28427,1,T1,1,100,39.210
1752794198.858225,579266.000,28447,1,T1,1,100,39.162
1752794198.991226,579399.000,28463,1,T1,1,100,39.141
1752794199.124226,579532.000,28497,1,T1,1,100,39.167
1752794199.258226,579666.000,28516,1,T1,1,100,39.250
1752794199.391227,579799.000,28532,1,T1,1,100,39.250
1752794199.524227,579932.000,28566,1,T1,1,100,39.250
1752794199.657228,580065.000,28583,1,T1,1,100,39.179
1752794199.791228,580199.000,28601,1,T1,1,100,39.219
1752794199.924228,580332.000,28635,1,T1,1,100,39.166
1752794200.057229,580465.000,28652,1,T1,1,100,39.143
1752794200.191229,580599.000,28669,1,T1,1,100,39.239
1752794200.324230,580732.000,28686,1,T1,1,100,39.210
1752794200.457230,580865.000,28722,1,T1,1,100,39.162
1752794200.591230,580999.000,28738,1,T1,1,100,39.212
1752794200.724231,581132.000,28755,1,T1,1,100,39.198
1752794200.857231,581265.000,28789,1,T1,1,100,39.192
1752794200.991232,581399.000,28805,1,T1,1,100,39.225
1752794201.124232,581532.000,28833,1,T1,1,100,39.133
1752794201.257232,581665.000,28865,1,T1,1,100,39.199
1752794201.391233,581799.000,28881,1,T1,1,100,39.122
1752794201.524233,581932.000,28899,1,T1,1,100,39.088
1752794201.657234,582065.000,28934,1,T1,1,100,39.215
1752794201.791234,582199.000,28950,1,T1,1,100,39.164
1752794201.924235,582332.000,28968,1,T1,1,100,39.142
1752794202.057235,582465.000,29001,1,T1,1,100,39.168
1752794202.191235,582599.000,29018,1,T1,1,100,39.108
1752794202.324236,582732.000,29037,1,T1,1,100,39.082
1752794202.457236,582865.000,29053,1,T1,1,100,39.177
1752794202.591237,582999.000,29085,1,T1,1,100,39.148
1752794202.724237,583132.000,29102,1,T1,1,100,39.135
1752794202.857237,583265.000,29121,1,T1,1,100,39.271
1752794202.991238,583399.000,29154,1,T1,1,100,39.188
1752794203.124238,583532.000,29171,1,T1,1,100,39.223
1752794203.257239,583665.000,29188,1,T1,1,100,39.238
1752794203.390239,583798.000,29223,1,T1,1,100,39.139
1752794203.524239,583932.000,29241,1,T1,1,100,39.202
1752794203.657240,584065.000,29257,1,T1,1,100,39.229
1752794203.790240,584198.000,29291,1,T1,1,100,39.206
1752794203.924241,584332.000,29310,1,T1,1,100,39.231
1752794204.057241,584465.000,29326,1,T1,1,100,39.242
1752794204.190241,584598.000,29343,1,T1,1,100,39.211
1752794204.324242,584732.000,29375,1,T1,1,100,39.233
1752794204.457242,584865.000,29393,1,T1,1,100,39.278
1752794204.590243,584998.000,29413,1,T1,1,100,39.262
1752794204.724243,585132.000,29444,1,T1,1,100,39.220
1752794204.857244,585265.000,29461,1,T1,1,100,39.308
1752794204.990244,585398.000,29480,1,T1,1,100,39.240
1752794205.124244,585532.000,29514,1,T1,1,100,39.245
1752794205.257245,585665.000,29530,1,T1,1,100,39.177
1752794205.390245,585798.000,29547,1,T1,1,100,39.183
1752794205.524246,585932.000,29581,1,T1,1,100,39.150
1752794205.657246,586065.000,29599,1,T1,1,100,39.278
1752794205.790246,586198.000,29616,1,T1,1,100,39.262
1752794205.924247,586332.000,29652,1,T1,1,100,39.255
1752794206.057247,586465.000,29668,1,T1,1,100,39.252
1752794206.190248,586598.000,29691,1,T1,1,100,39.251
1752794206.323248,586731.000,29707,1,T1,1,100,39.215
1752794206.457248,586865.000,29740,1,T1,1,100,39.164
1752794206.590249,586998.000,29758,1,T1,1,100,39.213
1752794206.723249,587131.000,29776,1,T1,1,100,39.163
1752794206.857250,587265.000,29810,1,T1,1,100,39.212
1752794206.990250,587398.000,29827,1,T1,1,100,39.269
1752794207.123250,587531.000,29843,1,T1,1,100,39.187
1752794207.257251,587665.000,29877,1,T1,1,100,39.223
1752794207.390251,587798.000,29894,1,T1,1,100,39.203
1752794207.523252,587931.000,29911,1,T1,1,100,39.123
1752794207.657252,588065.000,29942,1,T1,1,100,39.195
1752794207.790253,588198.000,29959,1,T1,1,100,39.262
1752794207.923253,588331.000,29978,1,T1,1,100,39.184
1752794208.057253,588465.000,30009,1,T1,1,100,39.151
1752794208.190254,588598.000,30027,1,T1,1,100,39.207
1752794208.323254,588731.000,30043,1,T1,1,100,39.196
1752794208.457255,588865.000,30075,1,T1,1,100,39.156
1752794208.590255,588998.000,30092,1,T1,1,100,39.209
1752794208.723255,589131.000,30110,1,T1,1,100,39.126
1752794208.856256,589264.000,30129,1,T1,1,100,39.196
1752794208.990256,589398.000,30161,1,T1,1,100,39.298
1752794209.123257,589531.000,30177,1,T1,1,100,39.200
1752794209.257257,589665.000,30195,1,T1,1,100,39.299
1752794209.390257,589798.000,30226,1,T1,1,100,39.307
1752794209.523258,589931.000,30243,1,T1,1,100,39.239
1752794209.656258,590064.000,30260,1,T1,1,100,39.281
1752794209.790259,590198.000,30292,1,T1,1,100,39.263
1752794209.923259,590331.000,30308,1,T1,1,100,39.185
1752794210.056259,590464.000,30325,1,T1,1,100,39.186
1752794210.190260,590598.000,30357,1,T1,1,100,39.187
1752794210.323260,590731.000,30373,1,T1,1,100,39.223
1752794210.456261,590864.000,30392,1,T1,1,100,39.238
1752794210.590261,590998.000,30424,1,T1,1,100,39.245
1752794210.723262,591131.000,30440,1,T1,1,100,39.319
1752794210.856262,591264.000,30458,1,T1,1,100,39.244
1752794210.990262,591398.000,30478,1,T1,1,100,39.248
1752794211.123263,591531.000,30509,1,T1,1,100,39.284
1752794211.256263,591664.000,30532,1,T1,1,100,39.159
1752794211.390264,591798.000,30548,1,T1,1,100,39.175
1752794211.523264,591931.000,30582,1,T1,1,100,39.324
1752794211.656264,592064.000,30599,1,T1,1,100,39.211
1752794211.790265,592198.000,30615,1,T1,1,100,39.304
1752794211.923265,592331.000,30647,1,T1,1,100,39.238
1752794212.056266,592464.000,30666,1,T1,1,100,39.280
1752794212.190266,592598.000,30685,1,T1,1,100,39.334
1752794212.323266,592731.000,30716,1,T1,1,100,39.357
1752794212.456267,592864.000,30733,1,T1,1,100,39.332
1752794212.590267,592998.000,30750,1,T1,1,100,39.321
1752794212.723268,593131.000,30769,1,T1,1,100,39.316
1752794212.856268,593264.000,30803,1,T1,1,100,39.243
1752794212.990268,593398.000,30819,1,T1,1,100,39.282
1752794213.123269,593531.000,30836,1,T1,1,100,39.335
1752794213.256269,593664.000,30870,1,T1,1,100,39.216
1752794213.390270,593798.000,30888,1,T1,1,100,39.306
1752794213.523270,593931.000,30906,1,T1,1,100,39.274
1752794213.656271,594064.000,30939,1,T1,1,100,39.261
1752794213.789271,594197.000,30957,1,T1,1,100,39.255
1752794213.923271,594331.000,30975,1,T1,1,100,39.252
1752794214.056272,594464.000,31006,1,T1,1,100,39.180
1752794214.189272,594597.000,31023,1,T1,1,100,39.220
1752794214.323273,594731.000,31044,1,T1,1,100,39.237
1752794214.456273,594864.000,31060,1,T1,1,100,39.209
1752794214.589273,594997.000,31092,1,T1,1,100,39.303
1752794214.723274,595131.000,31109,1,T1,1,100,39.344
1752794214.856274,595264.000,31128,1,T1,1,100,39.255
1752794214.989275,595397.000,31161,1,T1,1,100,39.217
1752794215.123275,595531.000,31178,1,T1,1,100,39.307
1752794215.256275,595664.000,31195,1,T1,1,100,39.239
1752794215.389276,595797.000,31228,1,T1,1,100,39.210
