RD,TS_received,TS_sent,AK,RoundTrip,
576364,581480,2025-07-17_19-16-35-961820,581481,5116,
581484,581497,2025-07-17_19-16-41-086101,581501,13,
586589,586609,2025-07-17_19-16-46-185441,586610,20,
591700,591714,2025-07-17_19-16-51-297341,591715,14,
596825,596833,2025-07-17_19-16-56-421279,596834,8,
601933,601947,2025-07-17_19-17-01-530602,601948,14,
607040,607049,2025-07-17_19-17-06-637778,607050,9,
612154,612198,2025-07-17_19-17-11-749785,612199,44,
617273,617284,2025-07-17_19-17-16-868991,617285,11,
622393,622404,2025-07-17_19-17-21-992118,622405,11,
627506,627518,2025-07-17_19-17-27-104600,627519,12,
632625,632647,2025-07-17_19-17-32-221659,632648,22,
637740,637749,2025-07-17_19-17-37-335797,637750,9,
642849,642861,2025-07-17_19-17-42-447686,642862,12,
647963,647974,2025-07-17_19-17-47-559856,647975,11,
653070,653085,2025-07-17_19-17-52-667668,653086,15,
658181,658208,2025-07-17_19-17-57-781219,658210,27,
663297,663313,2025-07-17_19-18-02-892753,663314,16,
668413,668422,2025-07-17_19-18-08-010353,668425,9,
673526,673535,2025-07-17_19-18-13-123478,673541,9,
678643,678652,2025-07-17_19-18-18-240170,678653,9,
683751,683759,2025-07-17_19-18-23-346927,683760,8,
688863,688872,2025-07-17_19-18-28-460995,688873,9,
693985,693997,2025-07-17_19-18-33-581697,693998,12,
699099,699116,2025-07-17_19-18-38-700558,699117,17,
704221,704231,2025-07-17_19-18-43-818106,704232,10,
709335,709346,2025-07-17_19-18-48-934431,709347,11,
714451,714477,2025-07-17_19-18-54-064631,714478,26,
719568,719576,2025-07-17_19-18-59-164810,719577,8,
724675,724727,2025-07-17_19-19-04-272799,724728,52,
729786,729794,2025-07-17_19-19-09-382939,729795,8,
734909,734921,2025-07-17_19-19-14-511422,734922,12,
740024,740039,2025-07-17_19-19-19-627827,740040,15,
745146,745179,2025-07-17_19-19-24-747651,745180,33,
750266,750274,2025-07-17_19-19-29-862816,750276,8,
755392,755408,2025-07-17_19-19-34-994565,755409,16,
760506,760525,2025-07-17_19-19-40-114480,760526,19,
765617,765630,2025-07-17_19-19-45-216705,765631,13,
770739,770749,2025-07-17_19-19-50-338748,770750,10,
