LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
0.0,0.0007663197729422894,2.7466658528397473e-06,-3.6622211371196626e-06,0.0
-9.155552842799156e-06,-0.005236976226081117,4.577776421399578e-06,-0.0002838221381267739,0.008
0.0,-0.0025543992431409646,1.8311105685598313e-06,-0.00017212439344462416,0.016
-9.155552842799157e-07,-0.003399456770531327,4.577776421399578e-06,-0.0001052888576921903,0.024
-1.5564439832758568e-05,-0.0014365062410351876,4.303109836115604e-05,-0.00010895107882930998,0.032
-2.105777153843806e-05,0.0007022309030426953,6.317331461531417e-05,-4.760887478255561e-05,0.04
-1.922666096987823e-05,0.0020792260505996885,6.500442518387402e-05,1.281777397991882e-05,0.048
-2.105777153843806e-05,0.000628986480300302,6.225775933103427e-05,-3.387554551835688e-05,0.056
-2.105777153843806e-05,0.0009732352671895504,6.591998046815394e-05,-7.232886745811333e-05,0.064
-2.0142216254158147e-05,-0.00023895992919705802,5.85955381939146e-05,-0.00010345774712363048,0.072
-1.8311105685598312e-05,0.0002856532486953337,5.5848872341074855e-05,-7.324442274239325e-05,0.08
-1.73955504013184e-05,0.0008551286355174412,5.493331705679494e-05,-4.119998779259621e-05,0.088
-1.73955504013184e-05,0.0005136265144810326,5.310220648823511e-05,-5.493331705679494e-05,0.096
-1.8311105685598312e-05,0.0005273598437452315,5.310220648823511e-05,-7.873775444807274e-05,0.104
-1.6479995117038484e-05,0.0003076265755180517,4.9439985351115445e-05,-8.331553086947232e-05,0.112
-1.5564439832758568e-05,0.00024719992675557726,4.577776421399579e-05,-8.14844203009125e-05,0.12
-1.464888454847865e-05,0.0008706930753501998,4.4862208929715866e-05,-5.035554063539536e-05,0.128
-1.464888454847865e-05,0.00021790215765861995,4.211554307687612e-05,-7.599108859523301e-05,0.136
-1.464888454847865e-05,0.0002783288064210944,4.119998779259621e-05,-8.606219672231208e-05,0.144
-1.3733329264198735e-05,-0.00028839991454817347,3.845332193975646e-05,-0.00010620441297647022,0.152
-1.1902218695638903e-05,-0.0003524887844477675,3.6622211371196624e-05,-0.00011535996581926937,0.16
-1.1902218695638903e-05,-0.0004339732047486801,3.387554551835688e-05,-0.00010254219183935057,0.168
-1.098666341135899e-05,-0.0005529953917050691,3.204443494979705e-05,-0.00011535996581926937,0.176
-1.1902218695638903e-05,-0.001019013031403546,2.92977690969573e-05,-0.00013275551622058779,0.184
-1.0071108127079073e-05,-0.0009585863826410717,2.746665852839747e-05,-0.00013641773735770742,0.192
-9.155552842799156e-06,-0.001681875057222205,2.563554795983764e-05,-0.00017578661458174383,0.2
-8.239997558519242e-06,-0.0012460707419049654,2.197332682271798e-05,-0.00013641773735770742,0.208
-8.239997558519242e-06,-0.0017615283669545577,2.0142216254158147e-05,-0.00016846217230750447,0.216
-8.239997558519242e-06,-0.0018906216620380258,1.73955504013184e-05,-0.00016571550645466473,0.224
-7.324442274239325e-06,-0.00206457716605121,1.6479995117038484e-05,-0.00018402661214026307,0.232
-5.493331705679495e-06,-0.0026908169804986722,1.464888454847865e-05,-0.0002334665974913785,0.24
-5.493331705679495e-06,-0.002444532609027375,1.0071108127079073e-05,-0.00017944883571886346,0.248
