LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752619988.889314,494661,12877,1,BI,1,100,600
1752619989.489319,495261,12980,1,BI,1,100,600
1752619990.049324,495821,13063,1,BI,1,100,560
1752619990.689330,496461,13166,1,BI,1,100,640
1752619991.369335,497141,13288,1,BI,1,100,680
1752619991.942340,497714,13389,1,BI,1,100,560
1752619992.582345,498354,13490,1,BI,1,100,640
1752619993.182350,498954,13593,1,BI,1,100,600
1752619993.822356,499594,13699,1,BI,1,100,640
1752619994.542362,500314,13818,1,BI,1,100,720
1752619995.222368,500994,13936,1,BI,1,100,680
1752619995.942374,501714,14051,1,BI,1,100,720
1752619996.675380,502447,14173,1,BI,1,100,720
1752619997.195384,502967,14259,1,BI,1,100,520
1752619997.875390,503647,14375,1,BI,1,100,680
1752619998.475395,504247,14478,1,BI,1,100,600
1752619999.155400,504927,14602,1,BI,1,100,680
1752619999.835406,505607,14703,1,BI,1,100,680
1752620000.475412,506247,14823,1,BI,1,100,640
1752620001.168417,506940,14942,1,BI,1,100,680
1752620001.768422,507540,15044,1,BI,1,100,600
1752620002.528429,508300,15163,1,BI,1,100,760
1752620003.088433,508860,15262,1,BI,1,100,560
1752620003.687438,509459,15347,1,BI,1,100,600
1752620004.287443,510059,15455,1,BI,1,100,600
1752620004.847448,510619,15558,1,BI,1,100,560
1752620005.621455,511393,15680,1,BI,1,100,760
1752620006.301460,512073,15799,1,BI,1,100,680
1752620006.940466,512712,15904,1,BI,1,100,640
1752620007.580471,513352,16022,1,BI,1,100,640
1752620008.300477,514072,16141,1,BI,1,100,720
1752620008.980483,514752,16263,1,BI,1,100,680
1752620009.700489,515472,16385,1,BI,1,100,720
1752620010.393495,516165,16504,1,BI,1,100,680
1752620011.113501,516885,16627,1,BI,1,100,720
1752620011.673505,517445,16713,1,BI,1,100,560
1752620012.353511,518125,16832,1,BI,1,100,680
1752620012.993516,518765,16935,1,BI,1,100,640
1752620013.673522,519445,17055,1,BI,1,100,680
1752620014.273527,520045,17163,1,BI,1,100,600
1752620014.846532,520618,17249,1,BI,1,100,560
1752620015.446537,521218,17352,1,BI,1,100,600
1752620016.046542,521818,17456,1,BI,1,100,600
1752620016.686547,522458,17576,1,BI,1,100,640
1752620017.286552,523058,17662,1,BI,1,100,600
1752620017.886557,523658,17767,1,BI,1,100,600
1752620018.566563,524338,17889,1,BI,1,100,680
1752620019.219569,524991,18008,1,BI,1,100,640
1752620019.899574,525671,18116,1,BI,1,100,680
1752620020.619580,526391,18240,1,BI,1,100,720
1752620021.259586,527031,18363,1,BI,1,100,640
1752620021.939591,527711,18462,1,BI,1,100,680
1752620022.699598,528471,18600,1,BI,1,100,760
1752620023.379603,529151,18723,1,BI,1,100,680
1752620024.112610,529884,18840,1,BI,1,100,720
1752620024.752615,530524,18950,1,BI,1,100,640
1752620025.472621,531244,19072,1,BI,1,100,720
1752620026.232627,532004,19208,1,BI,1,100,760
1752620026.872633,532644,19307,1,BI,1,100,640
1752620027.512638,533284,19410,1,BI,1,100,640
1752620028.232644,534004,19527,1,BI,1,100,720
1752620028.805649,534577,19632,1,BI,1,100,560
1752620029.445654,535217,19734,1,BI,1,100,640
1752620030.165660,535937,19864,1,BI,1,100,720
1752620030.805666,536577,19983,1,BI,1,100,640
1752620031.485671,537257,20088,1,BI,1,100,680
1752620032.085676,537857,20174,1,BI,1,100,600
1752620032.764682,538536,20194,1,BI,1,100,680
1752620033.418687,539190,20219,1,BI,1,100,640
1752620034.138694,539910,20221,1,BI,1,100,720
1752620034.818699,540590,20260,1,BI,1,100,680
1752620035.458705,541230,20286,1,BI,1,100,640
1752620036.098710,541870,20389,1,BI,1,100,640
1752620036.737715,542509,20512,1,BI,1,100,640
1752620037.497722,543269,20633,1,BI,1,100,760
1752620038.151727,543923,20753,1,BI,1,100,640
1752620038.831733,544603,20858,1,BI,1,100,680
1752620039.511739,545283,20977,1,BI,1,100,680
1752620040.111744,545883,21082,1,BI,1,100,600
1752620040.710749,546482,21185,1,BI,1,100,600
1752620041.350754,547122,21290,1,BI,1,100,640
1752620042.030760,547802,21412,1,BI,1,100,680
1752620042.723765,548495,21538,1,BI,1,100,680
1752620043.324770,549096,21640,1,BI,1,100,600
1752620044.084777,549856,21759,1,BI,1,100,760
1752620044.763783,550535,21882,1,BI,1,100,680
1752620045.403788,551175,21984,1,BI,1,100,640
1752620046.123794,551895,22114,1,BI,1,100,720
1752620046.803800,552575,22231,1,BI,1,100,680
1752620047.577806,553349,22367,1,BI,1,100,760
1752620048.216811,553988,22472,1,BI,1,100,640
1752620048.896817,554668,22592,1,BI,1,100,680
1752620049.536822,555308,22699,1,BI,1,100,640
1752620050.256829,556028,22816,1,BI,1,100,720
1752620050.936834,556708,22941,1,BI,1,100,680
1752620051.576840,557348,23048,1,BI,1,100,640
1752620052.269845,558041,23169,1,BI,1,100,680
1752620052.909851,558681,23270,1,BI,1,100,640
1752620053.669857,559441,23404,1,BI,1,100,760
1752620054.269862,560041,23507,1,BI,1,100,600
1752620054.869867,560641,23592,1,BI,1,100,600
1752620055.629874,561401,23724,1,BI,1,100,760
1752620056.322879,562094,23849,1,BI,1,100,680
1752620057.002885,562774,23966,1,BI,1,100,680
1752620057.802892,563574,24086,1,BI,1,100,800
1752620058.522898,564294,24220,1,BI,1,100,720
1752620059.282904,565054,24339,1,BI,1,100,760
1752620059.922909,565694,24441,1,BI,1,100,640
1752620060.602915,566374,24556,1,BI,1,100,680
1752620061.335921,567107,24681,1,BI,1,100,720
1752620062.055927,567827,24796,1,BI,1,100,720
1752620062.695933,568467,24912,1,BI,1,100,640
1752620063.415939,569187,25030,1,BI,1,100,720
1752620064.175945,569947,25146,1,BI,1,100,760
1752620064.815950,570587,25261,1,BI,1,100,640
1752620065.495956,571267,25362,1,BI,1,100,680
1752620066.268963,572040,25501,1,BI,1,100,760
1752620066.948968,572720,25617,1,BI,1,100,680
1752620067.668974,573440,25734,1,BI,1,100,720
1752620068.388980,574160,25851,1,BI,1,100,720
1752620069.108986,574880,25966,1,BI,1,100,720
1752620069.708991,575480,26066,1,BI,1,100,600
1752620070.481998,576253,26183,1,BI,1,100,760
1752620071.162004,576933,26288,1,BI,1,100,680
1752620071.762009,577533,26390,1,BI,1,100,600
1752620072.482015,578253,26508,1,BI,1,100,720
1752620073.242021,579013,26623,1,BI,1,100,760
1752620073.841026,579612,26722,1,BI,1,100,600
1752620074.641033,580412,26855,1,BI,1,100,800
1752620075.335039,581106,26972,1,BI,1,100,680
1752620075.934044,581705,27071,1,BI,1,100,600
1752620076.694050,582465,27212,1,BI,1,100,760
1752620077.415056,583186,27330,1,BI,1,100,720
1752620078.014061,583785,27428,1,BI,1,100,600
1752620078.734067,584505,27547,1,BI,1,100,720
1752620079.468073,585239,27662,1,BI,1,100,720
1752620080.068078,585839,27763,1,BI,1,100,600
1752620080.827085,586598,27879,1,BI,1,100,760
1752620081.547091,587318,28001,1,BI,1,100,720
1752620082.147096,587918,28102,1,BI,1,100,600
1752620082.867102,588638,28218,1,BI,1,100,720
1752620083.627108,589398,28350,1,BI,1,100,760
1752620084.240113,590011,28451,1,BI,1,100,600
1752620084.920119,590691,28566,1,BI,1,100,680
1752620085.640125,591411,28684,1,BI,1,100,720
1752620086.280130,592051,28785,1,BI,1,100,640
1752620086.920136,592691,28891,1,BI,1,100,640
1752620087.680142,593451,29008,1,BI,1,100,760
1752620088.320147,594091,29108,1,BI,1,100,640
1752620088.973153,594744,29223,1,BI,1,100,640
1752620089.693159,595464,29341,1,BI,1,100,720
1752620090.373165,596144,29456,1,BI,1,100,680
1752620091.053170,596824,29557,1,BI,1,100,680
1752620091.773176,597544,29680,1,BI,1,100,720
1752620092.453182,598224,29796,1,BI,1,100,680
1752620093.053187,598824,29896,1,BI,1,100,600
1752620093.666192,599437,29995,1,BI,1,100,600
1752620094.346198,600117,30113,1,BI,1,100,680
1752620094.946203,600717,30212,1,BI,1,100,600
1752620095.546208,601317,30313,1,BI,1,100,600
1752620096.226214,601997,30414,1,BI,1,100,680
1752620096.866219,602637,30520,1,BI,1,100,640
1752620097.506224,603277,30637,1,BI,1,100,640
1752620098.199230,603970,30736,1,BI,1,100,680
1752620098.879236,604650,30853,1,BI,1,100,680
1752620099.479241,605250,30953,1,BI,1,100,600
1752620100.079246,605850,31054,1,BI,1,100,600
1752620100.719251,606490,31152,1,BI,1,100,640
1752620101.439257,607210,31272,1,BI,1,100,720
1752620102.039262,607810,31375,1,BI,1,100,600
