LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752619988.634312,494406.000,12830,2,EA,1,100,0.479388
1752619988.634312,494406.000,12830,2,EA,1,100,0.479025
1752619988.701313,494473.000,12847,2,EA,1,100,0.478828
1752619988.768313,494540.000,12847,2,EA,1,100,0.479619
1752619988.834314,494606.000,12863,1,EA,1,100,0.480480
1752619988.901315,494673.000,12884,2,EA,1,100,0.480878
1752619988.968315,494740.000,12884,2,EA,1,100,0.479421
1752619989.034316,494806.000,12901,1,EA,1,100,0.480148
1752619989.101316,494873.000,12918,2,EA,1,100,0.481177
1752619989.168317,494940.000,12918,2,EA,1,100,0.480215
1752619989.234317,495006.000,12934,1,EA,1,100,0.480579
1752619989.301318,495073.000,12952,2,EA,1,100,0.480845
1752619989.368318,495140.000,12952,2,EA,1,100,0.480812
1752619989.434319,495206.000,12968,1,EA,1,100,0.480613
1752619989.501320,495273.000,12985,2,EA,1,100,0.480878
1752619989.568320,495340.000,12985,2,EA,1,100,0.477023
1752619989.634321,495406.000,13001,1,EA,1,100,0.480181
1752619989.701321,495473.000,13019,2,EA,1,100,0.487579
1752619989.768322,495540.000,13019,2,EA,1,100,0.488298
1752619989.834322,495606.000,13035,1,EA,1,100,0.486523
1752619989.901323,495673.000,13050,2,EA,1,100,0.488606
1752619989.968324,495740.000,13050,2,EA,1,100,0.490223
1752619990.034324,495806.000,13071,1,EA,1,100,0.487477
1752619990.101325,495873.000,13088,2,EA,1,100,0.483684
1752619990.168325,495940.000,13088,2,EA,1,100,0.484965
1752619990.234326,496006.000,13104,1,EA,1,100,0.483416
1752619990.301326,496073.000,13121,2,EA,1,100,0.482879
1752619990.368327,496140.000,13121,2,EA,1,100,0.486048
1752619990.434827,496206.500,13136,2,EA,1,100,0.488984
1752619990.501328,496273.000,13136,2,EA,1,100,0.489775
1752619990.567329,496339.000,13153,1,EA,1,100,0.490811
1752619990.634329,496406.000,13174,2,EA,1,100,0.489671
1752619990.701330,496473.000,13174,2,EA,1,100,0.486795
1752619990.768330,496540.000,13191,1,EA,1,100,0.484526
1752619990.834831,496606.500,13205,2,EA,1,100,0.486353
1752619990.901331,496673.000,13205,2,EA,1,100,0.488024
1752619990.967332,496739.000,13222,1,EA,1,100,0.487921
1752619991.034332,496806.000,13243,2,EA,1,100,0.487887
1752619991.101333,496873.000,13243,2,EA,1,100,0.488949
1752619991.167334,496939.000,13260,1,EA,1,100,0.488812
1752619991.234334,497006.000,13274,2,EA,1,100,0.487819
1752619991.301335,497073.000,13274,2,EA,1,100,0.487170
1752619991.367335,497139.000,13294,1,EA,1,100,0.487341
1752619991.434336,497206.000,13310,2,EA,1,100,0.487204
1752619991.501336,497273.000,13310,2,EA,1,100,0.487579
1752619991.567337,497339.000,13327,1,EA,1,100,0.488092
1752619991.634337,497406.000,13342,2,EA,1,100,0.488469
1752619991.701338,497473.000,13342,2,EA,1,100,0.488812
1752619991.767339,497539.000,13359,1,EA,1,100,0.489190
1752619991.834339,497606.000,13375,2,EA,1,100,0.489465
1752619991.901340,497673.000,13375,2,EA,1,100,0.489740
1752619991.967340,497739.000,13394,1,EA,1,100,0.490154
1752619992.034341,497806.000,13409,2,EA,1,100,0.490672
1752619992.101341,497873.000,13409,2,EA,1,100,0.490672
1752619992.167342,497939.000,13426,1,EA,1,100,0.490776
1752619992.234342,498006.000,13444,2,EA,1,100,0.490949
1752619992.301343,498073.000,13444,2,EA,1,100,0.491261
1752619992.367344,498139.000,13462,1,EA,1,100,0.491469
1752619992.434344,498206.000,13477,2,EA,1,100,0.491781
1752619992.501345,498273.000,13477,2,EA,1,100,0.491920
1752619992.567345,498339.000,13495,1,EA,1,100,0.492129
1752619992.634346,498406.000,13512,2,EA,1,100,0.492373
1752619992.701346,498473.000,13512,2,EA,1,100,0.492791
1752619992.767847,498539.500,13529,2,EA,1,100,0.492965
1752619992.834348,498606.000,13529,2,EA,1,100,0.493245
1752619992.901348,498673.000,13545,1,EA,1,100,0.494225
1752619992.967849,498739.500,13561,2,EA,1,100,0.495738
1752619993.034349,498806.000,13561,2,EA,1,100,0.496021
1752619993.101350,498873.000,13579,1,EA,1,100,0.495632
1752619993.167850,498939.500,13598,2,EA,1,100,0.495068
1752619993.234351,499006.000,13598,2,EA,1,100,0.495103
1752619993.301351,499073.000,13614,1,EA,1,100,0.495632
1752619993.367852,499139.500,13630,2,EA,1,100,0.496729
1752619993.434353,499206.000,13630,2,EA,1,100,0.496835
1752619993.501353,499273.000,13646,1,EA,1,100,0.497012
1752619993.567854,499339.500,13665,2,EA,1,100,0.497225
1752619993.634354,499406.000,13665,2,EA,1,100,0.497367
1752619993.700355,499472.000,13687,1,EA,1,100,0.497296
1752619993.767355,499539.000,13704,2,EA,1,100,0.497119
