LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752619988.634312,494406.000,12831,2,EL,1,100,-16679.400391
1752619988.634312,494406.000,12831,2,EL,1,100,-16677.199219
1752619988.701313,494473.000,12848,2,EL,1,100,-16676.000000
1752619988.768313,494540.000,12848,2,EL,1,100,-16680.800781
1752619988.834314,494606.000,12864,1,EL,1,100,-16686.000000
1752619988.901315,494673.000,12885,2,EL,1,100,-16688.400391
1752619988.968315,494740.000,12885,2,EL,1,100,-16679.599609
1752619989.034316,494806.000,12902,1,EL,1,100,-16684.000000
1752619989.101316,494873.000,12919,2,EL,1,100,-16690.199219
1752619989.168317,494940.000,12919,2,EL,1,100,-16684.400391
1752619989.234317,495006.000,12935,1,EL,1,100,-16686.599609
1752619989.301318,495073.000,12953,2,EL,1,100,-16688.199219
1752619989.368318,495140.000,12953,2,EL,1,100,-16688.000000
1752619989.434319,495206.000,12969,1,EL,1,100,-16686.800781
1752619989.501320,495273.000,12986,2,EL,1,100,-16688.400391
1752619989.568320,495340.000,12986,2,EL,1,100,-16665.000000
1752619989.634321,495406.000,13002,1,EL,1,100,-16684.199219
1752619989.701321,495473.000,13020,2,EL,1,100,-16728.199219
1752619989.768322,495540.000,13020,2,EL,1,100,-16732.400391
1752619989.834322,495606.000,13036,1,EL,1,100,-16722.000000
1752619989.901323,495673.000,13051,2,EL,1,100,-16734.199219
1752619989.968324,495740.000,13051,2,EL,1,100,-16743.599609
1752619990.034324,495806.000,13072,1,EL,1,100,-16727.599609
1752619990.101325,495873.000,13089,2,EL,1,100,-16705.199219
1752619990.168325,495940.000,13089,2,EL,1,100,-16712.800781
1752619990.234326,496006.000,13105,1,EL,1,100,-16703.599609
1752619990.301326,496073.000,13122,2,EL,1,100,-16700.400391
1752619990.368327,496140.000,13122,2,EL,1,100,-16719.199219
1752619990.434827,496206.500,13137,2,EL,1,100,-16736.400391
1752619990.501328,496273.000,13137,2,EL,1,100,-16741.000000
1752619990.567329,496339.000,13154,1,EL,1,100,-16747.000000
1752619990.634329,496406.000,13175,2,EL,1,100,-16740.400391
1752619990.701330,496473.000,13175,2,EL,1,100,-16723.599609
1752619990.768330,496540.000,13192,1,EL,1,100,-16710.199219
1752619990.834831,496606.500,13206,2,EL,1,100,-16721.000000
1752619990.901331,496673.000,13206,2,EL,1,100,-16730.800781
1752619990.967332,496739.000,13223,1,EL,1,100,-16730.199219
1752619991.034332,496806.000,13244,2,EL,1,100,-16730.000000
1752619991.101333,496873.000,13244,2,EL,1,100,-16736.199219
1752619991.167334,496939.000,13261,1,EL,1,100,-16735.400391
1752619991.234334,497006.000,13275,2,EL,1,100,-16729.599609
1752619991.301335,497073.000,13275,2,EL,1,100,-16725.800781
1752619991.367335,497139.000,13295,1,EL,1,100,-16726.800781
1752619991.434336,497206.000,13311,2,EL,1,100,-16726.000000
1752619991.501336,497273.000,13311,2,EL,1,100,-16728.199219
1752619991.567337,497339.000,13328,1,EL,1,100,-16731.199219
1752619991.634337,497406.000,13343,2,EL,1,100,-16733.400391
1752619991.701338,497473.000,13343,2,EL,1,100,-16735.400391
1752619991.767339,497539.000,13360,1,EL,1,100,-16737.599609
1752619991.834339,497606.000,13376,2,EL,1,100,-16739.199219
1752619991.901340,497673.000,13376,2,EL,1,100,-16740.800781
1752619991.967340,497739.000,13395,1,EL,1,100,-16743.199219
1752619992.034341,497806.000,13410,2,EL,1,100,-16746.199219
1752619992.101341,497873.000,13410,2,EL,1,100,-16746.199219
1752619992.167342,497939.000,13427,1,EL,1,100,-16746.800781
1752619992.234342,498006.000,13445,2,EL,1,100,-16747.800781
1752619992.301343,498073.000,13445,2,EL,1,100,-16749.599609
1752619992.367344,498139.000,13463,1,EL,1,100,-16750.800781
1752619992.434344,498206.000,13478,2,EL,1,100,-16752.599609
1752619992.501345,498273.000,13478,2,EL,1,100,-16753.400391
1752619992.567345,498339.000,13496,1,EL,1,100,-16754.599609
1752619992.634346,498406.000,13513,2,EL,1,100,-16756.000000
1752619992.701346,498473.000,13513,2,EL,1,100,-16758.400391
1752619992.767847,498539.500,13530,2,EL,1,100,-16759.400391
1752619992.834348,498606.000,13530,2,EL,1,100,-16761.000000
1752619992.901348,498673.000,13546,1,EL,1,100,-16766.599609
1752619992.967849,498739.500,13562,2,EL,1,100,-16775.199219
1752619993.034349,498806.000,13562,2,EL,1,100,-16776.800781
1752619993.101350,498873.000,13580,1,EL,1,100,-16774.599609
1752619993.167850,498939.500,13599,2,EL,1,100,-16771.400391
1752619993.234351,499006.000,13599,2,EL,1,100,-16771.599609
1752619993.301351,499073.000,13615,1,EL,1,100,-16774.599609
1752619993.367852,499139.500,13631,2,EL,1,100,-16780.800781
1752619993.434353,499206.000,13631,2,EL,1,100,-16781.400391
1752619993.501353,499273.000,13647,1,EL,1,100,-16782.400391
1752619993.567854,499339.500,13666,2,EL,1,100,-16783.599609
1752619993.634354,499406.000,13666,2,EL,1,100,-16784.400391
1752619993.700355,499472.000,13688,1,EL,1,100,-16784.000000
1752619993.767355,499539.000,13705,2,EL,1,100,-16783.000000
1752619993.834356,499606.000,13705,2,EL,1,100,-16779.000000
1752619993.901356,499673.000,13721,1,EL,1,100,-16780.800781
1752619993.967857,499739.500,13739,2,EL,1,100,-16785.000000
1752619994.034358,499806.000,13739,2,EL,1,100,-16790.000000
1752619994.100358,499872.000,13755,1,EL,1,100,-16792.599609
1752619994.167359,499939.000,13772,2,EL,1,100,-16790.599609
1752619994.234359,500006.000,13772,2,EL,1,100,-16791.000000
1752619994.300360,500072.000,13788,1,EL,1,100,-16792.199219
1752619994.367360,500139.000,13806,2,EL,1,100,-16791.599609
1752619994.434361,500206.000,13806,2,EL,1,100,-16794.599609
1752619994.501361,500273.000,13824,1,EL,1,100,-16797.800781
1752619994.567862,500339.500,13840,2,EL,1,100,-16797.800781
1752619994.634363,500406.000,13840,2,EL,1,100,-16800.800781
1752619994.700863,500472.500,13856,2,EL,1,100,-16804.400391
1752619994.767364,500539.000,13856,2,EL,1,100,-16803.800781
1752619994.834364,500606.000,13873,1,EL,1,100,-16805.199219
1752619994.900865,500672.500,13891,2,EL,1,100,-16807.800781
1752619994.967365,500739.000,13891,2,EL,1,100,-16808.000000
1752619995.034366,500806.000,13909,1,EL,1,100,-16807.800781
1752619995.100866,500872.500,13923,2,EL,1,100,-16810.199219
1752619995.167367,500939.000,13923,2,EL,1,100,-16809.800781
