LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752619988.889314,494661,12878,1,HR,1,100,99.43
1752619989.489319,495261,12981,1,HR,1,100,99.55
1752619990.049324,495821,13064,1,HR,1,100,101.24
1752619990.689330,496461,13167,1,HR,1,100,99.58
1752619991.369335,497141,13289,1,HR,1,100,97.06
1752619991.942340,497714,13390,1,HR,1,100,99.30
1752619992.582345,498354,13491,1,HR,1,100,98.06
1752619993.182350,498954,13594,1,HR,1,100,98.49
1752619993.822356,499594,13700,1,HR,1,100,97.44
1752619994.542362,500314,13819,1,HR,1,100,94.31
1752619995.222368,500994,13937,1,HR,1,100,92.96
1752619995.942374,501714,14052,1,HR,1,100,90.82
1752619996.675380,502447,14174,1,HR,1,100,89.15
1752619997.195384,502967,14260,1,HR,1,100,94.98
1752619997.875390,503647,14376,1,HR,1,100,93.48
1752619998.475395,504247,14479,1,HR,1,100,94.93
1752619999.155400,504927,14603,1,HR,1,100,93.44
1752619999.835406,505607,14704,1,HR,1,100,92.29
1752620000.475412,506247,14824,1,HR,1,100,92.61
1752620001.168417,506940,14943,1,HR,1,100,91.64
1752620001.768422,507540,15045,1,HR,1,100,93.50
1752620002.528429,508300,15164,1,HR,1,100,90.26
1752620003.088433,508860,15263,1,HR,1,100,94.01
1752620003.687438,509459,15348,1,HR,1,100,95.34
1752620004.287443,510059,15456,1,HR,1,100,96.38
1752620004.847448,510619,15559,1,HR,1,100,98.77
1752620005.621455,511393,15681,1,HR,1,100,94.37
1752620006.301460,512073,15800,1,HR,1,100,93.00
1752620006.940466,512712,15905,1,HR,1,100,93.17
1752620007.580471,513352,16023,1,HR,1,100,93.30
1752620008.300477,514072,16142,1,HR,1,100,91.08
1752620008.980483,514752,16264,1,HR,1,100,90.45
1752620009.700489,515472,16386,1,HR,1,100,88.87
1752620010.393495,516165,16505,1,HR,1,100,88.73
1752620011.113501,516885,16628,1,HR,1,100,87.53
1752620011.673505,517445,16714,1,HR,1,100,91.89
1752620012.353511,518125,16833,1,HR,1,100,91.08
1752620012.993516,518765,16936,1,HR,1,100,91.67
1752620013.673522,519445,17056,1,HR,1,100,90.91
1752620014.273527,520045,17164,1,HR,1,100,92.93
1752620014.846532,520618,17250,1,HR,1,100,96.09
1752620015.446537,521218,17353,1,HR,1,100,96.96
1752620016.046542,521818,17457,1,HR,1,100,97.63
1752620016.686547,522458,17577,1,HR,1,100,96.77
1752620017.286552,523058,17663,1,HR,1,100,97.49
1752620017.886557,523658,17768,1,HR,1,100,98.05
1752620018.566563,524338,17890,1,HR,1,100,95.87
1752620019.219569,524991,18009,1,HR,1,100,95.40
1752620019.899574,525671,18117,1,HR,1,100,93.80
1752620020.619580,526391,18241,1,HR,1,100,91.48
1752620021.259586,527031,18364,1,HR,1,100,91.98
1752620021.939591,527711,18463,1,HR,1,100,91.15
1752620022.699598,528471,18601,1,HR,1,100,88.44
1752620023.379603,529151,18724,1,HR,1,100,88.39
1752620024.112610,529884,18841,1,HR,1,100,87.27
1752620024.752615,530524,18951,1,HR,1,100,88.71
1752620025.472621,531244,19073,1,HR,1,100,87.51
1752620026.232627,532004,19209,1,HR,1,100,85.61
1752620026.872633,532644,19308,1,HR,1,100,87.42
1752620027.512638,533284,19411,1,HR,1,100,88.83
1752620028.232644,534004,19528,1,HR,1,100,87.61
1752620028.805649,534577,19633,1,HR,1,100,91.95
1752620029.445654,535217,19735,1,HR,1,100,92.35
1752620030.165660,535937,19865,1,HR,1,100,90.34
1752620030.805666,536577,19984,1,HR,1,100,91.10
1752620031.485671,537257,20089,1,HR,1,100,90.46
1752620032.085676,537857,20175,1,HR,1,100,92.58
1752620032.764682,538536,20195,1,HR,1,100,91.62
1752620033.418687,539190,20220,1,HR,1,100,92.09
1752620034.138694,539910,20222,1,HR,1,100,90.14
1752620034.818699,540590,20261,1,HR,1,100,89.72
1752620035.458705,541230,20287,1,HR,1,100,90.62
1752620036.098710,541870,20390,1,HR,1,100,91.31
1752620036.737715,542509,20513,1,HR,1,100,91.85
1752620037.497722,543269,20634,1,HR,1,100,88.99
1752620038.151727,543923,20754,1,HR,1,100,90.04
1752620038.831733,544603,20859,1,HR,1,100,89.64
1752620039.511739,545283,20978,1,HR,1,100,89.33
1752620040.111744,545883,21083,1,HR,1,100,91.70
1752620040.710749,546482,21186,1,HR,1,100,93.55
1752620041.350754,547122,21291,1,HR,1,100,93.59
1752620042.030760,547802,21413,1,HR,1,100,92.40
1752620042.723765,548495,21539,1,HR,1,100,91.47
1752620043.324770,549096,21641,1,HR,1,100,93.37
1752620044.084777,549856,21760,1,HR,1,100,90.16
1752620044.763783,550535,21883,1,HR,1,100,89.74
1752620045.403788,551175,21985,1,HR,1,100,90.63
1752620046.123794,551895,22115,1,HR,1,100,89.01
1752620046.803800,552575,22232,1,HR,1,100,88.84
1752620047.577806,553349,22368,1,HR,1,100,86.64
1752620048.216811,553988,22473,1,HR,1,100,88.22
1752620048.896817,554668,22593,1,HR,1,100,88.22
1752620049.536822,555308,22700,1,HR,1,100,89.45
1752620050.256829,556028,22817,1,HR,1,100,88.09
1752620050.936834,556708,22942,1,HR,1,100,88.12
1752620051.576840,557348,23049,1,HR,1,100,89.37
1752620052.269845,558041,23170,1,HR,1,100,89.12
1752620052.909851,558681,23271,1,HR,1,100,90.15
1752620053.669857,559441,23405,1,HR,1,100,87.66
1752620054.269862,560041,23508,1,HR,1,100,90.40
1752620054.869867,560641,23593,1,HR,1,100,92.54
1752620055.629874,561401,23725,1,HR,1,100,89.52
1752620056.322879,562094,23850,1,HR,1,100,89.23
1752620057.002885,562774,23967,1,HR,1,100,89.01
1752620057.802892,563574,24087,1,HR,1,100,85.90
1752620058.522898,564294,24221,1,HR,1,100,85.33
1752620059.282904,565054,24340,1,HR,1,100,83.91
1752620059.922909,565694,24442,1,HR,1,100,86.10
1752620060.602915,566374,24557,1,HR,1,100,86.57
1752620061.335921,567107,24682,1,HR,1,100,85.85
1752620062.055927,567827,24797,1,HR,1,100,85.29
1752620062.695933,568467,24913,1,HR,1,100,87.17
1752620063.415939,569187,25031,1,HR,1,100,86.32
1752620064.175945,569947,25147,1,HR,1,100,84.68
1752620064.815950,570587,25262,1,HR,1,100,86.70
1752620065.495956,571267,25363,1,HR,1,100,87.04
1752620066.268963,572040,25502,1,HR,1,100,85.24
1752620066.948968,572720,25618,1,HR,1,100,85.91
1752620067.668974,573440,25735,1,HR,1,100,85.33
1752620068.388980,574160,25852,1,HR,1,100,84.89
1752620069.108986,574880,25967,1,HR,1,100,84.54
1752620069.708991,575480,26067,1,HR,1,100,87.98
1752620070.481998,576253,26184,1,HR,1,100,85.97
1752620071.162004,576933,26289,1,HR,1,100,86.47
1752620071.762009,577533,26391,1,HR,1,100,89.48
1752620072.482015,578253,26509,1,HR,1,100,88.11
1752620073.242021,579013,26624,1,HR,1,100,86.08
1752620073.841026,579612,26723,1,HR,1,100,89.17
1752620074.641033,580412,26856,1,HR,1,100,86.02
1752620075.335039,581106,26973,1,HR,1,100,86.51
1752620075.934044,581705,27072,1,HR,1,100,89.51
1752620076.694050,582465,27213,1,HR,1,100,87.16
1752620077.415056,583186,27331,1,HR,1,100,86.31
1752620078.014061,583785,27429,1,HR,1,100,89.35
1752620078.734067,584505,27548,1,HR,1,100,88.02
1752620079.468073,585239,27663,1,HR,1,100,86.98
1752620080.068078,585839,27764,1,HR,1,100,89.87
1752620080.827085,586598,27880,1,HR,1,100,87.44
1752620081.547091,587318,28002,1,HR,1,100,86.53
1752620082.147096,587918,28103,1,HR,1,100,89.52
1752620082.867102,588638,28219,1,HR,1,100,88.15
1752620083.627108,589398,28351,1,HR,1,100,86.10
1752620084.240113,590011,28452,1,HR,1,100,89.19
1752620084.920119,590691,28567,1,HR,1,100,88.98
1752620085.640125,591411,28685,1,HR,1,100,87.72
1752620086.280130,592051,28786,1,HR,1,100,89.06
