LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1752619988.555312,494327.000,12821,1,MZ,1,100,-61
1752619988.595312,494367.000,12841,2,MZ,1,100,-61
1752619988.635312,494407.000,12841,2,MZ,1,100,-61
1752619988.675313,494447.000,12859,3,MZ,1,100,-61
1752619988.715313,494487.000,12859,3,MZ,1,100,-62
1752619988.755313,494527.000,12859,3,MZ,1,100,-61
1752619988.795314,494567.000,12875,2,MZ,1,100,-62
1752619988.835314,494607.000,12875,2,MZ,1,100,-61
1752619988.875314,494647.000,12896,3,MZ,1,100,-60
1752619988.915315,494687.000,12896,3,MZ,1,100,-62
1752619988.955315,494727.000,12896,3,MZ,1,100,-62
1752619988.995315,494767.000,12911,3,MZ,1,100,-62
1752619989.035316,494807.000,12911,3,MZ,1,100,-61
1752619989.075316,494847.000,12911,3,MZ,1,100,-60
1752619989.115316,494887.000,12930,2,MZ,1,100,-62
1752619989.155317,494927.000,12930,2,MZ,1,100,-60
1752619989.195317,494967.000,12946,3,MZ,1,100,-61
1752619989.235317,495007.000,12946,3,MZ,1,100,-61
1752619989.275318,495047.000,12946,3,MZ,1,100,-61
1752619989.315318,495087.000,12964,2,MZ,1,100,-62
1752619989.355318,495127.000,12964,2,MZ,1,100,-62
1752619989.395319,495167.000,12978,3,MZ,1,100,-60
1752619989.435319,495207.000,12978,3,MZ,1,100,-60
1752619989.475319,495247.000,12978,3,MZ,1,100,-61
1752619989.515320,495287.000,12997,2,MZ,1,100,-60
1752619989.555320,495327.000,12997,2,MZ,1,100,-60
1752619989.595320,495367.000,13013,3,MZ,1,100,-60
1752619989.635321,495407.000,13013,3,MZ,1,100,-59
1752619989.675321,495447.000,13013,3,MZ,1,100,-62
1752619989.715321,495487.000,13031,2,MZ,1,100,-61
1752619989.755322,495527.000,13031,2,MZ,1,100,-62
1752619989.795322,495567.000,13045,3,MZ,1,100,-61
1752619989.835322,495607.000,13045,3,MZ,1,100,-61
1752619989.875323,495647.000,13045,3,MZ,1,100,-60
1752619989.915323,495687.000,13062,3,MZ,1,100,-61
1752619989.955323,495727.000,13062,3,MZ,1,100,-60
1752619989.995324,495767.000,13062,3,MZ,1,100,-60
1752619990.035324,495807.000,13083,2,MZ,1,100,-62
1752619990.075324,495847.000,13083,2,MZ,1,100,-62
1752619990.115325,495887.000,13100,3,MZ,1,100,-61
1752619990.155325,495927.000,13100,3,MZ,1,100,-60
1752619990.195325,495967.000,13100,3,MZ,1,100,-61
1752619990.235326,496007.000,13115,2,MZ,1,100,-62
1752619990.275326,496047.000,13115,2,MZ,1,100,-62
1752619990.315326,496087.000,13132,3,MZ,1,100,-62
1752619990.355327,496127.000,13132,3,MZ,1,100,-61
1752619990.395327,496167.000,13132,3,MZ,1,100,-63
1752619990.435327,496207.000,13148,2,MZ,1,100,-61
1752619990.475328,496247.000,13148,2,MZ,1,100,-62
1752619990.515328,496287.000,13165,3,MZ,1,100,-62
1752619990.555328,496327.000,13165,3,MZ,1,100,-62
1752619990.595329,496367.000,13165,3,MZ,1,100,-61
1752619990.635329,496407.000,13186,2,MZ,1,100,-62
1752619990.675329,496447.000,13186,2,MZ,1,100,-61
1752619990.715330,496487.000,13201,3,MZ,1,100,-61
1752619990.755330,496527.000,13201,3,MZ,1,100,-62
1752619990.795330,496567.000,13201,3,MZ,1,100,-60
1752619990.835331,496607.000,13217,2,MZ,1,100,-60
1752619990.875331,496647.000,13217,2,MZ,1,100,-61
1752619990.915331,496687.000,13234,3,MZ,1,100,-60
1752619990.955332,496727.000,13234,3,MZ,1,100,-60
1752619990.995332,496767.000,13234,3,MZ,1,100,-59
1752619991.035332,496807.000,13255,2,MZ,1,100,-59
1752619991.075333,496847.000,13255,2,MZ,1,100,-59
1752619991.115333,496887.000,13270,3,MZ,1,100,-60
1752619991.155333,496927.000,13270,3,MZ,1,100,-60
1752619991.195334,496967.000,13270,3,MZ,1,100,-59
1752619991.235334,497007.000,13286,3,MZ,1,100,-60
1752619991.275334,497047.000,13286,3,MZ,1,100,-60
1752619991.315335,497087.000,13286,3,MZ,1,100,-60
1752619991.355335,497127.000,13306,2,MZ,1,100,-61
1752619991.395335,497167.000,13306,2,MZ,1,100,-60
1752619991.435336,497207.000,13322,3,MZ,1,100,-59
1752619991.475336,497247.000,13322,3,MZ,1,100,-60
1752619991.515336,497287.000,13322,3,MZ,1,100,-59
1752619991.555337,497327.000,13337,2,MZ,1,100,-59
1752619991.595337,497367.000,13337,2,MZ,1,100,-59
1752619991.635337,497407.000,13354,3,MZ,1,100,-59
1752619991.675338,497447.000,13354,3,MZ,1,100,-58
1752619991.715338,497487.000,13354,3,MZ,1,100,-59
1752619991.755338,497527.000,13371,2,MZ,1,100,-59
1752619991.795339,497567.000,13371,2,MZ,1,100,-60
1752619991.835339,497607.000,13387,3,MZ,1,100,-59
1752619991.875339,497647.000,13387,3,MZ,1,100,-60
1752619991.915340,497687.000,13387,3,MZ,1,100,-59
1752619991.951007,497722.667,13404,3,MZ,1,100,-60
