LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752619988.649312,494421.000,12829,3,PG,1,100,2291
1752619988.649312,494421.000,12829,3,PG,1,100,2301
1752619988.649312,494421.000,12829,3,PG,1,100,2297
1752619988.689313,494461.000,12846,3,PG,1,100,2307
1752619988.729313,494501.000,12846,3,PG,1,100,2309
1752619988.769313,494541.000,12846,3,PG,1,100,2310
1752619988.809314,494581.000,12862,2,PG,1,100,2297
1752619988.849314,494621.000,12862,2,PG,1,100,2310
1752619988.889314,494661.000,12883,3,PG,1,100,2301
1752619988.929315,494701.000,12883,3,PG,1,100,2323
1752619988.969315,494741.000,12883,3,PG,1,100,2315
1752619989.009315,494781.000,12900,2,PG,1,100,2309
1752619989.049316,494821.000,12900,2,PG,1,100,2317
1752619989.089316,494861.000,12917,3,PG,1,100,2312
1752619989.129316,494901.000,12917,3,PG,1,100,2334
1752619989.169317,494941.000,12917,3,PG,1,100,2308
1752619989.209317,494981.000,12933,2,PG,1,100,2325
1752619989.249317,495021.000,12933,2,PG,1,100,2318
1752619989.289318,495061.000,12951,3,PG,1,100,2298
1752619989.329318,495101.000,12951,3,PG,1,100,2296
1752619989.369318,495141.000,12951,3,PG,1,100,2305
1752619989.409319,495181.000,12967,2,PG,1,100,2314
1752619989.449319,495221.000,12967,2,PG,1,100,2307
1752619989.489319,495261.000,12984,3,PG,1,100,2316
1752619989.529320,495301.000,12984,3,PG,1,100,2315
1752619989.569320,495341.000,12984,3,PG,1,100,2315
1752619989.609320,495381.000,13000,3,PG,1,100,2309
1752619989.649321,495421.000,13000,3,PG,1,100,2310
1752619989.689321,495461.000,13000,3,PG,1,100,2300
1752619989.729321,495501.000,13018,2,PG,1,100,2308
1752619989.769322,495541.000,13018,2,PG,1,100,2297
1752619989.809322,495581.000,13034,3,PG,1,100,2305
1752619989.849323,495621.000,13034,3,PG,1,100,2295
1752619989.889323,495661.000,13034,3,PG,1,100,2301
1752619989.929323,495701.000,13049,2,PG,1,100,2295
1752619989.969324,495741.000,13049,2,PG,1,100,2309
1752619990.009324,495781.000,13070,3,PG,1,100,2306
1752619990.049324,495821.000,13070,3,PG,1,100,2311
1752619990.089325,495861.000,13070,3,PG,1,100,2319
1752619990.129325,495901.000,13087,2,PG,1,100,2312
1752619990.169325,495941.000,13087,2,PG,1,100,2320
1752619990.209326,495981.000,13103,3,PG,1,100,2312
1752619990.249326,496021.000,13103,3,PG,1,100,2318
1752619990.289326,496061.000,13103,3,PG,1,100,2316
1752619990.329327,496101.000,13120,2,PG,1,100,2298
1752619990.369327,496141.000,13120,2,PG,1,100,2314
1752619990.409327,496181.000,13135,3,PG,1,100,2305
1752619990.449328,496221.000,13135,3,PG,1,100,2298
1752619990.489328,496261.000,13135,3,PG,1,100,2307
1752619990.529328,496301.000,13152,2,PG,1,100,2290
1752619990.569329,496341.000,13152,2,PG,1,100,2306
1752619990.609329,496381.000,13173,3,PG,1,100,2315
1752619990.649329,496421.000,13173,3,PG,1,100,2293
1752619990.689330,496461.000,13173,3,PG,1,100,2301
1752619990.729330,496501.000,13190,2,PG,1,100,2311
1752619990.769330,496541.000,13190,2,PG,1,100,2295
1752619990.809331,496581.000,13204,3,PG,1,100,2295
1752619990.849331,496621.000,13204,3,PG,1,100,2316
1752619990.889331,496661.000,13204,3,PG,1,100,2311
1752619990.929332,496701.000,13221,2,PG,1,100,2314
1752619990.969332,496741.000,13221,2,PG,1,100,2316
1752619991.009332,496781.000,13242,3,PG,1,100,2309
