LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752619988.649312,494421.000,12828,3,PR,1,100,62492
1752619988.649312,494421.000,12828,3,PR,1,100,62507
1752619988.649312,494421.000,12828,3,PR,1,100,62494
1752619988.689313,494461.000,12845,3,PR,1,100,62482
1752619988.729313,494501.000,12845,3,PR,1,100,62489
1752619988.769313,494541.000,12845,3,PR,1,100,62484
1752619988.809314,494581.000,12861,2,PR,1,100,62496
1752619988.849314,494621.000,12861,2,PR,1,100,62501
1752619988.889314,494661.000,12882,3,PR,1,100,62517
1752619988.929315,494701.000,12882,3,PR,1,100,62507
1752619988.969315,494741.000,12882,3,PR,1,100,62502
1752619989.009315,494781.000,12899,2,PR,1,100,62513
1752619989.049316,494821.000,12899,2,PR,1,100,62502
1752619989.089316,494861.000,12916,3,PR,1,100,62512
1752619989.129316,494901.000,12916,3,PR,1,100,62515
1752619989.169317,494941.000,12916,3,PR,1,100,62492
1752619989.209317,494981.000,12932,2,PR,1,100,62502
1752619989.249317,495021.000,12932,2,PR,1,100,62495
1752619989.289318,495061.000,12950,3,PR,1,100,62489
1752619989.329318,495101.000,12950,3,PR,1,100,62504
1752619989.369318,495141.000,12950,3,PR,1,100,62502
1752619989.409319,495181.000,12966,2,PR,1,100,62502
1752619989.449319,495221.000,12966,2,PR,1,100,62497
1752619989.489319,495261.000,12983,3,PR,1,100,62507
1752619989.529320,495301.000,12983,3,PR,1,100,62501
1752619989.569320,495341.000,12983,3,PR,1,100,62491
1752619989.609320,495381.000,12999,3,PR,1,100,62491
1752619989.649321,495421.000,12999,3,PR,1,100,62493
1752619989.689321,495461.000,12999,3,PR,1,100,62505
1752619989.729321,495501.000,13017,2,PR,1,100,62506
1752619989.769322,495541.000,13017,2,PR,1,100,62495
1752619989.809322,495581.000,13033,3,PR,1,100,62475
1752619989.849323,495621.000,13033,3,PR,1,100,62480
1752619989.889323,495661.000,13033,3,PR,1,100,62495
1752619989.929323,495701.000,13048,2,PR,1,100,62475
1752619989.969324,495741.000,13048,2,PR,1,100,62490
1752619990.009324,495781.000,13069,3,PR,1,100,62499
1752619990.049324,495821.000,13069,3,PR,1,100,62500
1752619990.089325,495861.000,13069,3,PR,1,100,62492
1752619990.129325,495901.000,13086,2,PR,1,100,62490
1752619990.169325,495941.000,13086,2,PR,1,100,62494
1752619990.209326,495981.000,13102,3,PR,1,100,62493
1752619990.249326,496021.000,13102,3,PR,1,100,62506
1752619990.289326,496061.000,13102,3,PR,1,100,62490
1752619990.329327,496101.000,13119,2,PR,1,100,62507
1752619990.369327,496141.000,13119,2,PR,1,100,62494
1752619990.409327,496181.000,13134,3,PR,1,100,62483
1752619990.449328,496221.000,13134,3,PR,1,100,62473
