LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752619988.590312,494362.000,12824,2,RD,1,100,TL
1752619988.590312,494362.000,12824,2,RD,1,100,TU
1752619991.161333,496933.000,13680,2,RD,1,100,TL
1752619993.732355,499504.000,13680,2,RD,1,100,TU
1752619996.304377,502076.000,14546,2,RD,1,100,TL
1752619998.876398,504648.000,14546,2,RD,1,100,TU
1752620001.430420,507202.000,15403,2,RD,1,100,TL
1752620003.984441,509756.000,15403,2,RD,1,100,TU
1752620006.549462,512321.000,16282,2,RD,1,100,TL
1752620009.114484,514886.000,16282,2,RD,1,100,TU
1752620011.665005,517436.500,17143,2,RD,1,100,TL
1752620014.215527,519987.000,17143,2,RD,1,100,TU
1752620016.786048,522557.500,18028,2,RD,1,100,TL
1752620019.356570,525128.000,18028,2,RD,1,100,TU
1752620021.910591,527682.000,18897,2,RD,1,100,TL
1752620024.464612,530236.000,18897,2,RD,1,100,TU
1752620027.030134,532801.500,19772,2,RD,1,100,TL
1752620029.595655,535367.000,19772,2,RD,1,100,TU
1752620032.456679,538228.000,20256,2,RD,1,100,TL
1752620035.317703,541089.000,20256,2,RD,1,100,TU
1752620037.871725,543643.000,21135,2,RD,1,100,TL
1752620040.425746,546197.000,21135,2,RD,1,100,TU
1752620042.978768,548750.000,22008,2,RD,1,100,TL
1752620045.531789,551303.000,22008,2,RD,1,100,TU
1752620048.091310,553862.500,22887,2,RD,1,100,TL
1752620050.650832,556422.000,22887,2,RD,1,100,TU
1752620053.204853,558976.000,23744,2,RD,1,100,TL
1752620055.758875,561530.000,23744,2,RD,1,100,TU
1752620058.323396,564094.500,24610,2,RD,1,100,TL
1752620060.887918,566659.000,24610,2,RD,1,100,TU
1752620063.441939,569213.000,25448,2,RD,1,100,TL
1752620065.995960,571767.000,25448,2,RD,1,100,TU
1752620068.552982,574324.000,26287,2,RD,1,100,TL
1752620071.110003,576881.000,26287,2,RD,1,100,TU
1752620073.667025,579438.000,27129,2,RD,1,100,TL
1752620076.224046,581995.000,27129,2,RD,1,100,TU
1752620078.777067,584548.000,27966,2,RD,1,100,TL
1752620081.330089,587101.000,27966,2,RD,1,100,TU
1752620083.885610,589656.500,28805,2,RD,1,100,TL
1752620086.441132,592212.000,28805,2,RD,1,100,TU
1752620088.994653,594765.500,29644,2,RD,1,100,TL
1752620091.548174,597319.000,29644,2,RD,1,100,TU
1752620094.101696,599872.500,30485,2,RD,1,100,TL
1752620096.655217,602426.000,30485,2,RD,1,100,TU
1752620099.211739,604982.500,31324,2,RD,1,100,TL
1752620101.768260,607539.000,31324,2,RD,1,100,TU
1752620104.333282,610104.000,32180,2,RD,1,100,TL
1752620106.898303,612669.000,32180,2,RD,1,100,TU
1752620109.451824,615222.500,33019,2,RD,1,100,TL
1752620112.005346,617776.000,33019,2,RD,1,100,TU
1752620114.578867,620349.500,33861,2,RD,1,100,TL
1752620117.152389,622923.000,33861,2,RD,1,100,TU
1752620119.732911,625503.500,34704,2,RD,1,100,TL
1752620122.313432,628084.000,34704,2,RD,1,100,TU
1752620124.875954,630646.500,35545,2,RD,1,100,TL
1752620127.438475,633209.000,35545,2,RD,1,100,TU
1752620129.997496,635768.000,36384,2,RD,1,100,TL
1752620132.556518,638327.000,36384,2,RD,1,100,TU
1752620135.114539,640885.000,37225,2,RD,1,100,TL
1752620137.672561,643443.000,37225,2,RD,1,100,TU
1752620140.230582,646001.000,38065,2,RD,1,100,TL
1752620142.788604,648559.000,38065,2,RD,1,100,TU
1752620145.349125,651119.500,38904,2,RD,1,100,TL
1752620147.909647,653680.000,38904,2,RD,1,100,TU
1752620150.468168,656238.500,39742,2,RD,1,100,TL
1752620153.026689,658797.000,39742,2,RD,1,100,TU
1752620155.587211,661357.500,40582,2,RD,1,100,TL
1752620158.147732,663918.000,40582,2,RD,1,100,TU
1752620160.705754,666476.000,41423,2,RD,1,100,TL
1752620163.263775,669034.000,41423,2,RD,1,100,TU
1752620165.819797,671590.000,42264,2,RD,1,100,TL
