LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752619988.768313,494540.000,12843,1,SF,1,100,91.3541
1752619989.034316,494806.000,12897,1,SF,1,100,92.3795
1752619989.368318,495140.000,12948,1,SF,1,100,93.3932
1752619989.768322,495540.000,13015,1,SF,1,100,92.3128
1752619990.034324,495806.000,13067,1,SF,1,100,93.3271
1752619990.368327,496140.000,13117,1,SF,1,100,92.2475
1752619990.701330,496473.000,13170,1,SF,1,100,93.2627
1752619991.101333,496873.000,13239,1,SF,1,100,94.2660
1752619991.367335,497139.000,13290,1,SF,1,100,93.1756
1752619991.701338,497473.000,13338,1,SF,1,100,92.0977
1752619992.101341,497873.000,13405,1,SF,1,100,91.0323
1752619992.367344,498139.000,13458,1,SF,1,100,92.0615
1752619992.701346,498473.000,13508,1,SF,1,100,90.9965
1752619993.034349,498806.000,13557,1,SF,1,100,89.9439
1752619993.434353,499206.000,13626,1,SF,1,100,90.9857
1752619993.700355,499472.000,13683,1,SF,1,100,92.0154
1752619994.034358,499806.000,13734,1,SF,1,100,90.9509
1752619994.434361,500206.000,13801,1,SF,1,100,91.9811
1752619994.767364,500539.000,13851,1,SF,1,100,90.9170
1752619995.034366,500806.000,13904,1,SF,1,100,91.9475
1752619995.367369,501139.000,13954,1,SF,1,100,90.8839
1752619995.767372,501539.000,14019,1,SF,1,100,89.8325
1752619996.034374,501806.000,14072,1,SF,1,100,90.8756
1752619996.367377,502139.000,14122,1,SF,1,100,89.8243
1752619996.767380,502539.000,14192,1,SF,1,100,90.8675
1752619997.100383,502872.000,14242,1,SF,1,100,89.8163
1752619997.367385,503139.000,14292,1,SF,1,100,88.7773
1752619997.700388,503472.000,14341,1,SF,1,100,87.7504
1752619998.100392,503872.000,14410,1,SF,1,100,88.8175
1752619998.367394,504139.000,14462,1,SF,1,100,89.8723
1752619998.700397,504472.000,14513,1,SF,1,100,88.8327
1752619999.100400,504872.000,14585,1,SF,1,100,89.8873
1752619999.433403,505205.000,14635,1,SF,1,100,88.8475
1752619999.700405,505472.000,14688,1,SF,1,100,89.9019
1752620000.033408,505805.000,14738,1,SF,1,100,88.8619
