LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752619988.588312,494360.000,12822,1,TL,1,100,2025-07-15_18-53-03-025081
1752619988.600312,494372.000,12825,1,TL,1,100,2025-07-15_18-53-08-595596
1752619993.730355,499502.000,13678,1,TL,1,100,2025-07-15_18-53-08-685360
1752619993.744355,499516.000,13681,1,TL,1,100,2025-07-15_18-53-13-735673
1752619998.871398,504643.000,14544,1,TL,1,100,2025-07-15_18-53-13-776194
1752619998.890398,504662.000,14547,1,TL,1,100,2025-07-15_18-53-18-884543
1752620003.982441,509754.000,15401,1,TL,1,100,2025-07-15_18-53-18-953847
1752620003.995441,509767.000,15404,1,TL,1,100,2025-07-15_18-53-23-989472
1752620009.109484,514881.000,16280,1,TL,1,100,2025-07-15_18-53-24-019690
1752620009.128484,514900.000,16283,1,TL,1,100,2025-07-15_18-53-29-122200
1752620014.213527,519985.000,17141,1,TL,1,100,2025-07-15_18-53-29-192505
1752620014.247527,520019.000,17144,1,TL,1,100,2025-07-15_18-53-34-225543
1752620019.354570,525126.000,18026,1,TL,1,100,2025-07-15_18-53-34-272777
1752620019.387570,525159.000,18029,1,TL,1,100,2025-07-15_18-53-39-363235
1752620024.462612,530234.000,18895,1,TL,1,100,2025-07-15_18-53-39-441694
1752620024.474613,530246.000,18898,1,TL,1,100,2025-07-15_18-53-44-470014
1752620029.593655,535365.000,19770,1,TL,1,100,2025-07-15_18-53-44-505333
1752620029.606656,535378.000,19773,1,TL,1,100,2025-07-15_18-53-49-601670
1752620035.314703,541086.000,20254,1,TL,1,100,2025-07-15_18-53-49-683333
1752620035.334704,541106.000,20257,1,TL,1,100,2025-07-15_18-53-55-329209
1752620040.423746,546195.000,21133,1,TL,1,100,2025-07-15_18-53-55-388603
1752620040.445746,546217.000,21136,1,TL,1,100,2025-07-15_18-54-00-442112
1752620045.529789,551301.000,22006,1,TL,1,100,2025-07-15_18-54-00-491721
1752620045.538789,551310.000,22009,1,TL,1,100,2025-07-15_18-54-05-535289
1752620050.648832,556420.000,22885,1,TL,1,100,2025-07-15_18-54-05-565698
1752620050.658832,556430.000,22888,1,TL,1,100,2025-07-15_18-54-10-654409
1752620055.757875,561529.000,23742,1,TL,1,100,2025-07-15_18-54-10-799440
1752620055.772875,561544.000,23745,1,TL,1,100,2025-07-15_18-54-15-764238
1752620060.885918,566657.000,24608,1,TL,1,100,2025-07-15_18-54-15-808540
1752620060.911918,566683.000,24611,1,TL,1,100,2025-07-15_18-54-20-891707
1752620065.993960,571765.000,25446,1,TL,1,100,2025-07-15_18-54-20-975575
1752620066.004960,571776.000,25449,1,TL,1,100,2025-07-15_18-54-26-000535
1752620071.105003,576876.000,26285,1,TL,1,100,2025-07-15_18-54-26-050225
1752620076.220046,581991.000,27125,1,TL,1,100,2025-07-15_18-54-31-114725
1752620076.222046,581993.000,27127,1,TL,1,100,2025-07-15_18-54-31-253203
1752620076.233046,582004.000,27130,1,TL,1,100,2025-07-15_18-54-36-229381
1752620081.328089,587099.000,27964,1,TL,1,100,2025-07-15_18-54-36-297965
1752620081.362089,587133.000,27967,1,TL,1,100,2025-07-15_18-54-41-336522
1752620086.436132,592207.000,28803,1,TL,1,100,2025-07-15_18-54-41-393700
1752620086.497132,592268.000,28806,1,TL,1,100,2025-07-15_18-54-46-449951
1752620091.544174,597315.000,29642,1,TL,1,100,2025-07-15_18-54-46-527688
1752620091.557174,597328.000,29645,1,TL,1,100,2025-07-15_18-54-51-552359
1752620096.654217,602425.000,30483,1,TL,1,100,2025-07-15_18-54-51-595012
1752620096.687217,602458.000,30486,1,TL,1,100,2025-07-15_18-54-56-681803
1752620101.762260,607533.000,31322,1,TL,1,100,2025-07-15_18-54-56-714542
1752620101.777260,607548.000,31325,1,TL,1,100,2025-07-15_18-55-01-771772
1752620106.896303,612667.000,32178,1,TL,1,100,2025-07-15_18-55-01-801729
1752620106.948303,612719.000,32181,1,TL,1,100,2025-07-15_18-55-06-902184
1752620112.004346,617775.000,33017,1,TL,1,100,2025-07-15_18-55-06-990490
1752620117.148389,622919.000,33857,1,TL,1,100,2025-07-15_18-55-12-011138
1752620117.151389,622922.000,33859,1,TL,1,100,2025-07-15_18-55-12-144089
1752620117.160389,622931.000,33862,1,TL,1,100,2025-07-15_18-55-17-157438
1752620122.311432,628082.000,34702,1,TL,1,100,2025-07-15_18-55-17-285568
1752620122.320432,628091.000,34705,1,TL,1,100,2025-07-15_18-55-22-316775
1752620127.433475,633204.000,35543,1,TL,1,100,2025-07-15_18-55-22-457196
1752620127.446475,633217.000,35546,1,TL,1,100,2025-07-15_18-55-27-443189
1752620132.551518,638322.000,36382,1,TL,1,100,2025-07-15_18-55-27-569203
1752620132.565518,638336.000,36385,1,TL,1,100,2025-07-15_18-55-32-561338
1752620137.671561,643442.000,37223,1,TL,1,100,2025-07-15_18-55-32-687361
1752620137.682561,643453.000,37226,1,TL,1,100,2025-07-15_18-55-37-679944
1752620142.786604,648557.000,38063,1,TL,1,100,2025-07-15_18-55-37-808585
1752620142.797604,648568.000,38066,1,TL,1,100,2025-07-15_18-55-42-792473
1752620147.907647,653678.000,38902,1,TL,1,100,2025-07-15_18-55-42-918888
1752620147.921647,653692.000,38905,1,TL,1,100,2025-07-15_18-55-47-914764
1752620153.024689,658795.000,39740,1,TL,1,100,2025-07-15_18-55-48-044588
1752620153.036689,658807.000,39743,1,TL,1,100,2025-07-15_18-55-53-029955
1752620158.143732,663914.000,40580,1,TL,1,100,2025-07-15_18-55-53-152802
1752620158.156732,663927.000,40583,1,TL,1,100,2025-07-15_18-55-58-151576
1752620163.261775,669032.000,41421,1,TL,1,100,2025-07-15_18-55-58-277764
1752620163.279775,669050.000,41424,1,TL,1,100,2025-07-15_18-56-03-270219
1752620168.373818,674144.000,42262,1,TL,1,100,2025-07-15_18-56-03-392491
1752620168.421818,674192.000,42265,1,TL,1,100,2025-07-15_18-56-08-384441
1752620173.503861,679274.000,43100,1,TL,1,100,2025-07-15_18-56-08-508470
1752620173.513861,679284.000,43103,1,TL,1,100,2025-07-15_18-56-13-509049
1752620178.624904,684395.000,43940,1,TL,1,100,2025-07-15_18-56-13-641450
1752620178.636904,684407.000,43943,1,TL,1,100,2025-07-15_18-56-18-631880
1752620183.745947,689516.000,44780,1,TL,1,100,2025-07-15_18-56-18-765462
1752620183.760947,689531.000,44783,1,TL,1,100,2025-07-15_18-56-23-755402
1752620188.863990,694634.000,45621,1,TL,1,100,2025-07-15_18-56-23-885752
1752620193.985032,699755.000,46456,1,TL,1,100,2025-07-15_18-56-28-979449
1752620193.987033,699757.000,46458,1,TL,1,100,2025-07-15_18-56-28-995058
1752620194.005033,699775.000,46461,1,TL,1,100,2025-07-15_18-56-33-997387
1752620199.112075,704882.000,47296,1,TL,1,100,2025-07-15_18-56-34-124430
1752620199.152076,704922.000,47299,1,TL,1,100,2025-07-15_18-56-39-120807
1752620204.235118,710005.000,48135,1,TL,1,100,2025-07-15_18-56-39-250778
1752620204.245118,710015.000,48138,1,TL,1,100,2025-07-15_18-56-44-241409
1752620209.359161,715129.000,48972,1,TL,1,100,2025-07-15_18-56-44-368156
1752620209.373161,715143.000,48975,1,TL,1,100,2025-07-15_18-56-49-367082
1752620214.476204,720246.000,49814,1,TL,1,100,2025-07-15_18-56-49-503325
1752620214.488204,720258.000,49817,1,TL,1,100,2025-07-15_18-56-54-484095
1752620219.593247,725363.000,50651,1,TL,1,100,2025-07-15_18-56-54-626448
1752620219.607247,725377.000,50654,1,TL,1,100,2025-07-15_18-56-59-599500
1752620224.712290,730482.000,51489,1,TL,1,100,2025-07-15_18-56-59-721315
1752620224.749290,730519.000,51492,1,TL,1,100,2025-07-15_18-57-04-719228
1752620229.820333,735590.000,52329,1,TL,1,100,2025-07-15_18-57-04-850420
1752620229.875333,735645.000,52332,1,TL,1,100,2025-07-15_18-57-09-835433
1752620234.928375,740698.000,53166,1,TL,1,100,2025-07-15_18-57-09-946431
1752620234.949376,740719.000,53169,1,TL,1,100,2025-07-15_18-57-14-945134
1752620240.054418,745824.000,54006,1,TL,1,100,2025-07-15_18-57-15-062549
1752620240.067419,745837.000,54009,1,TL,1,100,2025-07-15_18-57-20-059915
1752620245.177461,750947.000,54844,1,TL,1,100,2025-07-15_18-57-20-203499
1752620245.189461,750959.000,54847,1,TL,1,100,2025-07-15_18-57-25-185245
1752620250.296504,756066.000,55681,1,TL,1,100,2025-07-15_18-57-25-308263
1752620250.325504,756095.000,55684,1,TL,1,100,2025-07-15_18-57-30-302923
1752620255.404547,761174.000,56522,1,TL,1,100,2025-07-15_18-57-30-433519
1752620255.412547,761182.000,56525,1,TL,1,100,2025-07-15_18-57-35-409845
1752620260.511590,766281.000,57298,1,TL,1,100,2025-07-15_18-57-35-541039
1752620260.523590,766293.000,57301,1,TL,1,100,2025-07-15_18-57-40-518622
1752620265.625633,771395.000,58137,1,TL,1,100,2025-07-15_18-57-40-652146
1752620265.639633,771409.000,58140,1,TL,1,100,2025-07-15_18-57-45-631000
1752620270.758676,776528.000,58976,1,TL,1,100,2025-07-15_18-57-45-775596
1752620270.773676,776543.000,58979,1,TL,1,100,2025-07-15_18-57-50-765744
1752620275.868718,781638.000,59813,1,TL,1,100,2025-07-15_18-57-50-889774
1752620275.912719,781682.000,59816,1,TL,1,100,2025-07-15_18-57-55-875512
1752620280.984761,786754.000,60652,1,TL,1,100,2025-07-15_18-57-56-006475
1752620281.000761,786770.000,60655,1,TL,1,100,2025-07-15_18-58-00-995826
1752620286.098804,791868.000,61494,1,TL,1,100,2025-07-15_18-58-01-115193
1752620286.110804,791880.000,61497,1,TL,1,100,2025-07-15_18-58-06-107264
1752620291.222847,796992.000,62331,1,TL,1,100,2025-07-15_18-58-06-235087
1752620291.243847,797013.000,62334,1,TL,1,100,2025-07-15_18-58-11-239547
1752620296.342890,802112.000,63172,1,TL,1,100,2025-07-15_18-58-11-363424
1752620296.361890,802131.000,63175,1,TL,1,100,2025-07-15_18-58-16-348829
1752620301.456933,807226.000,64010,1,TL,1,100,2025-07-15_18-58-16-473494
1752620301.474933,807244.000,64013,1,TL,1,100,2025-07-15_18-58-21-467176
1752620306.585976,812355.000,64849,1,TL,1,100,2025-07-15_18-58-21-604218
1752620306.638976,812408.000,64852,1,TL,1,100,2025-07-15_18-58-26-592731
1752620311.694019,817463.000,152,1,TL,1,100,2025-07-15_18-58-26-713556
1752620316.808061,822577.000,988,1,TL,1,100,2025-07-15_18-58-31-810746
1752620316.815061,822584.000,990,1,TL,1,100,2025-07-15_18-58-31-825084
1752620316.837062,822606.000,993,1,TL,1,100,2025-07-15_18-58-36-830923
1752620321.915104,827684.000,1828,1,TL,1,100,2025-07-15_18-58-36-899652
1752620321.953104,827722.000,1831,1,TL,1,100,2025-07-15_18-58-41-922659
1752620327.023147,832792.000,2666,1,TL,1,100,2025-07-15_18-58-41-991089
1752620327.036147,832805.000,2669,1,TL,1,100,2025-07-15_18-58-47-029654
1752620332.140190,837909.000,3521,1,TL,1,100,2025-07-15_18-58-47-057879
