LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752622326.547523,138494.000,20554,3,AY,1,100,0.036
1752622326.547523,138494.000,20554,3,AY,1,100,0.032
1752622326.547523,138494.000,20554,3,AY,1,100,0.040
1752622326.587523,138534.000,20569,2,AY,1,100,0.032
1752622326.627524,138574.000,20569,2,AY,1,100,0.014
1752622326.667524,138614.000,20590,3,AY,1,100,-0.001
1752622326.707524,138654.000,20590,3,AY,1,100,0.001
1752622326.747525,138694.000,20590,3,AY,1,100,-0.027
1752622326.787525,138734.000,20611,2,AY,1,100,-0.003
1752622326.827525,138774.000,20611,2,AY,1,100,0.003
1752622326.867526,138814.000,20628,3,AY,1,100,0.003
1752622326.907526,138854.000,20628,3,AY,1,100,-0.003
1752622326.947526,138894.000,20628,3,AY,1,100,0.000
1752622326.987527,138934.000,20643,2,AY,1,100,-0.016
1752622327.027527,138974.000,20643,2,AY,1,100,-0.014
1752622327.067527,139014.000,20661,3,AY,1,100,-0.037
1752622327.107527,139054.000,20661,3,AY,1,100,-0.026
1752622327.147528,139094.000,20661,3,AY,1,100,-0.027
1752622327.187528,139134.000,20679,2,AY,1,100,-0.021
1752622327.227528,139174.000,20679,2,AY,1,100,-0.022
1752622327.262862,139209.333,20695,3,AY,1,100,-0.026
1752622327.298196,139244.667,20695,3,AY,1,100,-0.002
1752622327.333529,139280.000,20695,3,AY,1,100,-0.006
1752622327.373530,139320.000,20710,3,AY,1,100,-0.008
1752622327.413530,139360.000,20710,3,AY,1,100,-0.025
1752622327.453530,139400.000,20710,3,AY,1,100,-0.030
1752622327.493530,139440.000,20727,2,AY,1,100,-0.014
1752622327.533531,139480.000,20727,2,AY,1,100,-0.008
1752622327.573531,139520.000,20746,3,AY,1,100,-0.035
1752622327.613531,139560.000,20746,3,AY,1,100,-0.003
1752622327.653532,139600.000,20746,3,AY,1,100,-0.007
1752622327.693532,139640.000,20762,3,AY,1,100,-0.020
1752622327.733532,139680.000,20762,3,AY,1,100,-0.018
1752622327.773533,139720.000,20762,3,AY,1,100,-0.006
1752622327.813533,139760.000,20778,2,AY,1,100,0.005
1752622327.853533,139800.000,20778,2,AY,1,100,0.001
1752622327.893534,139840.000,20794,3,AY,1,100,-0.013
1752622327.933534,139880.000,20794,3,AY,1,100,-0.013
1752622327.973534,139920.000,20794,3,AY,1,100,-0.015
1752622328.013535,139960.000,20811,2,AY,1,100,-0.005
1752622328.053535,140000.000,20811,2,AY,1,100,-0.010
1752622328.093535,140040.000,20827,3,AY,1,100,-0.011
1752622328.133535,140080.000,20827,3,AY,1,100,-0.000
1752622328.173536,140120.000,20827,3,AY,1,100,-0.009
1752622328.213536,140160.000,20846,2,AY,1,100,-0.010
1752622328.253536,140200.000,20846,2,AY,1,100,-0.007
1752622328.293537,140240.000,20861,3,AY,1,100,-0.008
1752622328.333537,140280.000,20861,3,AY,1,100,-0.021
1752622328.373537,140320.000,20861,3,AY,1,100,-0.018
1752622328.413538,140360.000,20878,2,AY,1,100,-0.015
1752622328.453538,140400.000,20878,2,AY,1,100,-0.011
1752622328.493538,140440.000,20895,3,AY,1,100,-0.017
1752622328.533539,140480.000,20895,3,AY,1,100,-0.016
1752622328.573539,140520.000,20895,3,AY,1,100,-0.016
1752622328.613539,140560.000,20912,2,AY,1,100,-0.017
1752622328.653540,140600.000,20912,2,AY,1,100,-0.017
1752622328.693540,140640.000,20926,3,AY,1,100,-0.018
1752622328.733540,140680.000,20926,3,AY,1,100,-0.014
1752622328.773541,140720.000,20926,3,AY,1,100,-0.021
1752622328.813541,140760.000,20946,2,AY,1,100,-0.018
1752622328.853541,140800.000,20946,2,AY,1,100,-0.023
1752622328.893541,140840.000,20962,3,AY,1,100,-0.015
1752622328.933542,140880.000,20962,3,AY,1,100,-0.023
1752622328.973542,140920.000,20962,3,AY,1,100,-0.023
1752622329.013542,140960.000,20979,2,AY,1,100,-0.028
1752622329.053543,141000.000,20979,2,AY,1,100,-0.018
1752622329.093543,141040.000,20995,3,AY,1,100,-0.020
1752622329.133543,141080.000,20995,3,AY,1,100,-0.011
1752622329.173544,141120.000,20995,3,AY,1,100,-0.013
1752622329.213544,141160.000,21013,3,AY,1,100,-0.017
1752622329.253544,141200.000,21013,3,AY,1,100,-0.021
1752622329.293545,141240.000,21013,3,AY,1,100,-0.011
1752622329.333545,141280.000,21031,2,AY,1,100,-0.021
1752622329.373545,141320.000,21031,2,AY,1,100,-0.019
1752622329.413546,141360.000,21050,3,AY,1,100,-0.020
1752622329.453546,141400.000,21050,3,AY,1,100,-0.023
1752622329.493546,141440.000,21050,3,AY,1,100,-0.024
1752622329.533546,141480.000,21065,2,AY,1,100,-0.040
1752622329.573547,141520.000,21065,2,AY,1,100,-0.042
1752622329.613547,141560.000,21082,3,AY,1,100,-0.012
1752622329.653547,141600.000,21082,3,AY,1,100,-0.005
1752622329.693548,141640.000,21082,3,AY,1,100,-0.003
1752622329.733548,141680.000,21098,2,AY,1,100,-0.001
1752622329.773548,141720.000,21098,2,AY,1,100,0.007
1752622329.813549,141760.000,21116,3,AY,1,100,0.013
1752622329.853549,141800.000,21116,3,AY,1,100,0.003
1752622329.893549,141840.000,21116,3,AY,1,100,0.009
1752622329.933550,141880.000,21132,2,AY,1,100,0.008
1752622329.973550,141920.000,21132,2,AY,1,100,-0.003
1752622330.013550,141960.000,21153,3,AY,1,100,0.009
1752622330.053551,142000.000,21153,3,AY,1,100,0.006
1752622330.093551,142040.000,21153,3,AY,1,100,0.007
1752622330.133551,142080.000,21169,2,AY,1,100,0.012
1752622330.173551,142120.000,21169,2,AY,1,100,0.010
1752622330.213552,142160.000,21187,3,AY,1,100,0.015
1752622330.253552,142200.000,21187,3,AY,1,100,0.004
1752622330.293552,142240.000,21187,3,AY,1,100,0.005
1752622330.333553,142280.000,21202,2,AY,1,100,0.000
