LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752622329.845549,141792.000,21125,1,B%,1,100,69
1752622334.844588,146791.000,21967,1,B%,1,100,67
1752622339.844627,151791.000,22814,1,B%,1,100,68
1752622344.843666,156790.000,23653,1,B%,1,100,69
1752622349.843705,161790.000,24511,1,B%,1,100,68
1752622354.842744,166789.000,25354,1,B%,1,100,68
1752622359.842783,171789.000,26198,1,B%,1,100,68
1752622364.841822,176788.000,27036,1,B%,1,100,68
1752622369.841862,181788.000,27883,1,B%,1,100,69
1752622374.840901,186787.000,28732,1,B%,1,100,69
1752622379.840940,191787.000,29606,1,B%,1,100,69
1752622384.839979,196786.000,30453,1,B%,1,100,69
1752622389.840018,201786.000,31301,1,B%,1,100,69
1752622394.839057,206785.000,32149,1,B%,1,100,68
1752622399.839096,211785.000,33009,1,B%,1,100,69
1752622404.838135,216784.000,33840,1,B%,1,100,69
1752622409.838174,221784.000,34685,1,B%,1,100,69
1752622414.837213,226783.000,35525,1,B%,1,100,69
1752622419.837252,231783.000,36306,1,B%,1,100,69
1752622424.836291,236782.000,37157,1,B%,1,100,69
1752622429.836331,241782.000,38005,1,B%,1,100,69
1752622434.835370,246781.000,38838,1,B%,1,100,70
1752622439.835409,251781.000,39688,1,B%,1,100,69
1752622444.834448,256780.000,40534,1,B%,1,100,70
1752622449.834487,261780.000,41377,1,B%,1,100,70
1752622454.833526,266779.000,42196,1,B%,1,100,70
1752622459.833565,271779.000,43068,1,B%,1,100,70
1752622464.832604,276778.000,43901,1,B%,1,100,70
1752622469.832643,281778.000,44722,1,B%,1,100,71
1752622474.831682,286777.000,45567,1,B%,1,100,70
1752622479.831721,291777.000,46412,1,B%,1,100,71
1752622484.830760,296776.000,47259,1,B%,1,100,70
1752622489.830800,301776.000,48088,1,B%,1,100,70
1752622494.829839,306775.000,48940,1,B%,1,100,70
1752622499.829878,311775.000,49794,1,B%,1,100,71
1752622504.828917,316774.000,50633,1,B%,1,100,71
1752622509.828956,321774.000,51482,1,B%,1,100,71
1752622514.827995,326773.000,52305,1,B%,1,100,70
1752622519.828034,331773.000,53154,1,B%,1,100,71
1752622524.827073,336772.000,54001,1,B%,1,100,71
1752622529.827112,341772.000,54849,1,B%,1,100,70
1752622534.826151,346771.000,55694,1,B%,1,100,71
1752622539.826190,351771.000,56512,1,B%,1,100,71
1752622544.825229,356770.000,57346,1,B%,1,100,71
1752622549.825269,361770.000,58174,1,B%,1,100,72
1752622554.824308,366769.000,59002,1,B%,1,100,71
1752622559.824347,371769.000,59809,1,B%,1,100,71
1752622564.823386,376768.000,60634,1,B%,1,100,71
1752622569.823425,381768.000,61459,1,B%,1,100,72
1752622574.822464,386767.000,62279,1,B%,1,100,72
1752622579.822503,391767.000,63103,1,B%,1,100,72
1752622584.821542,396766.000,63934,1,B%,1,100,72
1752622589.821581,401766.000,64737,1,B%,1,100,72
1752622594.820620,406765.000,23,1,B%,1,100,72
