LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752622326.546523,138493.000,20550,2,EL,1,100,-5474.000000
1752622326.546523,138493.000,20550,2,EL,1,100,-5531.200195
1752622326.612524,138559.000,20567,1,EL,1,100,-5734.000000
1752622326.679524,138626.000,20586,2,EL,1,100,-5929.000000
1752622326.746525,138693.000,20586,2,EL,1,100,-5821.399902
1752622326.812525,138759.000,20607,1,EL,1,100,-5698.600098
1752622326.879526,138826.000,20624,2,EL,1,100,-5952.799805
1752622326.946526,138893.000,20624,2,EL,1,100,-6153.799805
1752622327.012527,138959.000,20641,1,EL,1,100,-6061.000000
1752622327.079527,139026.000,20657,2,EL,1,100,-5899.200195
1752622327.146528,139093.000,20657,2,EL,1,100,-5745.600098
1752622327.212528,139159.000,20675,1,EL,1,100,-5675.000000
1752622327.279529,139226.000,20691,2,EL,1,100,-5592.399902
1752622327.346529,139293.000,20691,2,EL,1,100,-5609.000000
1752622327.412530,139359.000,20708,1,EL,1,100,-5640.799805
1752622327.479530,139426.000,20723,2,EL,1,100,-5658.200195
1752622327.546531,139493.000,20723,2,EL,1,100,-5667.799805
1752622327.612531,139559.000,20742,1,EL,1,100,-5695.799805
1752622327.679032,139625.500,20758,2,EL,1,100,-5722.399902
1752622327.745532,139692.000,20758,2,EL,1,100,-5743.799805
1752622327.812533,139759.000,20775,1,EL,1,100,-5774.000000
1752622327.879034,139825.500,20791,2,EL,1,100,-5795.600098
1752622327.945534,139892.000,20791,2,EL,1,100,-5822.000000
1752622328.012535,139959.000,20807,1,EL,1,100,-5851.399902
1752622328.079035,140025.500,20823,2,EL,1,100,-5869.799805
1752622328.145536,140092.000,20823,2,EL,1,100,-5897.200195
1752622328.212536,140159.000,20843,1,EL,1,100,-5929.799805
1752622328.279037,140225.500,20858,2,EL,1,100,-5948.799805
1752622328.345537,140292.000,20858,2,EL,1,100,-5967.200195
1752622328.412538,140359.000,20874,2,EL,1,100,-5995.200195
1752622328.479538,140426.000,20874,2,EL,1,100,-6016.399902
1752622328.545539,140492.000,20891,1,EL,1,100,-6036.799805
1752622328.612539,140559.000,20908,2,EL,1,100,-6061.600098
1752622328.679540,140626.000,20908,2,EL,1,100,-6081.600098
1752622328.745540,140692.000,20924,1,EL,1,100,-6101.600098
1752622328.812541,140759.000,20942,2,EL,1,100,-6122.200195
1752622328.879541,140826.000,20942,2,EL,1,100,-6139.000000
1752622328.945542,140892.000,20958,1,EL,1,100,-6156.799805
1752622329.012542,140959.000,20975,2,EL,1,100,-6185.000000
1752622329.079543,141026.000,20975,2,EL,1,100,-6204.399902
1752622329.145543,141092.000,20993,1,EL,1,100,-6217.799805
1752622329.212544,141159.000,21009,2,EL,1,100,-6233.000000
1752622329.279544,141226.000,21009,2,EL,1,100,-6249.200195
1752622329.345545,141292.000,21027,1,EL,1,100,-6269.000000
1752622329.412545,141359.000,21046,2,EL,1,100,-6298.399902
1752622329.479546,141426.000,21046,2,EL,1,100,-6308.600098
1752622329.545547,141492.000,21063,1,EL,1,100,-6322.399902
1752622329.612547,141559.000,21078,2,EL,1,100,-6334.600098
1752622329.679548,141626.000,21078,2,EL,1,100,-6351.399902
1752622329.745548,141692.000,21094,1,EL,1,100,-6370.000000
1752622329.812549,141759.000,21112,2,EL,1,100,-6390.200195
1752622329.879549,141826.000,21112,2,EL,1,100,-6405.200195
1752622329.945550,141892.000,21130,1,EL,1,100,-6421.600098
1752622330.012550,141959.000,21149,2,EL,1,100,-6440.399902
1752622330.079551,142026.000,21149,2,EL,1,100,-6456.000000
1752622330.145551,142092.000,21165,1,EL,1,100,-6468.799805
1752622330.212552,142159.000,21183,2,EL,1,100,-6484.200195
1752622330.279552,142226.000,21183,2,EL,1,100,-6500.200195
1752622330.345553,142292.000,21199,1,EL,1,100,-6519.200195
1752622330.412053,142358.500,21215,2,EL,1,100,-6538.600098
1752622330.478554,142425.000,21215,2,EL,1,100,-6555.799805
1752622330.545554,142492.000,21231,1,EL,1,100,-6575.799805
1752622330.612555,142559.000,21252,2,EL,1,100,-6586.000000
1752622330.679555,142626.000,21252,2,EL,1,100,-6608.000000
1752622330.745556,142692.000,21268,1,EL,1,100,-6627.799805
1752622330.812056,142758.500,21285,2,EL,1,100,-6649.399902
1752622330.878557,142825.000,21285,2,EL,1,100,-6666.600098
1752622330.945557,142892.000,21300,2,EL,1,100,-6686.799805
1752622331.012558,142959.000,21300,2,EL,1,100,-6701.200195
1752622331.078559,143025.000,21319,1,EL,1,100,-6717.000000
1752622331.145559,143092.000,21336,2,EL,1,100,-6733.399902
1752622331.212560,143159.000,21336,2,EL,1,100,-6752.799805
1752622331.278560,143225.000,21357,1,EL,1,100,-6766.399902
1752622331.345561,143292.000,21371,2,EL,1,100,-6779.600098
1752622331.412561,143359.000,21371,2,EL,1,100,-6792.799805
1752622331.478562,143425.000,21388,1,EL,1,100,-6807.799805
1752622331.545562,143492.000,21405,2,EL,1,100,-6829.200195
1752622331.612563,143559.000,21405,2,EL,1,100,-6849.600098
1752622331.678563,143625.000,21422,1,EL,1,100,-6868.000000
1752622331.745564,143692.000,21443,2,EL,1,100,-6880.200195
1752622331.812564,143759.000,21443,2,EL,1,100,-6890.399902
1752622331.879065,143825.500,21463,2,EL,1,100,-6909.799805
1752622331.945565,143892.000,21463,2,EL,1,100,-6922.200195
1752622332.012566,143959.000,21479,1,EL,1,100,-6937.600098
1752622332.079066,144025.500,21496,2,EL,1,100,-6954.399902
1752622332.145567,144092.000,21496,2,EL,1,100,-6968.200195
1752622332.212567,144159.000,21513,1,EL,1,100,-6985.799805
1752622332.279068,144225.500,21529,2,EL,1,100,-7004.799805
1752622332.345568,144292.000,21529,2,EL,1,100,-7021.600098
1752622332.412569,144359.000,21544,1,EL,1,100,-7044.200195
1752622332.479069,144425.500,21566,2,EL,1,100,-7057.000000
1752622332.545570,144492.000,21566,2,EL,1,100,-7068.399902
1752622332.612571,144559.000,21582,1,EL,1,100,-7082.399902
1752622332.679071,144625.500,21598,2,EL,1,100,-7082.600098
1752622332.745572,144692.000,21598,2,EL,1,100,-7091.799805
1752622332.812072,144758.500,21614,2,EL,1,100,-7116.799805
1752622332.878573,144825.000,21614,2,EL,1,100,-7133.600098
1752622332.945573,144892.000,21631,1,EL,1,100,-7151.799805
1752622333.012074,144958.500,21647,2,EL,1,100,-7171.000000
1752622333.078574,145025.000,21647,2,EL,1,100,-7185.399902
1752622333.145575,145092.000,21664,1,EL,1,100,-7199.399902
1752622333.212075,145158.500,21683,2,EL,1,100,-7215.000000
1752622333.278576,145225.000,21683,2,EL,1,100,-7227.799805
1752622333.345576,145292.000,21700,1,EL,1,100,-7241.200195
1752622333.412077,145358.500,21716,2,EL,1,100,-7252.399902
1752622333.478577,145425.000,21716,2,EL,1,100,-7268.799805
1752622333.545578,145492.000,21734,1,EL,1,100,-7288.000000
1752622333.612078,145558.500,21748,2,EL,1,100,-7307.000000
1752622333.678579,145625.000,21748,2,EL,1,100,-7319.200195
1752622333.745579,145692.000,21765,1,EL,1,100,-7334.000000
