LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752622326.449522,138396.000,20544,4,EM,1,100,RS
1752622326.449522,138396.000,20544,4,EM,1,100,RB
1752622326.449522,138396.000,20544,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622326.449522,138396.000,20544,4,EM,1,100,PS
1752622326.499773,138446.250,20562,4,EM,1,100,RS
1752622326.550023,138496.500,20562,4,EM,1,100,RB
1752622326.600274,138546.750,20562,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622326.650524,138597.000,20562,4,EM,1,100,PS
1752622326.701524,138648.000,20598,4,EM,1,100,RS
1752622326.752525,138699.000,20598,4,EM,1,100,RB
1752622326.803525,138750.000,20598,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622326.854525,138801.000,20598,4,EM,1,100,PS
1752622326.904526,138851.000,20636,4,EM,1,100,RS
1752622326.954526,138901.000,20636,4,EM,1,100,RB
1752622327.004527,138951.000,20636,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622327.054527,139001.000,20636,4,EM,1,100,PS
1752622327.104777,139051.250,20669,4,EM,1,100,RS
1752622327.155028,139101.500,20669,4,EM,1,100,RB
1752622327.205278,139151.750,20669,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622327.255529,139202.000,20669,4,EM,1,100,PS
1752622327.305779,139252.250,20703,4,EM,1,100,RS
1752622327.356029,139302.500,20703,4,EM,1,100,RB
1752622327.406280,139352.750,20703,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622327.456530,139403.000,20703,4,EM,1,100,PS
1752622327.506781,139453.250,20735,4,EM,1,100,RS
1752622327.557031,139503.500,20735,4,EM,1,100,RB
1752622327.607281,139553.750,20735,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622327.657532,139604.000,20735,4,EM,1,100,PS
1752622327.708032,139654.500,20770,4,EM,1,100,RS
1752622327.758533,139705.000,20770,4,EM,1,100,RB
1752622327.809033,139755.500,20770,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622327.859533,139806.000,20770,4,EM,1,100,PS
1752622327.909784,139856.250,20802,4,EM,1,100,RS
1752622327.960034,139906.500,20802,4,EM,1,100,RB
1752622328.010285,139956.750,20802,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622328.060535,140007.000,20802,4,EM,1,100,PS
1752622328.110785,140057.250,20835,4,EM,1,100,RS
1752622328.161036,140107.500,20835,4,EM,1,100,RB
1752622328.211286,140157.750,20835,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622328.261536,140208.000,20835,4,EM,1,100,PS
1752622328.311787,140258.250,20869,4,EM,1,100,RS
1752622328.362037,140308.500,20869,4,EM,1,100,RB
1752622328.412288,140358.750,20869,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622328.462538,140409.000,20869,4,EM,1,100,PS
1752622328.512788,140459.250,20903,4,EM,1,100,RS
1752622328.563039,140509.500,20903,4,EM,1,100,RB
1752622328.613289,140559.750,20903,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622328.663540,140610.000,20903,4,EM,1,100,PS
1752622328.713790,140660.250,20934,4,EM,1,100,RS
1752622328.764040,140710.500,20934,4,EM,1,100,RB
1752622328.814291,140760.750,20934,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622328.864541,140811.000,20934,4,EM,1,100,PS
1752622328.915292,140861.750,20970,4,EM,1,100,RS
1752622328.966042,140912.500,20970,4,EM,1,100,RB
1752622329.016792,140963.250,20970,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622329.067543,141014.000,20970,4,EM,1,100,PS
1752622329.118543,141065.000,21003,4,EM,1,100,RS
1752622329.169544,141116.000,21003,4,EM,1,100,RB
1752622329.220544,141167.000,21003,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622329.271544,141218.000,21003,4,EM,1,100,PS
1752622329.322045,141268.500,21039,4,EM,1,100,RS
1752622329.372545,141319.000,21039,4,EM,1,100,RB
1752622329.423046,141369.500,21039,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622329.473546,141420.000,21039,4,EM,1,100,PS
1752622329.523796,141470.250,21073,4,EM,1,100,RS
1752622329.574047,141520.500,21073,4,EM,1,100,RB
1752622329.624297,141570.750,21073,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622329.674548,141621.000,21073,4,EM,1,100,PS
1752622329.724798,141671.250,21106,4,EM,1,100,RS
1752622329.775048,141721.500,21106,4,EM,1,100,RB
1752622329.825299,141771.750,21106,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622329.875549,141822.000,21106,4,EM,1,100,PS
1752622329.925800,141872.250,21140,4,EM,1,100,RS
1752622329.976050,141922.500,21140,4,EM,1,100,RB
1752622330.026300,141972.750,21140,4,EM,1,100,2025-07-15_19-32-05-631421.csv
1752622330.076551,142023.000,21140,4,EM,1,100,PS
1752622330.126801,142073.250,21177,4,EM,1,100,RS
1752622330.177051,142123.500,21177,4,EM,1,100,RB
