LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752622326.547523,138494.000,20558,3,GZ,1,100,0.305
1752622326.547523,138494.000,20558,3,GZ,1,100,0.336
1752622326.547523,138494.000,20558,3,GZ,1,100,0.916
1752622326.587523,138534.000,20573,2,GZ,1,100,2.350
1752622326.627524,138574.000,20573,2,GZ,1,100,3.113
1752622326.667524,138614.000,20594,3,GZ,1,100,3.540
1752622326.707524,138654.000,20594,3,GZ,1,100,2.258
1752622326.747525,138694.000,20594,3,GZ,1,100,3.174
1752622326.787525,138734.000,20615,2,GZ,1,100,3.510
1752622326.827525,138774.000,20615,2,GZ,1,100,2.441
1752622326.867526,138814.000,20632,3,GZ,1,100,2.319
1752622326.907526,138854.000,20632,3,GZ,1,100,2.197
1752622326.947526,138894.000,20632,3,GZ,1,100,3.571
1752622326.987527,138934.000,20647,2,GZ,1,100,2.136
1752622327.027527,138974.000,20647,2,GZ,1,100,2.411
1752622327.067527,139014.000,20665,3,GZ,1,100,5.127
1752622327.107527,139054.000,20665,3,GZ,1,100,7.599
1752622327.147528,139094.000,20665,3,GZ,1,100,4.974
1752622327.187528,139134.000,20683,2,GZ,1,100,3.357
1752622327.227528,139174.000,20683,2,GZ,1,100,1.923
1752622327.262862,139209.333,20699,3,GZ,1,100,1.404
1752622327.298196,139244.667,20699,3,GZ,1,100,-0.122
1752622327.333529,139280.000,20699,3,GZ,1,100,0.824
1752622327.373530,139320.000,20714,3,GZ,1,100,3.143
1752622327.413530,139360.000,20714,3,GZ,1,100,4.608
1752622327.453530,139400.000,20714,3,GZ,1,100,4.211
1752622327.493530,139440.000,20731,2,GZ,1,100,2.014
1752622327.533531,139480.000,20731,2,GZ,1,100,2.991
1752622327.573531,139520.000,20750,3,GZ,1,100,5.127
1752622327.613531,139560.000,20750,3,GZ,1,100,5.493
1752622327.653532,139600.000,20750,3,GZ,1,100,3.632
1752622327.693532,139640.000,20766,3,GZ,1,100,1.709
1752622327.733532,139680.000,20766,3,GZ,1,100,-0.580
1752622327.773533,139720.000,20766,3,GZ,1,100,-1.526
1752622327.813533,139760.000,20782,2,GZ,1,100,-2.167
1752622327.853533,139800.000,20782,2,GZ,1,100,-1.617
1752622327.893534,139840.000,20798,3,GZ,1,100,-0.305
1752622327.933534,139880.000,20798,3,GZ,1,100,0.519
1752622327.973534,139920.000,20798,3,GZ,1,100,1.984
1752622328.013535,139960.000,20815,2,GZ,1,100,1.526
1752622328.053535,140000.000,20815,2,GZ,1,100,-0.275
1752622328.093535,140040.000,20831,3,GZ,1,100,-2.167
1752622328.133535,140080.000,20831,3,GZ,1,100,-1.709
1752622328.173536,140120.000,20831,3,GZ,1,100,0.427
1752622328.213536,140160.000,20850,2,GZ,1,100,1.373
1752622328.253536,140200.000,20850,2,GZ,1,100,2.136
1752622328.293537,140240.000,20865,3,GZ,1,100,1.801
1752622328.333537,140280.000,20865,3,GZ,1,100,1.190
1752622328.373537,140320.000,20865,3,GZ,1,100,0.122
1752622328.413538,140360.000,20882,2,GZ,1,100,-0.854
1752622328.453538,140400.000,20882,2,GZ,1,100,-0.092
1752622328.493538,140440.000,20899,3,GZ,1,100,0.580
1752622328.533539,140480.000,20899,3,GZ,1,100,1.160
1752622328.573539,140520.000,20899,3,GZ,1,100,1.801
1752622328.613539,140560.000,20916,2,GZ,1,100,1.434
1752622328.653540,140600.000,20916,2,GZ,1,100,0.641
1752622328.693540,140640.000,20930,3,GZ,1,100,1.068
1752622328.733540,140680.000,20930,3,GZ,1,100,1.556
1752622328.773541,140720.000,20930,3,GZ,1,100,1.923
1752622328.813541,140760.000,20950,2,GZ,1,100,1.648
1752622328.853541,140800.000,20950,2,GZ,1,100,0.793
1752622328.893541,140840.000,20966,3,GZ,1,100,0.458
1752622328.933542,140880.000,20966,3,GZ,1,100,0.885
1752622328.973542,140920.000,20966,3,GZ,1,100,0.763
1752622329.013542,140960.000,20983,2,GZ,1,100,0.305
1752622329.053543,141000.000,20983,2,GZ,1,100,0.488
1752622329.093543,141040.000,20999,3,GZ,1,100,0.580
1752622329.133543,141080.000,20999,3,GZ,1,100,0.336
