LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752622326.827525,138774,20600,1,HR,1,100,95.19
1752622327.587531,139534,20737,1,HR,1,100,91.58
1752622328.240536,140187,20837,1,HR,1,100,92.07
1752622328.800541,140747,20936,1,HR,1,100,95.42
1752622329.360545,141307,21022,1,HR,1,100,98.02
1752622330.080551,142027,21142,1,HR,1,100,94.76
1752622330.680555,142627,21245,1,HR,1,100,95.92
1752622331.280560,143227,21350,1,HR,1,100,96.83
1752622331.920565,143867,21457,1,HR,1,100,96.14
1752622332.560570,144507,21558,1,HR,1,100,95.61
1752622333.213575,145160,21675,1,HR,1,100,95.20
1752622333.853580,145800,21778,1,HR,1,100,94.88
1752622334.493585,146440,21879,1,HR,1,100,94.63
1752622335.133590,147080,22003,1,HR,1,100,94.43
1752622335.813596,147760,22108,1,HR,1,100,93.05
1752622336.453601,148400,22227,1,HR,1,100,93.21
1752622337.013605,148960,22319,1,HR,1,100,96.31
1752622337.586609,149533,22420,1,HR,1,100,98.71
1752622338.186614,150133,22522,1,HR,1,100,99.00
1752622338.786619,150733,22623,1,HR,1,100,99.22
1752622339.386623,151333,22728,1,HR,1,100,99.39
1752622340.146629,152093,22847,1,HR,1,100,94.85
1752622340.826635,152773,22967,1,HR,1,100,93.38
1752622341.545640,153492,23086,1,HR,1,100,91.15
1752622342.359647,154306,23228,1,HR,1,100,87.56
1752622343.079652,155026,23346,1,HR,1,100,86.62
1752622343.879659,155826,23484,1,HR,1,100,84.04
1752622344.598664,156545,23604,1,HR,1,100,83.88
1752622345.318670,157265,23722,1,HR,1,100,83.76
1752622345.998675,157945,23841,1,HR,1,100,84.75
1752622346.718681,158665,23965,1,HR,1,100,84.44
1752622347.372686,159319,24069,1,HR,1,100,86.51
1752622347.971691,159918,24174,1,HR,1,100,89.51
1752622348.532695,160479,24274,1,HR,1,100,93.43
1752622349.171700,161118,24375,1,HR,1,100,93.50
1752622349.811705,161758,24476,1,HR,1,100,93.55
1752622350.411710,162358,24581,1,HR,1,100,94.99
1752622351.091715,163038,24700,1,HR,1,100,93.49
1752622351.651719,163598,24785,1,HR,1,100,96.52
1752622352.264724,164211,24887,1,HR,1,100,97.29
1752622352.904729,164851,25009,1,HR,1,100,96.51
1752622353.544734,165491,25112,1,HR,1,100,95.89
1752622354.144739,166091,25215,1,HR,1,100,96.81
1752622354.784744,166731,25318,1,HR,1,100,96.13
1752622355.464749,167411,25440,1,HR,1,100,94.37
1752622356.104754,168051,25541,1,HR,1,100,94.23
1752622356.744759,168691,25660,1,HR,1,100,94.13
1752622357.397764,169344,25770,1,HR,1,100,94.04
1752622358.037769,169984,25872,1,HR,1,100,93.98
1752622358.637774,170584,25976,1,HR,1,100,95.32
1752622359.277779,171224,26077,1,HR,1,100,94.97
1752622359.917784,171864,26179,1,HR,1,100,94.70
1752622360.517789,172464,26284,1,HR,1,100,95.88
1752622361.117793,173064,26383,1,HR,1,100,96.79
1752622361.770798,173717,26502,1,HR,1,100,96.12
1752622362.370803,174317,26603,1,HR,1,100,96.98
1752622362.970808,174917,26694,1,HR,1,100,97.65
1752622363.530812,175477,26797,1,HR,1,100,99.76
1752622364.090817,176037,26881,1,HR,1,100,101.40
1752622364.690821,176637,26984,1,HR,1,100,101.09
1752622365.290826,177237,27089,1,HR,1,100,100.85
1752622365.890831,177837,27189,1,HR,1,100,100.66
1752622366.503835,178450,27292,1,HR,1,100,100.51
1752622367.063840,179010,27395,1,HR,1,100,101.99
1752622367.663845,179610,27505,1,HR,1,100,101.54
1752622368.303850,180250,27608,1,HR,1,100,99.81
1752622368.903854,180850,27712,1,HR,1,100,99.85
1752622369.543859,181490,27815,1,HR,1,100,98.50
1752622370.143864,182090,27918,1,HR,1,100,98.83
1752622370.782869,182729,28023,1,HR,1,100,97.70
1752622371.436874,183383,28141,1,HR,1,100,96.82
1752622371.956878,183903,28229,1,HR,1,100,100.95
1752622372.596883,184543,28331,1,HR,1,100,99.35
1752622373.236888,185183,28441,1,HR,1,100,98.10
1752622373.795892,185742,28546,1,HR,1,100,100.11
1752622374.395897,186342,28647,1,HR,1,100,100.09
1752622374.995902,186942,28754,1,HR,1,100,100.07
1752622375.595907,187542,28857,1,HR,1,100,100.05
1752622376.249912,188196,28959,1,HR,1,100,98.65
1752622376.849916,188796,29064,1,HR,1,100,98.95
1752622377.488921,189435,29171,1,HR,1,100,97.80
1752622378.168927,190115,29298,1,HR,1,100,95.67
1752622378.808932,190755,29401,1,HR,1,100,95.24
1752622379.448937,191395,29520,1,HR,1,100,94.91
1752622380.048941,191995,29625,1,HR,1,100,96.04
1752622380.768947,192715,29745,1,HR,1,100,93.22
1752622381.461952,193408,29862,1,HR,1,100,92.11
1752622382.141958,194088,29967,1,HR,1,100,91.25
1752622382.781963,194728,30085,1,HR,1,100,91.81
1752622383.421968,195368,30193,1,HR,1,100,92.24
1752622384.101973,196048,30314,1,HR,1,100,91.35
1752622384.781978,196728,30417,1,HR,1,100,90.66
1752622385.381983,197328,30522,1,HR,1,100,92.73
1752622386.034988,197981,30644,1,HR,1,100,92.96
1752622386.674993,198621,30747,1,HR,1,100,93.13
1752622387.274998,199221,30850,1,HR,1,100,94.66
1752622387.955003,199901,30971,1,HR,1,100,93.23
1752622388.555008,200501,31062,1,HR,1,100,94.74
1752622389.235013,201181,31181,1,HR,1,100,93.29
1752622389.915018,201861,31304,1,HR,1,100,92.17
1752622390.648024,202594,31425,1,HR,1,100,90.20
1752622391.288029,203234,31527,1,HR,1,100,90.99
1752622391.928034,203874,31648,1,HR,1,100,91.61
1752622392.648040,204594,31767,1,HR,1,100,89.77
1752622393.408046,205354,31890,1,HR,1,100,87.36
1752622394.128051,206074,32011,1,HR,1,100,86.47
1752622394.808057,206754,32131,1,HR,1,100,86.86
1752622395.501062,207447,32248,1,HR,1,100,87.17
1752622396.181067,208127,32370,1,HR,1,100,87.40
1752622396.821072,208767,32471,1,HR,1,100,88.81
1752622397.501078,209447,32594,1,HR,1,100,88.69
1752622398.141083,210087,32695,1,HR,1,100,89.81
1752622398.821088,210767,32822,1,HR,1,100,89.46
1752622399.461093,211407,32925,1,HR,1,100,90.41
1752622400.101098,212047,33030,1,HR,1,100,91.16
1752622400.794104,212740,33147,1,HR,1,100,90.51
1752622401.474109,213420,33267,1,HR,1,100,90.00
1752622402.154114,214100,33368,1,HR,1,100,89.61
1752622402.874120,214820,33506,1,HR,1,100,88.21
1752622403.474124,215420,33592,1,HR,1,100,90.83
1752622404.193130,216139,33721,1,HR,1,100,89.17
1752622404.834135,216780,33822,1,HR,1,100,90.19
1752622405.487140,217433,33944,1,HR,1,100,90.98
1752622406.127145,218073,34048,1,HR,1,100,91.59
1752622406.767150,218713,34151,1,HR,1,100,92.07
1752622407.406155,219352,34271,1,HR,1,100,92.45
1752622408.046160,219992,34371,1,HR,1,100,92.74
1752622408.646165,220592,34480,1,HR,1,100,94.35
1752622409.287170,221233,34583,1,HR,1,100,94.22
1752622410.020176,221966,34702,1,HR,1,100,91.80
1752622410.659181,222605,34805,1,HR,1,100,92.23
1752622411.259185,223205,34905,1,HR,1,100,93.96
1752622411.899190,223845,35008,1,HR,1,100,93.91
1752622412.379194,224325,35093,1,HR,1,100,100.82
