LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752622326.547523,138494.000,20548,3,PG,1,100,1539
1752622326.547523,138494.000,20548,3,PG,1,100,1526
1752622326.547523,138494.000,20548,3,PG,1,100,1522
1752622326.587523,138534.000,20565,2,PG,1,100,1526
1752622326.627524,138574.000,20565,2,PG,1,100,1517
1752622326.667524,138614.000,20584,3,PG,1,100,1521
1752622326.707524,138654.000,20584,3,PG,1,100,1527
1752622326.747525,138694.000,20584,3,PG,1,100,1532
1752622326.787525,138734.000,20605,2,PG,1,100,1519
1752622326.827525,138774.000,20605,2,PG,1,100,1520
1752622326.867526,138814.000,20622,3,PG,1,100,1518
1752622326.907526,138854.000,20622,3,PG,1,100,1535
1752622326.947526,138894.000,20622,3,PG,1,100,1531
1752622326.987527,138934.000,20639,2,PG,1,100,1525
1752622327.027527,138974.000,20639,2,PG,1,100,1536
1752622327.067527,139014.000,20655,3,PG,1,100,1544
1752622327.107527,139054.000,20655,3,PG,1,100,1539
1752622327.147528,139094.000,20655,3,PG,1,100,1535
1752622327.187528,139134.000,20673,2,PG,1,100,1535
1752622327.227528,139174.000,20673,2,PG,1,100,1523
1752622327.267529,139214.000,20689,3,PG,1,100,1513
1752622327.307529,139254.000,20689,3,PG,1,100,1526
1752622327.347529,139294.000,20689,3,PG,1,100,1541
1752622327.387530,139334.000,20706,3,PG,1,100,1515
1752622327.427530,139374.000,20706,3,PG,1,100,1517
1752622327.467530,139414.000,20706,3,PG,1,100,1517
1752622327.507531,139454.000,20721,2,PG,1,100,1526
1752622327.547531,139494.000,20721,2,PG,1,100,1518
1752622327.587531,139534.000,20740,3,PG,1,100,1523
1752622327.627532,139574.000,20740,3,PG,1,100,1528
1752622327.667532,139614.000,20740,3,PG,1,100,1536
1752622327.707532,139654.000,20756,2,PG,1,100,1519
1752622327.747532,139694.000,20756,2,PG,1,100,1512
1752622327.794033,139740.500,20773,2,PG,1,100,1530
1752622327.840533,139787.000,20773,2,PG,1,100,1515
1752622327.880534,139827.000,20789,3,PG,1,100,1505
1752622327.920534,139867.000,20789,3,PG,1,100,1509
1752622327.960534,139907.000,20789,3,PG,1,100,1521
1752622328.000534,139947.000,20805,2,PG,1,100,1500
1752622328.040535,139987.000,20805,2,PG,1,100,1494
1752622328.080535,140027.000,20821,3,PG,1,100,1499
1752622328.120535,140067.000,20821,3,PG,1,100,1513
1752622328.160536,140107.000,20821,3,PG,1,100,1511
1752622328.200536,140147.000,20841,2,PG,1,100,1509
1752622328.240536,140187.000,20841,2,PG,1,100,1518
1752622328.280537,140227.000,20856,3,PG,1,100,1514
1752622328.320537,140267.000,20856,3,PG,1,100,1504
1752622328.360537,140307.000,20856,3,PG,1,100,1502
1752622328.400538,140347.000,20872,3,PG,1,100,1509
1752622328.440538,140387.000,20872,3,PG,1,100,1506
1752622328.480538,140427.000,20872,3,PG,1,100,1479
1752622328.520539,140467.000,20889,2,PG,1,100,1515
1752622328.560539,140507.000,20889,2,PG,1,100,1515
1752622328.600539,140547.000,20906,3,PG,1,100,1496
1752622328.640539,140587.000,20906,3,PG,1,100,1496
1752622328.680540,140627.000,20906,3,PG,1,100,1487
1752622328.720540,140667.000,20922,2,PG,1,100,1500
1752622328.760540,140707.000,20922,2,PG,1,100,1506
1752622328.800541,140747.000,20940,3,PG,1,100,1508
1752622328.840541,140787.000,20940,3,PG,1,100,1510
1752622328.880541,140827.000,20940,3,PG,1,100,1505
1752622328.920542,140867.000,20956,2,PG,1,100,1509
1752622328.960542,140907.000,20956,2,PG,1,100,1505
1752622329.000542,140947.000,20973,3,PG,1,100,1497
1752622329.040543,140987.000,20973,3,PG,1,100,1513
1752622329.080543,141027.000,20973,3,PG,1,100,1503
1752622329.120543,141067.000,20991,2,PG,1,100,1502
1752622329.160544,141107.000,20991,2,PG,1,100,1511
1752622329.200544,141147.000,21007,3,PG,1,100,1500
1752622329.240544,141187.000,21007,3,PG,1,100,1489
1752622329.280544,141227.000,21007,3,PG,1,100,1486
1752622329.320545,141267.000,21025,2,PG,1,100,1494
1752622329.360545,141307.000,21025,2,PG,1,100,1482
1752622329.400545,141347.000,21044,3,PG,1,100,1483
1752622329.440546,141387.000,21044,3,PG,1,100,1515
1752622329.480546,141427.000,21044,3,PG,1,100,1512
1752622329.520546,141467.000,21061,2,PG,1,100,1498
1752622329.560547,141507.000,21061,2,PG,1,100,1502
1752622329.600547,141547.000,21076,3,PG,1,100,1521
1752622329.640547,141587.000,21076,3,PG,1,100,1505
1752622329.680548,141627.000,21076,3,PG,1,100,1514
1752622329.720548,141667.000,21092,2,PG,1,100,1515
1752622329.760548,141707.000,21092,2,PG,1,100,1514
1752622329.800549,141747.000,21110,3,PG,1,100,1497
1752622329.840549,141787.000,21110,3,PG,1,100,1492
1752622329.880549,141827.000,21110,3,PG,1,100,1489
1752622329.920549,141867.000,21128,3,PG,1,100,1509
1752622329.960550,141907.000,21128,3,PG,1,100,1492
1752622330.000550,141947.000,21128,3,PG,1,100,1509
1752622330.040550,141987.000,21147,2,PG,1,100,1506
1752622330.080551,142027.000,21147,2,PG,1,100,1512
1752622330.120551,142067.000,21163,3,PG,1,100,1505
1752622330.160551,142107.000,21163,3,PG,1,100,1495
1752622330.200552,142147.000,21163,3,PG,1,100,1492
1752622330.240552,142187.000,21181,2,PG,1,100,1506
1752622330.280552,142227.000,21181,2,PG,1,100,1523
1752622330.320553,142267.000,21197,3,PG,1,100,1527
1752622330.360553,142307.000,21197,3,PG,1,100,1517
1752622330.400553,142347.000,21197,3,PG,1,100,1502
1752622330.440554,142387.000,21213,2,PG,1,100,1489
1752622330.480554,142427.000,21213,2,PG,1,100,1496
1752622330.520554,142467.000,21229,3,PG,1,100,1506
1752622330.560554,142507.000,21229,3,PG,1,100,1491
1752622330.600555,142547.000,21229,3,PG,1,100,1502
1752622330.640555,142587.000,21250,2,PG,1,100,1514
1752622330.680555,142627.000,21250,2,PG,1,100,1517
1752622330.720556,142667.000,21266,3,PG,1,100,1497
1752622330.760556,142707.000,21266,3,PG,1,100,1505
1752622330.800556,142747.000,21266,3,PG,1,100,1499
1752622330.840557,142787.000,21283,2,PG,1,100,1512
1752622330.880557,142827.000,21283,2,PG,1,100,1510
1752622330.920557,142867.000,21298,3,PG,1,100,1523
1752622330.960558,142907.000,21298,3,PG,1,100,1512
1752622331.000558,142947.000,21298,3,PG,1,100,1507
1752622331.040558,142987.000,21317,2,PG,1,100,1494
1752622331.080559,143027.000,21317,2,PG,1,100,1492
1752622331.120559,143067.000,21334,3,PG,1,100,1487
1752622331.160559,143107.000,21334,3,PG,1,100,1498
1752622331.200559,143147.000,21334,3,PG,1,100,1488
1752622331.240560,143187.000,21355,2,PG,1,100,1519
1752622331.280560,143227.000,21355,2,PG,1,100,1514
1752622331.320560,143267.000,21369,3,PG,1,100,1522
1752622331.360561,143307.000,21369,3,PG,1,100,1502
1752622331.400561,143347.000,21369,3,PG,1,100,1507
1752622331.440561,143387.000,21386,3,PG,1,100,1525
1752622331.480562,143427.000,21386,3,PG,1,100,1528
1752622331.520562,143467.000,21386,3,PG,1,100,1505
1752622331.560562,143507.000,21403,2,PG,1,100,1519
1752622331.600563,143547.000,21403,2,PG,1,100,1516
1752622331.640563,143587.000,21420,3,PG,1,100,1508
1752622331.680563,143627.000,21420,3,PG,1,100,1506
1752622331.720564,143667.000,21420,3,PG,1,100,1495
1752622331.760564,143707.000,21441,3,PG,1,100,1512
1752622331.800564,143747.000,21441,3,PG,1,100,1506
1752622331.840564,143787.000,21441,3,PG,1,100,1492
1752622331.880565,143827.000,21461,3,PG,1,100,1516
1752622331.920565,143867.000,21461,3,PG,1,100,1514
1752622331.960565,143907.000,21461,3,PG,1,100,1506
1752622332.000566,143947.000,21477,2,PG,1,100,1498
1752622332.040566,143987.000,21477,2,PG,1,100,1500
1752622332.080566,144027.000,21494,3,PG,1,100,1514
1752622332.120567,144067.000,21494,3,PG,1,100,1511
1752622332.160567,144107.000,21494,3,PG,1,100,1525
1752622332.200567,144147.000,21511,2,PG,1,100,1541
1752622332.240568,144187.000,21511,2,PG,1,100,1516
1752622332.280568,144227.000,21527,3,PG,1,100,1500
1752622332.320568,144267.000,21527,3,PG,1,100,1513
1752622332.360569,144307.000,21527,3,PG,1,100,1514
1752622332.400569,144347.000,21542,2,PG,1,100,1494
1752622332.440569,144387.000,21542,2,PG,1,100,1496
1752622332.480569,144427.000,21564,3,PG,1,100,1516
1752622332.520570,144467.000,21564,3,PG,1,100,1506
1752622332.560570,144507.000,21564,3,PG,1,100,1509
1752622332.607070,144553.500,21580,2,PG,1,100,1513
1752622332.653571,144600.000,21580,2,PG,1,100,1518
1752622332.693571,144640.000,21596,3,PG,1,100,1510
1752622332.733571,144680.000,21596,3,PG,1,100,1511
1752622332.773572,144720.000,21596,3,PG,1,100,1519
1752622332.813572,144760.000,21612,2,PG,1,100,1523
1752622332.853572,144800.000,21612,2,PG,1,100,1526
1752622332.893573,144840.000,21629,3,PG,1,100,1498
1752622332.933573,144880.000,21629,3,PG,1,100,1506
1752622332.973573,144920.000,21629,3,PG,1,100,1509
1752622333.013574,144960.000,21645,2,PG,1,100,1507
1752622333.053574,145000.000,21645,2,PG,1,100,1512
1752622333.093574,145040.000,21662,3,PG,1,100,1513
1752622333.133575,145080.000,21662,3,PG,1,100,1514
1752622333.173575,145120.000,21662,3,PG,1,100,1513
1752622333.213575,145160.000,21681,2,PG,1,100,1510
1752622333.253576,145200.000,21681,2,PG,1,100,1505
1752622333.293576,145240.000,21698,3,PG,1,100,1514
1752622333.333576,145280.000,21698,3,PG,1,100,1535
1752622333.373576,145320.000,21698,3,PG,1,100,1536
