LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752622326.547523,138494.000,20546,3,PI,1,100,135225
1752622326.547523,138494.000,20546,3,PI,1,100,135064
1752622326.547523,138494.000,20546,3,PI,1,100,134998
1752622326.587523,138534.000,20563,2,PI,1,100,134991
1752622326.627524,138574.000,20563,2,PI,1,100,134986
1752622326.667524,138614.000,20582,3,PI,1,100,135017
1752622326.707524,138654.000,20582,3,PI,1,100,135037
1752622326.747525,138694.000,20582,3,PI,1,100,135048
1752622326.787525,138734.000,20603,2,PI,1,100,135063
1752622326.827525,138774.000,20603,2,PI,1,100,135125
1752622326.867526,138814.000,20620,3,PI,1,100,135190
1752622326.907526,138854.000,20620,3,PI,1,100,135277
1752622326.947526,138894.000,20620,3,PI,1,100,135312
1752622326.987527,138934.000,20637,2,PI,1,100,135349
1752622327.027527,138974.000,20637,2,PI,1,100,135397
1752622327.067527,139014.000,20653,3,PI,1,100,135477
1752622327.107527,139054.000,20653,3,PI,1,100,135455
1752622327.147528,139094.000,20653,3,PI,1,100,135267
1752622327.187528,139134.000,20671,2,PI,1,100,135166
1752622327.227528,139174.000,20671,2,PI,1,100,135115
1752622327.267529,139214.000,20687,3,PI,1,100,135056
1752622327.307529,139254.000,20687,3,PI,1,100,135069
1752622327.347529,139294.000,20687,3,PI,1,100,135070
1752622327.387530,139334.000,20704,3,PI,1,100,135066
1752622327.427530,139374.000,20704,3,PI,1,100,135070
1752622327.467530,139414.000,20704,3,PI,1,100,135091
1752622327.507531,139454.000,20719,2,PI,1,100,135109
1752622327.547531,139494.000,20719,2,PI,1,100,135140
1752622327.587531,139534.000,20738,3,PI,1,100,135183
1752622327.627532,139574.000,20738,3,PI,1,100,135202
1752622327.667532,139614.000,20738,3,PI,1,100,135222
1752622327.707532,139654.000,20754,2,PI,1,100,135255
1752622327.747532,139694.000,20754,2,PI,1,100,135242
1752622327.794033,139740.500,20771,2,PI,1,100,135093
1752622327.840533,139787.000,20771,2,PI,1,100,134961
1752622327.880534,139827.000,20787,3,PI,1,100,134914
1752622327.920534,139867.000,20787,3,PI,1,100,134881
1752622327.960534,139907.000,20787,3,PI,1,100,134843
1752622328.000534,139947.000,20803,2,PI,1,100,134855
1752622328.040535,139987.000,20803,2,PI,1,100,134865
1752622328.080535,140027.000,20819,3,PI,1,100,134875
1752622328.120535,140067.000,20819,3,PI,1,100,134904
1752622328.160536,140107.000,20819,3,PI,1,100,134928
1752622328.200536,140147.000,20839,2,PI,1,100,134996
1752622328.240536,140187.000,20839,2,PI,1,100,135026
1752622328.280537,140227.000,20854,3,PI,1,100,135059
1752622328.320537,140267.000,20854,3,PI,1,100,135095
1752622328.360537,140307.000,20854,3,PI,1,100,135126
1752622328.400538,140347.000,20870,3,PI,1,100,135071
1752622328.440538,140387.000,20870,3,PI,1,100,134915
1752622328.480538,140427.000,20870,3,PI,1,100,134845
1752622328.520539,140467.000,20887,2,PI,1,100,134849
1752622328.560539,140507.000,20887,2,PI,1,100,134837
1752622328.600539,140547.000,20904,3,PI,1,100,134839
1752622328.640539,140587.000,20904,3,PI,1,100,134873
1752622328.680540,140627.000,20904,3,PI,1,100,134870
1752622328.720540,140667.000,20920,2,PI,1,100,134875
1752622328.760540,140707.000,20920,2,PI,1,100,134927
1752622328.800541,140747.000,20938,3,PI,1,100,134987
1752622328.840541,140787.000,20938,3,PI,1,100,135021
1752622328.880541,140827.000,20938,3,PI,1,100,135046
1752622328.920542,140867.000,20954,2,PI,1,100,135122
1752622328.960542,140907.000,20954,2,PI,1,100,135156
