LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752622326.717524,138664.000,20579,2,RD,1,100,TL
1752622326.717524,138664.000,20579,2,RD,1,100,TU
1752622329.273044,141219.500,21434,2,RD,1,100,TL
1752622331.828564,143775.000,21434,2,RD,1,100,TU
1752622334.382584,146329.000,22295,2,RD,1,100,TL
1752622336.936604,148883.000,22295,2,RD,1,100,TU
1752622339.498124,151444.500,23173,2,RD,1,100,TL
1752622342.059644,154006.000,23173,2,RD,1,100,TU
1752622344.613164,156559.500,24033,2,RD,1,100,TL
1752622347.166684,159113.000,24033,2,RD,1,100,TU
1752622349.739204,161685.500,24905,2,RD,1,100,TL
1752622352.311725,164258.000,24905,2,RD,1,100,TU
1752622354.865244,166811.500,25765,2,RD,1,100,TL
1752622357.418764,169365.000,25765,2,RD,1,100,TU
1752622359.972784,171919.000,26622,2,RD,1,100,TL
1752622362.526804,174473.000,26622,2,RD,1,100,TU
1752622365.082824,177029.000,27485,2,RD,1,100,TL
1752622367.638844,179585.000,27485,2,RD,1,100,TU
1752622370.202364,182148.500,28368,2,RD,1,100,TL
1752622372.765884,184712.000,28368,2,RD,1,100,TU
1752622375.321404,187267.500,29241,2,RD,1,100,TL
1752622377.876924,189823.000,29241,2,RD,1,100,TU
1752622380.445944,192392.000,30121,2,RD,1,100,TL
1752622383.014965,194961.000,30121,2,RD,1,100,TU
1752622385.568484,197514.500,30991,2,RD,1,100,TL
1752622388.122004,200068.000,30991,2,RD,1,100,TU
1752622390.693525,202639.500,31871,2,RD,1,100,TL
1752622393.265045,205211.000,31871,2,RD,1,100,TU
1752622395.818565,207764.500,32734,2,RD,1,100,TL
1752622398.372085,210318.000,32734,2,RD,1,100,TU
1752622400.950105,212896.000,33611,2,RD,1,100,TL
1752622403.528125,215474.000,33611,2,RD,1,100,TU
1752622406.091145,218037.000,34475,2,RD,1,100,TL
1752622408.654165,220600.000,34475,2,RD,1,100,TU
1752622411.212685,223158.500,35333,2,RD,1,100,TL
1752622413.771205,225717.000,35333,2,RD,1,100,TU
1752622416.324725,228270.500,36131,2,RD,1,100,TL
1752622418.878245,230824.000,36131,2,RD,1,100,TU
1752622421.435765,233381.500,36997,2,RD,1,100,TL
1752622423.993285,235939.000,36997,2,RD,1,100,TU
1752622426.555805,238501.500,37864,2,RD,1,100,TL
1752622429.118325,241064.000,37864,2,RD,1,100,TU
1752622431.675845,243621.500,38731,2,RD,1,100,TL
1752622434.233365,246179.000,38731,2,RD,1,100,TU
1752622436.792385,248738.000,39597,2,RD,1,100,TL
1752622439.351405,251297.000,39597,2,RD,1,100,TU
1752622441.919925,253865.500,40460,2,RD,1,100,TL
1752622444.488445,256434.000,40460,2,RD,1,100,TU
1752622447.049965,258995.500,41318,2,RD,1,100,TL
1752622449.611485,261557.000,41318,2,RD,1,100,TU
1752622452.170005,264115.500,42175,2,RD,1,100,TL
1752622454.728525,266674.000,42175,2,RD,1,100,TU
1752622457.287045,269232.500,43046,2,RD,1,100,TL
1752622459.845565,271791.000,43046,2,RD,1,100,TU
1752622462.407085,274352.500,43904,2,RD,1,100,TL
1752622464.968605,276914.000,43904,2,RD,1,100,TU
1752622467.525125,279470.500,44761,2,RD,1,100,TL
1752622470.081645,282027.000,44761,2,RD,1,100,TU
1752622472.641665,284587.000,45620,2,RD,1,100,TL
1752622475.201685,287147.000,45620,2,RD,1,100,TU
1752622477.765205,289710.500,46484,2,RD,1,100,TL
1752622480.328725,292274.000,46484,2,RD,1,100,TU
1752622482.891745,294837.000,47347,2,RD,1,100,TL
1752622485.454765,297400.000,47347,2,RD,1,100,TU
1752622488.023785,299969.000,48213,2,RD,1,100,TL
1752622490.592806,302538.000,48213,2,RD,1,100,TU
1752622493.150826,305096.000,49078,2,RD,1,100,TL
1752622495.708846,307654.000,49078,2,RD,1,100,TU
1752622498.270366,310215.500,49946,2,RD,1,100,TL
1752622500.831886,312777.000,49946,2,RD,1,100,TU
1752622503.396906,315342.000,50808,2,RD,1,100,TL
1752622505.961926,317907.000,50808,2,RD,1,100,TU
1752622508.522446,320467.500,51669,2,RD,1,100,TL
1752622511.082966,323028.000,51669,2,RD,1,100,TU
1752622513.643486,325588.500,52530,2,RD,1,100,TL
1752622516.204006,328149.000,52530,2,RD,1,100,TU
1752622518.761526,330706.500,53396,2,RD,1,100,TL
1752622521.319046,333264.000,53396,2,RD,1,100,TU
1752622523.884566,335829.500,54259,2,RD,1,100,TL
1752622526.450086,338395.000,54259,2,RD,1,100,TU
1752622529.005606,340950.500,55122,2,RD,1,100,TL
1752622531.561126,343506.000,55122,2,RD,1,100,TU
1752622534.120646,346065.500,55988,2,RD,1,100,TL
1752622536.680166,348625.000,55988,2,RD,1,100,TU
1752622539.241686,351186.500,56836,2,RD,1,100,TL
1752622541.803206,353748.000,56836,2,RD,1,100,TU
1752622544.365726,356310.500,57684,2,RD,1,100,TL
1752622546.928246,358873.000,57684,2,RD,1,100,TU
1752622549.494266,361439.000,58531,2,RD,1,100,TL
1752622552.060286,364005.000,58531,2,RD,1,100,TU
1752622554.621806,366566.500,59372,2,RD,1,100,TL
1752622557.183326,369128.000,59372,2,RD,1,100,TU
1752622559.742846,371687.500,60214,2,RD,1,100,TL
1752622562.302366,374247.000,60214,2,RD,1,100,TU
