LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752622326.546523,138493.000,20545,1,SF,1,100,40.8453
1752622326.946526,138893.000,20619,1,SF,1,100,42.4551
1752622327.212528,139159.000,20670,1,SF,1,100,44.0462
1752622327.546531,139493.000,20718,1,SF,1,100,43.5367
1752622327.945534,139892.000,20786,1,SF,1,100,43.0330
1752622328.212536,140159.000,20838,1,SF,1,100,42.5352
1752622328.545539,140492.000,20886,1,SF,1,100,42.0432
1752622328.879541,140826.000,20937,1,SF,1,100,41.5568
1752622329.279544,141226.000,21004,1,SF,1,100,43.1583
1752622329.545547,141492.000,21058,1,SF,1,100,44.7413
1752622329.879549,141826.000,21107,1,SF,1,100,44.2238
1752622330.279552,142226.000,21178,1,SF,1,100,45.7944
1752622330.545554,142492.000,21226,1,SF,1,100,45.2647
1752622330.878557,142825.000,21280,1,SF,1,100,46.8233
1752622331.212560,143159.000,21331,1,SF,1,100,48.3639
1752622331.612563,143559.000,21400,1,SF,1,100,49.8867
1752622331.945565,143892.000,21458,1,SF,1,100,51.3918
1752622332.212567,144159.000,21508,1,SF,1,100,50.7973
1752622332.545570,144492.000,21561,1,SF,1,100,52.2920
1752622332.878573,144825.000,21609,1,SF,1,100,51.6870
1752622333.278576,145225.000,21676,1,SF,1,100,51.0891
1752622333.545578,145492.000,21729,1,SF,1,100,52.5804
1752622333.878580,145825.000,21781,1,SF,1,100,54.0544
1752622334.278584,146225.000,21846,1,SF,1,100,53.4291
1752622334.545586,146492.000,21899,1,SF,1,100,54.8932
1752622334.878588,146825.000,21950,1,SF,1,100,56.3405
1752622335.278591,147225.000,22021,1,SF,1,100,57.7710
1752622335.611594,147558.000,22073,1,SF,1,100,59.1849
1752622335.878596,147825.000,22125,1,SF,1,100,60.5825
1752622336.211599,148158.000,22176,1,SF,1,100,61.9640
1752622336.611602,148558.000,22243,1,SF,1,100,61.2472
1752622336.945604,148892.000,22300,1,SF,1,100,62.6209
1752622337.211606,149158.000,22351,1,SF,1,100,61.8965
1752622337.545609,149492.000,22401,1,SF,1,100,63.2627
1752622337.944612,149891.000,22470,1,SF,1,100,64.6132
1752622338.211614,150158.000,22523,1,SF,1,100,63.8657
1752622338.544617,150491.000,22573,1,SF,1,100,65.2092
1752622338.944620,150891.000,22640,1,SF,1,100,64.4548
1752622339.278623,151225.000,22691,1,SF,1,100,65.7915
1752622339.544625,151491.000,22747,1,SF,1,100,69.1949
1752622339.878627,151825.000,22796,1,SF,1,100,68.3944
1752622340.278630,152225.000,22865,1,SF,1,100,67.6032
1752622340.544633,152491.000,22915,1,SF,1,100,68.9035
1752622340.877635,152824.000,22968,1,SF,1,100,70.1886
1752622341.278638,153225.000,23036,1,SF,1,100,71.4589
1752622341.611641,153558.000,23087,1,SF,1,100,70.6323
1752622341.877643,153824.000,23138,1,SF,1,100,71.8975
1752622342.211646,154158.000,23193,1,SF,1,100,73.1480
1752622342.611649,154558.000,23260,1,SF,1,100,72.3018
1752622342.877651,154824.000,23313,1,SF,1,100,73.5477
1752622343.211653,155158.000,23365,1,SF,1,100,74.7791
1752622343.544656,155491.000,23416,1,SF,1,100,75.9963
1752622343.944659,155891.000,23485,1,SF,1,100,77.1994
1752622344.210661,156157.000,23535,1,SF,1,100,76.3064
1752622344.544664,156491.000,23586,1,SF,1,100,77.5059
1752622344.944667,156891.000,23655,1,SF,1,100,76.6093
1752622345.210669,157157.000,23703,1,SF,1,100,75.7231
1752622345.544672,157491.000,23757,1,SF,1,100,76.9294
1752622345.877674,157824.000,23808,1,SF,1,100,78.1217
1752622346.277677,158224.000,23877,1,SF,1,100,79.3003
1752622346.544679,158491.000,23928,1,SF,1,100,80.4652
1752622346.877682,158824.000,23980,1,SF,1,100,81.6166
1752622347.277685,159224.000,24050,1,SF,1,100,80.6724
1752622347.544687,159491.000,24105,1,SF,1,100,81.8215
1752622347.877690,159824.000,24155,1,SF,1,100,82.9572
1752622348.210692,160157.000,24206,1,SF,1,100,81.9975
1752622348.610696,160557.000,24275,1,SF,1,100,83.1312
1752622348.877698,160824.000,24325,1,SF,1,100,82.1696
1752622349.210700,161157.000,24376,1,SF,1,100,81.2190
1752622349.610703,161557.000,24443,1,SF,1,100,82.3617
1752622349.877705,161824.000,24493,1,SF,1,100,81.4090
1752622350.210708,162157.000,24547,1,SF,1,100,82.5495
1752622350.610711,162557.000,24616,1,SF,1,100,83.6768
1752622350.943714,162890.000,24667,1,SF,1,100,84.7911
1752622351.210716,163157.000,24718,1,SF,1,100,83.8102
1752622351.543719,163490.000,24766,1,SF,1,100,82.8407
1752622351.943722,163890.000,24833,1,SF,1,100,81.8824
1752622352.210724,164157.000,24888,1,SF,1,100,83.0174
1752622352.543726,164490.000,24943,1,SF,1,100,84.1393
1752622352.943729,164890.000,25010,1,SF,1,100,83.1660
1752622353.276732,165223.000,25059,1,SF,1,100,82.2039
1752622353.543734,165490.000,25115,1,SF,1,100,85.4175
1752622353.876737,165823.000,25164,1,SF,1,100,84.4294
1752622354.276740,166223.000,25233,1,SF,1,100,85.5349
1752622354.543742,166490.000,25283,1,SF,1,100,86.6277
1752622354.876745,166823.000,25337,1,SF,1,100,87.7078
1752622355.276748,167223.000,25406,1,SF,1,100,88.7755
1752622355.609750,167556.000,25457,1,SF,1,100,87.7485
1752622355.876752,167823.000,25506,1,SF,1,100,86.7334
1752622356.209755,168156.000,25558,1,SF,1,100,87.8124
1752622356.609758,168556.000,25625,1,SF,1,100,88.8788
1752622356.876760,168823.000,25680,1,SF,1,100,89.9329
1752622357.209763,169156.000,25730,1,SF,1,100,90.9748
1752622357.543765,169490.000,25787,1,SF,1,100,89.9224
1752622357.876768,169823.000,25838,1,SF,1,100,90.9644
1752622358.276771,170223.000,25907,1,SF,1,100,91.9944
1752622358.609774,170556.000,25957,1,SF,1,100,93.0124
1752622358.876776,170823.000,26010,1,SF,1,100,91.9365
1752622359.209778,171156.000,26058,1,SF,1,100,90.8729
1752622359.609782,171556.000,26127,1,SF,1,100,91.9040
1752622359.876784,171823.000,26180,1,SF,1,100,92.9231
1752622360.209786,172156.000,26230,1,SF,1,100,91.8481
1752622360.609789,172556.000,26300,1,SF,1,100,92.8679
1752622360.942792,172889.000,26350,1,SF,1,100,91.7936
1752622361.209794,173156.000,26400,1,SF,1,100,90.7317
1752622361.542797,173489.000,26451,1,SF,1,100,91.7644
1752622361.942800,173889.000,26518,1,SF,1,100,90.7028
1752622362.209802,174156.000,26570,1,SF,1,100,91.7358
1752622362.542804,174489.000,26628,1,SF,1,100,92.7569
1752622362.942808,174889.000,26695,1,SF,1,100,91.6838
1752622363.275810,175222.000,26745,1,SF,1,100,92.7055
1752622363.542812,175489.000,26798,1,SF,1,100,91.6331
1752622363.875815,175822.000,26848,1,SF,1,100,92.6553
1752622364.275818,176222.000,26915,1,SF,1,100,91.5834
1752622364.542820,176489.000,26966,1,SF,1,100,92.6063
1752622364.875823,176822.000,27020,1,SF,1,100,93.6172
1752622365.208825,177155.000,27071,1,SF,1,100,92.5343
1752622365.609828,177556.000,27140,1,SF,1,100,93.5461
1752622365.875831,177822.000,27190,1,SF,1,100,92.4639
1752622366.208833,178155.000,27241,1,SF,1,100,93.4766
1752622366.608836,178555.000,27311,1,SF,1,100,94.4775
1752622366.942839,178889.000,27360,1,SF,1,100,93.3845
1752622367.208841,179155.000,27413,1,SF,1,100,94.3865
1752622367.541844,179488.000,27465,1,SF,1,100,97.4592
1752622367.941847,179888.000,27539,1,SF,1,100,98.4140
1752622368.208849,180155.000,27592,1,SF,1,100,99.3578
1752622368.541851,180488.000,27644,1,SF,1,100,100.2907
1752622368.941855,180888.000,27713,1,SF,1,100,101.2127
1752622369.275857,181222.000,27762,1,SF,1,100,100.0419
1752622369.541859,181488.000,27816,1,SF,1,100,100.9669
1752622369.875862,181822.000,27865,1,SF,1,100,99.7989
1752622370.275865,182222.000,27936,1,SF,1,100,100.7266
1752622370.541867,182488.000,27986,1,SF,1,100,101.6437
1752622370.874870,182821.000,28039,1,SF,1,100,102.5501
1752622371.208872,183155.000,28091,1,SF,1,100,103.4461
1752622371.608875,183555.000,28160,1,SF,1,100,104.3316
1752622371.874877,183821.000,28211,1,SF,1,100,105.2070
1752622372.208880,184155.000,28263,1,SF,1,100,106.0722
1752622372.608883,184555.000,28332,1,SF,1,100,106.9274
1752622372.874885,184821.000,28390,1,SF,1,100,107.7727
1752622373.208888,185155.000,28442,1,SF,1,100,108.6082
1752622373.541890,185488.000,28493,1,SF,1,100,109.4341
1752622373.941894,185888.000,28562,1,SF,1,100,110.2504
1752622374.207896,186154.000,28612,1,SF,1,100,108.9750
1752622374.541898,186488.000,28665,1,SF,1,100,109.7967
1752622374.941901,186888.000,28734,1,SF,1,100,110.6088
1752622375.207904,187154.000,28788,1,SF,1,100,113.4937
1752622375.541906,187488.000,28839,1,SF,1,100,114.2631
1752622375.874909,187821.000,28893,1,SF,1,100,115.0235
1752622376.274912,188221.000,28960,1,SF,1,100,113.6929
1752622376.541914,188488.000,29013,1,SF,1,100,116.5422
1752622376.874917,188821.000,29067,1,SF,1,100,119.3586
1752622377.274920,189221.000,29134,1,SF,1,100,120.0601
1752622377.541922,189488.000,29191,1,SF,1,100,122.8357
1752622377.874924,189821.000,29246,1,SF,1,100,123.4970
1752622378.207927,190154.000,29301,1,SF,1,100,126.2329
1752622378.607930,190554.000,29366,1,SF,1,100,124.7726
1752622378.874932,190821.000,29420,1,SF,1,100,125.4115
1752622379.207935,191154.000,29469,1,SF,1,100,123.9607
1752622379.607938,191554.000,29540,1,SF,1,100,126.6913
1752622379.874940,191821.000,29588,1,SF,1,100,125.2257
1752622380.207943,192154.000,29644,1,SF,1,100,125.8593
1752622380.607946,192554.000,29709,1,SF,1,100,124.4034
1752622380.940948,192887.000,29762,1,SF,1,100,125.0465
1752622381.207950,193154.000,29813,1,SF,1,100,125.6822
1752622381.540953,193487.000,29865,1,SF,1,100,126.3106
1752622381.940956,193887.000,29932,1,SF,1,100,126.9316
1752622382.207958,194154.000,29985,1,SF,1,100,125.4633
1752622382.540961,194487.000,30035,1,SF,1,100,126.0942
1752622382.940964,194887.000,30102,1,SF,1,100,124.6355
1752622383.273967,195220.000,30156,1,SF,1,100,123.1937
1752622383.540969,195487.000,30210,1,SF,1,100,123.8509
1752622383.873971,195820.000,30263,1,SF,1,100,126.5826
1752622384.273974,196220.000,30332,1,SF,1,100,127.2006
1752622384.540976,196487.000,30380,1,SF,1,100,125.7291
1752622384.873979,196820.000,30436,1,SF,1,100,128.4392
1752622385.273982,197220.000,30503,1,SF,1,100,126.9534
1752622385.606985,197553.000,30556,1,SF,1,100,127.5670
1752622385.873987,197820.000,30607,1,SF,1,100,128.1736
1752622386.206989,198153.000,30659,1,SF,1,100,128.7731
1752622386.606993,198553.000,30728,1,SF,1,100,131.4480
1752622386.873995,198820.000,30781,1,SF,1,100,129.9274
1752622387.206997,199153.000,30831,1,SF,1,100,130.5066
1752622387.541000,199487.000,30884,1,SF,1,100,131.0792
1752622387.940003,199886.000,30951,1,SF,1,100,131.6451
1752622388.207005,200153.000,31010,1,SF,1,100,132.2045
1752622388.540008,200486.000,31063,1,SF,1,100,132.7574
1752622388.940011,200886.000,31130,1,SF,1,100,133.3039
1752622389.207013,201153.000,31182,1,SF,1,100,133.8441
1752622389.540016,201486.000,31233,1,SF,1,100,134.3780
1752622389.940019,201886.000,31305,1,SF,1,100,134.9058
1752622390.274021,202220.000,31356,1,SF,1,100,135.4274
1752622390.540023,202486.000,31407,1,SF,1,100,135.9431
1752622390.873026,202819.000,31459,1,SF,1,100,136.4527
1752622391.273029,203219.000,31528,1,SF,1,100,136.9565
1752622391.540031,203486.000,31581,1,SF,1,100,137.4544
1752622391.873034,203819.000,31629,1,SF,1,100,135.8643
1752622392.273037,204219.000,31698,1,SF,1,100,136.3748
1752622392.607040,204553.000,31747,1,SF,1,100,134.7973
