LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752622326.546523,138493,20602,1,SR,1,100,0.200000
1752622326.880526,138827,20652,1,SR,1,100,0.133333
1752622327.546531,139493,20988,1,SR,1,100,1.533333
1752622329.345545,141292,21041,1,SR,1,100,0.066667
1752622329.945550,141892,21144,1,SR,1,100,0.066667
1752622330.279552,142226,21247,1,SR,1,100,0.266667
1752622330.679555,142626,21314,1,SR,1,100,0.333333
1752622331.146559,143093,21352,1,SR,1,100,0.066667
1752622331.478562,143425,21438,1,SR,1,100,0.200000
1752622332.212567,144159,21560,1,SR,1,100,0.266667
1752622332.745572,144692,21678,1,SR,1,100,0.466667
1752622333.478577,145425,21780,1,SR,1,100,0.266667
1752622334.278584,146225,21881,1,SR,1,100,0.066667
1752622334.612586,146559,21949,1,SR,1,100,0.200000
1752622334.945589,146892,22020,1,SR,1,100,0.200000
1752622335.278591,147225,22039,1,SR,1,100,0.066667
1752622335.478593,147425,22075,1,SR,1,100,0.066667
1752622335.678594,147625,22175,1,SR,1,100,0.400000
1752622336.745603,148692,22299,1,SR,1,100,0.066667
1752622336.945604,148892,22369,1,SR,1,100,0.333333
1752622337.411608,149358,22469,1,SR,1,100,0.400000
1752622338.078613,150025,22572,1,SR,1,100,0.333333
1752622338.544617,150491,22642,1,SR,1,100,0.333333
1752622339.144622,151091,22693,1,SR,1,100,0.066667
1752622339.344623,151291,22730,1,SR,1,100,0.066667
1752622339.944628,151891,22867,1,SR,1,100,0.266667
1752622340.478632,152425,22934,1,SR,1,100,0.133333
1752622340.877635,152824,23003,1,SR,1,100,0.133333
1752622341.411639,153358,23106,1,SR,1,100,0.200000
1752622341.877643,153824,23192,1,SR,1,100,0.200000
1752622342.211646,154158,23279,1,SR,1,100,0.400000
1752622342.745650,154692,23364,1,SR,1,100,0.400000
1752622343.277654,155224,23399,1,SR,1,100,0.066667
1752622343.611656,155558,23467,1,SR,1,100,0.133333
1752622344.278662,156225,23585,1,SR,1,100,0.200000
1752622345.144668,157091,23724,1,SR,1,100,0.066667
1752622345.344670,157291,23791,1,SR,1,100,0.333333
1752622345.811674,157758,23843,1,SR,1,100,0.200000
1752622346.144676,158091,23896,1,SR,1,100,0.133333
1752622346.411678,158358,23946,1,SR,1,100,0.200000
1752622347.144684,159091,24087,1,SR,1,100,0.200000
1752622347.477687,159424,24138,1,SR,1,100,0.200000
1752622348.210692,160157,24257,1,SR,1,100,0.200000
1752622348.677696,160624,24409,1,SR,1,100,0.666667
1752622349.477702,161424,24530,1,SR,1,100,0.533333
1752622350.144708,162091,24583,1,SR,1,100,0.200000
1752622350.610711,162557,24650,1,SR,1,100,0.133333
1752622351.410717,163357,24852,1,SR,1,100,0.533333
1752622352.210724,164157,24909,1,SR,1,100,0.066667
1752622353.077730,165024,25077,1,SR,1,100,0.200000
1752622353.410733,165357,25114,1,SR,1,100,0.066667
1752622353.743736,165690,25182,1,SR,1,100,0.133333
1752622354.143739,166090,25251,1,SR,1,100,0.133333
1752622354.410741,166357,25320,1,SR,1,100,0.266667
