LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752622326.716524,138663.000,20577,1,TL,1,100,2025-07-15_19-32-01-666192
1752622326.729525,138676.000,20580,1,TL,1,100,2025-07-15_19-32-06-723644
1752622331.826564,143773.000,21432,1,TL,1,100,2025-07-15_19-32-06-778030
1752622331.863565,143810.000,21435,1,TL,1,100,2025-07-15_19-32-11-841279
1752622336.934604,148881.000,22293,1,TL,1,100,2025-07-15_19-32-11-893742
1752622336.948604,148895.000,22296,1,TL,1,100,2025-07-15_19-32-16-943462
1752622342.058644,154005.000,23171,1,TL,1,100,2025-07-15_19-32-16-979587
1752622342.067644,154014.000,23174,1,TL,1,100,2025-07-15_19-32-22-062922
1752622347.165684,159112.000,24031,1,TL,1,100,2025-07-15_19-32-22-139700
1752622347.176684,159123.000,24034,1,TL,1,100,2025-07-15_19-32-27-170206
1752622352.309724,164256.000,24903,1,TL,1,100,2025-07-15_19-32-27-216475
1752622352.332725,164279.000,24906,1,TL,1,100,2025-07-15_19-32-32-323623
1752622357.417764,169364.000,25763,1,TL,1,100,2025-07-15_19-32-32-385114
1752622357.491765,169438.000,25766,1,TL,1,100,2025-07-15_19-32-37-486815
1752622362.525804,174472.000,26620,1,TL,1,100,2025-07-15_19-32-37-624491
1752622362.537804,174484.000,26623,1,TL,1,100,2025-07-15_19-32-42-532220
1752622367.633844,179580.000,27483,1,TL,1,100,2025-07-15_19-32-42-620942
1752622367.647844,179594.000,27486,1,TL,1,100,2025-07-15_19-32-47-641732
1752622372.763884,184710.000,28366,1,TL,1,100,2025-07-15_19-32-47-673751
1752622372.776884,184723.000,28369,1,TL,1,100,2025-07-15_19-32-52-772248
1752622377.871924,189818.000,29239,1,TL,1,100,2025-07-15_19-32-52-855546
1752622377.898925,189845.000,29242,1,TL,1,100,2025-07-15_19-32-57-880963
1752622383.011965,194958.000,30119,1,TL,1,100,2025-07-15_19-32-57-927502
1752622383.038965,194985.000,30122,1,TL,1,100,2025-07-15_19-33-03-032724
1752622388.120004,200066.000,30989,1,TL,1,100,2025-07-15_19-33-03-107619
1752622388.132005,200078.000,30992,1,TL,1,100,2025-07-15_19-33-08-127964
1752622393.263045,205209.000,31869,1,TL,1,100,2025-07-15_19-33-08-168077
1752622393.317045,205263.000,31872,1,TL,1,100,2025-07-15_19-33-13-271551
1752622398.370085,210316.000,32732,1,TL,1,100,2025-07-15_19-33-13-340356
1752622398.382085,210328.000,32735,1,TL,1,100,2025-07-15_19-33-18-376706
1752622403.523125,215469.000,33609,1,TL,1,100,2025-07-15_19-33-18-427162
1752622403.536125,215482.000,33612,1,TL,1,100,2025-07-15_19-33-23-531158
1752622408.653165,220599.000,34473,1,TL,1,100,2025-07-15_19-33-23-658781
1752622408.666165,220612.000,34476,1,TL,1,100,2025-07-15_19-33-28-660395
1752622413.769205,225715.000,35331,1,TL,1,100,2025-07-15_19-33-28-786465
1752622413.781205,225727.000,35334,1,TL,1,100,2025-07-15_19-33-33-775226
1752622418.877245,230823.000,36129,1,TL,1,100,2025-07-15_19-33-33-911894
1752622423.987285,235933.000,36993,1,TL,1,100,2025-07-15_19-33-38-994736
1752622423.992285,235938.000,36995,1,TL,1,100,2025-07-15_19-33-39-005360
1752622424.014285,235960.000,36998,1,TL,1,100,2025-07-15_19-33-44-002564
1752622429.116325,241062.000,37862,1,TL,1,100,2025-07-15_19-33-44-123106
1752622429.125325,241071.000,37865,1,TL,1,100,2025-07-15_19-33-49-121825
1752622434.231365,246177.000,38729,1,TL,1,100,2025-07-15_19-33-49-249656
1752622434.240365,246186.000,38732,1,TL,1,100,2025-07-15_19-33-54-236285
1752622439.346405,251292.000,39595,1,TL,1,100,2025-07-15_19-33-54-365233
1752622439.360405,251306.000,39598,1,TL,1,100,2025-07-15_19-33-59-356510
1752622444.485445,256431.000,40458,1,TL,1,100,2025-07-15_19-33-59-490024
1752622444.498445,256444.000,40461,1,TL,1,100,2025-07-15_19-34-04-494767
1752622449.605485,261551.000,41316,1,TL,1,100,2025-07-15_19-34-04-620560
1752622449.626485,261572.000,41319,1,TL,1,100,2025-07-15_19-34-09-616158
1752622454.726525,266672.000,42173,1,TL,1,100,2025-07-15_19-34-09-754780
1752622454.763525,266709.000,42176,1,TL,1,100,2025-07-15_19-34-14-732635
1752622459.843565,271789.000,43044,1,TL,1,100,2025-07-15_19-34-14-875791
1752622459.858565,271804.000,43047,1,TL,1,100,2025-07-15_19-34-19-853492
1752622464.966605,276912.000,43902,1,TL,1,100,2025-07-15_19-34-20-025496
1752622464.976605,276922.000,43905,1,TL,1,100,2025-07-15_19-34-24-971961
1752622470.076645,282022.000,44759,1,TL,1,100,2025-07-15_19-34-25-107435
1752622470.094645,282040.000,44762,1,TL,1,100,2025-07-15_19-34-30-087618
1752622475.197685,287143.000,45618,1,TL,1,100,2025-07-15_19-34-30-210257
1752622475.214685,287160.000,45621,1,TL,1,100,2025-07-15_19-34-35-207648
1752622480.327725,292273.000,46482,1,TL,1,100,2025-07-15_19-34-35-341993
1752622480.352725,292298.000,46485,1,TL,1,100,2025-07-15_19-34-40-340128
1752622485.449765,297395.000,47345,1,TL,1,100,2025-07-15_19-34-40-467750
1752622485.468765,297414.000,47348,1,TL,1,100,2025-07-15_19-34-45-464298
1752622490.590806,302536.000,48211,1,TL,1,100,2025-07-15_19-34-45-592375
1752622490.607806,302553.000,48214,1,TL,1,100,2025-07-15_19-34-50-603275
1752622495.706846,307652.000,49076,1,TL,1,100,2025-07-15_19-34-50-723888
1752622495.724846,307670.000,49079,1,TL,1,100,2025-07-15_19-34-55-719584
1752622500.829886,312775.000,49944,1,TL,1,100,2025-07-15_19-34-55-836759
1752622500.845886,312791.000,49947,1,TL,1,100,2025-07-15_19-35-00-841609
1752622505.959926,317905.000,50806,1,TL,1,100,2025-07-15_19-35-00-966314
1752622505.971926,317917.000,50809,1,TL,1,100,2025-07-15_19-35-05-968135
1752622511.080966,323026.000,51667,1,TL,1,100,2025-07-15_19-35-06-089502
1752622511.092966,323038.000,51670,1,TL,1,100,2025-07-15_19-35-11-089990
1752622516.202006,328147.000,52528,1,TL,1,100,2025-07-15_19-35-11-217410
1752622516.216006,328161.000,52531,1,TL,1,100,2025-07-15_19-35-16-207393
1752622521.318046,333263.000,53394,1,TL,1,100,2025-07-15_19-35-16-376303
1752622521.330046,333275.000,53397,1,TL,1,100,2025-07-15_19-35-21-322925
1752622526.445086,338390.000,54257,1,TL,1,100,2025-07-15_19-35-21-454323
1752622526.457086,338402.000,54260,1,TL,1,100,2025-07-15_19-35-26-453436
1752622531.559126,343504.000,55120,1,TL,1,100,2025-07-15_19-35-26-582800
1752622531.571126,343516.000,55123,1,TL,1,100,2025-07-15_19-35-31-566989
1752622536.678166,348623.000,55986,1,TL,1,100,2025-07-15_19-35-31-709163
1752622536.690166,348635.000,55989,1,TL,1,100,2025-07-15_19-35-36-684071
1752622541.802206,353747.000,56834,1,TL,1,100,2025-07-15_19-35-36-818301
1752622541.814206,353759.000,56837,1,TL,1,100,2025-07-15_19-35-41-807688
1752622546.923246,358868.000,57682,1,TL,1,100,2025-07-15_19-35-41-935380
1752622546.941246,358886.000,57685,1,TL,1,100,2025-07-15_19-35-46-932557
1752622552.056286,364001.000,58529,1,TL,1,100,2025-07-15_19-35-47-058769
1752622552.081286,364026.000,58532,1,TL,1,100,2025-07-15_19-35-52-066520
1752622557.181326,369126.000,59370,1,TL,1,100,2025-07-15_19-35-52-188820
1752622557.221326,369166.000,59373,1,TL,1,100,2025-07-15_19-35-57-187927
1752622562.300366,374245.000,60212,1,TL,1,100,2025-07-15_19-35-57-318307
1752622562.358367,374303.000,60215,1,TL,1,100,2025-07-15_19-36-02-305806
1752622567.425406,379370.000,61051,1,TL,1,100,2025-07-15_19-36-02-432185
1752622567.435406,379380.000,61054,1,TL,1,100,2025-07-15_19-36-07-431771
1752622572.541446,384486.000,61890,1,TL,1,100,2025-07-15_19-36-07-556681
1752622572.553446,384498.000,61893,1,TL,1,100,2025-07-15_19-36-12-547951
1752622577.653486,389598.000,62729,1,TL,1,100,2025-07-15_19-36-12-693429
1752622577.673486,389618.000,62732,1,TL,1,100,2025-07-15_19-36-17-662403
1752622582.766526,394711.000,63568,1,TL,1,100,2025-07-15_19-36-17-788361
1752622582.791526,394736.000,63571,1,TL,1,100,2025-07-15_19-36-22-783797
