RD,TS_received,TS_sent,AK,RoundTrip,
138664,138676,2025-07-15_19-32-06-723644,138677,12,
143775,143810,2025-07-15_19-32-11-841279,143811,35,
148883,148895,2025-07-15_19-32-16-943462,148896,12,
154006,154014,2025-07-15_19-32-22-062922,154015,8,
159113,159123,2025-07-15_19-32-27-170206,159125,10,
164258,164279,2025-07-15_19-32-32-323623,164280,21,
169365,169438,2025-07-15_19-32-37-486815,169439,73,
174473,174484,2025-07-15_19-32-42-532220,174485,11,
179585,179594,2025-07-15_19-32-47-641732,179597,9,
184712,184723,2025-07-15_19-32-52-772248,184724,11,
189823,189845,2025-07-15_19-32-57-880963,189849,22,
194961,194985,2025-07-15_19-33-03-032724,194986,24,
200068,200078,2025-07-15_19-33-08-127964,200081,10,
205211,205263,2025-07-15_19-33-13-271551,205264,52,
210318,210328,2025-07-15_19-33-18-376706,210329,10,
215474,215482,2025-07-15_19-33-23-531158,215483,8,
220600,220612,2025-07-15_19-33-28-660395,220613,12,
225717,225727,2025-07-15_19-33-33-775226,225728,10,
230824,235933,2025-07-15_19-33-38-994736,235934,5109,
235939,235960,2025-07-15_19-33-44-002564,235961,21,
241064,241071,2025-07-15_19-33-49-121825,241073,7,
246179,246186,2025-07-15_19-33-54-236285,246187,7,
251297,251306,2025-07-15_19-33-59-356510,251310,9,
256434,256444,2025-07-15_19-34-04-494767,256446,10,
261557,261572,2025-07-15_19-34-09-616158,261576,15,
266674,266709,2025-07-15_19-34-14-732635,266711,35,
271791,271804,2025-07-15_19-34-19-853492,271807,13,
276914,276922,2025-07-15_19-34-24-971961,276923,8,
282027,282040,2025-07-15_19-34-30-087618,282041,13,
287147,287160,2025-07-15_19-34-35-207648,287161,13,
292274,292298,2025-07-15_19-34-40-340128,292300,24,
297400,297414,2025-07-15_19-34-45-464298,297420,14,
302538,302553,2025-07-15_19-34-50-603275,302554,15,
307654,307670,2025-07-15_19-34-55-719584,307671,16,
312777,312791,2025-07-15_19-35-00-841609,312792,14,
317907,317917,2025-07-15_19-35-05-968135,317918,10,
323028,323038,2025-07-15_19-35-11-089990,323039,10,
328149,328161,2025-07-15_19-35-16-207393,328163,12,
333264,333275,2025-07-15_19-35-21-322925,333276,11,
338395,338402,2025-07-15_19-35-26-453436,338403,7,
343506,343516,2025-07-15_19-35-31-566989,343517,10,
348625,348635,2025-07-15_19-35-36-684071,348636,10,
353748,353759,2025-07-15_19-35-41-807688,353760,11,
358873,358886,2025-07-15_19-35-46-932557,358888,13,
364005,364026,2025-07-15_19-35-52-066520,364027,21,
369128,369166,2025-07-15_19-35-57-187927,369168,38,
374247,374303,2025-07-15_19-36-02-305806,374305,56,
379372,379380,2025-07-15_19-36-07-431771,379382,8,
384488,384498,2025-07-15_19-36-12-547951,384499,10,
389599,389618,2025-07-15_19-36-17-662403,389619,19,
394712,394736,2025-07-15_19-36-22-783797,394737,24,
399831,399842,2025-07-15_19-36-27-890264,399843,11,
404957,404966,2025-07-15_19-36-33-017037,404967,9,
410070,410085,2025-07-15_19-36-38-136043,410086,15,
415179,415188,2025-07-15_19-36-43-238994,415189,9,
420308,420316,2025-07-15_19-36-48-368142,420320,8,
425417,425429,2025-07-15_19-36-53-480077,425431,12,
430554,430563,2025-07-15_19-36-58-613803,430564,9,
435665,435674,2025-07-15_19-37-03-724519,435675,9,
440806,440813,2025-07-15_19-37-08-864863,440814,7,
445913,445923,2025-07-15_19-37-13-972917,445924,10,
451044,451054,2025-07-15_19-37-19-104626,451055,10,
456151,456160,2025-07-15_19-37-24-210796,456161,9,
461291,466410,2025-07-15_19-37-29-353679,466411,5119,
466414,466427,2025-07-15_19-37-34-477675,466428,13,
471521,471536,2025-07-15_19-37-39-582824,471537,15,
