LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752780447.228412,437655.000,5024,2,AK,1,100,4236
1752780447.228412,437655.000,5024,2,AK,1,100,RD
1752780447.233912,437660.500,5027,2,AK,1,100,5025
1752780447.239412,437666.000,5027,2,AK,1,100,RD
1752780449.787926,440214.500,5873,2,AK,1,100,5025
1752780452.336440,442763.000,5873,2,AK,1,100,RD
1752780454.892454,445319.000,6728,2,AK,1,100,5874
1752780457.448468,447875.000,6728,2,AK,1,100,RD
1752780457.451468,447878.000,6730,2,AK,1,100,5874
1752780457.454468,447881.000,6730,2,AK,1,100,RD
1752780457.466468,447893.000,6733,2,AK,1,100,6731
1752780457.478468,447905.000,6733,2,AK,1,100,RD
1752780460.018982,450445.500,7595,2,AK,1,100,6731
1752780462.559496,452986.000,7595,2,AK,1,100,RD
1752780462.566496,452993.000,7598,2,AK,1,100,7596
1752780462.573496,453000.000,7598,2,AK,1,100,RD
1752780465.120010,455546.500,8456,2,AK,1,100,7596
1752780467.666524,458093.000,8456,2,AK,1,100,RD
1752780467.673524,458100.000,8459,2,AK,1,100,8457
1752780467.680524,458107.000,8459,2,AK,1,100,RD
1752780470.235038,460661.500,9335,2,AK,1,100,8457
1752780472.789552,463216.000,9335,2,AK,1,100,RD
1752780472.798552,463225.000,9338,2,AK,1,100,9336
1752780472.807552,463234.000,9338,2,AK,1,100,RD
1752780475.352066,465778.500,10191,2,AK,1,100,9336
1752780477.896580,468323.000,10191,2,AK,1,100,RD
1752780477.910080,468336.500,10194,2,AK,1,100,10192
1752780477.923580,468350.000,10194,2,AK,1,100,RD
1752780480.477594,470904.000,11066,2,AK,1,100,10192
1752780483.031608,473458.000,11066,2,AK,1,100,RD
1752780483.047608,473474.000,11069,2,AK,1,100,11067
1752780483.063608,473490.000,11069,2,AK,1,100,RD
1752780485.603122,476029.500,11928,2,AK,1,100,11067
1752780488.142636,478569.000,11928,2,AK,1,100,RD
1752780488.150136,478576.500,11931,2,AK,1,100,11929
1752780488.157636,478584.000,11931,2,AK,1,100,RD
1752780490.714650,481141.000,12806,2,AK,1,100,11929
1752780493.271664,483698.000,12806,2,AK,1,100,RD
1752780495.829678,486256.000,13669,2,AK,1,100,12807
1752780498.387692,488814.000,13669,2,AK,1,100,RD
1752780498.388692,488815.000,13671,2,AK,1,100,12807
1752780498.389692,488816.000,13671,2,AK,1,100,RD
1752780498.397192,488823.500,13674,2,AK,1,100,13672
1752780498.404692,488831.000,13674,2,AK,1,100,RD
1752780500.949206,491375.500,14536,2,AK,1,100,13672
1752780503.493720,493920.000,14536,2,AK,1,100,RD
1752780503.504220,493930.500,14539,2,AK,1,100,14537
1752780503.514720,493941.000,14539,2,AK,1,100,RD
1752780506.058234,496484.500,15400,2,AK,1,100,14537
1752780508.601748,499028.000,15400,2,AK,1,100,RD
1752780508.607748,499034.000,15403,2,AK,1,100,15401
1752780508.613748,499040.000,15403,2,AK,1,100,RD
1752780511.170762,501597.000,16283,2,AK,1,100,15401
1752780513.727776,504154.000,16283,2,AK,1,100,RD
1752780513.734776,504161.000,16286,2,AK,1,100,16284
1752780513.741776,504168.000,16286,2,AK,1,100,RD
1752780516.288290,506714.500,17149,2,AK,1,100,16284
1752780518.834804,509261.000,17149,2,AK,1,100,RD
1752780518.847304,509273.500,17152,2,AK,1,100,17150
1752780518.859804,509286.000,17152,2,AK,1,100,RD
1752780521.401318,511827.500,18017,2,AK,1,100,17150
1752780523.942832,514369.000,18017,2,AK,1,100,RD
1752780523.948832,514375.000,18020,2,AK,1,100,18018
1752780523.954832,514381.000,18020,2,AK,1,100,RD
1752780526.513346,516939.500,18892,2,AK,1,100,18018
1752780529.071860,519498.000,18892,2,AK,1,100,RD
1752780529.085860,519512.000,18895,2,AK,1,100,18893
1752780529.099860,519526.000,18895,2,AK,1,100,RD
1752780531.639874,522066.000,19761,2,AK,1,100,18893
1752780534.179888,524606.000,19761,2,AK,1,100,RD
1752780534.207888,524634.000,19764,2,AK,1,100,19762
1752780534.235888,524662.000,19764,2,AK,1,100,RD
1752780536.761402,527187.500,20629,2,AK,1,100,19762
1752780539.286916,529713.000,20629,2,AK,1,100,RD
1752780539.292916,529719.000,20632,2,AK,1,100,20630
1752780539.298916,529725.000,20632,2,AK,1,100,RD
1752780541.855430,532281.500,21506,2,AK,1,100,20630
1752780544.411944,534838.000,21506,2,AK,1,100,RD
1752780544.417444,534843.500,21509,2,AK,1,100,21507
1752780544.422944,534849.000,21509,2,AK,1,100,RD
1752780546.971458,537397.500,22373,2,AK,1,100,21507
1752780549.519972,539946.000,22373,2,AK,1,100,RD
1752780549.525472,539951.500,22376,2,AK,1,100,22374
1752780549.530972,539957.000,22376,2,AK,1,100,RD
1752780552.080986,542507.000,23240,2,AK,1,100,22374
1752780554.631000,545057.000,23240,2,AK,1,100,RD
1752780554.638000,545064.000,23243,2,AK,1,100,23241
1752780554.645000,545071.000,23243,2,AK,1,100,RD
1752780557.192014,547618.000,24043,2,AK,1,100,23241
1752780559.739028,550165.000,24043,2,AK,1,100,RD
1752780559.751028,550177.000,24046,2,AK,1,100,24044
1752780559.763028,550189.000,24046,2,AK,1,100,RD
1752780562.317042,552743.000,24911,2,AK,1,100,24044
1752780564.871056,555297.000,24911,2,AK,1,100,RD
1752780564.878056,555304.000,24914,2,AK,1,100,24912
1752780564.885056,555311.000,24914,2,AK,1,100,RD
1752780567.432570,557858.500,25758,2,AK,1,100,24912
1752780569.980084,560406.000,25758,2,AK,1,100,RD
1752780569.991584,560417.500,25761,2,AK,1,100,25759
1752780570.003084,560429.000,25761,2,AK,1,100,RD
1752780572.563098,562989.000,26617,2,AK,1,100,25759
1752780575.123112,565549.000,26617,2,AK,1,100,RD
1752780575.131112,565557.000,26620,2,AK,1,100,26618
1752780575.139112,565565.000,26620,2,AK,1,100,RD
1752780577.685626,568111.500,27458,2,AK,1,100,26618
1752780580.232140,570658.000,27458,2,AK,1,100,RD
1752780580.237140,570663.000,27461,2,AK,1,100,27459
1752780580.242140,570668.000,27461,2,AK,1,100,RD
1752780582.809154,573235.000,28313,2,AK,1,100,27459
1752780585.376168,575802.000,28313,2,AK,1,100,RD
1752780585.386168,575812.000,28316,2,AK,1,100,28314
1752780585.396168,575822.000,28316,2,AK,1,100,RD
1752780587.939182,578365.000,29150,2,AK,1,100,28314
1752780590.482196,580908.000,29150,2,AK,1,100,RD
1752780590.488196,580914.000,29153,2,AK,1,100,29151
1752780590.494196,580920.000,29153,2,AK,1,100,RD
1752780593.055710,583481.500,30005,2,AK,1,100,29151
1752780595.617224,586043.000,30005,2,AK,1,100,RD
1752780595.622224,586048.000,30008,2,AK,1,100,30006
1752780595.627224,586053.000,30008,2,AK,1,100,RD
1752780598.176238,588602.000,30844,2,AK,1,100,30006
1752780600.725252,591151.000,30844,2,AK,1,100,RD
1752780600.729752,591155.500,30847,2,AK,1,100,30845
1752780600.734252,591160.000,30847,2,AK,1,100,RD
1752780603.283766,593709.500,31681,2,AK,1,100,30845
1752780605.833280,596259.000,31681,2,AK,1,100,RD
1752780605.850280,596276.000,31684,2,AK,1,100,31682
1752780605.867280,596293.000,31684,2,AK,1,100,RD
1752780608.404294,598830.000,32521,2,AK,1,100,31682
1752780610.941308,601367.000,32521,2,AK,1,100,RD
1752780610.950808,601376.500,32524,2,AK,1,100,32522
1752780610.960308,601386.000,32524,2,AK,1,100,RD
1752780613.525822,603951.500,33374,2,AK,1,100,32522
1752780616.091336,606517.000,33374,2,AK,1,100,RD
1752780616.098336,606524.000,33377,2,AK,1,100,33375
1752780616.105336,606531.000,33377,2,AK,1,100,RD
1752780618.660350,609086.000,34212,2,AK,1,100,33375
1752780621.215364,611641.000,34212,2,AK,1,100,RD
1752780621.222864,611648.500,34215,2,AK,1,100,34213
1752780621.230364,611656.000,34215,2,AK,1,100,RD
1752780623.780878,614206.500,35049,2,AK,1,100,34213
1752780626.331392,616757.000,35049,2,AK,1,100,RD
1752780626.337392,616763.000,35052,2,AK,1,100,35050
1752780626.343392,616769.000,35052,2,AK,1,100,RD
1752780628.903906,619329.500,35890,2,AK,1,100,35050
1752780631.464420,621890.000,35890,2,AK,1,100,RD
1752780631.471920,621897.500,35893,2,AK,1,100,35891
1752780631.479420,621905.000,35893,2,AK,1,100,RD
1752780634.031934,624457.500,36730,2,AK,1,100,35891
1752780636.584448,627010.000,36730,2,AK,1,100,RD
1752780636.591448,627017.000,36733,2,AK,1,100,36731
1752780636.598448,627024.000,36733,2,AK,1,100,RD
1752780639.151462,629577.000,37567,2,AK,1,100,36731
1752780641.704476,632130.000,37567,2,AK,1,100,RD
1752780641.720976,632146.500,37570,2,AK,1,100,37568
1752780641.737476,632163.000,37570,2,AK,1,100,RD
1752780644.276490,634702.000,38407,2,AK,1,100,37568
1752780646.815504,637241.000,38407,2,AK,1,100,RD
1752780646.820504,637246.000,38410,2,AK,1,100,38408
1752780646.825504,637251.000,38410,2,AK,1,100,RD
1752780649.380518,639806.000,39247,2,AK,1,100,38408
1752780651.935532,642361.000,39247,2,AK,1,100,RD
1752780651.941032,642366.500,39250,2,AK,1,100,39248
1752780651.946532,642372.000,39250,2,AK,1,100,RD
1752780654.497046,644922.500,39640,2,AK,1,100,39248
1752780657.047560,647473.000,39640,2,AK,1,100,RD
1752780659.615074,650040.500,40478,2,AK,1,100,39641
1752780662.182588,652608.000,40478,2,AK,1,100,RD
1752780662.184088,652609.500,40480,2,AK,1,100,39641
1752780662.185588,652611.000,40480,2,AK,1,100,RD
1752780662.191588,652617.000,40483,2,AK,1,100,40481
1752780662.197588,652623.000,40483,2,AK,1,100,RD
1752780664.752102,655177.500,41319,2,AK,1,100,40481
1752780667.306616,657732.000,41319,2,AK,1,100,RD
1752780667.314116,657739.500,41322,2,AK,1,100,41320
1752780667.321616,657747.000,41322,2,AK,1,100,RD
1752780669.871630,660297.000,42160,2,AK,1,100,41320
1752780672.421644,662847.000,42160,2,AK,1,100,RD
1752780672.441144,662866.500,42163,2,AK,1,100,42161
1752780672.460644,662886.000,42163,2,AK,1,100,RD
1752780674.999658,665425.000,42998,2,AK,1,100,42161
1752780677.538672,667964.000,42998,2,AK,1,100,RD
1752780677.566172,667991.500,43001,2,AK,1,100,42999
1752780677.593672,668019.000,43001,2,AK,1,100,RD
1752780680.126686,670552.000,43839,2,AK,1,100,42999
1752780682.659700,673085.000,43839,2,AK,1,100,RD
1752780685.225714,675651.000,44677,2,AK,1,100,43840
1752780687.791728,678217.000,44677,2,AK,1,100,RD
1752780687.793228,678218.500,44679,2,AK,1,100,43840
1752780687.794728,678220.000,44679,2,AK,1,100,RD
