LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752780444.931399,435358.000,4639,1,EL,1,100,-14490.200195
1752780444.998400,435425.000,4655,1,EL,1,100,-14479.000000
1752780445.064900,435491.500,4671,2,EL,1,100,-14482.400391
1752780445.131400,435558.000,4671,2,EL,1,100,-14489.799805
1752780445.198401,435625.000,4687,1,EL,1,100,-14499.200195
1752780445.264901,435691.500,4706,2,EL,1,100,-14503.400391
1752780445.331402,435758.000,4706,2,EL,1,100,-14507.799805
1752780445.398402,435825.000,4722,1,EL,1,100,-14511.799805
1752780445.464902,435891.500,4741,2,EL,1,100,-14512.599609
1752780445.531403,435958.000,4741,2,EL,1,100,-14512.200195
1752780445.598403,436025.000,4756,1,EL,1,100,-14512.599609
1752780445.664903,436091.500,4773,2,EL,1,100,-14517.400391
1752780445.731404,436158.000,4773,2,EL,1,100,-14520.400391
1752780445.797904,436224.500,4790,2,EL,1,100,-14522.799805
1752780445.864404,436291.000,4790,2,EL,1,100,-14534.400391
1752780445.931405,436358.000,4807,1,EL,1,100,-14546.000000
1752780445.997905,436424.500,4821,2,EL,1,100,-14552.400391
1752780446.064406,436491.000,4821,2,EL,1,100,-14553.200195
1752780446.131406,436558.000,4841,1,EL,1,100,-14554.200195
1752780446.197906,436624.500,4859,2,EL,1,100,-14555.799805
1752780446.264407,436691.000,4859,2,EL,1,100,-14552.799805
1752780446.331407,436758.000,4876,1,EL,1,100,-14550.799805
1752780446.397907,436824.500,4891,2,EL,1,100,-14539.000000
1752780446.464408,436891.000,4891,2,EL,1,100,-14532.599609
1752780446.531408,436958.000,4910,1,EL,1,100,-14538.599609
1752780446.597909,437024.500,4926,2,EL,1,100,-14562.599609
1752780446.664409,437091.000,4926,2,EL,1,100,-14565.200195
1752780446.731409,437158.000,4943,1,EL,1,100,-14573.400391
1752780446.797910,437224.500,4958,2,EL,1,100,-14579.799805
1752780446.864410,437291.000,4958,2,EL,1,100,-14588.599609
1752780446.931410,437358.000,4977,1,EL,1,100,-14603.400391
1752780446.997911,437424.500,4993,2,EL,1,100,-14608.200195
1752780447.064411,437491.000,4993,2,EL,1,100,-14606.799805
1752780447.131411,437558.000,5013,1,EL,1,100,-14609.400391
1752780447.197912,437624.500,5032,2,EL,1,100,-14614.000000
1752780447.264412,437691.000,5032,2,EL,1,100,-14612.400391
1752780447.331413,437758.000,5049,1,EL,1,100,-14616.400391
1752780447.397913,437824.500,5066,2,EL,1,100,-14619.799805
1752780447.464413,437891.000,5066,2,EL,1,100,-14621.000000
1752780447.531414,437958.000,5085,1,EL,1,100,-14624.200195
1752780447.597914,438024.500,5100,2,EL,1,100,-14627.599609
1752780447.664414,438091.000,5100,2,EL,1,100,-14626.799805
1752780447.731415,438158.000,5116,1,EL,1,100,-14630.400391
1752780447.797915,438224.500,5133,2,EL,1,100,-14634.200195
1752780447.864415,438291.000,5133,2,EL,1,100,-14641.599609
1752780447.930916,438357.500,5150,2,EL,1,100,-14648.799805
1752780447.997416,438424.000,5150,2,EL,1,100,-14651.799805
1752780448.064417,438491.000,5168,1,EL,1,100,-14651.799805
1752780448.130917,438557.500,5184,2,EL,1,100,-14654.799805
1752780448.197417,438624.000,5184,2,EL,1,100,-14656.400391
1752780448.264418,438691.000,5202,1,EL,1,100,-14656.200195
