LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752780444.947399,435374.000,4634,4,EM,1,100,RS
1752780444.947399,435374.000,4634,4,EM,1,100,RB
1752780444.947399,435374.000,4634,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780444.947399,435374.000,4634,4,EM,1,100,PS
1752780444.997650,435424.250,4665,4,EM,1,100,RS
1752780445.047900,435474.500,4665,4,EM,1,100,RB
1752780445.098150,435524.750,4665,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780445.148401,435575.000,4665,4,EM,1,100,PS
1752780445.198651,435625.250,4699,4,EM,1,100,RS
1752780445.248901,435675.500,4699,4,EM,1,100,RB
1752780445.299151,435725.750,4699,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780445.349402,435776.000,4699,4,EM,1,100,PS
1752780445.399652,435826.250,4733,4,EM,1,100,RS
1752780445.449902,435876.500,4733,4,EM,1,100,RB
1752780445.500153,435926.750,4733,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780445.550403,435977.000,4733,4,EM,1,100,PS
1752780445.600653,436027.250,4768,4,EM,1,100,RS
1752780445.650903,436077.500,4768,4,EM,1,100,RB
1752780445.701154,436127.750,4768,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780445.751404,436178.000,4768,4,EM,1,100,PS
1752780445.801654,436228.250,4802,4,EM,1,100,RS
1752780445.851904,436278.500,4802,4,EM,1,100,RB
1752780445.902155,436328.750,4802,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780445.952405,436379.000,4802,4,EM,1,100,PS
1752780446.002655,436429.250,4833,4,EM,1,100,RS
1752780446.052906,436479.500,4833,4,EM,1,100,RB
1752780446.103156,436529.750,4833,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780446.153406,436580.000,4833,4,EM,1,100,PS
1752780446.203656,436630.250,4871,4,EM,1,100,RS
1752780446.253907,436680.500,4871,4,EM,1,100,RB
1752780446.304157,436730.750,4871,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780446.354407,436781.000,4871,4,EM,1,100,PS
1752780446.404657,436831.250,4905,4,EM,1,100,RS
1752780446.454908,436881.500,4905,4,EM,1,100,RB
1752780446.505158,436931.750,4905,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780446.555408,436982.000,4905,4,EM,1,100,PS
1752780446.605659,437032.250,4938,4,EM,1,100,RS
1752780446.655909,437082.500,4938,4,EM,1,100,RB
1752780446.706159,437132.750,4938,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780446.756409,437183.000,4938,4,EM,1,100,PS
1752780446.807160,437233.750,4970,4,EM,1,100,RS
1752780446.857910,437284.500,4970,4,EM,1,100,RB
1752780446.908660,437335.250,4970,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780446.959410,437386.000,4970,4,EM,1,100,PS
1752780447.009661,437436.250,5005,4,EM,1,100,RS
1752780447.059911,437486.500,5005,4,EM,1,100,RB
1752780447.110161,437536.750,5005,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780447.160412,437587.000,5005,4,EM,1,100,PS
1752780447.211162,437637.750,5044,4,EM,1,100,RS
1752780447.261912,437688.500,5044,4,EM,1,100,RB
1752780447.312662,437739.250,5044,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780447.363413,437790.000,5044,4,EM,1,100,PS
1752780447.413413,437840.000,5078,4,EM,1,100,RS
1752780447.463413,437890.000,5078,4,EM,1,100,RB
1752780447.513414,437940.000,5078,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780447.563414,437990.000,5078,4,EM,1,100,PS
1752780447.613664,438040.250,5111,4,EM,1,100,RS
1752780447.663914,438090.500,5111,4,EM,1,100,RB
1752780447.714165,438140.750,5111,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780447.764415,438191.000,5111,4,EM,1,100,PS
1752780447.814665,438241.250,5145,4,EM,1,100,RS
1752780447.864915,438291.500,5145,4,EM,1,100,RB
1752780447.915166,438341.750,5145,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780447.965416,438392.000,5145,4,EM,1,100,PS
1752780448.015666,438442.250,5178,4,EM,1,100,RS
1752780448.065917,438492.500,5178,4,EM,1,100,RB
1752780448.116167,438542.750,5178,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780448.166417,438593.000,5178,4,EM,1,100,PS
1752780448.216667,438643.250,5214,4,EM,1,100,RS
1752780448.266918,438693.500,5214,4,EM,1,100,RB
1752780448.317168,438743.750,5214,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780448.367418,438794.000,5214,4,EM,1,100,PS
1752780448.417668,438844.250,5246,4,EM,1,100,RS
1752780448.467919,438894.500,5246,4,EM,1,100,RB
1752780448.518169,438944.750,5246,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780448.568419,438995.000,5246,4,EM,1,100,PS
1752780448.618670,439045.250,5279,4,EM,1,100,RS
1752780448.668920,439095.500,5279,4,EM,1,100,RB
1752780448.719170,439145.750,5279,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780448.769420,439196.000,5279,4,EM,1,100,PS
1752780448.821421,439248.000,5313,4,EM,1,100,RS
1752780448.873421,439300.000,5313,4,EM,1,100,RB
1752780448.925421,439352.000,5313,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780448.977422,439404.000,5313,4,EM,1,100,PS
1752780449.027672,439454.250,5348,4,EM,1,100,RS
1752780449.077922,439504.500,5348,4,EM,1,100,RB
1752780449.128172,439554.750,5348,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780449.178423,439605.000,5348,4,EM,1,100,PS
1752780449.228673,439655.250,5380,4,EM,1,100,RS
1752780449.278923,439705.500,5380,4,EM,1,100,RB
1752780449.329173,439755.750,5380,4,EM,1,100,2025-07-17_15-27-24-195986.csv
1752780449.379424,439806.000,5380,4,EM,1,100,PS
